"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;29,15;29,15;28,549999;28,67;13120900;22,627573
2010-01-05;28,73;28,99;28,290001;28,879999;15594300;22,79332
2010-01-06;28,879999;29;28,700001;28,780001;8833200;22,714397
2010-01-07;28,860001;29,219999;28,73;29,120001;12058200;22,98274
2010-01-08;29;29,24;28,690001;28,98;15609800;22,872246
2010-01-11;29;29,02;28,08;28,16;23670500;22,22506
2010-01-12;28,15;28,35;27,889999;27,98;23075800;22,083002
2010-01-13;28;28,25;28;28,129999;15639100;22,201387
2010-01-14;28,120001;28,440001;28,120001;28,299999;13208200;22,33556
2010-01-15;28,309999;28,690001;28;28,57;23013500;22,548653
2010-01-19;28,459999;28,950001;28,35;28,879999;14170100;22,79332
2010-01-20;28,700001;28,84;28,35;28,66;13256400;22,619688
2010-01-21;28,629999;29,059999;28,32;28,48;18900600;22,477625
2010-01-22;28,24;28,549999;27,68;27,719999;16696600;21,877798
2010-01-25;27,950001;27,950001;27,51;27,620001;11098400;21,798872
2010-01-26;27,5;27,950001;27,5;27,73;13275800;21,885693
2010-01-27;27,620001;27,92;27,49;27,84;12821800;21,972511
2010-01-28;27,93;27,950001;27,190001;27,34;19430400;21,577888
2010-01-29;27,57;28,09;27,379999;28,01;22453800;22,10668
2010-02-01;28,01;28,450001;27,91;28,389999;17172100;22,406591
2010-02-02;28,389999;29,049999;28,299999;29,030001;19640800;22,911705
2010-02-03;28,940001;28,940001;28,26;28,469999;19437300;22,469727
2010-02-04;28,24;28,530001;27,84;27,93;19813600;22,043543
2010-02-05;27,85;28,07;27,530001;27,98;20229400;22,083002
2010-02-08;28,530001;28,940001;28,469999;28,59;26005400;22,564442
2010-02-09;28,870001;29,09;28,57;28,870001;18057700;22,785427
2010-02-10;28,84;28,959999;28,4;28,65;14481500;22,611784
2010-02-11;28,709999;29,07;28,540001;28,99;14614200;22,88014
2010-02-12;28,75;29;28,549999;29;15027700;22,888033
2010-02-16;29,120001;29,5;28,93;29,440001;13317200;23,2353
2010-02-17;29,76;30,059999;29,75;30,02;21524600;23,693054
2010-02-18;30,02;30,379999;29,870001;30,299999;16564800;23,914047
2010-02-19;30,209999;30,450001;30;30,15;18576300;23,79567
2010-02-22;30,4;30,549999;30,200001;30,32;16101000;23,929827
2010-02-23;30,559999;31,030001;30,35;30,75;35770100;24,269205
2010-02-24;30,780001;31,42;30,74;31,360001;22937500;24,750643
2010-02-25;31,07;31,450001;30,99;31,360001;15049200;24,750643
2010-02-26;31,360001;31,360001;30,950001;31,200001;13879200;24,624365
2010-03-01;31,24;31,549999;31,09;31,43;14182000;24,805893
2010-03-02;31,389999;31,58;31,27;31,360001;15189500;24,750643
2010-03-03;31,43;31,809999;31,32;31,469999;13900900;24,837458
2010-03-04;31,540001;31,58;31,299999;31,440001;13777600;24,813786
2010-03-05;31,549999;31,91;31,49;31,799999;18768700;25,09791
2010-03-08;31,68;32,040001;31,68;31,959999;11048000;25,224192
2010-03-09;31,700001;31,950001;31,67;31,68;15127700;25,189398
2010-03-10;31,59;31,879999;31,450001;31,709999;10532400;25,213249
2010-03-11;31,58;32,220001;31,52;32,130001;15316800;25,547203
2010-03-12;32,23;32,599998;32,119999;32,450001;14953600;25,801645
2010-03-15;32,490002;32,709999;32,279999;32,689999;12049100;25,992468
2010-03-16;32,610001;32,810001;32,349998;32,549999;13690400;25,881159
2010-03-17;32,490002;32,639999;32,34;32,52;14730700;25,857302
