"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;61,84;63,43;61,77;63,16;3729300;55,230206
2010-01-05;63,599998;64,220001;63,139999;63,549999;3195800;55,571236
2010-01-06;63,310001;64,510002;63,310001;63,720001;3545900;55,719906
2010-01-07;63,560001;65,269997;63,080002;64,940002;4994300;56,786728
2010-01-08;64,620003;65,900002;64,080002;65,830002;2164400;57,564991
2010-01-11;66,480003;66,489998;64,599998;65,139999;3038200;56,961632
2010-01-12;64,480003;64,480003;62,369999;62,529999;5338700;54,679295
2010-01-13;62,700001;63,099998;61;62,939999;4254900;55,037827
2010-01-14;62,889999;63,209999;62,310001;63,009998;1725600;55,099033
2010-01-15;62,889999;63,41;61,110001;62,43;3831200;54,591866
2010-01-19;62,130001;63,040001;61,650002;63,040001;2006800;55,125286
2010-01-20;62,25;62,380001;60,860001;62,040001;2369800;54,25082
2010-01-21;62,299999;62,77;59,91;60,189999;5539500;52,633091
2010-01-22;59,75;61,5;58,689999;58,689999;6095600;51,321426
2010-01-25;59,459999;60,580002;59,459999;59,990002;3809900;52,458202
2010-01-26;59,110001;60,419998;58,419998;59,09;4413900;51,671196
2010-01-27;59,650002;61,75;57,200001;58,889999;7760000;51,496307
2010-01-28;59,259998;59,459999;57,470001;57,869999;3651200;50,604378
2010-01-29;58,43;59,860001;57,360001;57,790001;5221900;50,534416
2010-02-01;58,450001;59,889999;58,18;59,720001;3636000;52,222107
2010-02-02;59,66;61,279999;59,66;61,209999;3454400;53,525043
2010-02-03;60,900002;61,169998;59,599998;60,07;2446100;52,52816
2010-02-04;59,75;59,759998;56,990002;57,32;5163900;50,123421
2010-02-05;57,560001;58,040001;55,889999;57,98;6737000;50,700565
2010-02-08;57,91;58,48;56,91;57,029999;3301600;49,869835
2010-02-09;58,049999;58,939999;57,310001;57,689999;4966400;50,446972
2010-02-10;57,689999;58,650002;56,560001;57,869999;4739300;50,604378
2010-02-11;57,880001;59,200001;57,529999;59,029999;2757300;51,618732
2010-02-12;58;58,830002;57,630001;58,419998;3918300;51,085316
2010-02-16;59,82;60,619999;59,200001;60,459999;3241500;52,869186
2010-02-17;60,82;61,259998;60,259998;60,759998;3294800;53,131535
2010-02-18;60,540001;61,139999;59,650002;60,68;3206100;53,061581
2010-02-19;60,509998;61,09;60;60,84;2453200;53,201481
2010-02-22;61,310001;61,310001;59,93;60,130001;2135800;52,580624
2010-02-23;59,779999;59,939999;58,369999;58,73;2750800;51,356411
2010-02-24;58,970001;59,52;58,34;59;2211100;51,592487
2010-02-25;57,990002;58,709999;57,009998;58,66;2873300;51,295189
2010-02-26;58,73;59,080002;58,220001;58,799999;2587200;51,417614
2010-03-01;59,139999;60,110001;59,130001;60;2388100;52,466961
2010-03-02;60,330002;61;59,98;60,220001;3557000;52,659328
2010-03-03;60,490002;61,049999;60,369999;60,549999;2888300;52,947903
2010-03-04;60,689999;60,889999;59,810001;60,419998;2807800;52,834221
2010-03-05;60,990002;61,580002;60,639999;61,540001;3403600;53,813599
2010-03-08;61,689999;61,810001;60,619999;61,25;2120900;53,560017
2010-03-09;60,830002;60,970001;60,060001;60,5;3453800;52,904175
2010-03-10;60,360001;61,57;60,360001;61,27;2898400;53,577515
2010-03-11;60,91;61,169998;60,5;60,950001;2358300;53,384804
2010-03-12;61,32;61,66;61;61,259998;1628900;53,65633
2010-03-15;60,869999;61,080002;60,029999;60,43;3022800;52,929359
2010-03-16;60,779999;61,759998;60,34;61,650002;3079600;53,997936
2010-03-17;62,02;63,110001;61,990002;62,650002;2901900;54,873817
2010-03-18;62,450001;62,540001;60,799999;61,66;2830400;54,006676
2010-03-19;61,189999;62,130001;60,459999;61,189999;4025600;53,595013
2010-03-22;60,490002;61,630001;60,279999;61,380001;2495900;53,761444
2010-03-23;61,23;61,630001;60,790001;61,43;2575500;53,805233
2010-03-24;60,919998;61,889999;60,650002;61,439999;2614100;53,813988
2010-03-25;62,02;62,02;60,169998;60,25;2397500;52,771687
2010-03-26;60,639999;60,810001;59,330002;59,669998;3241000;52,263683
2010-03-29;60,099998;61,439999;59,73;61,080002;3434500;53,49868
2010-03-30;61,25;62,389999;60,82;62,119999;3512000;54,409588
2010-03-31;62,23;63,150002;61,799999;62,549999;2894800;54,786217
2010-04-01;63,080002;64,239998;63,060001;63,700001;3504000;55,793468
2010-04-05;64,269997;64,610001;64;64,279999;3479800;56,301491
2010-04-06;64,010002;64,519997;63,849998;64,290001;3332700;56,310253
2010-04-07;64,129997;64,230003;62,77;63,07;3658400;55,241669
2010-04-08;62,59;64,489998;61,970001;64,190002;4151700;56,222672
2010-04-09;64,769997;65,150002;64,309998;64,75;3072900;56,713142
2010-04-12;65,209999;65,580002;64,769997;65,279999;2136700;57,177361
2010-04-13;65,25;65,599998;63,93;65,07;3057300;56,993427
2010-04-14;65,610001;66,150002;64,440002;65,559998;3735300;57,422604
2010-04-15;65,5;65,5;64,339996;64,910004;3384400;56,853287
2010-04-16;64,410004;64,959999;62,84;63,650002;3824400;55,749687
2010-04-19;62,990002;63,549999;62,25;63,48;2813700;55,600773
2010-04-20;63,900002;65,769997;63,900002;65,300003;3790400;57,194881
2010-04-21;65,18;65,529999;64,169998;64,75;2560300;56,713142
2010-04-22;63,400002;64,330002;63,049999;64,199997;2857400;56,231426
2010-04-23;64,25;65,529999;63,650002;65,529999;3318800;57,396339
2010-04-26;65,410004;65,900002;64,970001;65,349998;2617600;57,238682
2010-04-27;64,870003;66,220001;63,279999;63,349998;3566300;55,486916
2010-04-28;64,269997;64,949997;62,34;63,669998;5040100;55,767189
2010-04-29;64,120003;64,839996;63,389999;64,32;3370000;56,336525
2010-04-30;64,410004;64,75;62,080002;63,549999;4564800;55,662086
2010-05-03;63,93;64,620003;62,720001;64,029999;3108300;56,082508
2010-05-04;63,220001;63,290001;61,009998;62,380001;3679400;54,637314
2010-05-05;61,139999;62,389999;60,060001;61,41;6901600;53,78772
2010-05-06;60,799999;61,200001;55,049999;58,209999;9138000;50,984898
2010-05-07;58,310001;58,59;56;56,740002;6259700;49,697361
2010-05-10;59,470001;60,459999;58,209999;59,950001;7148800;52,508934
2010-05-11;58,970001;60,189999;58,27;58,610001;5100800;51,335255
2010-05-12;58,970001;59,360001;57,82;58,84;4588200;51,536694
2010-05-13;58,779999;58,939999;57,709999;58;5771900;50,800972
2010-05-14;57,34;57,43;55,23;56,060001;5002000;49,101753
2010-05-17;56,369999;56,630001;53,919998;55,5;4410700;48,611275
2010-05-18;56,439999;57,02;54,810001;55,200001;5298900;48,348499
2010-05-19;54,759998;55,459999;53,560001;55;5325600;48,173325
2010-05-20;53,59;53,59;51,43;51,52;6482000;45,125271
2010-05-21;50,439999;53,330002;50,099998;52,91;6102600;46,342751
2010-05-24;52,68;52,68;51,25;51,279999;4529100;44,915054
2010-05-25;49,759998;52,369999;49,5;52,240002;5379100;45,755905
2010-05-26;53,169998;53,25;51,389999;51,619999;3962200;45,212872
2010-05-27;53;54,630001;52,889999;54,549999;3818700;47,779186
2010-05-28;54,299999;54,639999;52,82;53,200001;3976600;46,596756
2010-06-01;52,360001;53,099998;50,389999;50,490002;4488800;44,223133
2010-06-02;50,330002;52,130001;49,880001;52,130001;4136800;45,659557
2010-06-03;52,25;52,799999;51,439999;52,59;3076500;46,062462
2010-06-04;51,389999;52,209999;50,119999;50,5;3405500;44,231876
2010-06-07;50,68;51,950001;50,209999;50,369999;3693100;44,118015
2010-06-08;49,790001;50,099998;48,700001;49,689999;6024100;43,522411
2010-06-09;50,169998;51,459999;49,610001;49,880001;4202100;43,688816
2010-06-10;51,049999;52,700001;50,880001;52,66;4571200;46,123772
2010-06-11;51,779999;53,57;51,779999;53,450001;3109600;46,81572
2010-06-14;54,189999;54,75;53,560001;53,669998;4235800;47,096512
2010-06-15;54,240002;55,389999;53,970001;55,310001;2612700;48,53566
2010-06-16;54,849998;55,48;54,57;55;2510200;48,263618
2010-06-17;55,150002;55,209999;54,169998;54,689999;3510100;47,9916
2010-06-18;54,900002;56,220001;54,27;56,18;4057200;49,299095
2010-06-21;57,09;57,450001;55,59;56,009998;3593600;49,149921
2010-06-22;55,900002;56,060001;54,34;54,509998;4328000;47,83363
2010-06-23;54,459999;55,470001;53,970001;55,07;3992200;48,325058
2010-06-24;54,82;54,98;53,380001;53,73;4527700;47,149178
2010-06-25;53,959999;54,48;53,110001;53,799999;3181800;47,210606
2010-06-28;53,790001;53,84;52,669998;52,970001;3179000;46,482269
2010-06-29;52,18;52,209999;50,779999;50,950001;4094700;44,709667
2010-06-30;51,029999;51,860001;50,209999;50,34;4065400;44,174385
2010-07-01;49,82;50,740002;48,709999;49,959999;5958100;43,840939
2010-07-02;50,169998;50,759998;49,639999;50,080002;2873500;43,94622
2010-07-06;51,200001;51,919998;50,299999;50,950001;4341000;44,709667
2010-07-07;51,290001;53,220001;51,23;53,220001;3716800;46,701645
2010-07-08;53,790001;54,110001;52,759998;54,099998;2817200;47,473866
2010-07-09;54,040001;54,110001;52,630001;53,23;2932000;46,710415
2010-07-12;53,049999;53,689999;52,700001;53,689999;2288300;47,114082
2010-07-13;54,389999;54,740002;53,990002;54,349998;2439900;47,693241
2010-07-14;53,959999;54,490002;53,330002;53,59;2707900;47,026329
2010-07-15;53,900002;53,900002;52,419998;53,32;3314600;46,789402
2010-07-16;52,490002;52,880001;51,259998;51,490002;3320600;45,183525
2010-07-19;51,880001;52,380001;51,490002;51,830002;2036600;45,481876
2010-07-20;51,049999;52,93;51;52,880001;3433400;46,403286
2010-07-21;53,59;53,59;50,41;50,889999;5432200;44,657024
2010-07-22;51,459999;52,889999;51,34;52,200001;5847900;45,806572
