"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;13,125;13,695;13,005;13,685;1826600;8,450449
2010-01-05;13,725;14,95;13,65;14,57;3336200;8,996931
2010-01-06;14,55;14,725;14,19;14,535;2168400;8,975318
2010-01-07;14,52;14,615;14,235;14,54;1169800;8,978408
2010-01-08;14,365;14,57;14,295;14,425;869000;8,907393
2010-01-11;14,53;14,79;13,875;14,07;1903400;8,688183
2010-01-12;13,84;13,84;13,4;13,54;1919200;8,36091
2010-01-13;13,465;13,465;12,74;13,335;1875400;8,234322
2010-01-14;13,33;13,455;13,12;13,335;897000;8,234322
2010-01-15;13,38;13,485;13,175;13,455;887800;8,308425
2010-01-19;13,405;13,575;13,385;13,5;1417400;8,336206
2010-01-20;13,265;13,56;13,21;13,515;1273200;8,345472
2010-01-21;13,44;13,675;13,265;13,33;1963800;8,231236
2010-01-22;13,25;13,43;13,025;13,05;1546200;8,058334
2010-01-25;13,075;13,21;12,985;13,055;891000;8,061422
2010-01-26;12,98;13,25;12,83;13,155;1409000;8,123176
2010-01-27;13,18;13,185;12,855;13,17;1236600;8,132436
2010-01-28;13,31;13,31;12,835;13,05;1538800;8,058334
2010-01-29;13,165;13,5;12,975;13,05;1845400;8,058334
2010-02-01;13,16;13,67;13,115;13,62;1570200;8,410309
2010-02-02;13,7;14,295;13,52;14,25;2093600;8,79933
2010-02-03;14,22;14,25;13,81;13,905;1846000;8,586296
2010-02-04;13,775;13,775;13,34;13,35;1146000;8,243583
2010-02-05;13,315;13,32;12,745;13,24;1612200;8,17566
2010-02-08;13,27;13,335;12,99;13,11;1035400;8,095387
2010-02-09;13,235;13,465;13,03;13,39;1154400;8,268282
2010-02-10;13,305;13,585;13,075;13,565;988000;8,376348
2010-02-11;13,495;13,61;13,29;13,455;707400;8,308425
2010-02-12;13,16;13,635;13,12;13,635;1077200;8,419571
2010-02-16;13,89;14,205;13,715;14,165;753800;8,746843
2010-02-17;14,17;14,305;13,9;14,06;905800;8,682011
2010-02-18;14,09;14,255;13,975;14,215;1511000;8,77772
2010-02-19;14,11;14,345;14,075;14,275;567600;8,81477
2010-02-22;14,405;14,44;14,005;14,17;1187600;8,749933
