"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;25,49;25,700001;25,280001;25,459999;2904000;20,275322
2010-01-05;25,370001;25,91;25,24;25,65;2805400;20,426634
2010-01-06;25,74;25,99;25,450001;25,59;3283200;20,378855
2010-01-07;25,459999;25,889999;25,32;25,799999;2522200;20,546085
2010-01-08;25,780001;25,85;25,32;25,530001;3523100;20,33107
2010-01-11;25,73;25,76;25,1;25,17;2664400;20,044378
2010-01-12;25,09;25,09;24,5;24,809999;3491800;19,75769
2010-01-13;24,809999;25,99;24,629999;25,879999;4288400;20,609795
2010-01-14;25,92;25,92;25,58;25,73;2537200;20,490339
2010-01-15;25,65;26;24,83;25,08;4748000;19,97271
2010-01-19;25,08;25,73;24,41;25,709999;4374500;20,474415
2010-01-20;25,450001;26,18;25,34;25,84;5478400;20,577942
2010-01-21;25,940001;26,09;25,1;25,58;5328500;20,370886
2010-01-22;24,959999;24,99;23,16;23,59;14178200;18,786131
2010-01-25;23,83;24,219999;23,219999;23,42;5006800;18,650753
2010-01-26;23,27;23,690001;23,08;23,18;3957800;18,459625
2010-01-27;23,15;23,6;22,84;23,52;3875200;18,730389
2010-01-28;23,74;23,82;22,780001;23,35;4247700;18,595003
2010-01-29;23,48;23,73;22,59;22,74;4514000;18,109224
2010-02-01;22,950001;23,309999;22,709999;23,27;2646800;18,531296
2010-02-02;23,41;23,700001;23,059999;23,5;3439100;18,71446
2010-02-03;23,35;23,549999;23,120001;23,26;2032300;18,523338
2010-02-04;22,889999;23,26;22,549999;22,690001;4723700;18,06941
2010-02-05;22,51;22,83;21,809999;22,57;6446300;17,973841
2010-02-08;22,51;22,82;22,209999;22,23;2528000;17,703077
2010-02-09;22,610001;23,02;22,33;22,73;2634000;18,101265
2010-02-10;22,73;22,84;22,07;22,629999;2848600;18,021624
2010-02-11;22,51;23,25;22,219999;23,23;2842600;18,499445
2010-02-12;22,940001;23,620001;22,92;23,49;3997300;18,706497
2010-02-16;23,690001;24,08;23,41;24,08;2807800;19,17635
2010-02-17;24,27;24,49;24,01;24,450001;3504100;19,470999
2010-02-18;24,4;24,690001;24,25;24,67;3112800;19,6462
2010-02-19;24,57;24,75;24,26;24,43;2811100;19,534254
2010-02-22;24,610001;24,690001;24,08;24,15;2000700;19,310364
2010-02-23;24,09;24,25;23,700001;24,049999;2375800;19,230408
2010-02-24;24,129999;24,58;24,02;24,530001;2179400;19,614218
2010-02-25;24,17;24,65;24,040001;24,610001;2017500;19,678181
2010-02-26;24,700001;24,85;24,440001;24,610001;1545800;19,678181
2010-03-01;24,690001;25,059999;24,48;24,85;2557600;19,87009
2010-03-02;24,969999;25,120001;24,709999;24,92;1798400;19,92606
2010-03-03;25,049999;25,33;24,860001;25,110001;2154200;20,07799
2010-03-04;25,200001;25,51;25,040001;25,43;1870600;20,333857
2010-03-05;25,66;26,9;25,51;26,82;4126000;21,445301
2010-03-08;26,709999;27,42;26,469999;26,629999;2529400;21,293375
2010-03-09;26,530001;26,940001;26,27;26,68;2005800;21,333359
2010-03-10;26,65;27,639999;26,59;26,959999;3288700;21,557243
2010-03-11;26,809999;27,07;26,549999;26,77;2905300;21,405319
2010-03-12;26,9;26,93;26,549999;26,85;2011000;21,469292
2010-03-15;26,719999;26,82;26,17;26,5;2496800;21,189434
2010-03-16;26,5;28,98;26,4;28,35;18410500;22,668692
2010-03-17;28,41;28,5;27,93;28,18;4558600;22,532766
2010-03-18;28,1;28,48;27,99;28,24;3487900;22,580736
2010-03-19;28,309999;28,65;28;28,309999;3920500;22,636709
2010-03-22;28;28,84;27,85;28,77;2899600;23,004528
2010-03-23;28,77;28,9;28,309999;28,48;3234500;22,772646
2010-03-24;28,389999;28,42;27,629999;27,799999;3653100;22,22891
2010-03-25;28,07;28,389999;27,639999;27,73;3604600;22,172939
2010-03-26;27,76;28,34;27,6;27,92;2108100;22,324867
2010-03-29;28,110001;28,35;27,870001;28,32;3030700;22,644703
2010-03-30;28,35;28,6;27,860001;28,530001;2853400;22,812622
2010-03-31;28,309999;28,5;27,93;28,07;2525800;22,444803
2010-04-01;28,24;28,530001;27,950001;28,379999;3273100;22,692682
2010-04-05;28,82;31,66;28,639999;31,370001;10394600;25,083494
2010-04-06;31;31,620001;30,809999;31,309999;5589200;25,035515
2010-04-07;31,24;31,42;30,85;31,23;3444400;24,971544
2010-04-08;31,030001;31,85;30,700001;31,83;3663600;25,451311
2010-04-09;31,84;33,02;31,780001;32,919998;6994600;26,322872
2010-04-12;32,990002;32,990002;32,490002;32,75;3221100;26,186934
2010-04-13;31,83;32,77;31,76;32,68;4629700;26,130974
2010-04-14;32,650002;32,860001;32,290001;32,849998;3537900;26,266903
2010-04-15;32,610001;33,990002;32,529999;33,27;4827300;26,602736
2010-04-16;33,02;33,259998;32,150002;33,080002;5008200;26,450804
2010-04-19;32,900002;33,32;32,209999;32,77;4795100;26,202929
2010-04-20;34,5;36,130001;34,470001;35,169998;14242600;28,121973
