"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;37,762966;38,497063;37,63903;38,46846;7750500;30,466379
2010-01-05;38,287319;38,57333;38,220585;38,544731;6796000;30,526775
2010-01-06;38,554264;38,649601;38,354057;38,544731;6209200;30,526775
2010-01-07;38,554264;39,431362;38,211052;39,288357;10266400;31,115717
2010-01-08;39,011883;40,232193;38,887943;40,155926;7158300;31,802818
2010-01-11;40,337063;41,118828;40,32753;40,661209;5366500;32,203003
2010-01-12;40,413334;40,527737;39,908047;40,203594;4729900;31,840582
2010-01-13;40,194057;40,518204;39,888981;40,3466;4298200;31,953833
2010-01-14;40,270329;40,73748;40,155926;40,584942;3598200;32,14259
2010-01-15;40,556339;40,813751;40,241726;40,642143;6009400;32,187897
2010-01-19;40,727947;41,195099;40,499138;40,851883;5475600;32,354008
2010-01-20;40,584942;40,680279;39,946182;40,384731;4842500;31,984032
2010-01-21;40,384731;40,527737;38,783073;38,830742;7782500;30,753296
2010-01-22;38,6782;39,164421;37,991776;38,020378;7262100;30,111494
2010-01-25;38,411259;38,773537;38,211052;38,344521;3229900;30,368204
2010-01-26;38,182449;38,57333;37,858303;38,106178;2911200;30,179457
2010-01-27;38,277786;38,497063;37,600895;38,382656;6189000;30,398424
2010-01-28;38,640068;38,697269;37,429287;37,963173;6192200;30,066193
2010-01-29;36,704727;37,343483;35,827625;36,8382;15968700;29,17524
2010-02-01;37,105141;37,581825;37,047939;37,534157;5390800;29,726425
2010-02-02;37,591362;37,753433;37,238613;37,677162;7391100;29,839685
2010-02-03;37,524624;37,696232;37,114677;37,381618;4576300;29,60561
2010-02-04;37,33395;37,33395;35,922962;35,970631;10141900;28,488136
2010-02-05;35,970631;36,142239;34,969593;35,722755;8936200;28,291828
2010-02-08;35,789494;35,789494;35,084;35,150734;6543000;27,838791
2010-02-09;35,627419;36,456852;35,513016;36,056435;7206800;28,556097
2010-02-10;35,961098;36,228043;35,627419;35,961098;4193500;28,480576
2010-02-11;35,856228;36,561722;35,551151;36,447315;4640600;28,865662
2010-02-12;36,037369;36,228043;35,589283;36,09457;5981200;28,586285
2010-02-16;36,351978;37,152809;36,30431;37,105141;6264000;29,386646
2010-02-17;37,095608;37,391151;36,933537;37,267216;4948700;29,757593
2010-02-18;37,248146;38,087112;37,162346;37,991776;5571200;30,336163
2010-02-19;37,925041;38,582863;37,696232;38,344521;6097200;30,617817
2010-02-22;38,535194;38,611465;38,134781;38,277786;4267300;30,564548
2010-02-23;38,277786;38,582863;37,934574;38,068047;5456500;30,397058
2010-02-24;38,239651;38,945145;38,182449;38,687737;5058400;30,891888
