"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;23,405994;23,841961;23,306086;23,819256;27957400;16,234196
2010-01-05;23,678474;23,950954;23,660309;23,919165;28830500;16,302296
2010-01-06;23,855585;23,946413;23,637602;23,69664;25866000;16,150625
2010-01-07;23,701181;23,882833;23,614895;23,705723;22507300;16,156816
2010-01-08;23,660309;23,90554;23,628519;23,882833;22548200;16,277527
2010-01-11;23,878292;23,941872;23,587648;23,810173;22335700;16,228008
2010-01-12;23,628519;23,869209;23,519527;23,601271;27153700;16,085634
2010-01-13;23,705723;23,80109;23,45595;23,714806;25957800;16,163008
2010-01-14;23,719347;24,04178;23,673933;23,846502;35483600;16,252773
2010-01-15;23,882833;24,000908;23,642143;23,828339;29408300;16,240387
2010-01-19;23,660309;23,97366;23,660309;23,955496;25052500;16,327055
2010-01-20;23,732969;23,810173;23,383287;23,710264;30609300;16,159916
2010-01-21;23,80109;23,828339;23,110807;23,292461;40706300;15,875157
2010-01-22;23,165304;23,251589;22,366032;22,384195;44600100;15,256124
2010-01-25;22,50227;22,897366;22,438692;22,733879;29677200;15,494452
2010-01-26;22,752043;22,933697;22,515894;22,588556;34636100;15,395409
2010-01-27;22,60218;22,60218;22,029972;22,456858;39655800;15,305642
2010-01-28;22,434151;22,447775;21,57584;21,702997;58488800;14,791843
2010-01-29;21,966394;22,002726;21,253407;21,376022;51719400;14,568997
2010-02-01;21,512262;21,752953;21,435059;21,721163;34662100;14,804226
2010-02-02;21,934605;22,170753;21,789282;22,066303;38453700;15,039462
2010-02-03;22,011808;22,202543;21,916439;22,129883;25012900;15,082794
2010-02-04;21,884651;22,125341;21,33515;21,357857;47682300;14,556613
2010-02-05;21,30336;21,566757;21,099001;21,489555;43448300;14,646374
2010-02-08;21,412352;21,857403;21,36694;21,612171;38791300;14,72994
2010-02-09;21,843779;22,179836;21,734787;21,852861;38803600;14,893988
2010-02-10;22,039055;22,125341;21,684832;21,807447;30548300;14,863037
2010-02-11;21,798365;22,184378;21,716621;22,079927;28307500;15,048748
2010-02-12;21,948229;22,075386;21,625795;22,007267;34720900;14,999221
2010-02-16;22,22525;22,524977;22,157129;22,452316;32341400;15,302549
2010-02-17;22,60218;22,820164;22,570391;22,761126;51705800;15,513021
2010-02-18;22,8792;23,142597;22,647593;23,074478;51696100;15,726585
2010-02-19;22,897366;23,160763;22,797457;23,065395;36685900;15,720399
2010-02-22;23,029064;23,110807;22,824705;22,960945;27387800;15,649212
2010-02-23;22,874659;23,042688;22,697548;22,761126;26555000;15,513021
2010-02-24;22,724796;23,160763;22,715714;23,065395;33065200;15,720399
2010-02-25;22,797457;23,142597;22,674841;23,124432;28263100;15,760638
2010-02-26;23,124432;23,156221;22,983652;23,065395;24262000;15,720399
2010-03-01;23,01544;23,460491;23,01544;23,405994;31158900;15,952535
2010-03-02;23,415077;23,49682;23,128973;23,21526;33058800;15,822537
2010-03-03;23,210718;23,31971;23,160763;23,206177;25219500;15,81635
2010-03-04;23,219801;23,419619;23,178928;23,39237;17791200;15,943256
2010-03-05;23,487738;23,728428;23,460491;23,628519;34019100;16,104202
2010-03-08;23,45595;23,605812;23,42416;23,492279;28370100;16,011343
2010-03-09;23,42416;23,719347;23,374205;23,5604;22527700;16,057774
2010-03-10;23,551317;23,655767;23,437784;23,514986;25738000;16,026819
2010-03-11;23,49682;23,628519;23,333334;23,623978;21071500;16,101103
2010-03-12;23,646685;23,810173;23,533152;23,778383;25892400;16,206343
2010-03-15;23,687557;23,810173;23,574024;23,805632;22631000;16,279686
2010-03-16;23,751135;23,823797;23,655767;23,773842;24895800;16,257948
2010-03-17;23,80109;23,955496;23,69664;23,719347;31279600;16,22068
2010-03-18;23,714806;23,991825;23,66485;23,946413;31112900;16,375956
2010-03-19;23,837421;24,046322;23,710264;23,837421;46066500;16,301428
2010-03-22;23,673933;24,087193;23,673933;24,046322;34552000;16,444279
2010-03-23;24,07357;24,141689;23,93733;24,137148;21254800;16,506392
2010-03-24;24,055405;24,168938;23,97366;24,096275;33297500;16,478439
2010-03-25;24,223433;24,427794;24,146231;24,296095;37032300;16,615093
2010-03-26;24,332424;24,38238;24,17802;24,259764;31326300;16,590248
2010-03-29;24,259764;24,355131;24,023615;24,055405;22537200;16,450491
2010-03-30;24,037239;24,237057;24,037239;24,187103;22335300;16,540562
2010-03-31;24,019073;24,24614;23,987284;24,137148;28308400;16,506392
2010-04-01;24,24614;24,409628;24,037239;24,17802;23526100;16,534346
2010-04-05;24,196186;24,500454;24,155313;24,464123;21758600;16,73
2010-04-06;24,377838;24,509537;24,232515;24,459581;21325200;16,726891
2010-04-07;24,405087;24,4505;24,050863;24,200727;26592800;16,54987
2010-04-08;24,146231;24,409628;23,964577;24,355131;19832900;16,655464
2010-04-09;24,359673;24,464123;24,250681;24,464123;16474400;16,73
2010-04-12;24,427794;24,523161;24,418711;24,468664;18616300;16,733107
2010-04-13;24,473206;24,514078;24,323343;24,423252;17861900;16,702047
2010-04-14;24,532244;24,813807;24,500454;24,75931;26495700;16,931864
2010-04-15;24,613987;24,663942;24,318802;24,627611;31134000;16,841805
2010-04-16;24,545868;24,86376;24,309719;24,409628;34406900;16,692734
2010-04-19;24,273388;24,400545;24,087193;24,359673;23629800;16,658573
2010-04-20;24,45504;24,51862;24,232515;24,323343;26978600;16,63373
2010-04-21;24,241598;24,536785;24,182562;24,386921;25513000;16,677204
2010-04-22;24,21435;24,305178;23,846502;24,209808;27285800;16,556082
2010-04-23;24,232515;24,482288;24,082653;24,477747;21544100;16,739311
2010-04-26;24,491371;24,795641;24,441418;24,641235;26640200;16,851118
2010-04-27;24,532244;24,636694;24,118982;24,182562;32043700;16,537453
2010-04-28;24,118982;24,31426;24,114441;24,196186;35458300;16,54677
2010-04-29;23,891916;24,069029;23,864668;24,014532;42994000;16,422544
2010-04-30;24,069029;24,241598;23,578566;23,601271;34641600;16,139929
2010-05-03;23,63306;24,046322;23,610353;23,93733;25692900;16,369747
2010-05-04;23,705723;23,728428;22,842871;22,997274;44013100;15,726887
