"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;22,690001;22,93;22,6;22,66;3018000;15,72908
2010-01-05;22,75;22,84;21,4;22,34;8338900;15,506964
2010-01-06;22,34;22,75;21,68;21,809999;6686400;15,139064
2010-01-07;21,84;22,219999;21,799999;21,91;4860100;15,208484
2010-01-08;21,91;22,17;21,870001;22;3654100;15,270958
2010-01-11;21,959999;22,17;21,540001;22,1;2343400;15,340368
2010-01-12;21,84;22,02;21,77;21,969999;1774400;15,250132
2010-01-13;22,049999;22,33;21,9;22,27;3471900;15,458369
2010-01-14;22,799999;23,120001;22,5;23,07;4079400;16,01368
2010-01-15;23;23;22,58;22,719999;3407100;15,770731
2010-01-19;22,74;22,950001;22,6;22,91;2031400;15,902617
2010-01-20;22,59;22,93;22,59;22,82;2390900;15,840145
2010-01-21;22,99;23,23;22,370001;22,67;3639200;15,736027
2010-01-22;22,540001;22,780001;22,209999;22,219999;4525200;15,42367
2010-01-25;22,389999;22,450001;21,940001;22,24;2833100;15,437547
2010-01-26;22,120001;22,15;21,690001;21,73;2644500;15,083539
2010-01-27;21,9;22,07;21,66;22,02;3511400;15,284838
2010-01-28;22,01;22,01;21,6;21,780001;3187100;15,118247
2010-01-29;21,799999;22;21,51;21,52;2586400;14,937776
2010-02-01;21,58;21,76;21,459999;21,58;3076900;14,979422
2010-02-02;21,57;21,809999;21,48;21,690001;3304200;15,055772
2010-02-03;21,65;21,84;21,52;21,67;1721400;15,041893
2010-02-04;21,5;21,559999;21,07;21,1;2646500;14,646235
2010-02-05;20,92;21,049999;20,540001;20,879999;4264200;14,493526
2010-02-08;20,85;21,129999;20,84;20,959999;4295000;14,54906
2010-02-09;21,120001;21,34;20,99;21,120001;2954900;14,660118
2010-02-10;21,129999;21,18;20,719999;20,799999;2653900;14,437992
2010-02-11;20,690001;20,889999;20,469999;20,780001;2591900;14,424109
2010-02-12;20,700001;20,879999;20,530001;20,85;2274200;14,4727
2010-02-16;20,719999;20,98;20,709999;20,879999;2693600;14,493526
