"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;9,63;9,6425;9,525;9,57;2705200;6,609541
2010-01-05;9,5775;9,6225;9,505;9,62;1854400;6,644074
2010-01-06;9,65;9,6925;9,5375;9,5675;2583200;6,607817
2010-01-07;9,5875;9,5875;9,4425;9,515;2227200;6,571555
2010-01-08;9,475;9,555;9,4475;9,5225;1298800;6,576735
2010-01-11;9,515;9,5775;9,5;9,54;1304800;6,588824
2010-01-12;9,5325;9,6575;9,5;9,635;1262800;6,654435
2010-01-13;9,665;9,7475;9,645;9,6875;1285600;6,690695
2010-01-14;9,6675;9,695;9,5875;9,69;1430000;6,692421
2010-01-15;9,6875;9,6975;9,6;9,64;1252800;6,657886
2010-01-19;9,655;9,74;9,615;9,7175;1745200;6,711413
2010-01-20;9,595;9,6275;9,5175;9,625;1169200;6,794355
2010-01-21;9,6525;9,7475;9,5625;9,6425;2625600;6,806709
2010-01-22;9,645;9,7325;9,625;9,655;1940800;6,815534
2010-01-25;9,69;9,7475;9,605;9,65;1884400;6,812004
2010-01-26;9,65;9,6875;9,5625;9,6625;1164800;6,82083
2010-01-27;9,6975;9,7475;9,6475;9,73;1581600;6,868479
2010-01-28;9,705;9,72;9,6;9,6675;1787200;6,82436
2010-01-29;9,7075;9,745;9,635;9,675;1996800;6,829653
2010-02-01;9,715;9,795;9,6575;9,78;2498800;6,903773
2010-02-02;9,7675;9,915;9,765;9,91;2017200;6,99554
2010-02-03;9,8625;9,9;9,8125;9,86;1518400;6,960245
2010-02-04;9,81;9,84;9,695;9,705;1852000;6,85083
2010-02-05;9,725;9,765;9,65;9,75;2098800;6,882596
2010-02-08;9,775;9,7875;9,71;9,715;1730000;6,857889
2010-02-09;9,755;9,865;9,72;9,81;1414000;6,92495
2010-02-10;9,86;9,9275;9,7775;9,905;1916000;6,992014
2010-02-11;9,8775;9,95;9,7725;9,95;1276000;7,023777
2010-02-12;9,8725;9,935;9,8225;9,915;2121200;6,999072
2010-02-16;9,9425;10,075;9,8975;10,065;2831200;7,104955
2010-02-17;10,0625;10,1825;10,0625;10,1475;2933200;7,163197
2010-02-18;10,6625;10,67;10,4625;10,5675;7535600;7,459675
2010-02-19;10,415;10,495;10,2075;10,385;5826400;7,330849
2010-02-22;10,44;10,47;10,3475;10,4025;2711600;7,343202
2010-02-23;10,4;10,4575;10,285;10,2975;3058400;7,269079
2010-02-24;10,3;10,405;10,295;10,3575;2748000;7,311434
2010-02-25;10,26;10,3225;10,2125;10,295;2755200;7,267314
2010-02-26;10,3325;10,36;10,2375;10,2775;2124400;7,254964
2010-03-01;10,325;10,395;10,29;10,3325;1599600;7,293787
2010-03-02;10,39;10,48;10,3325;10,4575;2898800;7,382027
2010-03-03;10,295;10,435;10,1925;10,3475;2535200;7,304377
2010-03-04;10,38;10,465;10,3625;10,45;1935200;7,376732
2010-03-05;10,5;10,5025;10,4225;10,46;2484800;7,38379
2010-03-08;10,4275;10,485;10,3775;10,42;2328400;7,355553
2010-03-09;10,425;10,455;10,38;10,42;2424800;7,355553
2010-03-10;10,455;10,455;10,345;10,4075;2031600;7,346728
2010-03-11;10,3925;10,3925;10,275;10,39;1496800;7,334378
2010-03-12;10,39;10,4;10,2675;10,3175;2466400;7,283198
2010-03-15;10,315;10,3775;10,2925;10,33;1585600;7,292022
2010-03-16;10,365;10,365;10,3075;10,3475;1366000;7,304377
2010-03-17;10,36;10,3925;10,2975;10,3925;1717600;7,336143
2010-03-18;10,3875;10,4475;10,3625;10,39;1782800;7,334378
2010-03-19;10,35;10,4375;10,2775;10,35;2388800;7,306139
2010-03-22;10,265;10,405;10,265;10,4025;1498400;7,343202
2010-03-23;10,4525;10,4575;10,3425;10,4575;1370800;7,382027
2010-03-24;10,455;10,48;10,42;10,465;1708800;7,387321
2010-03-25;10,4975;10,4975;10,3575;10,415;2067600;7,352021
2010-03-26;10,4525;10,49;10,42;10,4875;2565600;7,403203
2010-03-29;10,5;10,625;10,4875;10,61;2113600;7,489675
2010-03-30;10,63;10,63;10,495;10,55;1986000;7,447322
2010-03-31;10,5425;10,6;10,4825;10,5025;1378800;7,41379
2010-04-01;10,5225;10,5975;10,4875;10,5425;1051600;7,442025
2010-04-05;10,575;10,5925;10,4325;10,4825;1515600;7,399672
2010-04-06;10,4625;10,47;10,415;10,4475;1753200;7,374965
2010-04-07;10,45;10,4925;10,3925;10,44;1498000;7,369673
2010-04-08;10,4375;10,4375;10,3625;10,39;1508000;7,334378
2010-04-09;10,38;10,44;10,3625;10,44;1173200;7,369673
2010-04-12;10,46;10,4675;10,43;10,445;1804000;7,373201
2010-04-13;10,4325;10,4875;10,365;10,485;1595200;7,401437
2010-04-14;10,445;10,495;10,385;10,49;1426000;7,556305
2010-04-15;10,495;10,5425;10,425;10,515;1322000;7,574318
2010-04-16;10,51;10,5475;10,435;10,4575;3335600;7,5329
2010-04-19;10,445;10,47;10,4025;10,455;2135200;7,531097
2010-04-20;10,4425;10,5125;10,42;10,435;3057200;7,516691
2010-04-21;10,435;10,465;10,345;10,385;3566000;7,480676
2010-04-22;10,1325;10,1675;9,895;10,0475;5016800;7,237562
2010-04-23;10,035;10,0725;9,9425;10,005;3004800;7,206948
2010-04-26;9,995;10,0025;9,69;9,7625;5917200;7,032267
2010-04-27;9,76;9,8625;9,745;9,8025;4076400;7,061078
2010-04-28;9,815;9,9225;9,7875;9,9125;3115200;7,140317
2010-04-29;9,9375;10,1675;9,9375;10,1525;4012400;7,313197
2010-04-30;10,1375;10,3375;10,1275;10,19;4194000;7,340208
2010-05-03;10,23;10,245;10,1225;10,23;3177200;7,369023
2010-05-04;10,18;10,1925;10,02;10,0775;3e+06;7,259173
2010-05-05;10,0625;10,2425;10,05;10,195;3044000;7,343808
2010-05-06;10,2;10,2475;9,89;10,0575;5147200;7,244764
2010-05-07;10,075;10,1775;10,0175;10,055;3926800;7,242964
2010-05-10;10,265;10,3575;10,205;10,3;2565600;7,419445
2010-05-11;10,26;10,3675;10,2025;10,26;2284400;7,390635
2010-05-12;10,2625;10,325;10,2225;10,3175;2544400;7,432052
2010-05-13;10,3175;10,3875;10,2925;10,3075;1918000;7,424846
2010-05-14;10,2975;10,32;10,1875;10,245;1891200;7,379827
2010-05-17;10,245;10,3875;10,245;10,3775;2484800;7,475275
2010-05-18;10,415;10,545;10,415;10,445;3332400;7,523895
2010-05-19;10,1125;10,34;10,1025;10,17;6141600;7,325802
2010-05-20;10,09;10,1775;9,965;10,0525;4730400;7,241164
2010-05-21;9,925;10,0175;9,8375;9,9875;4329200;7,194342
2010-05-24;9,97;10,08;9,89;9,985;2435600;7,192539
2010-05-25;9,8425;9,8825;9,73;9,8825;3328400;7,118704
2010-05-26;9,985;10,05;9,915;9,915;3886400;7,142118
2010-05-27;10,02;10,02;9,905;9,9775;3792400;7,187138
2010-05-28;9,9975;10,0375;9,9175;9,95;3142800;7,167328
2010-06-01;9,895;10,1225;9,8425;10,015;2926000;7,214151
2010-06-02;10,0025;10,1975;9,9825;10,19;2996000;7,340208
2010-06-03;10,245;10,3075;10,1975;10,3025;2476400;7,421245
2010-06-04;10,1925;10,235;10,0925;10,125;3379600;7,293388
2010-06-07;10,125;10,215;10,0475;10,0925;2628800;7,269975
2010-06-08;10,0875;10,225;10,07;10,2125;3164000;7,356416
2010-06-09;10,2275;10,28;10,15;10,215;2269200;7,358218
2010-06-10;10,3175;10,4225;10,3025;10,4;1748400;7,491481
2010-06-11;10,3225;10,3775;10,28;10,375;1735200;7,473471
2010-06-14;10,4275;10,46;10,3525;10,45;2213600;7,527497
2010-06-15;10,475;10,545;10,405;10,545;1939200;7,595929
2010-06-16;10,51;10,51;10,3725;10,45;1863600;7,527497
2010-06-17;10,45;10,6675;10,445;10,655;2248800;7,675165
2010-06-18;10,6975;10,6975;10,5225;10,5375;2014400;7,590525
2010-06-21;10,6175;10,62;10,4375;10,4725;1179600;7,543702
2010-06-22;10,465;10,5575;10,3925;10,4;1222400;7,491481
2010-06-23;10,36;10,58;10,36;10,5475;2835600;7,597728
2010-06-24;10,3625;10,585;10,3625;10,5025;2275600;7,565313
2010-06-25;10,49;10,49;10,335;10,39;2872800;7,484278
2010-06-28;10,3675;10,4975;10,3325;10,48;1366400;7,549106
2010-06-29;10,4275;10,455;10,275;10,3125;2798800;7,428451
2010-06-30;10,3175;10,3175;10,0875;10,12;3833200;7,289787
2010-07-01;10,125;10,2725;10,035;10,265;3376800;7,394236
2010-07-02;10,27;10,3475;10,21;10,285;2494800;7,408641
2010-07-06;10,3175;10,42;10,285;10,375;2424400;7,473471
2010-07-07;10,35;10,46;10,315;10,46;2454000;7,534699
2010-07-08;10,5;10,515;10,44;10,505;1898800;7,567113
2010-07-09;10,5;10,5675;10,475;10,5475;1896800;7,597728
2010-07-12;10,5175;10,55;10,48;10,505;1699600;7,567113
2010-07-13;10,5625;10,6925;10,535;10,6775;2432000;7,69137
2010-07-14;10,6775;10,7125;10,6075;10,6925;1743600;7,702178
2010-07-15;10,6725;10,7175;10,59;10,7;1366000;7,707579
2010-07-16;10,665;10,6825;10,5075;10,5225;2158800;7,579721
2010-07-19;10,53;10,59;10,5175;10,5425;1829600;7,594124
2010-07-20;10,4725;10,6925;10,4625;10,6925;2284800;7,702178
2010-07-21;10,495;10,6175;10,46;10,4925;2464800;7,709524
2010-07-22;10,58;10,65;10,535;10,595;1873200;7,78484
2010-07-23;10,6;10,6975;10,59;10,69;2289600;7,854641
2010-07-26;10,66;10,9975;10,66;10,9875;4079600;8,073233
2010-07-27;11,065;11,065;10,9575;10,9725;2752800;8,062215
2010-07-28;10,9775;10,9775;10,78;10,795;1906000;7,931793
2010-07-29;10,8175;10,84;10,6375;10,68;1610400;7,847294
2010-07-30;10,595;10,76;10,57;10,73;2092000;7,884029
2010-08-02;10,7975;10,855;10,76;10,805;1753600;7,939139
2010-08-03;10,755;10,805;10,7325;10,7625;1222800;7,907909
2010-08-04;10,7725;10,83;10,7575;10,8175;2408800;7,948324
2010-08-05;10,785;10,785;10,665;10,7475;1305600;7,896889
2010-08-06;10,7075;10,7725;10,655;10,715;2019600;7,873011
2010-08-09;10,735;10,8175;10,6925;10,795;1322800;7,931793
2010-08-10;10,7675;10,99;10,74;10,895;2157200;8,005267
2010-08-11;10,75;10,7875;10,6075;10,69;2288800;7,854641
2010-08-12;10,5525;10,685;10,5525;10,6725;2245200;7,841781
2010-08-13;10,635;10,7975;10,635;10,725;1921200;7,880353
2010-08-16;10,695;10,735;10,6275;10,7325;3177600;7,885868
2010-08-17;10,81;10,93;10,75;10,86;2576400;7,97955
2010-08-18;10,87;10,9475;10,825;10,9025;2465600;8,010776
2010-08-19;10,9025;10,9175;10,765;10,8425;2840800;7,966693
2010-08-20;10,9525;11;10,82;10,87;3010000;7,986897
2010-08-23;10,9375;10,9775;10,9175;10,925;2568000;8,027311
2010-08-24;10,875;10,9;10,795;10,84;3725200;7,964854
2010-08-25;10,78;10,7925;10,6325;10,6975;3568400;7,86015
2010-08-26;10,6975;10,8175;10,6975;10,7625;2362000;7,907909
2010-08-27;10,805;10,8325;10,7075;10,78;2101200;7,920771
2010-08-30;10,7875;10,805;10,675;10,675;1748000;7,843619
2010-08-31;10,675;10,7975;10,6375;10,7875;3563200;7,926281
2010-09-01;10,845;10,9425;10,84;10,9;2615200;8,008942
2010-09-02;10,9275;10,9975;10,8525;10,9975;2004000;8,080581
2010-09-03;11,02;11,0825;10,9575;11,0825;1518400;8,143035
2010-09-07;11,01;11,1025;10,955;10,955;1680400;8,049352
2010-09-08;11,01;11,04;10,965;11,015;1377200;8,093439
2010-09-09;11,0975;11,0975;10,995;11,035;1209600;8,108134
2010-09-10;11,055;11,1375;11,0225;11,1375;1328000;8,183449
2010-09-13;11,2;11,2;11,0875;11,11;1166000;8,163241
2010-09-14;11,0975;11,1625;11,065;11,1325;2062800;8,179774
2010-09-15;11,0775;11,14;11,0125;11,135;2294800;8,181614
2010-09-16;11,135;11,1725;11,0425;11,07;1842000;8,13385
2010-09-17;11,11;11,155;10,9975;11,04;2147200;8,111811
2010-09-20;11,045;11,1125;11,04;11,0975;1568000;8,154057
2010-09-21;11,0975;11,1425;11,0125;11,125;2983200;8,174268
2010-09-22;11,1;11,1875;11,1;11,1125;1867200;8,16508
2010-09-23;11,08;11,135;11,0225;11,0875;1380000;8,146712
2010-09-24;11,135;11,25;11,115;11,2075;1394000;8,234881
2010-09-27;11,185;11,21;11,11;11,15;1328400;8,192635
2010-09-28;11,1775;11,19;11,03;11,185;2116000;8,218352
2010-09-29;11,11;11,1575;11,065;11,11;1822000;8,163241
2010-09-30;11,1575;11,2275;11,04;11,15;2197200;8,192635
2010-10-01;11,165;11,2125;11,0625;11,165;1388400;8,203652
2010-10-04;11,155;11,19;11,08;11,1525;1784800;8,194468
2010-10-05;11,1975;11,365;11,175;11,315;2244400;8,313868
2010-10-06;11,32;11,3675;11,29;11,365;1591600;8,350607
2010-10-07;11,375;11,3875;11,2925;11,295;4424400;8,299174
2010-10-08;11,32;11,405;11,2825;11,33;4840800;8,324891
2010-10-11;11,295;11,31;11,1875;11,2175;1845600;8,24223
2010-10-12;11,215;11,215;11,06;11,0725;6525600;8,135689
2010-10-13;11,1025;11,2175;11,0825;11,1975;3553600;8,227536
2010-10-14;11,1975;11,275;11,1975;11,27;2309200;8,280805
2010-10-15;11,3075;11,3375;11,1525;11,235;2791200;8,255088
2010-10-18;11,23;11,2625;11,205;11,2175;1639600;8,24223
2010-10-19;11,17;11,17;11,1025;11,16;2318000;8,199981
2010-10-20;11,1525;11,2125;11,12;11,165;1508000;8,360982
2010-10-21;11,195;11,2525;11,1725;11,1875;1244000;8,377832
2010-10-22;11,1975;11,265;11,195;11,2625;1555600;8,433997
2010-10-25;11,3;11,3675;11,255;11,27;1420800;8,439615
2010-10-26;11,265;11,2925;11,2375;11,275;1531200;8,443357
2010-10-27;11,2125;11,2625;11,15;11,2475;1211200;8,422766
2010-10-28;11,275;11,345;11,2475;11,2925;961200;8,456465
2010-10-29;11,29;11,4825;11,29;11,48;1769200;8,596874
2010-11-01;11,515;11,745;11,375;11,42;2261200;8,551944
2010-11-02;11,4825;11,5375;11,2575;11,435;2474400;8,563175
2010-11-03;11,4525;11,485;11,3575;11,4525;1002400;8,576281
2010-11-04;11,5;11,5;11,4175;11,4675;1614800;8,587516
2010-11-05;11,4675;11,5;11,4425;11,485;1484800;8,600616
2010-11-08;11,4475;11,48;11,405;11,4375;1286000;8,565049
2010-11-09;11,44;11,5;11,4125;11,435;1310000;8,563175
2010-11-10;11,435;11,475;11,375;11,4675;1174800;8,587516
2010-11-11;11,4325;11,475;11,39;11,455;1298000;8,578156
2010-11-12;11,3725;11,445;11,325;11,42;1694000;8,551944
2010-11-15;11,4375;11,56;11,4375;11,525;1629200;8,630573
2010-11-16;11,4775;11,505;11,3775;11,4;2013600;8,536965
2010-11-17;11,4;11,485;11,3575;11,4725;1634800;8,591255
2010-11-18;11,5525;11,7425;11,5475;11,725;1876800;8,780345
2010-11-19;11,75;11,9175;11,6825;11,91;2432400;8,918881
2010-11-22;11,84;11,995;11,825;11,9825;2234000;8,973176
2010-11-23;12,25;12,435;12,0225;12,2875;5420800;9,201575
2010-11-24;12,2875;12,345;12,0925;12,245;3168000;9,169752
