"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;22,618;22,700001;22,379999;22,573999;3637000;17,751629
2010-01-05;22,4;22,402;21,549999;21,724001;7804000;17,08321
2010-01-06;21,440001;21,709999;20,926001;21,054001;9618000;16,556341
2010-01-07;20,954;21,712;20,91;21,628;6298500;17,007711
2010-01-08;21,542;22,120001;21,356001;21,695999;6318000;17,061186
2010-01-11;21,761999;21,962;21,534;21,700001;3100000;17,064331
2010-01-12;21,573999;21,794001;20,955999;21,146;7038500;16,628679
2010-01-13;21,226;21,648001;21,087999;21,524;5804000;16,925934
2010-01-14;21,51;22,138;21,396;21,922001;4959500;17,238907
2010-01-15;21,882;22,006001;21,4;21,406;4206500;16,833147
2010-01-19;21,375999;21,927999;21,280001;21,816;4762500;17,155552
2010-01-20;21,667999;21,75;21,271999;21,528;4676000;16,929077
2010-01-21;21,552;21,638;20,302;20,712;11066000;16,287397
2010-01-22;20,653999;20,92;19,962;20,032;10386500;15,75266
2010-01-25;20,73;20,893999;20,18;20,184;5574500;15,872191
2010-01-26;20,087999;20,087999;19,040001;19,062;11907500;14,989877
2010-01-27;19,322001;19,469999;18,700001;19,412001;11118500;15,265114
2010-01-28;19,540001;19,548;18,9;19,068001;6062000;14,994598
2010-01-29;19,261999;19,799999;18,936001;19,096001;7461500;15,016617
2010-02-01;19,268;19,648001;18,98;19,586;5944500;15,401937
2010-02-02;19,638;20,096001;19,506001;19,808001;5744000;15,57651
2010-02-03;19,924;20,334;19,874001;19,962;4853000;15,697616
2010-02-04;19,82;19,82;18,802;19,114;9605500;15,03077
2010-02-05;19,129999;19,708;18,892;19,694;6857500;15,486862
2010-02-08;19,898001;20,132;19,408001;19,408001;8118000;15,261964
2010-02-09;19,65;19,955999;19,434;19,774;6248500;15,549773
2010-02-10;19,313999;19,587999;18,889999;19,136;11035500;15,048068
2010-02-11;19,378;20,073999;19,34;19,898001;6733000;15,64729
2010-02-12;19,733999;20,16;19,66;20,101999;4822500;15,807708
2010-02-16;20,257999;20,865999;20,222;20,832001;6140000;16,381762
2010-02-17;20,875999;20,950001;20,32;20,562;5536500;16,169443
2010-02-18;20,552;20,686001;20,327999;20,472;3133500;16,098665
2010-02-19;20,337999;20,82;20,326;20,700001;5828000;16,27796
2010-02-22;20,761999;20,844;20,518;20,552;3766500;16,161575
2010-02-23;20,431999;20,746;20,370001;20,436001;4339000;16,070353
2010-02-24;20,521999;20,902;20,502001;20,84;4109500;16,388054
2010-02-25;20,507999;21,09;20,370001;21,018;4361000;16,528025
2010-02-26;21,08;21,493999;20,926001;21,458;4721000;16,874029
2010-03-01;21,445999;21,690001;21,256001;21,618;3943000;16,999849
2010-03-02;21,674;21,934;21,52;21,638;5128000;17,015579
2010-03-03;21,676001;21,836;21,426001;21,468;4201500;16,881901
2010-03-04;21,458;21,888;21,438;21,790001;4111500;17,135109
2010-03-05;21,892;21,955999;21,67;21,888;4078500;17,21217
2010-03-08;21,860001;22,08;21,66;22,044001;2684500;17,334845
2010-03-09;21,98;22,049999;21,794001;21,941999;4824500;17,254631
2010-03-10;21,968;22,077999;21,636;22;4408000;17,300245
2010-03-11;21,958;22,396;21,888;22,332001;3558000;17,561321
2010-03-12;22,398001;22,518;21,834;22,046;4762000;17,336414
2010-03-15;21,719999;21,84;21,402;21,778;3415000;17,125673
2010-03-16;21,802;21,9;21,594;21,742001;2029000;17,097357
2010-03-17;21,85;22,059999;21,76;21,889999;2911500;17,213747
2010-03-18;21,969999;22,285999;21,716;21,908001;3108000;17,2279
2010-03-19;21,622;22,082001;21,546;21,622;4318000;17,002998
2010-03-22;21,486;22,032;21,378;21,976;2470500;17,281376
2010-03-23;22,042;22,046;21,738001;21,969999;2417000;17,276657
2010-03-24;21,93;22,25;21,742001;22,098;3467500;17,37731
2010-03-25;22,214001;22,438;21,954;21,98;3265000;17,284519
2010-03-26;22,052;22,469999;22,049999;22,216;3185500;17,470104
2010-03-29;22,298;22,4;22,066;22,271999;3769500;17,514141
2010-03-30;22,271999;22,299999;21,982;22,072001;2385500;17,356865
2010-03-31;22,063999;22,724001;22,040001;22,436001;6380500;17,643108
2010-04-01;22,546;22,792;22,378;22,535999;3868500;17,721743
2010-04-05;22,525999;22,628;22,007999;22,077999;5715000;17,361582
2010-04-06;21,784;21,813999;21,129999;21,414;7411000;16,83943
2010-04-07;21,375999;21,504;21,148001;21,233999;2956500;16,697882
2010-04-08;21,152;21,497999;21,106001;21,406;3489000;16,833147
2010-04-09;21,416;21,601999;21,323999;21,408001;2989000;16,834715
2010-04-12;21,393999;21,944;21,393999;21,716;3559000;17,076914
2010-04-13;21,75;21,896;21,656;21,784;2264500;17,130388
2010-04-14;21,864;22,153999;21,802;22,136;3617500;17,40719
2010-04-15;22,066;22,33;22,066;22,33;3201500;17,55975
2010-04-16;22,233999;22,309999;21,440001;21,502001;4925500;16,908638
2010-04-19;21,406;21,945999;21,360001;21,888;2912000;17,21217
2010-04-20;21,993999;22,5;21,778;22,483999;4692000;17,680853
2010-04-21;22,540001;22,576;22,059999;22,374001;2871500;17,594355
2010-04-22;22,233999;23,742001;22,129999;23,368;9719000;18,376005
2010-04-23;23,458;23,736;23,190001;23,652;4883500;18,599339
2010-04-26;23,700001;24,532;23,606001;24,056;7469000;18,917032
2010-04-27;24,191999;24,200001;23,124001;23,164;6112000;18,215591
2010-04-28;23,362;23,639999;23,042;23,290001;3442500;18,314676
2010-04-29;23,598;23,898001;23,202;23,764;3234500;18,68741
2010-04-30;23,636;23,870001;23,318001;23,326;3870000;18,342979
2010-05-03;23,459999;23,596001;23,200001;23,372;3133000;18,379156
2010-05-04;23,139999;23,216;22,610001;22,686001;3131000;17,839697
2010-05-05;22,58;24;22,454;23,788;5933000;18,706285
2010-05-06;23,790001;24,084;22;23,408001;8548000;18,407457
2010-05-07;23,459999;23,719999;22,698;22,936001;6483000;18,036291
2010-05-10;23,841999;24,712;23,691999;24,677999;7146000;19,40616
2010-05-11;24,493999;24,969999;24,049999;24,086;8583000;18,940626
2010-05-12;24,194;24,778;24,194;24,516001;5752500;19,27877
2010-05-13;24,511999;25;24,372;24,384001;4234000;19,174963
2010-05-14;24,256001;24,278;23,4;23,638;4776500;18,588329
2010-05-17;23,747999;23,945999;23,313999;23,872;5738000;18,772345
2010-05-18;24,007999;24,242001;22,774;22,938;6558000;18,037865
2010-05-19;22,794001;23,08;22,252001;22,804001;4858500;17,932495
2010-05-20;22,298;22,6;21,879999;21,903999;5429000;17,224756
2010-05-21;21,798;23,040001;21,586;23,018;7121000;18,100779
2010-05-24;23,108;23,559999;22,832001;22,836;5357500;17,957663
2010-05-25;22,323999;22,82;21,879999;22,780001;4997000;17,913622
2010-05-26;22,856001;23,152;22,511999;22,620001;3912500;17,787804
2010-05-27;22,886;23,49;22,886;23,469999;3914000;18,456215
2010-05-28;23,42;23,648001;23,120001;23,226;3885500;18,264341
2010-06-01;23,138;23,65;22,827999;23,166;4083000;18,217159
2010-06-02;23,414;24,299999;23,414;24,280001;7605500;19,09318
2010-06-03;24,444;24,497999;24,058001;24,243999;3967000;19,064869
2010-06-04;23,728001;24,106001;23,469999;23,58;5358000;18,542719
2010-06-07;23,732;24,086;23,375999;23,393999;3967000;18,396454
2010-06-08;23,528;23,625999;22,700001;23,214001;5484000;18,254906
2010-06-09;23,219999;23,76;22,836;22,955999;4356500;18,052019
2010-06-10;23,162001;23,837999;23,162001;23,794001;4244000;18,710999
2010-06-11;23,646;24,799999;23,646;24,681999;6052500;19,409304
2010-06-14;25,056;25,084;24,542;24,584;5655000;19,332239
2010-06-15;24,632;24,882;24,386;24,65;6359500;19,384142
2010-06-16;24,386;25,906;24,386;25,388;9850000;19,964483
2010-06-17;24,782;24,9;24,16;24,466;11812500;19,239443
2010-06-18;24,445999;24,646;24,316;24,434;5546000;19,214285
2010-06-21;24,639999;24,806;24,166;24,296;3561500;19,105766
2010-06-22;24,35;24,681999;23,837999;23,882;3334500;18,780203
2010-06-23;23,774;24,030001;23,322001;23,504;3430000;18,482948
2010-06-24;23,280001;23,389999;22,851999;22,903999;4682500;18,011129
2010-06-25;23,1;23,827999;23;23,672001;5027000;18,615065
2010-06-28;23,672001;23,9;23,17;23,6;5022000;18,558447
2010-06-29;23,32;23,396;22,615999;22,775999;5494500;17,910473
2010-06-30;22,756001;23,18;22,516001;22,606001;4210000;17,776791
2010-07-01;22,724001;22,888;21,944;22,525999;4072500;17,713875
2010-07-02;22,542;22,544001;20,952;21,246;9594000;16,707323
2010-07-06;21,52;21,577999;20,348;20,782;8047000;16,342442
2010-07-07;20,816;21,414;20,514;21,356001;7591000;16,793821
2010-07-08;21,43;21,601999;21,112;21,462;4490500;16,877178
2010-07-09;21,417999;21,639999;21,128;21,327999;4116500;16,771803
2010-07-12;21,268;21,462;21,158001;21,322001;2672500;16,767086
2010-07-13;21,542;21,719999;21,452;21,6;4050000;16,985697
2010-07-14;21,478001;21,562;20,886;21,18;6299000;16,655422
2010-07-15;21,162001;21,35;20,73;21,106001;5125500;16,597227
2010-07-16;20,860001;21,076;20,268;20,308001;4977000;15,969703
2010-07-19;20,358;20,718;20,290001;20,577999;3670000;16,18202
2010-07-20;20,601999;21,566;20,502001;21,507999;6911500;16,913349
2010-07-21;21,816;21,816;20,84;20,875999;3757000;16,416355
2010-07-22;21,16;21,497999;21,046;21,304001;2420500;16,75293
2010-07-23;21,129999;21,698;21,129999;21,672001;2425500;17,042309
2010-07-26;21,733999;21,733999;21,379999;21,6;2872000;16,985697
2010-07-27;21,694;21,780001;21,360001;21,440001;3281000;16,859877
2010-07-28;21,43;21,643999;21,290001;21,33;2012000;16,773375
2010-07-29;21,403999;21,632;21,139999;21,294001;1981000;16,745064
2010-07-30;21,134001;21,294001;20,826;21,124001;3048000;16,611382
2010-08-02;21,4;21,77;21,348;21,728001;3425500;17,086349
2010-08-03;21,65;21,686001;21,35;21,482;3871500;16,892904
2010-08-04;21,65;22,309999;21,65;22,062;5296500;17,349005
2010-08-05;22;22;21,591999;21,792;2985000;17,136684
2010-08-06;21,504;21,792;21,34;21,466;2669500;16,88032
2010-08-09;21,596001;21,733999;21,214001;21,708;3327500;17,070625
2010-08-10;21,49;21,6;21,076;21,25;5017500;16,710466
2010-08-11;20,982;20,997999;20,358;20,403999;6833500;16,045189
2010-08-12;20,176001;20,275999;19,903999;20,101999;3609500;15,807708
2010-08-13;20,063999;20,158001;19,114;19,292;9487000;15,170745
2010-08-16;19,459999;19,722;19,236;19,642;5889000;15,445972
2010-08-17;19,82;20,07;19,542;19,982;6032500;15,713343
