"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;20,790001;21,030001;20,73;20,879999;47800900;15,326554
2010-01-05;20,940001;20,99;20,6;20,870001;52357700;15,319211
2010-01-06;20,809999;20,93;20,67;20,799999;40037400;15,267831
2010-01-07;20,73;20,76;20,34;20,6;54041500;15,121026
2010-01-08;20,540001;20,889999;20,4;20,83;48234700;15,289847
2010-01-11;21,110001;21,15;20,82;20,950001;51086400;15,377935
2010-01-12;20,870001;20,9;20,379999;20,610001;69958400;15,128366
2010-01-13;20,719999;21,08;20,440001;20,959999;71446700;15,38527
2010-01-14;21,110001;21,549999;21,049999;21,48;150821600;15,766968
2010-01-15;21,389999;21,4;20,77;20,799999;198078600;15,267831
2010-01-19;20,9;21,17;20,85;21,049999;82573500;15,45134
2010-01-20;20,99;21,139999;20,85;21,08;65670100;15,473358
2010-01-21;21,15;21,309999;20,68;20,84;73633300;15,297189
2010-01-22;20,77;20,790001;19,809999;19,91;116302400;14,614544
2010-01-25;20,24;20,58;20,139999;20,32;73785600;14,9155
2010-01-26;20,18;20,379999;19,950001;20;65298900;14,680609
2010-01-27;20;20,33;19,82;20,24;74926200;14,856774
2010-01-28;20,299999;20,389999;19,68;19,92;76974600;14,621887
2010-01-29;20,129999;20,23;19,299999;19,4;96053900;14,24019
2010-02-01;19,469999;19,75;19,440001;19,610001;50338300;14,394336
2010-02-02;19,68;20,040001;19,559999;19,91;63332500;14,614544
2010-02-03;19,780001;19,879999;19,469999;19,68;45582300;14,561266
2010-02-04;19,57;19,58;18,950001;19,02;90931100;14,072933
2010-02-05;19,1;19,58;19;19,469999;88711700;14,405885
2010-02-08;19,48;19,790001;19,299999;19,35;62563200;14,317102
2010-02-09;19,639999;19,889999;19,440001;19,65;69454100;14,539072
2010-02-10;19,59;19,870001;19,450001;19,690001;56250600;14,568667
2010-02-11;19,629999;20,200001;19,549999;20,059999;58837300;14,842429
2010-02-12;19,959999;20,68;19,790001;20,43;91108900;15,116197
2010-02-16;20,620001;20,85;20,549999;20,719999;69083400;15,330763
2010-02-17;20,860001;20,860001;20,530001;20,66;47296700;15,286377
2010-02-18;20,639999;20,85;20,549999;20,84;42613600;15,419553
2010-02-19;20,719999;20,969999;20,58;20,82;40760000;15,404759
2010-02-22;20,950001;20,959999;20,65;20,870001;38730600;15,441752
2010-02-23;20,84;20,950001;20,290001;20,389999;62245300;15,086599
2010-02-24;20,52;20,809999;20,5;20,700001;51070100;15,315966
2010-02-25;20,370001;20,66;20,219999;20,629999;48789400;15,264178
2010-02-26;20,6;20,68;20,43;20,530001;47795300;15,190193
2010-03-01;20,68;20,940001;20,620001;20,870001;51203300;15,441752
2010-03-02;20,99;21,09;20,58;20,700001;59399000;15,315966
2010-03-03;20,76;20,82;20,440001;20,52;49909900;15,182787
2010-03-04;20,6;20,610001;20,26;20,530001;62750100;15,190193
2010-03-05;20,66;20,84;20,450001;20,790001;45879700;15,382565
2010-03-08;20,809999;20,879999;20,700001;20,77;35742100;15,367764
2010-03-09;20,68;21,200001;20,66;20,940001;83168700;15,493545
2010-03-10;20,950001;21,290001;20,91;21,190001;58435600;15,678525
2010-03-11;21,139999;21,27;20,99;21,25;53778700;15,722918
2010-03-12;21,309999;21,370001;21,18;21,27;39584500;15,737716
2010-03-15;21,16;21,32;21,049999;21,17;34378000;15,663724
2010-03-16;21,23;22,040001;21,200001;22,01;123060900;16,285242
2010-03-17;22,059999;22,35;21,91;22,24;77805900;16,455416
2010-03-18;22,190001;22,35;22,01;22,200001;54458500;16,425821
2010-03-19;22,25;22,389999;21,809999;21,99;77998500;16,270437
2010-03-22;21,870001;22,299999;21,84;22,24;47405700;16,455416
2010-03-23;22,389999;22,75;22,360001;22,67;64740900;16,773577
2010-03-24;22,530001;22,67;22,32;22,43;54729000;16,595995
2010-03-25;22,690001;22,73;22,309999;22,35;52428700;16,536806
2010-03-26;22,43;22,59;22,07;22,24;45700500;16,455416
2010-03-29;22,42;22,49;22,26;22,33;34467900;16,522005
2010-03-30;22,4;22,540001;22,18;22,34;37886300;16,529411
2010-03-31;22,32;22,5;22,200001;22,290001;45983800;16,492418
2010-04-01;22,4;22,639999;22,200001;22,389999;45491000;16,566406
2010-04-05;22,48;22,65;22,34;22,59;34942900;16,714384
2010-04-06;22,43;22,48;22,26;22,4;47056500;16,573801
2010-04-07;22,43;22,68;22,25;22,450001;62539800;16,610794
2010-04-08;22,379999;22,41;22,16;22,309999;40824500;16,50721
2010-04-09;22,4;22,57;22,360001;22,549999;45528700;16,684788
2010-04-12;22,690001;22,73;22,440001;22,540001;49353000;16,677393
2010-04-13;22,65;22,82;22,469999;22,77;122395600;16,84757
2010-04-14;23,57;23,690001;23,27;23,52;159980600;17,402491
2010-04-15;23,83;24,370001;23,799999;24,219999;110819600;17,920427
2010-04-16;24,059999;24,16;23,77;23,92;102974900;17,698458
2010-04-19;23,91;24,040001;23,540001;24;71310800;17,757645
2010-04-20;24,200001;24,25;23,9;24,120001;65991400;17,846432
2010-04-21;24,1;24,129999;23,540001;23,799999;73899300;17,609667
2010-04-22;23,549999;24,059999;23,32;23,99;73666100;17,750242
2010-04-23;23,950001;24,059999;23,73;24,040001;56963700;17,787243
2010-04-26;24,08;24,129999;23,809999;23,82;57727600;17,62446
2010-04-27;23,73;23,879999;23,299999;23,35;78937600;17,276709
2010-04-28;23,41;23,459999;22,91;23,26;109052100;17,210115
2010-04-29;23,33;23,51;23,299999;23,49;59059400;17,380297
2010-04-30;23,450001;23,459999;22,809999;22,84;81864000;16,899359
2010-05-03;22,98;23,440001;22,9;23,26;55449900;17,210115
2010-05-04;22,93;22,950001;22,4;22,559999;90704300;16,69219
2010-05-05;22,1;22,379999;21,9;22,17;96854100;16,519323
2010-05-06;22,15;22,379999;19,9;21,51;160695900;16,027542
2010-05-07;21,26;21,700001;20,459999;21,309999;139360500;15,878516
2010-05-10;22,290001;22,559999;22,16;22,549999;112607400;16,802464
2010-05-11;22,32;22,860001;22,1;22,280001;102689700;16,601282
2010-05-12;22,6;23,139999;22,49;23,09;83343400;17,204828
2010-05-13;23,030001;23,17;22,360001;22,5;62099000;16,765211
2010-05-14;22,190001;22,209999;21,530001;21,889999;83526200;16,310688
2010-05-17;21,75;22,049999;21,41;22,02;64550400;16,407545
2010-05-18;22,139999;22,23;21,33;21,43;76636100;15,96793
2010-05-19;21,52;21,709999;21;21,6;89530600;16,094601
2010-05-20;21,02;21,24;20,629999;20,790001;106551000;15,491056
2010-05-21;20,41;21,17;20,18;20,91;111769100;15,580472
2010-05-24;20,950001;21,219999;20,610001;20,67;56436100;15,401635
2010-05-25;20,120001;20,870001;20,030001;20,85;96151400;15,535755
2010-05-26;21,1;21,5;20,700001;20,700001;85666800;15,423989
2010-05-27;21,16;21,799999;21,120001;21,76;83236800;16,21382
2010-05-28;21,68;21,75;21,23;21,42;72712600;15,960477
2010-06-01;21,299999;21,74;21,129999;21,18;57164500;15,781652
2010-06-02;21,389999;21,83;21,16;21,809999;61537200;16,251076
2010-06-03;21,959999;22;21,469999;21,9;54614400;16,31814
2010-06-04;21,540001;21,6;20,790001;20,950001;67919400;15,610272
2010-06-07;20,940001;21,030001;20,24;20,309999;65435200;15,133395
2010-06-08;20,219999;20,23;19,74;20,18;91377800;15,036529
2010-06-09;20,389999;20,6;19,860001;19,93;58981200;14,850249
2010-06-10;20,35;20,6;20,25;20,549999;57168300;15,312223
2010-06-11;20,309999;20,75;20,280001;20,639999;49491800;15,379285
2010-06-14;20,950001;21,139999;20,82;20,889999;68877500;15,565563
2010-06-15;21,110001;21,559999;21,01;21,48;62082000;16,005184
2010-06-16;21,41;21,65;21,209999;21,49;43764600;16,012634
2010-06-17;21,59;21,690001;21,200001;21,52;37270900;16,034985
2010-06-18;21,559999;21,65;21,18;21,4;64872600;15,945574
2010-06-21;21,67;21,690001;21,059999;21,190001;48844300;15,789104
2010-06-22;21,129999;21,33;20,860001;20,98;58831100;15,632623
2010-06-23;20,940001;21,02;20,66;20,809999;61352400;15,505955
2010-06-24;20,620001;20,790001;20,200001;20,32;62003900;15,140846
2010-06-25;20,4;20,41;19,889999;20,030001;94683200;14,924761
2010-06-28;20,110001;20,59;19,91;20,360001;54468400;15,17065
2010-06-29;20;20,049999;19,65;19,790001;79050800;14,745932
2010-06-30;19,700001;20,030001;19,4;19,450001;64294700;14,49259
2010-07-01;19,43;19,620001;19;19,25;88020000;14,343565
2010-07-02;19,209999;19,370001;18,959999;19,200001;58093400;14,306311
2010-07-06;19,549999;19,76;19,25;19,48;60697600;14,514948
2010-07-07;19,459999;20,17;19,389999;20,139999;72806800;15,006718
2010-07-08;20,34;20,360001;19,83;20,1;65407600;14,976924
2010-07-09;20,059999;20,280001;19,959999;20,24;52843800;15,081238
2010-07-12;20,309999;20,65;20,299999;20,57;56587900;15,327126
2010-07-13;20,969999;22,280001;20,82;21,01;103191800;15,654981
2010-07-14;22,059999;22,25;21,280001;21,360001;199002600;15,915773
2010-07-15;21,34;21,59;21,01;21,51;118558200;16,027542
2010-07-16;21,43;21,48;21;21,02;80451500;15,662437
2010-07-19;21,17;21,610001;21,16;21,59;63430400;16,087149
2010-07-20;21,16;21,73;21,1;21,65;72666400;16,131853
2010-07-21;21,57;21,65;21,18;21,26;71775300;15,841262
2010-07-22;21,35;21,98;21,34;21,780001;74465500;16,228718
2010-07-23;21,639999;21,719999;21,33;21,690001;62115500;16,161661
2010-07-26;21,68;21,74;21,41;21,709999;50929500;16,176563
2010-07-27;21,68;21,74;21,389999;21,58;53975800;16,079699
2010-07-28;21,639999;21,690001;21,290001;21,33;51673900;15,893421
2010-07-29;21,389999;21,48;20,76;21,030001;83811400;15,669885
2010-07-30;20,77;20,92;20,58;20,6;67395900;15,349485
2010-08-02;20,9;21,280001;20,73;21,15;50316200;15,759295
2010-08-03;21,01;21,030001;20,709999;20,870001;60929200;15,550661
2010-08-04;20,809999;20,860001;20,450001;20,73;85639700;15,564178
2010-08-05;20,639999;20,790001;20,459999;20,67;44475000;15,519123
2010-08-06;20,450001;20,809999;20,41;20,65;50833800;15,504113
2010-08-09;20,790001;20,790001;20,41;20,65;46082800;15,504113
2010-08-10;20,110001;20,17;19,700001;19,82;136352400;14,880947
2010-08-11;19,530001;19,58;19,299999;19,43;99079200;14,58813
2010-08-12;19,17;19,73;19,08;19,450001;86580600;14,603145
2010-08-13;19,33;19,49;19,15;19,15;57384800;14,377904
2010-08-16;19,139999;19,559999;19,110001;19,469999;48721100;14,61816
2010-08-17;19,719999;19,870001;19,5;19,530001;60836400;14,663211
2010-08-18;19,530001;19,780001;19,469999;19,59;58982400;14,708261
2010-08-19;18,969999;19,129999;18,809999;18,9;159900400;14,190208
2010-08-20;18,92;19;18,76;18,91;95174400;14,19771
2010-08-23;18,92;18,98;18,6;18,700001;71954400;14,040048
2010-08-24;18,559999;18,68;18,389999;18,41;75107400;13,822312
2010-08-25;18,26;18,59;18,18;18,48;63350600;13,874865
2010-08-26;18,6;18,610001;18,120001;18,18;69586000;13,649629
2010-08-27;18,23;18,52;17,809999;18,370001;135184300;13,79228
2010-08-30;18,25;18,309999;17,940001;17,959999;73718900;13,484448
2010-08-31;17,879999;17,92;17,6;17,67;111601400;13,266715
2010-09-01;17,940001;18,27;17,889999;18,139999;73611500;13,619591
2010-09-02;18,23;18,33;18,08;18,280001;53192100;13,72471
2010-09-03;18,52;18,59;18,200001;18,43;59143200;13,837326
2010-09-07;18,360001;18,41;18,049999;18,120001;58636500;13,60458
2010-09-08;18,040001;18,049999;17,75;17,9;101747000;13,439403
2010-09-09;18,049999;18,08;17,93;18;65019600;13,514482
2010-09-10;17,950001;18,1;17,84;17,969999;68814700;13,491954
2010-09-13;18,219999;18,559999;18,200001;18,559999;73870900;13,934932
2010-09-14;18,530001;18,799999;18,34;18,74;64479500;14,070075
2010-09-15;18,73;18,77;18,540001;18,719999;56107300;14,055055
2010-09-16;18,700001;18,98;18,58;18,969999;69165800;14,242761
2010-09-17;19,030001;19,08;18,67;18,809999;70436600;14,122631
2010-09-20;18,889999;18,959999;18,690001;18,93;44935100;14,212734
