"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;31,09;31,15;30,77;30,809999;2353000;28,140207
2010-01-05;30,76;30,9;30,41;30,809999;3142100;28,140207
2010-01-06;30,66;30,85;30,32;30,379999;2884400;27,747465
2010-01-07;30,290001;30,6;30,120001;30,280001;3100300;27,65613
2010-01-08;30,33;31,120001;30,120001;31,08;4249700;28,386808
2010-01-11;30,93;31,41;30,93;31,219999;4011700;28,514683
2010-01-12;30,99;31,41;30,879999;31,219999;2969100;28,514683
2010-01-13;31,35;31,690001;31,200001;31,58;2618300;28,843483
2010-01-14;31,690001;31,879999;31,42;31,780001;2617000;29,026152
2010-01-15;31,719999;31,969999;31,09;31,459999;3835100;28,733879
2010-01-19;31,379999;31,92;31,299999;31,73;2161500;28,98048
2010-01-20;31,530001;31,629999;30,75;31,219999;2720100;28,514683
2010-01-21;31,209999;31,41;30,66;30,84;3110400;28,167608
2010-01-22;30,799999;30,98;30,059999;30,1;2590200;27,49173
2010-01-25;30,200001;30,549999;30,059999;30,360001;2774200;27,729198
2010-01-26;30,280001;30,49;29,98;30,030001;4020100;27,427792
2010-01-27;29,889999;30,08;29,620001;30,01;4070400;27,409525
2010-01-28;29,809999;30,07;29,4;29,66;3816100;27,089859
2010-01-29;29,889999;30;29,530001;29,610001;3805600;27,044189
2010-02-01;29,51;30,1;29,51;29,91;2725100;27,318197
2010-02-02;29,879999;30,030001;29,639999;29,959999;3239300;27,363861
2010-02-03;29,780001;30,15;29,719999;29,99;2128300;27,391268
2010-02-04;29,9;29,950001;29,26;29,26;3174200;26,724522
2010-02-05;29,379999;29,700001;29,030001;29,440001;4337100;26,88892
2010-02-08;29,4;29,549999;29,110001;29,360001;2227700;26,815857
2010-02-09;29,540001;29,709999;29,02;29,309999;3877000;26,770184
2010-02-10;29,200001;29,450001;29,07;29,389999;2102700;26,843254
2010-02-11;29,299999;29,68;29;29,6;2460700;27,035063
2010-02-12;29,059999;29,450001;29,040001;29,389999;2794600;26,843254
2010-02-16;29,469999;29,799999;29,26;29,790001;2013900;27,208591
2010-02-17;29,84;29,99;29,57;29,91;2483500;27,318197
2010-02-18;29,959999;30,35;29,879999;30,32;2737500;27,692667
2010-02-19;32,25;33,150002;32,200001;32,720001;9866000;29,884703
2010-02-22;32,599998;32,830002;32,189999;32,360001;4738500;29,555893
2010-02-23;32,240002;32,48;31,58;31,870001;5932500;29,108351
2010-02-24;31,940001;32,389999;31,92;32,27;4724600;29,47369
2010-02-25;31,799999;32,619999;31,709999;32,459999;5224800;29,647238
2010-02-26;32,490002;32,490002;32,16;32,360001;3049700;29,555893
2010-03-01;32,330002;32,950001;32,290001;32,900002;2811000;30,049101
2010-03-02;32,77;33,290001;32,75;33,130001;4445000;30,259167
2010-03-03;33,07;33,459999;33,029999;33,209999;3484000;30,332233
2010-03-04;33,279999;33,490002;32,959999;33,43;3097000;30,533176
2010-03-05;33,360001;33,93;33,360001;33,91;3588200;30,971575
2010-03-08;33,790001;34;33,740002;33,98;2938800;31,035521
2010-03-09;33,75;34,009998;33,75;33,950001;3283200;31,008118
2010-03-10;33,950001;34,549999;33,860001;34,470001;4693900;31,483063
2010-03-11;34,25;34,549999;34,25;34,540001;2652700;31,546989
2010-03-12;34,380001;34,669998;34,32;34,610001;2660700;31,610916
2010-03-15;34,439999;34,669998;34,439999;34,639999;1812400;31,638327
2010-03-16;34,650002;34,75;34,48;34,639999;2495800;31,638327
2010-03-17;34,509998;34,84;34,279999;34,529999;3349800;31,537861
2010-03-18;34,41;34,810001;34,400002;34,650002;2769500;31,647453
2010-03-19;34,75;34,970001;34,349998;34,610001;4131100;31,610916
2010-03-22;34,34;34,93;34,34;34,900002;2891400;31,875807
2010-03-23;34,77;34,84;34,419998;34,599998;2440300;31,601789
2010-03-24;34,560001;34,860001;34,560001;34,740002;3436200;31,729652
2010-03-25;34,799999;34,889999;34,400002;34,400002;3036900;31,419123
2010-03-26;34,41;34,630001;34,060001;34,240002;2977400;31,272972
2010-03-29;34,23;34,490002;34,110001;34,32;2821200;31,346043
2010-03-30;34,41;34,509998;34,189999;34,360001;2092900;31,382589
2010-03-31;34,220001;34,57;34,169998;34,32;2393700;31,346043
2010-04-01;34,369999;34,900002;34,150002;34,509998;2344700;31,519588
2010-04-05;34,549999;34,919998;34,43;34,880001;1537200;31,857517
2010-04-06;34,860001;35;34,779999;34,970001;2368600;31,939741
2010-04-07;34,889999;34,889999;34,419998;34,580002;2212600;31,583527
2010-04-08;34,580002;34,580002;34,139999;34,509998;2332100;31,519588
2010-04-09;34,459999;34,529999;34,27;34,529999;2233000;31,537861
2010-04-12;34,490002;34,650002;34,380001;34,529999;2696200;31,537861
2010-04-13;34,25;35,09;34,25;35,049999;3396700;32,012802
2010-04-14;34,950001;35,189999;34,869999;35,169998;2817100;32,122395
2010-04-15;34,98;35,43;34,889999;35,349998;3241800;32,286793
2010-04-16;35,25;35,59;35,209999;35,470001;4682100;32,396404
2010-04-19;35,310001;35,470001;35,139999;35,310001;4472000;32,250271
2010-04-20;35,34;35,5;35,25;35,43;3612100;32,359875
2010-04-21;35,43;35,75;35,27;35,720001;2578600;32,624737
2010-04-22;35,549999;36;35,23;35,990002;2582200;32,871338
2010-04-23;35,849998;36,220001;35,580002;36,189999;2419600;33,054008
2010-04-26;36,119999;36,330002;35,959999;36,18;1745600;33,044876
2010-04-27;36,150002;36,43;35,709999;35,759998;3503800;32,661263
2010-04-28;35,869999;36,119999;35,689999;35,779999;2416900;32,679531
2010-04-29;35,849998;36,32;35,650002;36,169998;1943700;33,035755
2010-04-30;36,349998;36,41;35,970001;36,189999;3356800;33,054008
2010-05-03;36,759998;37,52;36,700001;37,349998;6140100;34,113495
2010-05-04;36,950001;37,07;35,75;36,09;3862500;32,962673
2010-05-05;36,349998;36,689999;36,139999;36,639999;3792800;33,465023
2010-05-06;36,439999;36,599998;34;35,209999;5085200;32,158928
2010-05-07;35,18;35,360001;34,009998;34,009998;6592200;31,06292
2010-05-10;35,049999;35,91;34,889999;35,709999;3542800;32,615608
2010-05-11;35,549999;36,419998;35,18;35,959999;3662300;32,843933
2010-05-12;35,93;37,130001;35,779999;37,060001;3502600;33,848633
2010-05-13;36,759998;37,049999;36,310001;36,349998;3268000;33,20015
2010-05-14;36,169998;36,189999;35,299999;35,529999;5117900;32,451195
2010-05-17;35,75;36,200001;35,439999;36,07;4826400;32,944416
2010-05-18;37,060001;37,240002;36,52;36,599998;6251900;33,428482
