"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;7,45;7,62;7,4;7,53;4444300;5,874473
2010-01-05;7,54;7,54;7,41;7,45;6134700;5,812061
2010-01-06;7,4;7,46;7,32;7,45;5586100;5,812061
2010-01-07;7,37;7,45;7,19;7,26;6202400;5,663836
2010-01-08;7,27;7,3;7,08;7,27;6480800;5,671636
2010-01-11;7,25;7,47;7,22;7,47;5290500;5,827665
2010-01-12;7,41;7,41;7,23;7,29;4630700;5,687241
2010-01-13;7,31;7,45;7,19;7,38;3504500;5,757452
2010-01-14;7,4;7,46;7,14;7,22;11506600;5,632629
2010-01-15;7,17;7,24;6,98;7,16;8729100;5,58582
2010-01-19;7,18;7,21;7,07;7,12;3647900;5,554615
2010-01-20;7,03;7,16;6,95;7,15;5044800;5,57802
2010-01-21;7,24;7,33;6,98;7,01;6134600;5,468799
2010-01-22;6,99;7,02;6,81;6,85;5634000;5,343977
2010-01-25;6,94;6,94;6,76;6,78;3630100;5,289366
2010-01-26;6,73;6,82;6,63;6,66;4701300;5,195748
2010-01-27;6,61;6,63;6,38;6,47;9869000;5,047523
2010-01-28;6,5;6,67;6,46;6,52;5829200;5,086528
2010-01-29;6,56;6,61;6,41;6,46;6768800;5,039721
2010-02-01;6,52;6,65;6,47;6,6;7124600;5,148941
2010-02-02;6,63;6,76;6,52;6,72;6027600;5,242558
2010-02-03;6,73;6,88;6,59;6,69;5255000;5,219154
2010-02-04;6,63;6,67;6,37;6,41;6372200;5,000713
2010-02-05;6,57;6,57;6,21;6,39;10450500;4,985111
2010-02-08;6,44;6,51;6,29;6,35;7221600;4,953905
2010-02-09;6,44;6,5;6,31;6,4;8394300;4,992912
2010-02-10;6,36;6,66;6,33;6,5;7902000;5,070926
2010-02-11;6,49;6,76;6,4;6,73;6257700;5,250361
2010-02-12;6,7;6,74;6,6;6,72;5480200;5,242558
2010-02-16;6,82;6,9;6,77;6,87;4281600;5,359579
2010-02-17;6,84;7,02;6,84;6,98;5921900;5,445396
2010-02-18;6,98;7,12;6,92;7,09;4649300;5,531211
2010-02-19;7,05;7,19;7,02;7,11;3164100;5,546813
2010-02-22;7,15;7,18;6,96;7,06;3209600;5,507806
2010-02-23;7,07;7,07;6,76;6,85;6859700;5,343977
2010-02-24;6,86;6,96;6,76;6,82;8647700;5,320572
2010-02-25;6,68;6,77;6,59;6,75;13394300;5,265963
2010-02-26;6,89;7,71;6,77;7,5;32287700;5,851069
2010-03-01;7,52;8,39;7,52;8,26;25938400;6,443978
2010-03-02;8,18;8,37;8,1;8,17;10363400;6,373766
2010-03-03;8,2;8,39;8,1;8,18;8881400;6,381567
2010-03-04;8,22;8,33;8,12;8,29;6049600;6,467383
2010-03-05;8,33;8,56;8,32;8,45;10231300;6,592206
2010-03-08;8,45;8,66;8,37;8,51;7680800;6,639014
2010-03-09;8,41;8,56;8,37;8,52;5570100;6,646816
2010-03-10;8,47;8,65;8,35;8,58;3646900;6,693623
2010-03-11;8,56;8,6;8,18;8,53;3331300;6,654615
2010-03-12;8,49;8,56;8,33;8,42;8964700;6,568802
2010-03-15;8,44;8,5;8,22;8,34;6364200;6,506389
2010-03-16;8,36;8,43;8,29;8,43;2755800;6,576602
2010-03-17;8,45;8,58;8,42;8,54;5708600;6,662416
2010-03-18;8,51;8,69;8,48;8,64;6078400;6,740433
2010-03-19;8,61;8,75;8,53;8,61;5120300;6,717026
2010-03-22;8,53;8,79;8,43;8,73;5040800;6,810644
2010-03-23;8,74;8,87;8,46;8,79;5494600;6,857454
2010-03-24;8,73;8,73;8,39;8,53;9068700;6,654615
2010-03-25;8,65;8,65;8,36;8,39;4007800;6,545396
2010-03-26;8,4;8,57;8,33;8,33;5181500;6,498588
2010-03-29;8,38;8,55;8,3;8,49;5037000;6,623411
2010-03-30;8,49;8,58;8,34;8,5;4349200;6,631211
2010-03-31;8,49;8,59;8,31;8,32;4942700;6,490785
2010-04-01;8,4;8,5;8,3;8,49;4105700;6,623411
2010-04-05;8,5;8,67;8,45;8,67;3438300;6,763837
2010-04-06;8,62;8,67;8,52;8,52;4502700;6,646816
2010-04-07;8,53;8,62;8,48;8,54;3771000;6,662416
2010-04-08;8,51;8,52;8,34;8,47;3943700;6,607807
2010-04-09;8,49;8,82;8,41;8,72;6470200;6,802843
2010-04-12;8,77;8,82;8,65;8,77;4748000;6,841851
2010-04-13;8,77;8,84;8,62;8,64;2656200;6,740433
2010-04-14;8,64;9,29;8,64;9,05;11565100;7,060291
2010-04-15;9,05;9,3;8,96;9,22;5203700;7,192916
2010-04-16;9,17;9,24;8,9;8,96;4968200;6,990077
2010-04-19;8,93;9,09;8,72;9,06;5215300;7,068092
2010-04-20;9,44;9,93;9,43;9,74;16509800;7,598589
2010-04-21;9,77;9,8;9,48;9,64;9949000;7,520575
2010-04-22;9,6;9,86;9,5;9,85;6213100;7,684404
2010-04-23;9,86;9,89;9,66;9,73;6346700;7,590786
2010-04-26;9,78;9,89;9,74;9,87;6090200;7,700006
2010-04-27;9,77;9,83;9,36;9,42;8140600;7,348944
2010-04-28;9,52;9,62;9,17;9,27;10484900;7,231923
2010-04-29;9,06;9,7;9,06;9,5;12983500;7,411353
2010-04-30;9,53;9,56;8,86;8,91;11853500;6,951069
2010-05-03;8,98;9,08;8,9;8,99;7390200;7,013482
2010-05-04;8,88;8,89;8,25;8,45;10895000;6,592206
2010-05-05;8,37;8,55;8,16;8,4;10946100;6,553197
2010-05-06;8,34;12,25;7,43;8,05;11172900;6,280147
2010-05-07;8,35;8,35;7,5;7,72;9367100;6,022702
2010-05-10;8,14;8,51;7,84;8,36;12120200;6,521991
2010-05-11;8,2;8,35;8,09;8,17;6541600;6,373766
2010-05-12;8,21;8,48;8,18;8,42;6080900;6,568802
2010-05-13;8,37;8,6;8,26;8,38;7677400;6,537593
2010-05-14;8,29;8,34;7,92;8,05;5864700;6,280147
2010-05-17;8,06;8,2;7,84;8,09;4850300;6,311354
2010-05-18;8,19;8,28;7,94;8,04;7524900;6,272347
2010-05-19;7,98;8,03;7,77;7,9;8150000;6,163126
2010-05-20;7,65;7,88;7,53;7,58;10432800;5,913481
2010-05-21;7,44;7,83;7,28;7,77;11009200;6,061707
2010-05-24;8,2;8,2;7,68;7,87;11421600;6,139722
2010-05-25;7,62;7,83;7,32;7,8;13723400;6,085112
2010-05-26;7,83;8,27;7,82;7,92;12867800;6,178729
2010-05-27;8,05;8,61;8,05;8,58;10759200;6,693623
2010-05-28;8,56;8,61;8,31;8,35;8118700;6,51419
2010-06-01;8,22;8,41;7,92;7,92;7126900;6,178729
2010-06-02;7,99;8,3;7,95;8,12;9497300;6,334757
2010-06-03;8,13;8,49;8,06;8,31;8005900;6,482986
2010-06-04;8,06;8,29;7,78;7,84;6170200;6,116319
2010-06-07;7,84;7,96;7,52;7,52;6428300;5,866673
2010-06-08;7,55;7,66;7,34;7,64;8641900;5,960289
2010-06-09;7,69;7,93;7,53;7,66;6019600;5,975891
2010-06-10;7,85;8,08;7,81;8,07;5146900;6,29575
2010-06-11;7,95;8,06;7,88;7,98;3686500;6,225539
2010-06-14;8,08;8,17;7,95;7,97;4240200;6,217737
2010-06-15;8,1;8,14;7,98;8,09;6538900;6,311354
2010-06-16;8;8,11;7,89;8,06;6980600;6,287949
2010-06-17;8,04;8,28;7,99;8,27;4798000;6,451779
2010-06-18;8,27;8,4;8,24;8,32;5628800;6,490785
2010-06-21;8,43;8,58;8,29;8,31;5894600;6,482986
2010-06-22;8,29;8,39;8,16;8,16;5429300;6,365963
2010-06-23;8,16;8,32;8,08;8,25;5063500;6,436177
2010-06-24;8,19;8,29;7,95;7,96;5122400;6,209936
2010-06-25;8,01;8,05;7,71;7,71;16574900;6,0149
2010-06-28;7,73;7,87;7,46;7,53;9861400;5,874473
2010-06-29;7,35;7,44;7,19;7,27;7402400;5,671636
2010-06-30;7,27;7,39;7,1;7,13;7473000;5,562417
2010-07-01;7,19;7,2;6,95;7;11000800;5,460999
2010-07-02;7,18;7,2;6,86;6,93;4645800;5,406389
2010-07-06;7,01;7,24;6,99;7,1;7853800;5,539012
2010-07-07;7,14;7,35;7,06;7,31;5149000;5,702842
2010-07-08;7,49;7,67;7,38;7,63;7724900;5,952488
2010-07-09;7,67;7,75;7,58;7,72;3483000;6,022702
2010-07-12;7,66;7,8;7,57;7,68;3390200;5,991495
2010-07-13;7,78;7,9;7,65;7,9;9756000;6,163126
2010-07-14;7,84;7,89;7,71;7,85;4401100;6,124119
2010-07-15;7,86;7,92;7,66;7,83;3180400;6,108516
2010-07-16;7,73;7,78;7,31;7,32;6811700;5,710644
2010-07-19;7,35;7,56;7,33;7,54;5518500;5,882276
2010-07-20;7,5;7,98;7,5;7,88;7684700;6,147523
2010-07-21;7,88;7,9;7,62;7,64;5159400;5,960289
2010-07-22;7,77;8,07;7,77;8,03;2988400;6,264544
2010-07-23;8;8,25;7,98;8,18;5399200;6,381567
2010-07-26;8,19;8,38;8,11;8,38;5173700;6,537593
2010-07-27;8,4;8,44;8,26;8,32;5072100;6,490785
2010-07-28;8,26;8,36;8,2;8,25;3592500;6,436177
2010-07-29;9,1;9,14;8,54;8,98;19311700;7,00568
2010-07-30;8,8;9,25;8,31;9,14;8017600;7,130504
2010-08-02;9,34;9,4;9,16;9,21;8751600;7,185112
2010-08-03;9,1;9,17;8,87;8,94;8144600;6,974473
2010-08-04;9,02;9,19;8,99;9,16;5170000;7,146104
2010-08-05;9,07;9,55;9,03;9,39;7728500;7,325539
2010-08-06;9,27;9,38;9,06;9,29;9322500;7,247523
2010-08-09;9,38;9,59;9,24;9,59;6042400;7,481567
2010-08-10;9,46;9,55;9,3;9,32;7721600;7,270929
2010-08-11;9,03;9,18;8,85;8,89;6187700;6,935467
2010-08-12;8,69;8,81;8,57;8,69;6905300;6,779439
2010-08-13;8,63;8,75;8,6;8,64;2697900;6,740433
2010-08-16;8,54;8,67;8,49;8,57;4498600;6,685821
2010-08-17;8,62;8,75;8,56;8,66;3949100;6,756036
2010-08-18;8,65;8,85;8,5;8,65;4655500;6,748232
2010-08-19;8,6;8,68;8,46;8,53;6288300;6,654615
2010-08-20;8,44;8,66;8,37;8,57;4458900;6,685821
2010-08-23;8,64;8,67;8,35;8,41;4311000;6,560999
2010-08-24;8,23;8,57;8,19;8,43;7644400;6,576602
2010-08-25;8,33;8,59;8,28;8,55;4535600;6,67022
2010-08-26;8,56;8,65;8,42;8,6;7638600;6,709226
2010-08-27;8,7;8,8;8,55;8,69;10252200;6,779439
2010-08-30;8,66;8,71;8,43;8,48;8007600;6,615609
2010-08-31;8,44;8,6;8,4;8,53;8310700;6,654615
2010-09-01;8,68;8,89;8,58;8,81;4799700;6,873056
2010-09-02;8,88;9,11;8,75;9,03;5642700;7,044686
2010-09-03;9,18;9,24;9;9,2;4041100;7,177311
2010-09-07;9,05;9,2;8,99;9;4969100;7,021284
