"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;23,57;23,58;23,15;23,34;4254200;16,132046
2010-01-05;23,309999;23,549999;23,23;23,469999;2711400;16,221903
2010-01-06;23,41;23,440001;22,969999;22,98;3562500;15,883221
2010-01-07;22,93;23,1;22,77;23,049999;2739000;15,931602
2010-01-08;22,85;23,030001;22,65;22,92;2378900;15,841748
2010-01-11;22,98;23,700001;22,98;23,629999;2405000;16,332493
2010-01-12;23,459999;23,700001;23,01;23,290001;2053200;16,097486
2010-01-13;23,450001;23,68;23,15;23,379999;3122000;16,159697
2010-01-14;23,309999;23,35;22,780001;23;3551900;15,897047
2010-01-15;22,799999;22,99;22,49;22,709999;2528600;15,696608
2010-01-19;22,67;23,200001;22,530001;23,030001;1990700;15,917782
2010-01-20;22,9;22,9;22,26;22,41;2734500;15,489253
2010-01-21;22,4;22,6;21,450001;21,450001;4307700;14,825721
2010-01-22;21,469999;21,66;20,76;20,83;4648400;14,397189
2010-01-25;21,25;21,459999;20,93;21,17;3708300;14,632196
2010-01-26;20,84;21,040001;20,32;20,33;4312800;14,051607
2010-01-27;20,459999;21,690001;20,27;21,690001;8292400;14,991606
2010-01-28;21,84;21,84;20,040001;20,209999;10000600;13,968668
2010-01-29;20,66;20,66;19,110001;19,299999;9763000;13,339693
2010-02-01;19,290001;20,120001;19,26;20,049999;6031500;13,858077
2010-02-02;20,08;20,360001;19,83;20,24;4188800;13,989405
2010-02-03;19,98;20,290001;19,450001;19,57;3762000;13,526308
2010-02-04;19,35;19,540001;18,549999;18,59;6453900;12,84896
2010-02-05;18,780001;19,1;17,74;18,58;8635300;12,842048
2010-02-08;18,549999;19,110001;18,309999;18,32;4827400;12,662341
2010-02-09;18,66;19,17;18,51;18,610001;7248200;12,862787
2010-02-10;18,530001;18,99;18,530001;18,75;5659000;12,959549
2010-02-11;18,780001;18,780001;18,32;18,51;5129100;12,793666
2010-02-12;18,299999;18,5;18,049999;18,440001;3609900;12,745286
2010-02-16;18,709999;19,16;18,52;19,139999;3922700;13,229107
2010-02-17;19,290001;19,379999;19,059999;19,16;3683800;13,242931
