"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;23,4;23,860001;23,24;23,85;493100;20,864786
2010-01-05;23,799999;23,879999;23,34;23,469999;344300;20,532356
2010-01-06;23,52;23,540001;23,33;23,43;288000;20,497356
2010-01-07;23,370001;23,43;23,15;23,41;279300;20,47986
2010-01-08;23,41;23,41;23,049999;23,200001;245500;20,296143
2010-01-11;23,18;23,219999;22,879999;23,02;222200;20,13868
2010-01-12;22,889999;23,049999;22,690001;22,92;325500;20,051191
2010-01-13;23,049999;23,35;22,93;23,25;316200;20,339886
2010-01-14;23,120001;23,469999;23,120001;23,43;173000;20,497356
2010-01-15;23,540001;23,540001;23,01;23,200001;517800;20,296143
2010-01-19;23,15;23,549999;23,120001;23,52;335000;20,576092
2010-01-20;23,32;23,35;22,809999;23,17;306000;20,269905
2010-01-21;23,25;23,360001;22,65;22,889999;402300;20,024948
2010-01-22;22,92;23,049999;22,389999;22,440001;376500;19,631275
2010-01-25;22,57;22,610001;22,25;22,379999;273300;19,578781
2010-01-26;22,32;22,43;22,139999;22,17;424800;19,395065
2010-01-27;22,030001;22,370001;22,030001;22,26;569100;19,473806
2010-01-28;22,23;22,23;21,65;21,85;525400;19,115118
2010-01-29;21,91;22,139999;21,879999;21,959999;749600;19,211348
2010-02-01;22,02;22,540001;21,950001;22,5;733100;19,683764
2010-02-02;22,469999;23,059999;22,280001;22,76;853100;19,911222
2010-02-03;22,77;23,74;22,32;22,610001;833200;19,779993
2010-02-04;22,51;22,51;21,959999;22,049999;652000;19,290091
2010-02-05;22,01;22,08;21,360001;21,75;675500;19,027634
2010-02-08;21,73;21,73;21,4;21,440001;495500;18,756443
2010-02-09;21,709999;21,82;21,4;21,48;606200;18,791428
2010-02-10;21,370001;21,52;21,030001;21,309999;534200;18,642706
2010-02-11;21,209999;21,629999;21,01;21,59;380000;18,887661
2010-02-12;21,379999;21,59;21,32;21,58;398000;18,878908
2010-02-16;22,98;22,98;21,950001;22,190001;765200;19,412569
2010-02-17;22,18;22,52;22,129999;22,52;483900;19,70126
2010-02-18;22,58;22,709999;22,41;22,709999;356700;19,867479
2010-02-19;22,74;22,860001;22,49;22,67;551600;19,832487
2010-02-22;22,67;22,77;22,389999;22,6;991500;19,854448
2010-02-23;22,469999;22,639999;22,26;22,450001;623400;19,722677
2010-02-24;22,58;22,68;22,370001;22,67;447700;19,915941
2010-02-25;22,33;22,6;22,190001;22,58;469200;19,836876
2010-02-26;22,65;22,709999;22,370001;22,58;561100;19,836876
2010-03-01;22,700001;23,15;22,690001;23,040001;640200;20,240995
2010-03-02;22,99;23,25;22,99;23,200001;521000;20,381554
2010-03-03;23,25;23,35;23,049999;23,129999;394600;20,320061
2010-03-04;23,23;23,469999;23,02;23,42;502100;20,574829
2010-03-05;23,459999;23,700001;23,42;23,700001;525300;20,820814
2010-03-08;23,610001;23,700001;23,5;23,59;483900;20,724174
2010-03-09;23,549999;23,75;23,459999;23,549999;419000;20,689037
2010-03-10;23,469999;23,73;23,389999;23,57;432800;20,706606
2010-03-11;23,370001;23,67;23,35;23,67;570700;20,79446
2010-03-12;23,66;23,83;23,49;23,83;655300;20,935024
2010-03-15;23,530001;23,950001;23,51;23,950001;848900;21,040445
2010-03-16;23,9;24,559999;23,82;24,549999;1182300;21,567556
2010-03-17;24,65;24,790001;24,450001;24,76;866000;21,752041
2010-03-18;24,620001;24,77;24,450001;24,58;763400;21,593904
2010-03-19;24,76;24,879999;24,4;24,49;847100;21,514835
2010-03-22;24,41;24,790001;24,299999;24,719999;520500;21,716896
2010-03-23;24,799999;24,82;24,549999;24,799999;541300;21,787184
2010-03-24;24,75;24,83;24,299999;24,299999;451400;21,347923
2010-03-25;24,549999;24,719999;24,219999;24,24;417800;21,295216
2010-03-26;24,280001;24,43;24,09;24,18;442200;21,242506
2010-03-29;24,18;24,360001;24,07;24,290001;412700;21,339142
2010-03-30;24,370001;24,469999;24,110001;24,209999;352200;21,268858
2010-03-31;24,08;24,25;24,02;24,059999;462300;21,137077
2010-04-01;24,23;24,360001;24,129999;24,35;425800;21,391853
2010-04-05;24,48;24,74;24,33;24,74;416100;21,734472
2010-04-06;24,559999;24,790001;24,530001;24,74;666700;21,734472
2010-04-07;24,719999;24,73;24,370001;24,530001;532200;21,549978
2010-04-08;24,4;24,610001;24,309999;24,5;427700;21,52363
2010-04-09;24,48;24,709999;24,360001;24,709999;351800;21,708109
2010-04-12;24,66;24,73;24,48;24,65;356700;21,655401
2010-04-13;24,639999;24,639999;24,440001;24,58;157900;21,593904
2010-04-14;24,620001;24,799999;24,540001;24,799999;269500;21,787184
2010-04-15;24,73;25,040001;24,709999;25,01;353800;21,971672
2010-04-16;25,02;25,18;24,809999;24,950001;336000;21,918957
2010-04-19;24,809999;24,969999;24,51;24,719999;336600;21,716896
2010-04-20;24,860001;25,129999;24,66;25,129999;211900;22,077095
2010-04-21;25,129999;25,290001;24,9;25,209999;415200;22,147375
2010-04-22;24,91;25,32;24,83;25,309999;278500;22,23522
2010-04-23;25,389999;25,49;25,1;25,48;286600;22,384571
2010-04-26;25,42;25,709999;25,33;25,59;343900;22,481209
2010-04-27;25,530001;25,799999;25,41;25,5;663000;22,402143
2010-04-28;25,559999;25,780001;25,389999;25,610001;479200;22,498779
2010-04-29;25,799999;25,85;25,530001;25,790001;315000;22,656919
2010-04-30;25,790001;25,9;25,52;25,52;766600;22,419708
2010-05-03;25,690001;26,049999;25,52;26,030001;484400;22,867754
2010-05-04;25,66;25,93;25,299999;25,459999;604900;22,366999
2010-05-05;25,4;25,469999;24,59;25,309999;447800;22,23522
2010-05-06;25,24;26,5;25,139999;25,51;1819100;22,410929
2010-05-07;25,530001;25,690001;24,370001;24,459999;1665200;21,488482
2010-05-10;25,26;25,5;24,799999;25,16;683500;22,103449
2010-05-11;24,889999;25,17;24,5;25;552700;21,962887
2010-05-12;25,15;25,57;25,07;25,52;730600;22,419708
2010-05-13;25,360001;25,559999;25,209999;25,299999;542800;22,309486
2010-05-14;25,25;25,48;24,83;25,07;413200;22,106674
2010-05-17;25,23;25,52;24,58;25,09;509600;22,12431
2010-05-18;25,25;25,51;24,65;24,74;494000;21,815683
2010-05-19;24,700001;24,950001;24,370001;24,67;452200;21,753956
2010-05-20;24,360001;24,4;23,4;23,450001;676800;20,678162
2010-05-21;23,25;23,68;22,860001;23,620001;688400;20,828072
2010-05-24;23,49;23,610001;23,24;23,299999;343000;20,545891
2010-05-25;22,85;23,360001;22,65;23,280001;580200;20,528259
2010-05-26;23,370001;23,99;23,299999;23,559999;666400;20,775158
2010-05-27;24,02;24,5;23,940001;24,23;375700;21,365961
2010-05-28;24,25;24,450001;23,82;24,040001;482100;21,198423
2010-06-01;24;24,110001;23,549999;23,549999;460700;20,766338
2010-06-02;23,73;24,129999;23,26;24,129999;399400;21,277786
2010-06-03;24,02;24,34;23,969999;24,27;390200;21,401234
2010-06-04;23,77;24,309999;23,280001;23,32;593300;20,563528
2010-06-07;23,32;23,49;22,91;22,940001;399800;20,228447
2010-06-08;22,9;23,030001;22,549999;23,01;444300;20,290167
2010-06-09;23,209999;23,41;22,99;23,059999;372300;20,334265
2010-06-10;23,43;23,719999;23,15;23,709999;331500;20,907427
2010-06-11;23,379999;24,059999;23,379999;24,059999;335400;21,216053
2010-06-14;24,35;24,549999;24,200001;24,32;480400;21,445328
2010-06-15;24,549999;25;24,370001;24,969999;496200;22,018497
2010-06-16;24,799999;25,17;24,77;24,98;373500;22,027313
2010-06-17;25;25,200001;24,9;25,17;324600;22,194855
