"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;64,709999;64,989998;64,410004;64,68;9506200;47,853607
2010-01-05;64,580002;64,620003;63,82;63,93;10673100;47,298725
2010-01-06;63,900002;64,540001;63,830002;64,449997;13171500;47,683441
2010-01-07;64,25;64,349998;63,740002;63,990002;10901600;47,343109
2010-01-08;63,919998;64,260002;63,630001;64,209999;7898000;47,505871
2010-01-11;64,75;64,75;64,010002;64,220001;7975700;47,513279
2010-01-12;64,129997;64,720001;64,019997;64,559998;10820700;47,764824
2010-01-13;64,540001;65,230003;64,540001;64,970001;13023800;48,068165
2010-01-14;65,199997;65,269997;64,75;65,099998;7899000;48,164345
2010-01-15;65,139999;65,199997;63,98;64,559998;20995000;47,764824
2010-01-19;64,139999;65,75;64,110001;65,349998;15181800;48,349316
2010-01-20;65,470001;65,949997;64,470001;65,150002;13033000;48,201332
2010-01-21;65,07;65,470001;63,799999;63,970001;14473900;47,328312
2010-01-22;63,91;64,190002;63,09;63,200001;14017200;46,758629
2010-01-25;63,669998;63,700001;63,049999;63,220001;10001700;46,773422
2010-01-26;62,639999;63,009998;62,220001;62,790001;15630300;46,455292
2010-01-27;62,779999;63,720001;62,700001;63,439999;14982400;46,936184
2010-01-28;63,57;64,07;63,040001;63,799999;17096000;47,202534
2010-01-29;63,950001;64,269997;62,82;62,860001;17844400;46,507072
2010-02-01;63,259998;63,259998;62,77;63,09;10153400;46,677246
2010-02-02;63,200001;64,199997;62,630001;63,990002;13609300;47,343109
2010-02-03;63,869999;63,869999;63,290001;63,630001;9255900;47,076782
2010-02-04;63,490002;63,619999;62,619999;62,639999;18397000;46,344315
2010-02-05;62,689999;63,599998;61,889999;62,639999;16775200;46,344315
2010-02-08;62,5;62,98;62,259998;62,369999;10081200;46,144547
2010-02-09;62,549999;63,470001;62,470001;62,759998;11356400;46,433094
2010-02-10;62,790001;63,07;62,209999;62,73;10115800;46,410896
2010-02-11;62,619999;63,209999;62,259998;62,91;8353600;46,544075
2010-02-12;62,610001;63;62,110001;62,720001;12335800;46,4035
2010-02-16;63,25;63,709999;62,82;63,610001;10212400;47,061962
2010-02-17;63,630001;64,360001;63,610001;63,98;9485500;47,335709
2010-02-18;63,98;64,699997;63,950001;64,529999;8260600;47,742622
2010-02-19;64,150002;64,459999;63,619999;63,810001;14222300;47,571175
2010-02-22;63,810001;64,099998;63,389999;63,490002;9839700;47,332592
2010-02-23;63,560001;63,849998;63,23;63,310001;12481400;47,19841
2010-02-24;63,549999;63,849998;63,25;63,450001;8519300;47,30278
2010-02-25;62,790001;63,349998;62,52;63,279999;10528900;47,176041
2010-02-26;63,459999;63,59;63;63;9357800;46,9673
2010-03-01;63,27;63,459999;63,169998;63,389999;9219400;47,258053
2010-03-02;63,310001;63,639999;63,02;63,439999;9014000;47,295315
2010-03-03;63,59;63,75;63,220001;63,400002;9360400;47,265511
2010-03-04;63,529999;63,700001;63,369999;63,57;8067200;47,392246
2010-03-05;63,66;64,07;63,549999;64,040001;10633600;47,74263
