"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;41,790001;42,990002;41,669998;42,849998;35460500;33,283356
2010-01-05;42,790001;43,84;42,779999;43,68;41208300;33,928047
2010-01-06;43,450001;44,09;43,310001;43,919998;27729000;34,114464
2010-01-07;43,790001;45,119999;43,610001;44,790001;44864700;34,790226
2010-01-08;44,369999;44,700001;44,080002;44,68;33110100;34,704784
2010-01-11;45,119999;45,189999;44,310001;44,529999;31878700;34,588276
2010-01-12;43,990002;44,150002;42,939999;43,490002;47109600;33,780468
2010-01-13;43,549999;44,529999;42,869999;44,25;39622000;34,370773
2010-01-14;44,200001;44,790001;44,099998;44,689999;37938300;34,712547
2010-01-15;44,299999;44,43;43,34;43,68;69738500;33,928047
2010-01-19;43,400002;43,75;42,900002;43,279999;41731500;33,617348
2010-01-20;43,009998;43,68;42,709999;43,400002;39934400;33,710548
2010-01-21;43,040001;43,150002;40,32;40,540001;137547700;31,489079
2010-01-22;40,650002;41,200001;38,82;39,16;106634900;30,417173
2010-01-25;39,759998;39,889999;38,84;39,209999;56572200;30,456015
2010-01-26;39;39,84;38,279999;38,439999;52975300;29,857925
2010-01-27;38,349998;39,490002;38,07;39,330002;66314300;30,549217
2010-01-28;39,68;40,040001;38,720001;39,48;65047400;30,665737
2010-01-29;39,650002;39,849998;38,799999;38,939999;53649000;30,246277
2010-02-01;39,099998;39,93;38,950001;39,630001;37408200;30,782246
2010-02-02;39,799999;40,68;39,700001;40,549999;45968500;31,496841
2010-02-03;40,580002;41,099998;40,169998;40,290001;37373300;31,294903
2010-02-04;39,790001;39,919998;38,349998;38,349998;57211800;29,788013
2010-02-05;38,639999;38,880001;37,029999;38,299999;75224100;29,749176
2010-02-08;38,290001;38,290001;37,32;37,700001;58321000;29,283138
2010-02-09;38,189999;38,700001;37,84;38,389999;45173500;29,819082
2010-02-10;38,639999;39,5;38,52;38,869999;39331800;30,191925
2010-02-11;38,84;39,369999;38,360001;39,02;33830600;30,308441
2010-02-12;38,669998;39,18;38,360001;38,950001;38051100;30,254065
2010-02-16;39,330002;40,139999;38,75;40,07;46425300;31,124012
2010-02-17;40,259998;40,450001;39,759998;40,040001;34644100;31,100706
2010-02-18;39,939999;40,509998;39,77;40,41;31809500;31,388113
2010-02-19;40,110001;40,700001;39,900002;40,029999;40290200;31,092937
2010-02-22;40,400002;41,299999;40,25;40,849998;43898900;31,729868
2010-02-23;40,900002;41,25;39,759998;39,880001;52233100;30,976442
2010-02-24;40,049999;40,970001;40;40,849998;44645000;31,729868
2010-02-25;40,16;40,689999;39,700001;40,639999;46718100;31,566759
2010-02-26;40,689999;42,310001;40,599998;41,970001;67699100;32,599812
2010-03-01;42,029999;42,18;41,41;41,830002;34606800;32,491081
2010-03-02;41,98;42,400002;41,360001;41,619999;33891600;32,327961
2010-03-03;41,650002;42,060001;41,34;41,529999;27562500;32,258053
2010-03-04;41,91;42,080002;41,66;41,919998;25450700;32,560978
2010-03-05;42,32;42,869999;42,189999;42,810001;34790800;33,252285
2010-03-08;42,849998;43,029999;42,470001;42,59;28524900;33,081394
2010-03-09;42,389999;42,82;42,049999;42,419998;37107100;32,949352
2010-03-10;42,869999;43,490002;42,810001;42,93;40903700;33,345486
2010-03-11;42,91;43,200001;42,799999;43,18;30119600;33,539669
2010-03-12;43,34;43,540001;42,849998;43,150002;31367300;33,51638
2010-03-15;42,919998;43,209999;42,599998;43,07;29142000;33,454227
2010-03-16;43,349998;43,380001;42,689999;43,240002;28553800;33,586296
2010-03-17;43,310001;44,110001;43,27;43,790001;32918800;34,013485
2010-03-18;43,75;43,790001;43,150002;43,639999;26012000;33,896965
2010-03-19;43,450001;43,889999;43,130001;43,450001;37014400;33,749382
2010-03-22;43,07;43,790001;43,040001;43,740002;23257200;33,974648
2010-03-23;43,849998;44,740002;43,779999;44,580002;33735700;34,627121
2010-03-24;44,439999;44,970001;44,200001;44,939999;35849200;34,906742
2010-03-25;44,98;46,049999;44,889999;44,939999;45019400;34,906742
2010-03-26;45,040001;45,889999;44,790001;45,02;39727000;34,96888
2010-03-29;45,25;45,380001;44,459999;44,860001;30628400;34,844604
2010-03-30;44,900002;45,049999;44,360001;44,580002;30296300;34,627121
2010-03-31;44,310001;45;44,25;44,75;39043000;34,759159
2010-04-01;45,029999;45,310001;44,990002;45,18;23894600;35,13242
2010-04-05;45,279999;45,400002;44,790001;45,34;21342400;35,256832
2010-04-06;45,23;45,939999;45,150002;45,84;28192100;35,645626
2010-04-07;45,830002;46,049999;45,02;45,32;28890100;35,241283
2010-04-08;45,16;45,970001;44,810001;45,759998;28869900;35,583439
2010-04-09;45,880001;46,220001;45,450001;45,98;22881200;35,754501
2010-04-12;46,029999;46,470001;45,900002;46,139999;24645900;35,878914
2010-04-13;46,040001;46,380001;45,849998;45,869999;27988900;35,668957
2010-04-14;47,400002;47,93;46,779999;47,73;72533100;37,115318
2010-04-15;47,650002;48,200001;47,490002;47,810001;45412100;37,177532
2010-04-16;47,669998;47,75;45,139999;45,549999;121203900;35,42012
2010-04-19;45,23;45,700001;44,59;45,389999;72136600;35,295715
2010-04-20;45,77;46,150002;45,560001;45,880001;39310700;35,676743
2010-04-21;46,040001;46,389999;45;45,349998;46320600;35,26461
2010-04-22;44,91;45,119999;44,029999;44,740002;63176900;34,79026
2010-04-23;44,73;45,07;44,25;44,939999;32483800;34,945782
2010-04-26;44,779999;44,810001;43,73;43,889999;42889300;34,129295
2010-04-27;43,48;44,369999;42,299999;42,41;66296100;32,978432
2010-04-28;42,84;43,709999;42,779999;43,459999;48578900;33,794922
2010-04-29;43,889999;44,330002;43,599998;44;36520300;34,214832
2010-04-30;44,02;44,049999;42,23;42,580002;54121100;33,11063
2010-05-03;42,970001;43,73;42,889999;43,529999;31230900;33,849365
2010-05-04;42,970001;43,360001;42,25;42,470001;48982200;33,025089
