"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;38,130001;38,150002;37,549999;37,919998;2816600;27,378944
2010-01-05;37,779999;38,169998;37,200001;37,330002;5012300;26,952957
2010-01-06;37,32;37,669998;37,189999;37,43;3784300;27,025156
2010-01-07;37,810001;39,009998;37,18;38,93;4644000;28,108189
2010-01-08;38,759998;38,869999;37,650002;37,790001;3930700;27,285078
2010-01-11;38,139999;38,389999;37,66;38,349998;2063500;27,689415
2010-01-12;37,869999;38,040001;36,75;36,810001;3468100;26,577505
2010-01-13;37,110001;37,439999;36,700001;37,360001;1483700;26,974615
2010-01-14;37,439999;37,490002;36,619999;36,73;1820200;26,519743
2010-01-15;36,52;37,060001;35,91;36,02;3860200;26,007109
2010-01-19;36,02;36,380001;35,799999;36,200001;2361200;26,137077
2010-01-20;35,689999;35,880001;35,299999;35,619999;2261000;25,718306
2010-01-21;35,82;36,169998;34,630001;34,73;2916200;25,075706
2010-01-22;35,330002;35,360001;34,07;34,139999;4300400;24,649715
2010-01-25;34,439999;34,610001;34,02;34,32;1993500;24,779676
2010-01-26;34,09;35,75;34,09;35,029999;2993900;25,292318
2010-01-27;35;35,349998;34,330002;34,75;2651000;25,090145
2010-01-28;35,009998;35,189999;34,459999;34,799999;2527100;25,126244
2010-01-29;34,919998;35,66;34,52;34,540001;2197600;24,938519
2010-02-01;34,84;35,240002;34,419998;35,189999;3086200;25,407833
2010-02-02;35,220001;36,560001;35,09;36,419998;3353700;26,295916
2010-02-03;36,049999;36,240002;35,450001;36,049999;2986400;26,028767
2010-02-04;36,59;36,689999;35,060001;35,110001;6400400;25,350079
2010-02-05;34,299999;34,48;32,779999;33,939999;5510000;24,505308
2010-02-08;34,27;34,849998;33,700001;34;4291100;24,548632
2010-02-09;34,509998;34,75;33,990002;34,110001;4490800;24,628056
2010-02-10;34,029999;34,34;33,419998;33,610001;2645800;24,267046
2010-02-11;33,48;33,830002;33,279999;33,810001;3205800;24,411444
2010-02-12;33,330002;34,349998;33,290001;34,200001;2623000;24,693037
2010-02-16;34,84;35,18;34,43;35,080002;2790300;25,328413
2010-02-17;35,349998;35,599998;35;35,119999;1438200;25,357286
2010-02-18;34,950001;35,09;34,619999;35,02;1605500;25,285086
2010-02-19;35,25;36,240002;35,169998;35,700001;4429700;25,77607
2010-02-22;36,110001;36,349998;35,91;36,130001;4440000;26,086533
2010-02-23;35,23;36,389999;35,130001;36,189999;6205500;26,129847
2010-02-24;36,23;36,630001;36,07;36,59;2283600;26,535976
2010-02-25;35,990002;37;35,75;36,880001;2658300;26,746298
2010-02-26;36,900002;37,18;36,619999;36,939999;1842500;26,789803
2010-03-01;36,860001;37,799999;36,700001;37,59;2441100;27,261206
2010-03-02;37,73;38;37,580002;37,700001;2028100;27,340979
2010-03-03;37,669998;38,18;37,400002;37,810001;2897300;27,420753
2010-03-04;38,240002;38,610001;37,889999;38,32;2468100;27,790613
2010-03-05;38,66;39,209999;38,360001;39,009998;1884400;28,291031
2010-03-08;39,09;39,490002;38,830002;39,330002;2066700;28,5231
2010-03-09;39,080002;39,57;38,900002;39,139999;2161300;28,385307
2010-03-10;39,27;39,450001;39;39,150002;1938700;28,392565
2010-03-11;38,91;39,220001;38,619999;38,939999;2196700;28,240255
2010-03-12;39,25;39,970001;39,02;39,830002;3013200;28,885712
2010-03-15;39,400002;40;39,349998;40;1815100;29,009008
2010-03-16;39,720001;40,130001;39,419998;39,720001;1797500;28,805939
2010-03-17;39,779999;39,939999;39,34;39,91;2480400;28,94372
2010-03-18;39,810001;40,290001;39,66;40,259998;3311100;29,19755
2010-03-19;40,419998;41,07;40,110001;40,419998;4009700;29,313589
2010-03-22;40,07;41,380001;40;41,290001;2812200;29,944534
2010-03-23;41,290001;41,580002;40,779999;41,459999;2235200;30,067831
2010-03-24;41,299999;41,380001;40,650002;40,880001;1710700;29,647194
2010-03-25;41,200001;41,950001;41,009998;41,189999;2393700;29,872011
2010-03-26;41,369999;42,139999;41,32;41,75;2291300;30,278135
2010-03-29;42,02;42,200001;41,439999;41,810001;1931100;30,32165
2010-03-30;41,639999;41,810001;41;41,360001;1563700;29,995296
2010-03-31;41,139999;41,360001;40,700001;40,849998;1613000;29,625437
2010-04-01;41,25;41,689999;41,110001;41,5;1219800;30,09684
2010-04-05;41,540001;42,880001;41,330002;42,759998;1913100;31,010624
2010-04-06;42,610001;43,419998;42,150002;43,369999;2751900;31,453009
2010-04-07;43,380001;43,380001;41,880001;42,099998;4042400;30,531969
2010-04-08;42,09;42,09;41,349998;41,439999;3496100;30,053312
2010-04-09;41,75;42,610001;41,439999;42,549999;2528400;30,858324
2010-04-12;42,66;42,700001;41,950001;42,009998;2031900;30,466694
2010-04-13;41,900002;42,299999;41,599998;41,830002;2080800;30,336157
2010-04-14;42,09;43,099998;41,860001;42,950001;2120000;31,148403
2010-04-15;42,73;43,610001;42,52;43,459999;2873400;31,518276
2010-04-16;43,209999;43,560001;42,57;42,950001;3273200;31,148403
2010-04-19;42,630001;42,990002;41,029999;42,189999;3493000;30,597231
2010-04-20;42,380001;42,900002;42,02;42,880001;2840800;31,097635
2010-04-21;42,73;43,869999;42,580002;43,720001;3492800;31,706835
2010-04-22;43,32;45,549999;43,23;45,34;4794400;32,881695
2010-04-23;45,330002;45,970001;45,049999;45,900002;3373300;33,28783
2010-04-26;45,950001;46,220001;44,580002;44,68;3741200;32,403053
