"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;5,66;5,97;5,65;5,94;14901600;4,734813
2010-01-05;5,88;6,19;5,88;6,17;16660800;4,918148
2010-01-06;6,17;6,2;6,06;6,13;11785800;4,886265
2010-01-07;6,07;6,48;6,04;6,39;25554700;5,093511
2010-01-08;6,35;6,56;6,34;6,5;16513200;5,181193
2010-01-11;6,5;6,6;6,39;6,53;14836600;5,205106
2010-01-12;6,46;6,55;6,36;6,41;20207300;5,109454
2010-01-13;6,44;6,63;6,29;6,49;16226500;5,173223
2010-01-14;6,44;6,89;6,44;6,85;24101200;5,460181
2010-01-15;6,79;6,94;6,51;6,88;29510700;5,484095
2010-01-19;6,82;6,87;6,69;6,76;17897800;5,388441
2010-01-20;6,68;6,99;6,68;6,96;20676700;5,547863
2010-01-21;7,36;7,75;7,3;7,34;57005100;5,850762
2010-01-22;7,16;7,49;6,74;7,25;27104500;5,779023
2010-01-25;7,43;7,48;6,88;7,06;29787100;5,627573
2010-01-26;7,1;7,21;6,88;6,89;36998500;5,492066
2010-01-27;6,87;7,26;6,84;7,15;23381300;5,699312
2010-01-28;7,26;7,48;7,2;7,27;27513800;5,794966
2010-01-29;7,33;7,49;7,14;7,18;17818300;5,723227
2010-02-01;7,23;7,37;7,13;7,34;17914300;5,850762
2010-02-02;7,28;7,54;7,28;7,52;29768900;5,994243
2010-02-03;7,47;7,47;7,24;7,41;30732000;5,906559
2010-02-04;7,29;7,35;6,94;6,95;30016100;5,539893
2010-02-05;6,94;7,04;6,63;6,89;35451500;5,492066
2010-02-08;6,91;6,99;6,66;6,82;25541600;5,436268
2010-02-09;6,93;7,03;6,84;6,92;12635000;5,515979
2010-02-10;6,79;7;6,74;6,88;24267300;5,484095
2010-02-11;6,88;6,93;6,8;6,87;9413300;5,476122
2010-02-12;6,78;6,82;6,68;6,79;9090700;5,412355
2010-02-16;6,86;6,96;6,85;6,92;9443500;5,515979
2010-02-17;6,96;6,97;6,78;6,83;12498800;5,444239
2010-02-18;6,8;6,82;6,68;6,74;14011800;5,372499
2010-02-19;6,7;6,83;6,7;6,79;10628800;5,412355
2010-02-22;6,78;6,99;6,78;6,97;20247300;5,555834
2010-02-23;6,93;6,95;6,71;6,74;11928800;5,372499
2010-02-24;6,77;7,12;6,76;7,11;19088100;5,667428
2010-02-25;6,95;7,02;6,78;6,99;15527600;5,571775
2010-02-26;7;7,18;6,96;7,15;14077600;5,707479
2010-03-01;7,16;7,21;6,9;6,97;9943000;5,563793
2010-03-02;6,97;7,14;6,97;7,04;7789700;5,61967
2010-03-03;7,04;7,13;6,98;7,04;9324200;5,61967
2010-03-04;7,07;7,17;7;7,1;6691200;5,667565
2010-03-05;7,17;7,26;7,11;7,25;10951200;5,787302
2010-03-08;7,21;7,35;7,19;7,27;8176000;5,803267
2010-03-09;7,22;7,34;7,08;7,26;12701800;5,795285
2010-03-10;7,35;7,69;7,3;7,56;20269700;6,03476
2010-03-11;7,6;7,9;7,54;7,88;17572600;6,2902
2010-03-12;8,06;8,19;7,47;7,55;31948000;6,026778
2010-03-15;7,54;7,57;7,3;7,57;25890100;6,042743
2010-03-16;7,61;7,72;7,47;7,7;17002300;6,146516
2010-03-17;7,76;8,02;7,72;7,9;17953400;6,306164
2010-03-18;7,82;7,82;7,5;7,56;19632900;6,03476
2010-03-19;7,6;7,67;7,47;7,6;15160600;6,06669
2010-03-22;7,5;7,73;7,41;7,64;14027000;6,09862
2010-03-23;7,64;7,71;7,59;7,69;11010000;6,138532
2010-03-24;7,67;8;7,66;7,9;20819900;6,306164
2010-03-25;8,03;8,12;7,89;7,93;23956200;6,330114
2010-03-26;7,98;8,02;7,71;7,86;17553600;6,274235
2010-03-29;7,89;7,93;7,59;7,72;17037000;6,16248
2010-03-30;7,72;7,8;7,65;7,76;11073300;6,19441
2010-03-31;7,68;7,85;7,67;7,75;6360200;6,186428
2010-04-01;7,81;7,88;7,72;7,8;10153600;6,22634
2010-04-05;7,88;8,17;7,79;8,16;16163200;6,513709
2010-04-06;8,13;8,6;8,1;8,47;30550000;6,761167
2010-04-07;8,97;8,97;8,51;8,52;51481600;6,80108
2010-04-08;8,27;8,4;8,02;8,34;37575600;6,657394
2010-04-09;8,42;8,44;8,25;8,35;13399100;6,665377
2010-04-12;8,41;8,42;8,27;8,34;11614600;6,657394
2010-04-13;8,09;8,24;7,89;8,14;31228500;6,497746
2010-04-14;8,24;8,57;8,22;8,52;20911200;6,80108
2010-04-15;8,54;8,57;8,28;8,35;17960900;6,665377
2010-04-16;8,32;8,33;7,85;8;36335700;6,385988
2010-04-19;7,94;8,21;7,89;8,13;30415000;6,489761
2010-04-20;8,19;8,74;8,14;8,58;33602000;6,848975
2010-04-21;8,81;9,84;8,78;8,94;75415100;7,136345
2010-04-22;8,68;9,18;8,57;9,12;30510000;7,280031
2010-04-23;9,16;9,27;8,78;9,19;30169000;7,335904
2010-04-26;9,23;9,25;8,75;8,8;24597600;7,024591
2010-04-27;8,74;8,85;8,46;8,62;28290200;6,880906
2010-04-28;8,81;8,98;8,61;8,71;28467800;6,952744
2010-04-29;8,82;9,12;8,77;8,96;17909200;7,15231
2010-04-30;8,98;9,1;8,82;9,02;23067400;7,200202
2010-05-03;9,09;9,18;8,81;8,99;15413300;7,176254
2010-05-04;8,96;8,96;8,55;8,64;21842800;6,896868
2010-05-05;8,5;8,79;8,35;8,54;18498000;6,817044
2010-05-06;8,52;8,57;7,47;7,97;42021000;6,362043
2010-05-07;7,96;8,2;7,79;7,88;33996000;6,2902
2010-05-10;8,29;8,48;8,06;8,35;24683700;6,665377
2010-05-11;8,15;8,76;8,13;8,58;29700300;6,848975
2010-05-12;8,71;8,78;8,56;8,73;13109900;6,968712
2010-05-13;8,7;8,91;8,63;8,68;16611700;6,928799
2010-05-14;8,54;8,56;8,22;8,43;23588900;6,729234
2010-05-17;8,44;8,5;7,95;8,26;19949000;6,593534
2010-05-18;8,4;8,42;7,76;7,87;21731700;6,282218
2010-05-19;7,81;7,98;7,63;7,79;16610200;6,218358
2010-05-20;7,63;7,74;7,31;7,47;22706800;5,962917
2010-05-21;7,35;7,92;7,27;7,87;20656500;6,282218
2010-05-24;7,89;7,9;7,47;7,5;11821500;5,986866
2010-05-25;7,26;7,84;7,17;7,79;24621000;6,218358
2010-05-26;7,96;8;7,65;7,71;10349700;6,154498
2010-05-27;7,88;8,2;7,73;8,2;18403500;6,55414
2010-05-28;8,19;8,23;7,94;8,02;10934300;6,410269
2010-06-01;8,05;8,19;7,89;7,89;15975300;6,306362
2010-06-02;7,95;8,24;7,9;8,24;13023900;6,586111
2010-06-03;8,37;8,45;8,12;8,17;11643400;6,530159
2010-06-04;7,93;8,05;7,72;7,77;16323800;6,210448
2010-06-07;7,81;7,9;7,49;7,54;12617000;6,026612
2010-06-08;7,6;7,83;7,47;7,81;16319600;6,242418
2010-06-09;7,86;8,12;7,84;7,91;22418500;6,322348
2010-06-10;8,03;8,23;7,92;8,23;16826700;6,57812
2010-06-11;8,1;8,25;8;8,24;7502500;6,586111
2010-06-14;8,3;8,4;8,1;8,12;8943300;6,490197
2010-06-15;8,24;8,35;8,07;8,31;11333000;6,642062
2010-06-16;8,22;8,55;8,22;8,39;14260000;6,706007
2010-06-17;8,47;8,49;8,18;8,31;8704800;6,642062
2010-06-18;8,32;8,44;8,24;8,37;7666100;6,690019
2010-06-21;8,5;8,56;8,37;8,44;9056600;6,74597
