"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;36,599998;37,369999;36,57;36,919998;2827000;22,436085
2010-01-05;36,849998;36,93;36,27;36,509998;2136200;22,186922
2010-01-06;36,400002;36,830002;36,27;36,369999;2379400;22,101852
2010-01-07;36,209999;36,639999;35,73;36,57;2311900;22,223389
2010-01-08;36,470001;37,18;36,34;37,119999;2379600;22,557623
2010-01-11;37,23;37,41;36,349998;36,959999;1961400;22,460392
2010-01-12;36,700001;36,759998;35,299999;35,669998;3002200;21,676464
2010-01-13;35,889999;36,27;34,950001;36,09;3969500;21,9317
2010-01-14;35,73;35,950001;34,810001;35;5867400;21,269314
2010-01-15;34,93;35,240002;33,27;33,34;6721000;20,260532
2010-01-19;33,48;33,77;33,200001;33,639999;4374500;20,442842
2010-01-20;33,299999;33,34;32,619999;33,23;4605900;20,193686
2010-01-21;33,349998;33,900002;32,759998;32,849998;3852400;19,962765
2010-01-22;32,23;32,380001;30,719999;30,860001;7991300;18,753456
2010-01-25;30,790001;31,4;30,780001;30,959999;4021300;18,814222
2010-01-26;30,719999;31,32;30,66;30,67;3843400;18,637989
2010-01-27;30,559999;31,200001;30,16;30,85;4557400;18,747377
2010-01-28;30,9;30,98;28,93;29,379999;8674800;17,854065
2010-01-29;29,73;29,75;27,799999;28,200001;10519600;17,136984
2010-02-01;28,450001;29,200001;28,299999;29,190001;6982600;17,738604
2010-02-02;29,139999;29,389999;28,690001;29,1;5245700;17,68391
2010-02-03;28,950001;29,41;28,719999;29,290001;6157800;17,799376
2010-02-04;29,24;29,440001;28,120001;28,309999;5891200;17,203833
2010-02-05;28,469999;28,959999;28,059999;28,790001;5902100;17,495525
2010-02-08;28,790001;29,309999;28,299999;28,719999;3299800;17,45299
2010-02-09;29,110001;29,540001;28,76;29,17;3539900;17,72645
2010-02-10;29,15;29,5;28,700001;28,99;2348300;17,61706
2010-02-11;28,92;29,65;28,629999;29,48;4173400;18,008013
2010-02-12;29,1;30,120001;28,76;29,67;4493200;18,124075
2010-02-16;30,120001;30,83;29,780001;30,82;4337300;18,826557
2010-02-17;30,9;30,959999;30,049999;30,43;3327900;18,588331
2010-02-18;30,27;30,27;29,67;30,25;3180000;18,478367
2010-02-19;30,450001;30,73;30,1;30,58;3698900;18,679956
2010-02-22;30,790001;30,82;30,18;30,33;2849300;18,527241
2010-02-23;30,02;30,15;28,799999;28,889999;5228200;17,647608
2010-02-24;29,110001;29,5;28,9;29,09;5315800;17,769781
2010-02-25;28,49;28,93;27,98;28,9;4440400;17,653723
2010-02-26;28,92;29,139999;28,440001;29,129999;3311700;17,794214
2010-03-01;29,389999;30,16;29,370001;30,139999;3653200;18,411179
2010-03-02;30,48;30,700001;30,190001;30,26;3016700;18,484476
2010-03-03;30,35;30,719999;30,08;30,23;2371900;18,46616
2010-03-04;30,18;30,440001;29,620001;30,030001;2037500;18,343988
2010-03-05;30,200001;30,629999;29,959999;30,290001;2578700;18,50281
2010-03-08;30,379999;30,48;30,110001;30,129999;2001000;18,405067
2010-03-09;29,93;30,1;29,58;29,75;3126400;18,172939
2010-03-10;29,68;30,200001;29,639999;30,129999;2733700;18,405067
2010-03-11;29,98;30,16;29,58;29,99;2789200;18,31955
2010-03-12;30,040001;30,09;29,309999;29,450001;3970500;17,989685
2010-03-15;28,67;28,73;27,700001;28,09;7296200;17,15892
2010-03-16;28,18;29,059999;28,08;29,01;4718200;17,720909
2010-03-17;29,209999;29,469999;29;29,42;4209300;17,971365
