"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;10,265;10,325;10,22;10,24;12718800;8,603507
2010-01-05;10,25;10,275;10,085;10,12;19904000;8,502685
2010-01-06;10,12;10,17;10,005;10,125;25134000;8,506886
2010-01-07;10,125;10,235;10,035;10,225;21133400;8,590901
2010-01-08;10,23;10,23;10,06;10,13;20974200;8,511086
2010-01-11;10,11;10,19;10,07;10,17;14955600;8,544696
2010-01-12;10,23;10,465;10,2;10,355;21871200;8,700127
2010-01-13;10,405;10,45;10,11;10,315;17547800;8,66652
2010-01-14;10,28;10,35;10,225;10,315;13050000;8,66652
2010-01-15;10,325;10,36;10,245;10,36;16530400;8,704329
2010-01-19;10,335;10,555;10,325;10,545;17032000;8,859763
2010-01-20;10,515;10,82;10,44;10,795;24235600;9,069809
2010-01-21;10,745;10,915;10,705;10,76;29565400;9,040405
2010-01-22;10,725;10,98;10,675;10,885;28954000;9,14543
2010-01-25;10,905;10,955;10,83;10,91;19007800;9,166434
2010-01-26;10,82;10,92;10,765;10,8;14440800;9,074011
2010-01-27;10,805;10,875;10,635;10,765;15561000;9,044607
2010-01-28;10,655;10,845;10,62;10,67;11232400;8,96479
2010-01-29;10,675;10,805;10,66;10,715;14122200;9,002596
2010-02-01;10,765;10,85;10,7;10,745;12513800;9,027802
2010-02-02;10,775;10,875;10,655;10,815;14047400;9,086613
2010-02-03;10,775;10,84;10,72;10,76;13558600;9,040405
2010-02-04;10,705;10,82;10,565;10,58;21101000;8,889172
2010-02-05;10,575;10,68;10,5;10,59;15802000;8,897574
2010-02-08;10,585;10,655;10,475;10,565;12450600;8,876567
2010-02-09;10,7;10,705;10,605;10,685;10143600;8,977391
2010-02-10;10,64;10,7;10,59;10,615;9254800;8,9584
2010-02-11;10,58;10,75;10,56;10,72;1,1e+07;9,047016
2010-02-12;10,665;10,735;10,63;10,68;9158200;9,013263
2010-02-16;10,745;10,805;10,67;10,79;8427600;9,106091
2010-02-17;10,855;10,98;10,815;10,865;13549800;9,16939
2010-02-18;10,805;11,03;10,78;11;12215600;9,283319
2010-02-19;10,95;11,075;10,935;11,045;10295800;9,321295
2010-02-22;11,04;11,135;11;11,05;9430400;9,325515
2010-02-23;11,02;11,06;10,815;10,845;13706600;9,152507
2010-02-24;10,855;10,96;10,78;10,945;9683800;9,236903
2010-02-25;10,79;11,21;10,65;11,155;26174800;9,414128
2010-02-26;11,125;11,195;11,05;11,05;17161800;9,325515
2010-03-01;11,09;11,235;11,01;11,205;13523400;9,456326
2010-03-02;11,235;11,41;11,22;11,34;18667000;9,570257
2010-03-03;11,055;11,31;11,02;11,265;23363000;9,506963
2010-03-04;11,28;11,36;11,23;11,345;8489800;9,574477
2010-03-05;11,35;11,42;11,22;11,37;11277000;9,595573
2010-03-08;11,385;11,59;11,335;11,45;25473800;9,663089
2010-03-09;11,2;11,535;11,1;11,175;42406000;9,431007
2010-03-10;11,185;11,26;11,025;11,075;18987600;9,346614
2010-03-11;11,07;11,12;10,845;10,89;22206400;9,190487
2010-03-12;10,915;11,165;10,9;11,135;21034800;9,397248
2010-03-15;11,15;11,17;11,035;11,15;9080600;9,409908
2010-03-16;11,135;11,225;11,105;11,145;9968400;9,40569
2010-03-17;11,195;11,26;11,135;11,22;11505400;9,468987
2010-03-18;11,2;11,235;11,115;11,12;13277000;9,384588
2010-03-19;10,82;11,12;10,745;10,82;29720200;9,131412
2010-03-22;10,85;10,85;10,625;10,665;23742600;9,000597
2010-03-23;10,645;10,765;10,645;10,695;15575800;9,025914
2010-03-24;10,67;10,685;10,555;10,625;17574600;8,966843
2010-03-25;10,645;10,715;10,605;10,62;12291600;8,962621
2010-03-26;10,645;10,68;10,55;10,605;10534400;8,949962
2010-03-29;10,605;10,715;10,6;10,67;9823400;9,004818
2010-03-30;10,675;10,76;10,645;10,72;12289000;9,047016
2010-03-31;10,71;10,88;10,675;10,83;14883000;9,139849
2010-04-01;10,88;10,99;10,87;10,94;15016800;9,232684
2010-04-05;10,945;11,025;10,89;11,015;10793400;9,295978
2010-04-06;10,97;10,995;10,93;10,97;11033400;9,257999
2010-04-07;10,975;11,19;10,97;11,125;18735400;9,388809
2010-04-08;11,075;11,23;10,99;11,19;16610600;9,443667
2010-04-09;11,16;11,27;11,1;11,27;11292200;9,511186
2010-04-12;11,3;11,33;11,18;11,265;13937600;9,506963
2010-04-13;11,22;11,36;11,21;11,335;11088000;9,566036
2010-04-14;11,29;11,575;11,28;11,57;18410800;9,764361
2010-04-15;11,525;11,72;11,46;11,7;20191800;9,874072
2010-04-16;11,63;11,88;11,63;11,82;32814000;9,975347
2010-04-19;11,805;11,855;11,64;11,75;14851800;9,91627
2010-04-20;11,75;11,825;11,655;11,705;14302200;9,878291
2010-04-21;11,7;11,78;11,68;11,75;9097000;9,91627
2010-04-22;11,715;11,875;11,585;11,84;15794000;9,992227
2010-04-23;11,85;11,865;11,725;11,85;12156200;10,000666
