"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;33,490002;33,869999;33,419998;33,650002;613500;30,531767
2010-01-05;33,639999;34,439999;33,5;34,310001;1129300;31,130611
2010-01-06;33,240002;33,59;31,870001;32,049999;2627400;29,080032
2010-01-07;32,040001;32,799999;31,799999;32,41;1076500;29,406672
2010-01-08;32,290001;34,02;32,290001;33,860001;1005000;30,722309
2010-01-11;34,130001;34,240002;33,41;34,009998;1036500;30,858406
2010-01-12;33,630001;33,860001;33,23;33,52;694000;30,413815
2010-01-13;33,689999;33,759998;33;33,529999;615800;30,422882
2010-01-14;33,509998;33,860001;33,169998;33,419998;457700;30,323074
2010-01-15;33,240002;33,380001;32,549999;32,919998;785100;29,869411
2010-01-19;32,959999;32,970001;32,610001;32,779999;518000;29,742388
2010-01-20;32,23;32,360001;31,4;32,189999;1091100;29,20706
2010-01-21;32,139999;32,860001;31,51;31,52;1046700;28,599146
2010-01-22;31,059999;31,9;30,969999;31,01;770900;28,136404
2010-01-25;31,43;31,43;30,780001;30,790001;1149100;27,936792
2010-01-26;30,719999;31,27;30,360001;31,129999;666800;28,245281
2010-01-27;30,959999;31,459999;30,719999;31,35;682000;28,444899
2010-01-28;31,4;32;31,190001;31,190001;1993500;28,299734
2010-01-29;31,32;31,559999;29,540001;29,700001;2066100;26,947796
2010-02-01;29,870001;30,879999;29,870001;30,780001;819600;27,927725
2010-02-02;30,790001;31,030001;30,52;30,790001;816300;27,936792
2010-02-03;30,639999;31,4;30,4;31,120001;1521900;28,236214
2010-02-04;30,870001;30,870001;29,790001;29,860001;1249800;27,092974
2010-02-05;29,959999;30,379999;29,52;30,27;1704900;27,464977
2010-02-08;30,25;30,76;29,77;29,959999;682800;27,183706
2010-02-09;30,52;30,67;30,07;30,33;607500;27,519417
2010-02-10;30,23;30,610001;30,09;30,440001;764800;27,619226
2010-02-11;30,42;32,34;30,42;31,93;1970600;28,971157
2010-02-12;31,6;32,84;31,17;32,389999;2512700;29,388527
2010-02-16;32,810001;33,32;32,279999;33,080002;1318000;30,014591
2010-02-17;33,27;33,400002;32,599998;33,060001;690800;29,996433
2010-02-18;33,150002;33,169998;32,790001;33,150002;665100;30,0781
2010-02-19;33,009998;34,029999;33,009998;33,919998;805400;30,776741
2010-02-22;34;34,93;33,869999;34,869999;1443000;31,6387
2010-02-23;34,82;35,029999;34,189999;34,389999;1155000;31,203188
2010-02-24;34,419998;34,669998;34,040001;34,32;887200;31,139683
2010-02-25;33,779999;35,07;33,34;34,990002;1136100;31,747599
2010-02-26;35;35;34,080002;34,299999;1289400;31,121531
2010-03-01;34,439999;35,5;34,439999;35,41;1048400;32,128681
2010-03-02;35,52;35,880001;35,07;35,110001;1150700;31,856478
2010-03-03;35,060001;35,240002;34,52;34,68;947300;31,466328
2010-03-04;34,82;35,060001;34,630001;34,880001;602900;31,647797
2010-03-05;35,09;35,610001;35,060001;35,450001;1005300;32,164967
2010-03-08;35,389999;35,810001;35,029999;35,549999;651200;32,255699
2010-03-09;35,259998;36,299999;35,259998;35,889999;923600;32,564198
2010-03-10;36,450001;36,82;35,689999;35,990002;2444800;32,654938
2010-03-11;36,060001;36,439999;35,77;36;1656400;32,664001
2010-03-12;36,200001;36,220001;35,669998;35,75;1952000;32,437168
2010-03-15;35,75;35,830002;35,380001;35,57;1308600;32,273838
2010-03-16;35,790001;36,330002;35,700001;36,330002;1024700;32,963428
2010-03-17;36,200001;36,540001;35,93;36,099998;1085700;32,75473
2010-03-18;36,02;36,91;35,77;35,91;1148900;32,582333
2010-03-19;35,75;36,07;35,16;35,75;1046300;32,437168
2010-03-22;35,419998;36,290001;35,299999;36,169998;554900;32,818241
2010-03-23;36,18;36,23;35,439999;35,939999;601600;32,609547
2010-03-24;35,77;35,959999;35,360001;35,759998;711000;32,446239
2010-03-25;36,110001;36,59;35,529999;35,57;869300;32,273838
2010-03-26;35,799999;36,389999;35,610001;36,200001;968600;32,845463
2010-03-29;36,299999;36,810001;36,18;36,43;600600;33,05415
2010-03-30;36,400002;36,740002;36,259998;36,540001;540100;33,153965
2010-03-31;36,459999;36,709999;35,869999;36,169998;784600;32,818241
2010-04-01;36,509998;36,889999;36,299999;36,540001;718600;33,153965
2010-04-05;36,779999;37,360001;36,560001;37,09;665300;33,652988
2010-04-06;37,16;37,189999;36,68;37,150002;977200;33,707428
2010-04-07;37,209999;37,23;36,599998;36,950001;1287600;33,52597
2010-04-08;36,619999;38,220001;36,509998;38,139999;1421000;34,605682
2010-04-09;38,389999;38,450001;37,889999;38,369999;972200;34,814384
2010-04-12;38,419998;38,419998;37,720001;37,950001;785900;34,433292
2010-04-13;38;38,290001;37,459999;38,23;1103600;34,687359
2010-04-14;38,540001;39;38,43;38,900002;886700;35,295269
2010-04-15;38,849998;39,689999;38,740002;39,07;1615500;35,44952
2010-04-16;38,970001;39,099998;37,470001;38,18;973600;34,641991
2010-04-19;37,93;38,02;36,919998;37,34;864700;33,879833
2010-04-20;37,619999;38,240002;37,580002;37,799999;668700;34,297199
2010-04-21;37,869999;38,259998;37,73;37,919998;619800;34,406082
2010-04-22;37,400002;38,080002;36,73;37,959999;824500;34,442375
2010-04-23;37,91;38,360001;37,599998;38,279999;538900;34,732704
2010-04-26;38,139999;39,48;38,139999;39,259998;1364900;35,621902
2010-04-27;39,599998;41,369999;39,400002;40,099998;2795500;36,38406
2010-04-28;40,490002;40,509998;38,759998;39,41;1708300;35,758003
2010-04-29;39,93;41,869999;39,889999;41,41;5130400;37,572674
2010-04-30;41,349998;42,110001;40,5;40,549999;2019300;36,792362
2010-05-03;40,889999;42,32;40,889999;41,779999;1727700;37,908375
2010-05-04;41,459999;41,459999;39,439999;39,740002;2392000;36,057434
2010-05-05;39,150002;40,119999;37,799999;39,240002;1555100;35,603756
2010-05-06;39,23;39,84;34,610001;37,700001;2411500;34,206467
2010-05-07;37,310001;37,91;35,5;35,93;2689500;32,600483
2010-05-10;38,009998;38,759998;37,610001;38,720001;2500800;35,13195
2010-05-11;38,110001;39,66;38,110001;39,09;1789200;35,467655
2010-05-12;39,34;40,889999;39,240002;40,68;1809100;36,910309
2010-05-13;40,66;41,43;39,939999;40,220001;1492700;36,492947
2010-05-14;39,77;39,849998;38,470001;38,849998;1520900;35,249905
2010-05-17;39,009998;39,34;37,25;37,779999;2117300;34,279049
2010-05-18;38,380001;39,240002;37,25;37,619999;1655500;34,133877
2010-05-19;37,450001;37,790001;35,509998;36,549999;2113400;33,163033
2010-05-20;35,150002;35,450001;33,689999;33,77;2393100;30,640642
2010-05-21;33;35,41;32,610001;34,880001;2370700;31,647797
2010-05-24;35,900002;36,48;35,139999;35,990002;2575300;32,654938
2010-05-25;34,689999;36,169998;34,18;36,049999;2260700;32,709366
2010-05-26;36,869999;37,540001;36,349998;36,790001;1654100;33,380787
2010-05-27;37,860001;38,799999;37,16;38,799999;1541700;35,204525
2010-05-28;38,810001;39,169998;37,639999;38,169998;1609700;34,632908
2010-06-01;37,990002;39,310001;37,599998;38,080002;1673400;34,551247
2010-06-02;38,290001;39,400002;38,060001;39,400002;1149900;35,748936
2010-06-03;39,419998;40,060001;38,279999;38,84;1564700;35,240818
2010-06-04;37,66;38,25;36,450001;36,75;1799100;33,344501
2010-06-07;36,98;37,700001;36,060001;36,060001;1688800;32,718441
2010-06-08;36,27;36,889999;35,459999;36,470001;1592400;33,090454
2010-06-09;36,900002;38,34;36,630001;36,880001;1432400;33,462444
2010-06-10;37,720001;38,779999;37,669998;38,450001;1264100;34,886963
2010-06-11;37,68;39,490002;37,619999;39,220001;935400;35,585606
2010-06-14;39,709999;40,389999;39,16;39,240002;1088800;35,603756
2010-06-15;39,400002;40,490002;39,27;40,43;898300;36,683479
2010-06-16;40;41,689999;40;40,810001;1524200;37,028275
2010-06-17;41,189999;41,369999;39,59;41,200001;1173400;37,382122
2010-06-18;41,299999;41,48;40,880001;41,110001;867000;37,30048
2010-06-21;41,700001;41,990002;40,43;40,779999;1177400;37,001049
2010-06-22;40,98;41,080002;38,459999;38,580002;1651000;35,004921
2010-06-23;38,77;38,950001;37,82;38,759998;1355200;35,168236
2010-06-24;38,369999;39,040001;37,66;38,119999;1519300;34,58754
2010-06-25;38,5;39,389999;37,849998;39,290001;1541300;35,649128
2010-06-28;38,98;39,400002;38,5;38,630001;900100;35,050285
2010-06-29;37,869999;37,970001;36,75;37,150002;1270600;33,707428
2010-06-30;36,959999;37,650002;36,189999;36,349998;849300;32,981552
2010-07-01;36,540001;37,049999;34,639999;36,099998;1625900;32,75473
2010-07-02;36,299999;36,5;34,709999;34,939999;936000;31,702225
2010-07-06;35,759998;35,900002;34,119999;34,380001;1555300;31,194118
2010-07-07;34,380001;36,349998;34,380001;36,27;1284300;32,908978
2010-07-08;36,830002;37,220001;36,27;37,139999;1103500;33,698357
2010-07-09;37,09;37,610001;36,830002;37,240002;732200;33,789097
2010-07-12;37,200001;37,68;36,549999;37,080002;866600;33,643913
2010-07-13;37,790001;38,09;36,959999;37,41;1158900;33,943344
2010-07-14;37,5;37,5;35,290001;36,27;3089300;32,908978
2010-07-15;36,209999;37,200001;35,619999;37,049999;1329600;33,616703
2010-07-16;36,689999;36,709999;34,57;34,720001;1857900;31,502617
2010-07-19;34,779999;35,110001;33,759998;34,459999;1298800;31,266703
2010-07-20;33,799999;35,59;33,759998;35,490002;1036800;32,201267
2010-07-21;35,869999;37,07;35,700001;36;2294700;32,664001
2010-07-22;36,639999;37,799999;36,639999;37,450001;1274800;33,97963
2010-07-23;37,369999;38,48;37,27;38,349998;894700;34,79623
2010-07-26;38,509998;39,509998;38,18;39,450001;1210400;35,794308
2010-07-27;36,77;39,48;36,740002;37,150002;4054800;33,707428
2010-07-28;37,080002;37,52;36,610001;36,720001;1479300;33,317272
2010-07-29;37,169998;37,290001;36,130001;36,709999;1723200;33,308212
2010-07-30;36,360001;37,169998;35,959999;36,700001;1127500;33,299145
2010-08-02;37,450001;37,75;37;37,290001;1646600;33,834457
2010-08-03;36,889999;37,639999;36,240002;37,209999;1244400;33,76186
2010-08-04;37,369999;38,080002;37,220001;37,919998;848000;34,406082
2010-08-05;37,52;38,290001;37,310001;38,16;778500;34,623833
