"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;20,5;20,74;20,389999;20,51;1241400;14,092545
2010-01-05;20,52;20,549999;19,709999;20,290001;2242100;13,941379
2010-01-06;20,24;20,540001;20,24;20,530001;1258400;14,106289
2010-01-07;20,68;21,200001;20,610001;21,190001;1417800;14,559769
2010-01-08;21,049999;21,360001;20,969999;21,18;752500;14,552904
2010-01-11;21,299999;21,299999;21,02;21,09;1171300;14,491066
2010-01-12;20,91;20,91;20,389999;20,42;1469900;14,030703
2010-01-13;20,4;20,780001;20,26;20,68;1171700;14,209348
2010-01-14;20,610001;20,940001;20,6;20,709999;692900;14,229957
2010-01-15;20,719999;21,07;20,6;20,99;2423600;14,422347
2010-01-19;20,91;21,27;20,91;21,16;945700;14,539159
2010-01-20;21,040001;21,1;20,860001;21;1444200;14,429224
2010-01-21;20,879999;21;20,25;20,360001;2031800;13,989474
2010-01-22;20,25;20,530001;20,02;20,02;1209400;13,755857
2010-01-25;20,26;20,309999;20,049999;20,23;1398000;13,900152
2010-01-26;20,1;20,459999;20,049999;20,17;1000600;13,858928
2010-01-27;20,01;20,219999;19,780001;20,049999;1101800;13,776471
2010-01-28;20,139999;20,23;19,76;19,809999;1219300;13,611567
2010-01-29;19,790001;19,809999;18,26;18,26;4488700;12,546551
2010-02-01;18,48;19,01;18,4;18,879999;2937100;12,972559
2010-02-02;18,9;19,450001;18,75;19,309999;3013500;13,268013
2010-02-03;19,290001;19,42;19,030001;19,15;1557900;13,158079
2010-02-04;19,07;19,18;18,629999;18,66;2223700;12,821396
2010-02-05;18,629999;18,65;17,889999;18,450001;1835100;12,677104
2010-02-08;18,450001;18,68;18,24;18,360001;3364800;12,615259
2010-02-09;18,59;18,809999;18,379999;18,66;1212900;12,821396
2010-02-10;18,57;18,74;18,290001;18,51;811700;12,718328
2010-02-11;18,5;18,75;18,32;18,75;1065200;12,883231
2010-02-12;18,690001;18,790001;18,48;18,780001;1298100;12,903848
2010-02-16;18,93;19,4;18,83;19,389999;1343000;13,322981
2010-02-17;19,5;19,549999;19,23;19,48;963300;13,384822
2010-02-18;19,43;19,610001;19,26;19,59;588300;13,460403
2010-02-19;19,58;19,59;19,389999;19,41;1304400;13,336722
2010-02-22;19,469999;19,559999;19,35;19,459999;577900;13,371076
2010-02-23;19,43;19,5;18,99;19,200001;1217800;13,19243
2010-02-24;19,299999;19,33;18,93;19,33;1217000;13,281753
2010-02-25;18,959999;18,959999;18,67;18,85;2048600;12,951945
2010-02-26;18,870001;18,98;18,65;18,950001;2270500;13,020659
2010-03-01;19,049999;19,459999;18,950001;19,33;1141800;13,281753
2010-03-02;19,43;19,74;19,389999;19,52;1554600;13,412304
2010-03-03;19,66;20,1;19,59;19,91;1343900;13,680277
2010-03-04;19,98;20,27;19,719999;20,27;1924400;13,927635
2010-03-05;20,41;20,620001;20,25;20,610001;1584700;14,161251
2010-03-08;20,67;20,92;20,540001;20,799999;1839900;14,291803
2010-03-09;20,799999;21,17;20,75;21,040001;1660100;14,456708
2010-03-10;21,1;21,65;20,879999;21,549999;2504500;14,807129
2010-03-11;21,139999;21,26;20,950001;21,26;1885300;14,786267
2010-03-12;21,309999;21,34;20,99;21,290001;1403600;14,807129
2010-03-15;21,33;21,360001;20,99;21,139999;1381400;14,702811
2010-03-16;21,139999;21,41;21;21,379999;2020000;14,869723
2010-03-17;21,469999;21,780001;21,469999;21,530001;1421200;14,974051
2010-03-18;21,48;21,74;21,48;21,709999;1297400;15,099244
2010-03-19;21,469999;21,889999;21,370001;21,469999;2829100;14,93232
2010-03-22;21,290001;21,559999;21,01;21,540001;2167000;14,981004
2010-03-23;21,6;21,82;21,370001;21,709999;1388800;15,099244
2010-03-24;21,67;21,77;21,379999;21,51;1106200;14,960138
2010-03-25;21,690001;21,99;21,58;21,610001;1737200;15,029689
2010-03-26;21,709999;21,879999;21,530001;21,610001;1266000;15,029689
2010-03-29;21,74;21,799999;21,469999;21,530001;1428100;14,974051
2010-03-30;21,52;21,870001;21,5;21,780001;1534300;15,147929
2010-03-31;21,76;21,93;21,6;21,639999;1389800;15,050559
2010-04-01;21,75;21,9;21,51;21,690001;1186300;15,085329
2010-04-05;21,799999;21,82;21,700001;21,73;1589700;15,113146
2010-04-06;21,610001;21,799999;21,48;21,77;1739000;15,140972
2010-04-07;21,66;21,75;21,4;21,530001;1481800;14,974051
2010-04-08;21,42;21,73;21,27;21,68;940700;15,078376
2010-04-09;21,59;21,93;21,51;21,9;843600;15,231381
2010-04-12;21,959999;21,99;21,73;21,83;1266100;15,182703
2010-04-13;21,82;21,93;21,73;21,84;1493300;15,189656
2010-04-14;21,940001;22,15;21,709999;22,139999;1426600;15,3983
2010-04-15;22,15;22,35;21,969999;22,26;974100;15,481765
2010-04-16;22,18;22,35;21,780001;22,07;1827300;15,34962
2010-04-19;21,959999;22,32;21,799999;22,120001;1493300;15,384386
2010-04-20;22,290001;22,690001;22,290001;22,639999;1133300;15,746046
2010-04-21;22,709999;23,219999;22,68;23,139999;2579700;16,093792
2010-04-22;23,59;24,1;23,5;23,799999;4657100;16,552826
2010-04-23;23,799999;24,09;23,610001;23,959999;2323300;16,66411
2010-04-26;24,049999;24,290001;23,959999;24,1;2340900;16,761478
2010-04-27;24,07;24,51;23,68;23,780001;2953800;16,538918
2010-04-28;23,92;24,52;23,719999;24,389999;3469900;16,963169
2010-04-29;24,549999;24,870001;24,459999;24,77;2835500;17,227459
2010-04-30;24,83;25,15;24,530001;24,530001;2843600;17,060543
2010-05-03;24,690001;25,08;24,68;25,02;1836700;17,401337
2010-05-04;24,690001;24,690001;24,200001;24,370001;1760200;16,949261
2010-05-05;24,08;24,26;23,58;23,84;1774000;16,580648
2010-05-06;23,76;24,15;21,32;22,969999;3026900;15,975567
2010-05-07;22,84;23,190001;22,059999;22,219999;3480900;15,453942
2010-05-10;23,139999;23,940001;22,93;23,85;2169200;16,587603
2010-05-11;23,540001;24,42;23,540001;24,139999;1859900;16,789299
2010-05-12;24,16;24,74;24,139999;24,629999;1121500;17,130091
2010-05-13;24,530001;24,799999;24,24;24,309999;1423300;16,907528
2010-05-14;24,049999;24,200001;23,75;24,08;1840700;16,747566
2010-05-17;24,200001;24,24;23,42;24,18;1603500;16,817112
2010-05-18;24,41;24,549999;23,790001;23,83;1472900;16,573692
2010-05-19;23,75;24,059999;23,15;23,6;1574700;16,413734
2010-05-20;23,040001;23,1;22,51;22,540001;2961500;15,676501
2010-05-21;22,16;22,940001;22;22,799999;1822100;15,857327
2010-05-24;22,719999;22,889999;22,41;22,450001;1475100;15,613905
2010-05-25;21,860001;22,549999;21,58;22,52;1819900;15,66259
2010-05-26;22,73;23,24;22,41;22,469999;1860600;15,627818
2010-05-27;22,91;23,540001;22,83;23,530001;1370600;16,365047
2010-05-28;23,530001;23,629999;23,030001;23,280001;1231300;16,191174
2010-06-01;23,02;23,379999;22,85;23;2104800;15,996431
2010-06-02;23,110001;23,469999;23;23,469999;1283200;16,323313
2010-06-03;23,59;23,719999;23,200001;23,48;1370100;16,330267
2010-06-04;22,83;23,110001;22,24;22,370001;2348000;15,558266
2010-06-07;22,360001;22,469999;21,59;21,639999;4688000;15,050559
2010-06-08;21,74;21,98;21,27;21,93;2230200;15,252254
2010-06-09;22,049999;22,57;21,91;22,02;1840400;15,314846
2010-06-10;22,41;23,030001;22,34;22,950001;1384100;15,961655
2010-06-11;22,389999;22,77;22,200001;22,74;1120300;15,996825
2010-06-14;22,91;23,200001;22,75;22,799999;1103700;16,039034
2010-06-15;23,02;23,32;22,709999;23,290001;1012200;16,383738
2010-06-16;23,139999;23,27;22,82;23,09;1400700;16,243042
2010-06-17;23,209999;23,209999;22,290001;22,58;2357800;15,884273
2010-06-18;22,690001;22,74;22,450001;22,51;1698100;15,835035
2010-06-21;22,799999;22,85;22,370001;22,51;1585200;15,835035
2010-06-22;22,530001;22,780001;21,92;21,98;1818200;15,462194
2010-06-23;21,860001;21,959999;21,25;21,709999;1548600;15,272261
2010-06-24;21,58;21,700001;21,030001;21,139999;1702800;14,871286
2010-06-25;21,129999;21,57;20,889999;21,459999;2420000;15,096392
2010-06-28;21,6;21,67;21,190001;21,4;1463200;15,054187
2010-06-29;20,940001;21,040001;20,290001;20,43;3289000;14,37182
2010-06-30;20,41;20,620001;19,99;20,059999;2313000;14,111536
2010-07-01;19,93;20,15;19,07;19,639999;2497100;13,816078
2010-07-02;19,780001;19,950001;19,33;19,51;1522200;13,724632
2010-07-06;19,690001;19,940001;19,110001;19,33;1728400;13,598007
2010-07-07;19,33;20,32;19,33;20,27;2219700;14,259263
2010-07-08;20,42;20,549999;20,17;20,42;1198900;14,364783
2010-07-09;20,440001;20,690001;20,35;20,639999;899400;14,519552
2010-07-12;20,610001;20,73;20,280001;20,43;1149700;14,37182
2010-07-13;20,639999;21,01;20,610001;20,91;1019400;14,709483
2010-07-14;20,870001;20,879999;20,530001;20,76;1038000;14,603967
2010-07-15;20,719999;20,780001;20,280001;20,66;1713700;14,533617
2010-07-16;20,530001;20,549999;19,879999;20;1248500;14,069331
2010-07-19;19,959999;20,27;19,780001;20,190001;968400;14,202991
2010-07-20;19,879999;20,530001;19,790001;20,440001;1375400;14,378858
2010-07-21;20,610001;20,9;20,290001;20,540001;1778100;14,449208
2010-07-22;20,889999;21,43;20,74;21,32;1912100;14,997909
2010-07-23;20,1;21,41;20,1;21,370001;2033500;15,033079
2010-07-26;21,52;22,18;21,43;22,09;1563400;15,539575
2010-07-27;22,16;22,16;21,379999;21,41;1535400;15,061219
2010-07-28;21,43;21,49;20,73;20,799999;1325500;14,632105
2010-07-29;20,99;21,08;20,549999;20,77;1116400;14,611001
2010-07-30;20,629999;20,91;20,4;20,84;1159700;14,660246
2010-08-02;21,24;21,41;21,02;21,209999;918000;14,920523
2010-08-03;21,16;21,219999;20,790001;20,879999;880400;14,688381
2010-08-04;20,98;21,309999;20,92;21,24;775900;14,941631
2010-08-05;21,09;21,190001;20,959999;21,139999;666300;14,871286
2010-08-06;20,91;21,309999;20,82;21,07;1165600;14,822042
2010-08-09;21,219999;21,5;21,190001;21,43;858300;15,075285
2010-08-10;21,190001;21,24;20,77;20,879999;1383500;14,688381
2010-08-11;20,549999;20,549999;20,1;20,15;1108100;14,174851
2010-08-12;19,9;20,059999;19,77;19,9;944700;13,998981
2010-08-13;19,84;20,07;19,66;19,68;978700;13,844219
2010-08-16;19,530001;19,82;19,280001;19,68;1057600;13,844219
2010-08-17;19,9;20,4;19,709999;20,07;926300;14,118573
2010-08-18;20,09;20,52;19,9;20,200001;1223500;14,21003
2010-08-19;20,120001;20,190001;19,459999;19,700001;1218000;13,858291
2010-08-20;19,52;19,68;19,299999;19,58;1110800;13,773874
2010-08-23;19,83;19,83;19,459999;19,5;1002800;13,717597
2010-08-24;19,32;19,4;18,940001;19,07;1549700;13,41511
2010-08-25;18,98;19,52;18,91;19,41;2767100;13,65429
2010-08-26;19,459999;19,59;18,959999;19,01;1511200;13,372899
2010-08-27;19,209999;19,5;18,83;19,48;1308200;13,703528
2010-08-30;19,440001;19,700001;19,08;19,110001;1090800;13,443249
2010-08-31;19,049999;19,58;18,99;19,17;1725000;13,485456
2010-09-01;19,450001;20,190001;19,450001;20,09;1391000;14,132639
2010-09-02;20,25;20,639999;20,139999;20,58;1333300;14,477343
2010-09-03;20,77;21,07;20,700001;21,040001;1317800;14,80093
2010-09-07;20,940001;21,049999;20,790001;20,82;3565800;14,646174
2010-09-08;20,969999;21,030001;20,719999;20,959999;4428500;14,74466
2010-09-09;21,25;21,469999;21,120001;21,190001;1121500;14,906454
2010-09-10;21,190001;21,41;21,139999;21,389999;857200;15,047152
2010-09-13;21,5;21,5;21,17;21,41;1149400;15,253762
2010-09-14;21,41;21,66;21,27;21,379999;843700;15,232388
2010-09-15;21,290001;21,74;21,25;21,629999;1796100;15,410505
2010-09-16;21,4;21,610001;21,290001;21,469999;1181000;15,296512
2010-09-17;21,549999;21,799999;21,530001;21,6;1518900;15,389133
2010-09-20;21,75;22,32;21,690001;22,290001;1008800;15,880729
2010-09-21;22,34;22,610001;22,219999;22,35;1668400;15,92347
2010-09-22;22,43;22,5;21,82;21,950001;1931600;15,638494
2010-09-23;21,76;22,42;21,709999;21,92;1308600;15,617119
2010-09-24;22,290001;22,799999;22,23;22,799999;1150400;16,244083
2010-09-27;22,77;22,799999;22,440001;22,68;990900;16,15859
2010-09-28;22,809999;23,120001;22,360001;23,049999;1464700;16,422197
2010-09-29;23;23,02;22,629999;22,940001;1300400;16,343821
2010-09-30;23,040001;23,33;22,67;22,76;1687500;16,215582
2010-10-01;23,02;23,049999;22,719999;23,02;1722600;16,400822
2010-10-04;23;23,1;22,77;23,030001;1229500;16,407948
2010-10-05;23,35;23,73;23,09;23,709999;1713600;16,892426
2010-10-06;23,6;23,799999;23,450001;23,620001;1114000;16,828299
2010-10-07;23,690001;23,84;23,379999;23,6;1149800;16,814049
2010-10-08;23,68;23,889999;23,52;23,75;1125800;16,920921
2010-10-11;23,98;23,98;23,74;23,83;873100;16,977911
2010-10-12;23,76;23,940001;23,5;23,84;937600;16,985041
2010-10-13;24;24,33;23,84;24,08;918600;17,156029
2010-10-14;24,110001;24,16;23,639999;23,790001;1126000;16,949415
2010-10-15;24,01;24,040001;23,610001;23,799999;2808900;16,956543
2010-10-18;23,77;23,93;23,690001;23,82;881900;16,970793
2010-10-19;23,51;23,84;23,290001;23,440001;1573100;16,700058
2010-10-20;23,32;23,35;22,85;22,879999;2901200;16,301077
2010-10-21;23,049999;23,23;22,709999;22,99;2626500;16,379452
2010-10-22;21,18;21,299999;20,549999;21,01;5250600;14,968784
2010-10-25;21,120001;21,120001;20,280001;20,290001;2811900;14,455812
2010-10-26;20,200001;20,620001;20,139999;20,440001;2026300;14,562681
2010-10-27;20,27;20,549999;20,25;20,450001;2204700;14,569801
2010-10-28;20,549999;20,66;20,33;20,360001;1683800;14,505679
2010-10-29;20,379999;20,459999;20,23;20,379999;1208600;14,51993
2010-11-01;20,469999;20,58;19,889999;19,98;2061400;14,234946
2010-11-02;20,209999;20,48;20,1;20,35;1241800;14,498556
2010-11-03;20,469999;20,48;20,09;20,370001;1472000;14,512809
2010-11-04;20,620001;20,639999;20,379999;20,58;2041600;14,66242
2010-11-05;20,6;20,68;20,450001;20,5;1717200;14,605428
2010-11-08;20,440001;20,51;20,309999;20,389999;1514500;14,527054
2010-11-09;20,469999;20,48;20,17;20,25;1103700;14,427309
2010-11-10;20,290001;20,52;20,219999;20,389999;1594500;14,527054
2010-11-11;20,219999;20,41;20,200001;20,4;970400;14,534176
2010-11-12;20,27;20,4;20,030001;20,120001;973100;14,334687
2010-11-15;20,200001;20,35;20,1;20,15;1635600;14,356064
2010-11-16;20,01;20,1;19,709999;19,83;1538200;14,128077
2010-11-17;19,860001;20,16;19,75;20;1722700;14,249195
2010-11-18;20,26;20,389999;20,15;20,17;1395500;14,370314
2010-11-19;20,17;20,360001;20;20,34;1047700;14,491429
2010-11-22;20,32;20,42;20,120001;20,379999;1036000;14,51993
2010-11-23;20,16;20,440001;20,1;20,24;1259300;14,420183
2010-11-24;20,4;20,68;20,389999;20,68;920600;14,733668
2010-11-26;20,530001;20,66;20,35;20,530001;684900;14,626801
2010-11-29;20,4;20,67;20,299999;20,549999;1420400;14,641047
2010-11-30;20,34;20,74;20,24;20,700001;3877800;14,747914
2010-12-01;20,940001;21,27;20,92;21,23;3248200;15,125518
2010-12-02;21,32;21,9;21,18;21,51;4441400;15,325007
2010-12-03;21,469999;21,860001;21,370001;21,809999;1712900;15,538747
2010-12-06;21,799999;21,9;21,67;21,799999;2755400;15,531625
2010-12-07;22,040001;22,1;21,879999;21,93;2041100;15,624249
2010-12-08;21,889999;22,059999;21,76;22;949500;15,674118
2010-12-09;22,15;22,209999;22,01;22,129999;1554800;15,766739
2010-12-10;22,17;22,209999;22,01;22,18;1407300;15,802354
2010-12-13;22,08;22,42;22,059999;22,360001;1648700;16,126913
2010-12-14;22,43;22,629999;22,309999;22,51;1247300;16,235106
2010-12-15;22,42;22,58;22,280001;22,440001;1611800;16,184612
2010-12-16;22,530001;22,889999;22,48;22,85;1441200;16,48032
2010-12-17;22,9;23,370001;22,780001;23,23;2252700;16,754389
2010-12-20;23,389999;23,41;22,959999;23,01;1906900;16,59572
2010-12-21;23,17;23,200001;22,84;23,030001;1327100;16,610147
2010-12-22;23,1;23,26;23,040001;23,1;1245600;16,660637
2010-12-23;23,209999;23,209999;22,879999;22,969999;733200;16,566868
2010-12-27;22,93;23,16;22,870001;23,15;505100;16,696686
2010-12-28;23,219999;23,25;22,940001;23,07;451800;16,63899
2010-12-29;23,17;23,23;23,07;23,08;454500;16,646202
2010-12-30;22,959999;23,16;22,950001;22,950001;577700;16,552439
2010-12-31;22,959999;23,120001;22,719999;22,76;843000;16,415403
2011-01-03;22,99;23,17;22,860001;23,139999;1871500;16,68948
2011-01-04;23,209999;23,25;22,92;23,030001;1045500;16,610147
2011-01-05;22,959999;23,18;22,92;23,15;1077300;16,696686
2011-01-06;23,200001;23,24;22,969999;23,02;801300;16,602936
2011-01-07;23,1;23,309999;22,620001;22,879999;892800;16,501955
2011-01-10;22,83;22,83;22,559999;22,790001;785300;16,437048
2011-01-11;22,870001;23;22,73;22,879999;676900;16,501955
2011-01-12;23;23,15;22,85;23,02;693900;16,602936
2011-01-13;23,030001;23,07;22,889999;22,940001;520900;16,545233
2011-01-14;22,91;23;22,77;22,950001;946400;16,552439
2011-01-18;23,040001;23,040001;22,74;22,889999;701500;16,509172
2011-01-19;22,889999;22,93;22,65;22,73;883600;16,393776
2011-01-20;22,610001;22,860001;22,58;22,610001;1192800;16,307228
2011-01-21;22,799999;23,01;22,360001;22,389999;3092700;16,148552
2011-01-24;22,41;22,690001;22,33;22,559999;871000;16,27116
2011-01-25;22,51;22,879999;22,25;22,68;1188700;16,35771
2011-01-26;22,780001;23,07;22,59;22,98;772100;16,574087
2011-01-27;22,950001;23,27;22,91;23,23;797500;16,754389
2011-01-28;23,25;23,469999;22,58;22,620001;1046900;16,314438
2011-01-31;22,709999;22,860001;22,52;22,530001;1155000;16,249527
2011-02-01;22,75;22,98;22,52;22,959999;1709200;16,559654
2011-02-02;23,01;23,440001;22,639999;22,860001;1853900;16,487534
2011-02-03;22,860001;22,860001;22,52;22,65;1236800;16,336075
2011-02-04;22,74;22,74;22,459999;22,559999;1692000;16,27116
2011-02-07;22,6;22,76;22,57;22,74;2945000;16,40099
2011-02-08;22,719999;23,030001;22,690001;22,99;1208200;16,581293
2011-02-09;22,940001;23,07;22,73;22,860001;922300;16,487534
2011-02-10;22,76;23,139999;22,68;23,02;1179600;16,602936
2011-02-11;22,93;23,65;22,799999;23,629999;1692900;17,042889
2011-02-14;23,6;23,639999;23,290001;23,299999;948600;16,804876
2011-02-15;23,24;23,290001;23;23,02;1016700;16,602936
2011-02-16;23,139999;23,51;23,1;23,49;1338300;16,941912
2011-02-17;23,360001;23,59;23,32;23,5;835600;16,949127
2011-02-18;23,43;23,690001;23,370001;23,620001;969300;17,035677
2011-02-22;23,440001;23,5;22,950001;23,01;1166700;16,59572
2011-02-23;23,02;23,16;22,190001;22,370001;1610800;16,134127
2011-02-24;22,32;22,6;22,16;22,440001;1146600;16,184612
2011-02-25;22,51;22,93;22,450001;22,93;932000;16,538015
2011-02-28;23;23,17;22,75;23,059999;1353400;16,631784
2011-03-01;23,209999;23,34;22,75;22,76;1330000;16,415403
2011-03-02;22,639999;23,280001;22,620001;23,27;2411000;16,783241
2011-03-03;23,48;23,99;23,450001;23,85;2610400;17,201567
2011-03-04;23,889999;23,9;23,440001;23,719999;2836200;17,107798
2011-03-07;23,780001;23,889999;23,049999;23,290001;3906900;16,797672
2011-03-08;23,299999;23,98;23,299999;23,799999;1256900;17,165499
2011-03-09;23,68;23,950001;23,27;23,92;1727200;17,252048
2011-03-10;23,629999;23,790001;23,41;23,41;1473200;16,884214
2011-03-11;23,200001;23,309999;22,950001;23,219999;1310400;16,942591
2011-03-14;23,059999;23,23;22,719999;23,01;1309300;16,789364
2011-03-15;22,370001;23,16;22,309999;22,959999;1280700;16,75288
2011-03-16;22,92;23,059999;22,459999;22,620001;1667600;16,504801
2011-03-17;22,969999;23;22,52;22,559999;1219400;16,461018
2011-03-18;22,76;22,889999;22,59;22,85;1769900;16,672617
2011-03-21;23,129999;23,49;23,110001;23,440001;1256600;17,103117
2011-03-22;23,440001;23,48;23,24;23,280001;863600;16,986368
2011-03-23;23,24;23,469999;22,98;23,389999;1091800;17,066631
2011-03-24;23,549999;23,83;23,51;23,690001;1107800;17,285524
2011-03-25;23,76;23,889999;23,68;23,75;1138900;17,329308
2011-03-28;23,83;23,91;23,65;23,66;811800;17,263634
2011-03-29;23,67;24;23,51;23,98;895900;17,49712
2011-03-30;24,049999;24,59;23,950001;24,59;1493800;17,942215
2011-03-31;24,51;24,68;24,4;24,5;1353800;17,876545
2011-04-01;24,610001;24,799999;24,120001;24,17;1764800;17,635765
2011-04-04;24,23;24,290001;24,030001;24,209999;1125400;17,664944
2011-04-05;24,07;24,17;23,66;23,67;1717900;17,270933
2011-04-06;23,809999;23,92;23,51;23,6;1391500;17,219856
2011-04-07;23,65;23,700001;23,370001;23,67;1212000;17,270933
2011-04-08;23,799999;23,889999;23,08;23,200001;1636200;16,927996
2011-04-11;23,25;23,35;23,110001;23,190001;1610000;16,920704
2011-04-12;23,02;23,1;22,76;22,799999;1308700;16,636131
2011-04-13;22,889999;23,02;22,559999;22,719999;1381600;16,577761
2011-04-14;22,620001;22,9;22,59;22,870001;899800;16,687208
2011-04-15;22,940001;23,139999;22,700001;23,07;978700;16,833138
2011-04-18;22,780001;23;22,73;22,879999;1066000;16,694506
2011-04-19;22,879999;23,040001;22,809999;22,969999;726500;16,760174
2011-04-20;23,290001;23,540001;23,25;23,42;1079600;17,088522
2011-04-21;23,52;23,67;23,389999;23,629999;1034300;17,241747
2011-04-25;23,629999;23,809999;23,48;23,68;1454300;17,278236
2011-04-26;23,780001;24,17;23,719999;24,110001;1200000;17,591984
2011-04-27;24,16;24,280001;24,030001;24,18;1110400;17,643053
2011-04-28;24,1;24,559999;24,049999;24,540001;1496900;17,905733
2011-04-29;25;26,950001;24,940001;26,290001;4577100;19,182634
2011-05-02;26,389999;26,6;25,98;26,17;2065700;19,09507
2011-05-03;26,08;26,200001;26;26,15;1524800;19,080477
2011-05-04;26,09;26,389999;26,02;26,059999;3273000;19,014809
2011-05-05;25,65;25,9;25,309999;25,85;2909200;18,861584
2011-05-06;26,16;26,27;25,98;26,120001;1822100;19,058588
2011-05-09;26,09;26,24;25,99;26,15;1390400;19,080477
2011-05-10;26,27;26,41;26,139999;26,370001;1951100;19,241001
2011-05-11;26,27;26,41;25,77;25,940001;1331600;18,927252
2011-05-12;25,85;26,16;25,84;26,120001;1983700;19,058588
2011-05-13;26,129999;26,24;25,93;25,969999;1490400;18,949139
2011-05-16;25,91;26,139999;25,84;26,049999;1877500;19,007509
2011-05-17;25,969999;26,139999;25,92;26,1;2027000;19,043997
2011-05-18;26,08;26,23;26,01;26,200001;1861500;19,116964
2011-05-19;26,34;26,49;26,09;26,35;1085800;19,22641
2011-05-20;26,33;26,33;25,690001;25,790001;1195400;18,817802
2011-05-23;25,5;25,639999;25,35;25,48;1083200;18,591608
2011-05-24;25,52;25,620001;25,42;25,42;1001800;18,547829
2011-05-25;25,299999;25,610001;25,059999;25,4;1307300;18,533237
2011-05-26;25,389999;25,610001;25,26;25,559999;1098100;18,649981
2011-05-27;25,67;25,73;25,530001;25,59;804900;18,671873
2011-05-31;25,809999;25,959999;25,65;25,83;1264500;18,846987
2011-06-01;25,809999;25,9;25,129999;25,129999;999900;18,336226
2011-06-02;25,110001;25,120001;24,639999;24,9;1803800;18,168411
2011-06-03;24,459999;24,65;24,209999;24,27;1434500;17,708729
2011-06-06;24,219999;24,27;23,9;23,93;1246500;17,460648
2011-06-07;24,139999;24,209999;23,809999;23,809999;2720200;17,373083
2011-06-08;23,83;24;23,73;23,799999;1603200;17,365788
2011-06-09;23,92;24,129999;23,76;23,99;1648700;17,504427
2011-06-10;23,9;23,91;23,26;23,280001;1706600;16,986368
2011-06-13;23,120001;23,209999;22,93;23,139999;1324400;17,082333
2011-06-14;23,360001;23,83;23,33;23,639999;1004700;17,451447
2011-06-15;23,42;23,540001;23,07;23,190001;1169400;17,119247
2011-06-16;23,24;23,450001;23;23,209999;982000;17,134008
2011-06-17;23,4;23,540001;23,17;23,459999;2022300;17,318567
2011-06-20;23,34;23,790001;23,34;23,639999;2927500;17,451447
2011-06-21;23,700001;23,870001;23,639999;23,709999;1794200;17,503124
2011-06-22;23,67;23,75;23,27;23,27;1941100;17,178308
2011-06-23;22,950001;23,34;22,85;23,25;2145800;17,163538
2011-06-24;23,25;23,33;22,799999;22,879999;1543700;16,890396
2011-06-27;22,9;23,200001;22,799999;23,129999;1087400;17,074951
2011-06-28;23,200001;23,440001;23,139999;23,42;950600;17,289038
2011-06-29;23,73;24,040001;23,719999;23,98;2109800;17,702438
2011-06-30;24,1;24,42;23,940001;24,379999;1792800;17,997726
2011-07-01;24,450001;24,92;24,389999;24,9;1363100;18,381596
2011-07-05;24,799999;24,99;24,709999;24,76;1852800;18,278246
