"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;12,59587;12,80236;12,438544;12,792527;4570100;12,146397
2010-01-05;12,73353;13,372664;12,507375;13,323501;6310500;12,65055
2010-01-06;13,284169;13,520157;13,028515;13,470993;6471100;12,790596
2010-01-07;14,680432;15,732547;14,375614;15,201573;29197400;14,433764
2010-01-08;15,142576;15,801376;14,936087;15,683382;8788400;14,891241
2010-01-11;15,801376;16,076696;15,712881;15,9882;6513400;15,180663
2010-01-12;15,880039;16,253687;15,683382;15,860373;7508000;15,059296
2010-01-13;16,017698;16,165192;15,585054;15,978368;5270700;15,171329
2010-01-14;16,243855;16,558506;16,007866;16,076696;5075600;15,264688
2010-01-15;15,998034;16,106195;15,585054;15,693215;5731500;14,900578
2010-01-19;15,496558;16,066864;15,496558;15,939036;4880400;15,133984
2010-01-20;15,791544;15,870207;15,447394;15,476892;5628700;14,695182
2010-01-21;15,506392;15,614552;15,024582;15,054081;4638300;14,293724
2010-01-22;15,054081;15,309734;14,46411;14,53294;6465500;13,835668
2010-01-25;14,798427;14,847591;14,178958;14,454277;5067100;13,760779
2010-01-26;14,375614;14,700098;14,267453;14,316618;4183000;13,629727
2010-01-27;14,306785;14,906588;14,060964;14,857424;6378900;14,144582
2010-01-28;15,073747;15,60472;14,768929;15,132744;8421000;14,406693
2010-01-29;15,231071;15,693215;15,01475;15,103245;7185100;14,378609
2010-02-01;15,211406;15,231071;14,80826;15,063913;4719900;14,341164
2010-02-02;15,378565;16,352016;15,378565;16,273354;10596600;15,492579
2010-02-03;16,096361;16,243855;15,644052;15,9882;4385100;15,221105
2010-02-04;15,624386;15,722713;14,98525;15,083579;5912600;14,35989
2010-02-05;15,044248;15,19174;13,982301;14,46411;8785600;13,770143
2010-02-08;14,503442;15,585054;14,277287;15,132744;9143700;14,406693
2010-02-09;15,142576;15,408063;14,778761;15,339233;5415400;14,603275
2010-02-10;15,408063;15,437561;14,926253;15,349066;4095700;14,612637
2010-02-11;15,693215;16,715832;15,53589;16,705997;12930100;15,904465
2010-02-12;16,499508;16,902655;16,273354;16,6765;10665300;15,876382
2010-02-16;16,892822;17,079645;16,863323;17,050148;5540600;16,232101
2010-02-17;17,227139;17,581121;16,804327;17,050148;5846500;16,232101
2010-02-18;16,941986;17,000984;16,470011;16,755163;5372500;15,951271
2010-02-19;16,637169;17,148476;16,637169;17,020649;6255900;16,204016
2010-02-22;17,138643;17,246805;16,686333;16,88299;5887600;16,072968
2010-02-23;16,794493;16,961653;15,821042;16,007866;8482600;15,239829
2010-02-24;16,175024;16,283186;15,004916;15,998034;13348300;15,230467
2010-02-25;15,644052;16,047197;15,3294;15,998034;7294300;15,230467
2010-02-26;15,939036;16,194691;15,526057;16,135693;5888900;15,361524
2010-03-01;16,204523;16,420845;16,135693;16,361849;3961800;15,576829
2010-03-02;16,519175;16,666666;16,224188;16,322517;3460300;15,539387
2010-03-03;16,361849;16,686333;16,283186;16,50934;3945500;15,717237
