"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;35,77;36,349998;35,77;35,82;6067100;25,083366
2010-01-05;35,900002;35,91;34,93;35,189999;7517100;24,642202
2010-01-06;35,240002;35,529999;35,240002;35,450001;7661600;24,824272
2010-01-07;35,490002;35,560001;35,150002;35,27;5997100;24,698223
2010-01-08;35,279999;35,279999;34,84;35;5624400;24,509151
2010-01-11;35,09;35,560001;35,09;35,48;4793400;24,845284
2010-01-12;35,349998;35,599998;35,209999;35,360001;4700800;24,761255
2010-01-13;35,349998;36;35,27;35,849998;5320900;25,104374
2010-01-14;35,75;36;35,75;36;6417300;25,209417
2010-01-15;36;36,110001;35,43;35,82;6519600;25,083366
2010-01-19;35,990002;37,919998;35,91;37,41;17795600;26,196785
2010-01-20;37,400002;37,720001;36,66;37,299999;8851200;26,119751
2010-01-21;37,27;37,48;36;36,110001;11022600;25,286444
2010-01-22;36,09;36,41;35,459999;35,52;7247500;24,873291
2010-01-25;35,849998;36,02;35,529999;35,75;6499400;25,034353
2010-01-26;35,959999;36,240002;35,77;36,16;7128400;25,321453
2010-01-27;36,16;36,419998;35,900002;36,389999;7009700;25,482517
2010-01-28;35,91;36,009998;35,27;35,75;9423500;25,034353
2010-01-29;35,939999;35,939999;35,130001;35,200001;9281900;24,649202
2010-02-01;35,360001;35,689999;34,849998;35;6767300;24,509151
2010-02-02;35;35,75;34,900002;35,619999;6573500;24,94331
2010-02-03;35,450001;35,450001;35,07;35,310001;5493500;24,726248
2010-02-04;35,099998;35,220001;34,610001;34,669998;8914200;24,278065
2010-02-05;34,639999;34,82;33,91;34,52;8698500;24,173029
2010-02-08;34,490002;35,130001;34,220001;34,779999;8301000;24,355097
2010-02-09;34,950001;35,470001;34,860001;35,200001;10261600;24,649202
2010-02-10;34,75;34,75;33,98;34,169998;9425900;24,265724
2010-02-11;34,169998;34,43;33,82;34,169998;6352000;24,265724
2010-02-12;33,950001;34,040001;33,630001;33,950001;8706400;24,109491
2010-02-16;34,25;34,25;33,950001;34,080002;7280900;24,201815
2010-02-17;34,349998;34,619999;34,220001;34,389999;5708100;24,421959
2010-02-18;34,389999;34,59;34,259998;34,41;4158200;24,436159
2010-02-19;34,200001;34,48;33,860001;34,240002;5476400;24,315437
2010-02-22;34,400002;34,650002;34,080002;34,470001;5855000;24,478769
2010-02-23;34,360001;34,470001;33,849998;33,959999;5547900;24,11659
2010-02-24;34,110001;34,310001;33,959999;34,040001;4426200;24,173405
2010-02-25;33,84;34,32;33,720001;34,240002;6111600;24,315437
2010-02-26;34,330002;34,52;34,189999;34,34;4850100;24,386446
2010-03-01;34,5;34,549999;34,279999;34,32;5714700;24,37225
2010-03-02;34,34;34,759998;34,330002;34,549999;6316400;24,53558
