"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;15,245;15,35;15,12;15,175;1332800;10,54829
2010-01-05;15,185;15,555;15,155;15,53;3684600;10,795052
2010-01-06;15,475;15,755;15,475;15,65;2092400;10,878465
2010-01-07;15,61;15,78;15,525;15,735;1404400;10,937549
2010-01-08;16,120001;16,625;15,81;16,040001;2466200;11,149558
2010-01-11;16,17;16,209999;15,935;16,004999;1471200;11,125227
2010-01-12;15,93;16,165001;15,93;16,01;1424400;11,128705
2010-01-13;16,094999;16,225;16,01;16,16;1657400;11,232972
2010-01-14;16,125;16,360001;16,075001;16,34;2864200;11,358091
2010-01-15;16,325001;16,41;16,26;16,355;1978200;11,368516
2010-01-19;16,4;16,655001;16,334999;16,58;1636400;11,524918
2010-01-20;16,459999;16,525;16,290001;16,469999;1662200;11,448452
2010-01-21;16,445;16,66;16,280001;16,395;2532000;11,39632
2010-01-22;16,4;16,485001;15,94;15,98;2004800;11,107849
2010-01-25;16,120001;16,135;15,82;15,91;2595400;11,059195
2010-01-26;15,92;15,95;15,695;15,87;3661000;11,031391
2010-01-27;15,645;15,645;15,32;15,545;2056400;10,941647
2010-01-28;15,565;15,73;15,44;15,625;1860400;10,997954
2010-01-29;15,645;15,775;15,545;15,6;2795800;10,98036
2010-02-01;15,68;15,68;15,435;15,655;1603800;11,01907
2010-02-02;15,705;15,825;15,455;15,8;2437600;11,121133
2010-02-03;15,79;15,865;15,625;15,72;1962800;11,064822
2010-02-04;15,81;15,945;15,255;15,3;1778400;10,769197
2010-02-05;15,285;15,375;15,06;15,35;2423200;10,804392
2010-02-08;15,41;15,495;15,295;15,31;1696000;10,776237
2010-02-09;15,37;15,56;15,295;15,395;816600;10,836067
2010-02-10;15,335;15,43;15,175;15,315;1008800;10,779758
2010-02-11;15,3;15,46;15,16;15,455;1111000;10,878302
2010-02-12;15,375;15,495;15,24;15,485;2468800;10,899412
2010-02-16;15,615;15,845;15,61;15,83;1185600;11,142251
2010-02-17;15,835;15,935;15,665;15,8;1070200;11,121133
2010-02-18;15,815;15,985;15,77;15,955;922000;11,230229
2010-02-19;15,89;16,245001;15,87;16,209999;1004800;11,409719
2010-02-22;16,25;16,41;16,145;16,215;839200;11,413238
2010-02-23;16,139999;16,225;16,01;16,040001;1144600;11,29006
2010-02-24;16,045;16,094999;15,85;16,01;982800;11,268945
2010-02-25;15,855;15,875;15,64;15,865;1317400;11,166883
2010-02-26;15,91;15,91;15,74;15,815;905000;11,131691
2010-03-01;15,89;16,105;15,89;16,105;1084400;11,33581
2010-03-02;16,135;16,35;16,120001;16,344999;1168400;11,504744
2010-03-03;16,33;16,42;16,195;16,235001;900400;11,427316
2010-03-04;16,299999;16,299999;16,07;16,254999;1084600;11,441396
2010-03-05;16,365;16,450001;16,26;16,424999;948800;11,561049
2010-03-08;16,365;16,584999;16,365;16,540001;1316400;11,641997
2010-03-09;16,540001;16,6;16,415001;16,540001;992800;11,641997
2010-03-10;16,525;16,605;16,43;16,59;924600;11,677193
2010-03-11;16,485001;16,764999;16,455;16,764999;1072400;11,800364
2010-03-12;16,844999;16,885;16,745001;16,885;2194000;11,884831
2010-03-15;16,83;16,934999;16,745001;16,805;961000;11,82852
2010-03-16;16,805;16,875;16,700001;16,745001;2727200;11,786289
2010-03-17;16,815001;16,91;16,75;16,895;900800;11,891871
2010-03-18;16,77;16,799999;16,105;16,24;4559400;11,430834
2010-03-19;16,35;16,355;16,17;16,35;3366400;11,50826
2010-03-22;16,299999;16,465;16,23;16,415001;1554600;11,554014
2010-03-23;16,41;16,799999;16,389999;16,73;2358200;11,775729
2010-03-24;16,74;16,74;16,6;16,610001;1512200;11,691266
2010-03-25;16,74;16,764999;16,555;16,594999;1204800;11,680706
2010-03-26;16,620001;16,725;16,535;16,58;2643800;11,670153
2010-03-29;16,615;16,75;16,6;16,725;1221400;11,77221
2010-03-30;16,775;16,785;16,65;16,690001;1207600;11,747577
2010-03-31;16,68;16,805;16,605;16,629999;1866800;11,705343
2010-04-01;16,690001;16,895;16,655001;16,895;1190000;11,891871
2010-04-05;16,91;17,075001;16,875;16,965;1043200;11,941141
2010-04-06;16,834999;17,1;16,690001;17,08;1028200;12,022088
2010-04-07;17,004999;17,059999;16,809999;16,934999;877600;11,920025
2010-04-08;16,895;16,9;16,705;16,815001;872600;11,835559
2010-04-09;16,855;16,855;16,540001;16,805;1109000;11,82852
2010-04-12;16,775;16,889999;16,76;16,885;606400;11,884831
2010-04-13;16,844999;16,879999;16,754999;16,879999;1203400;11,88131
2010-04-14;16,91;17,225;16,879999;17,15;1793000;12,071354
2010-04-15;17,1;17,495001;17,1;17,280001;1874800;12,162855
2010-04-16;17,225;17,35;17,165001;17,245001;2421600;12,138224
2010-04-19;17,245001;17,275;17,105;17,24;857200;12,134705
2010-04-20;17,33;17,495001;17,23;17,475;1256400;12,300115
2010-04-21;17,469999;17,73;17,469999;17,67;1548800;12,437369
2010-04-22;17,615;17,870001;17,51;17,865;1410000;12,574619
2010-04-23;17,885;17,885;17,705;17,815001;1265800;12,539428
2010-04-26;17,74;17,855;17,66;17,68;1193400;12,444404
2010-04-27;17,57;17,584999;17,075001;17,1;2494400;12,036159
2010-04-28;17,055;17,120001;16,83;16,91;4027600;12,041501
2010-04-29;16,959999;17,16;16,834999;17,07;2077800;12,155437
2010-04-30;17,105;17,334999;17,065001;17,1;1632800;12,176799
2010-05-03;17,139999;17,295;17,040001;17,264999;1569800;12,294295
2010-05-04;16,275;17,165001;15,955;16,83;1910000;11,984531
2010-05-05;16,754999;16,84;16,540001;16,75;1788600;11,927567
2010-05-06;16,625;17,055;14,6;16,094999;3029600;11,461147
2010-05-07;16,07;16,27;15,74;15,885;3250800;11,311607
2010-05-10;16,455;16,65;16,315001;16,635;1886600;11,845675
2010-05-11;16,459999;16,995001;16,440001;16,85;2135800;11,998778
2010-05-12;16,945;17,125;16,809999;17,075001;2059000;12,158998
2010-05-13;17,01;17,25;17,01;17,120001;2820000;12,191044
2010-05-14;17,040001;17,105;16,9;17,059999;1742600;12,148314
2010-05-17;17,165001;17,295;16,950001;17,26;2713000;12,290733
2010-05-18;17,35;17,559999;17,129999;17,145;3157800;12,208843
2010-05-19;17,110001;17,125;16,635;16,77;1575200;11,941811
2010-05-20;16,440001;16,440001;16,030001;16,059999;2439400;11,436222
2010-05-21;15,855;15,905;15,685;15,895;4623600;11,318728
2010-05-24;15,805;15,98;15,755;15,79;2956400;11,243959
2010-05-25;15,45;15,615;15,2;15,57;3035200;11,087296
2010-05-26;15,665;15,845;15,56;15,61;1578600;11,115782
2010-05-27;15,895;16,049999;15,785;16,030001;1670200;11,414861
2010-05-28;16;16,264999;16;16,07;2262400;11,443344
2010-06-01;15,98;16,105;15,76;15,775;2386600;11,233274
2010-06-02;15,805;16,120001;15,745;16,1;1167600;11,464705
2010-06-03;16,18;16,405001;16,1;16,355;1749400;11,646289
2010-06-04;16,09;16,18;15,67;15,7;2033600;11,179869
2010-06-07;15,725;16,07;15,705;15,78;1301400;11,236837
2010-06-08;15,765;15,885;15,62;15,85;1435600;11,286685
2010-06-09;15,975;16,09;15,785;15,845;1208200;11,283121
2010-06-10;16,025;16,245001;15,99;16,174999;1567000;11,518114
2010-06-11;16,004999;16,23;15,96;16,195;1432600;11,532357
2010-06-14;16,315001;16,440001;16,17;16,225;1314200;11,55372
2010-06-15;16,305;16,559999;16,305;16,545;1626600;11,78159
2010-06-16;16,469999;16,82;16,459999;16,780001;1180400;11,948934
2010-06-17;16,85;16,945;16,73;16,934999;1035600;12,059305
2010-06-18;16,559999;16,915001;16,545;16,77;1056200;11,941811
2010-06-21;16,895;16,955;16,495001;16,565001;1738200;11,795831
2010-06-22;16,57;16,674999;16,145;16,17;1708800;11,514555
2010-06-23;16,17;16,17;15,865;15,91;1176600;11,329412
2010-06-24;15,79;16,049999;15,785;15,905;1569400;11,325846
2010-06-25;15,95;16,18;15,77;16,08;1912600;11,450468
2010-06-28;16,059999;16,344999;16,049999;16,254999;622600;11,575085
2010-06-29;16,040001;16,055;15,78;15,855;1020200;11,290246
2010-06-30;15,855;16,165001;15,755;15,87;1327600;11,300927
2010-07-01;15,84;15,84;15,56;15,68;1547400;11,165629
2010-07-02;15,745;15,825;15,575;15,735;1199600;11,204792
2010-07-06;15,87;16,17;15,73;15,915;1657800;11,332969
2010-07-07;15,9;16,450001;15,9;16,450001;1531200;11,71394
2010-07-08;16,530001;16,620001;16,389999;16,59;1189200;11,813635
2010-07-09;16,555;16,795;16,545;16,764999;1527600;11,938249
2010-07-12;16,655001;17,025;16,615;16,985001;2029200;12,094912
2010-07-13;17,115;17,235001;17,014999;17,18;1118200;12,233768
2010-07-14;17,165001;17,245001;17,01;17,215;1113800;12,258695
2010-07-15;17,25;17,379999;17,09;17,355;1183400;12,358386
2010-07-16;17,219999;17,225;16,745001;16,785;1804000;11,952489
2010-07-19;16,870001;16,969999;16,73;16,950001;1235600;12,069988
2010-07-20;16,73;17,215;16,73;17,205;1027000;12,251571
2010-07-21;17,25;17,275;16,875;16,959999;869800;12,077107
2010-07-22;17,190001;17,450001;17,129999;17,285;1323600;12,30854
2010-07-23;17,184999;17,51;17,155001;17,48;839000;12,447395
2010-07-26;17,434999;17,75;17,42;17,684999;1072000;12,593374
2010-07-27;17,799999;18,040001;17,754999;18,02;1227600;12,83193
2010-07-28;17,705;17,799999;17,629999;17,705;611400;12,74733
2010-07-29;17,870001;17,870001;17,365;17,549999;872000;12,63573
2010-07-30;17,370001;17,424999;17,200001;17,280001;1102600;12,441333
2010-08-02;17,549999;17,68;17,24;17,4;4589000;12,527734
2010-08-03;17,305;17,525;17,285;17,385;1309800;12,516932
2010-08-04;17,445;17,555;17,334999;17,525;1555600;12,617732
2010-08-05;16,809999;17,514999;16,809999;17,469999;1320600;12,578131
2010-08-06;17,245001;17,684999;17,225;17,605;1730400;12,675329
2010-08-09;17,75;17,915001;17,705;17,805;1356800;12,819328
2010-08-10;17,58;17,870001;17,58;17,805;1711800;12,819328
2010-08-11;17,514999;17,545;17,370001;17,405001;1006600;12,531334
2010-08-12;17,285;17,475;17,084999;17,379999;1072400;12,513331
2010-08-13;17,35;17,77;17,325001;17,700001;1994400;12,743731
2010-08-16;17,665001;17,745001;17,485001;17,735001;1064000;12,768929
2010-08-17;17,795;18,15;17,754999;18,045;1542200;12,992117
2010-08-18;17,98;18,040001;17,785;17,98;1072400;12,945325
2010-08-19;17,860001;17,915001;17,74;17,83;2213800;12,837323
2010-08-20;17,735001;17,82;17,705;17,790001;1620200;12,808531
2010-08-23;17,825001;17,91;17,555;17,68;1869600;12,729326
2010-08-24;17,514999;17,645;17,305;17,540001;1929800;12,628531
2010-08-25;17,450001;17,475;17,200001;17,405001;1542800;12,531334
2010-08-26;17,49;17,540001;17,379999;17,465;1419400;12,574534
2010-08-27;17,565001;17,745001;17,360001;17,719999;992600;12,758129
2010-08-30;17,700001;17,754999;17,424999;17,424999;956200;12,545732
2010-08-31;17,360001;17,610001;17,299999;17,51;1971200;12,606933
2010-09-01;17,674999;17,975;17,674999;17,965;1120200;12,934523
