"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;23,51;23,59;23,139999;23,16;9616700;19,206526
2010-01-05;23,120001;23,129999;22,74;22,92;14428400;19,00749
2010-01-06;22,84;23,17;22,75;22,98;12448200;19,057249
2010-01-07;23,24;23,809999;23,07;23,639999;16572300;19,60458
2010-01-08;23,51;23,639999;23,25;23,59;8668900;19,56312
2010-01-11;23,6;23,610001;23,200001;23,389999;7975300;19,397264
2010-01-12;23,219999;23,469999;23,01;23,33;10248100;19,347507
2010-01-13;23,459999;23,5;23,110001;23,219999;10514000;19,256281
2010-01-14;23,389999;23,42;23,17;23,190001;10643500;19,2314
2010-01-15;23,059999;23,33;23;23,129999;12862400;19,256376
2010-01-19;23,07;23,25;22,99;23,110001;9619900;19,239731
2010-01-20;22,940001;23,32;22,709999;22,799999;15221200;18,981646
2010-01-21;22,780001;23,040001;22,549999;22,889999;13639900;19,056572
2010-01-22;22,77;23,389999;22,26;22,309999;12236800;18,573709
2010-01-25;22,459999;22,5;21,98;22,120001;13266300;18,415525
2010-01-26;22,01;22,389999;21,940001;21,959999;13760700;18,282322
2010-01-27;22;22,5;21,93;22,120001;14136200;18,415525
2010-01-28;22,219999;22,26;21,780001;21,98;15261200;18,298969
2010-01-29;22,190001;22,25;21,610001;21,65;21935300;18,024246
2010-02-01;21,719999;21,99;21,67;21,99;12454300;18,307295
2010-02-02;21,969999;22,639999;21,57;22,58;16244400;18,798487
2010-02-03;22,34;22,48;21,66;22,110001;38815000;18,407196
2010-02-04;21,889999;22,09;21,57;21,6;18434400;17,982611
2010-02-05;21,59;21,82;21,290001;21,59;15147100;17,974281
2010-02-08;21,76;22,26;21,719999;21,76;12352900;18,115818
2010-02-09;22,02;22,07;21,66;21,84;16562900;18,182413
2010-02-10;21,84;21,889999;21,469999;21,799999;9638600;18,14912
2010-02-11;21,9;22,23;21,620001;22,17;12708300;18,457157
2010-02-12;22,040001;22,190001;21,780001;22,16;11256900;18,44883
2010-02-16;22,290001;22,75;22,219999;22,74;8992800;18,931692
2010-02-17;22,959999;23,18;22,870001;23,049999;11773500;19,189775
2010-02-18;22,98;23,200001;22,809999;23,15;8571100;19,273035
2010-02-19;23,08;23,219999;22,790001;23,129999;18888700;19,256376
2010-02-22;23,43;23,469999;22,879999;23,07;25810200;19,206429
2010-02-23;23,09;23,200001;22,700001;22,809999;16679500;18,989971
2010-02-24;22,83;23,65;22,83;23,639999;16583800;19,680962
2010-02-25;23,110001;23,870001;23,110001;23,82;16795100;19,830818
2010-02-26;23,809999;23,969999;23,700001;23,709999;13102300;19,739243
2010-03-01;23,790001;24;23,6;23,98;9701600;19,964025
2010-03-02;23,98;24;23,610001;23,690001;9887000;19,722593
2010-03-03;23,690001;23,98;23,530001;23,620001;9627100;19,664324
2010-03-04;23,530001;23,82;23,530001;23,790001;10692700;19,805853
2010-03-05;23,870001;24,15;23,84;24,049999;10758900;20,022305
2010-03-08;24,08;24,129999;23,92;23,950001;9528200;19,939053
2010-03-09;23,889999;24,23;23,85;24,01;11145800;19,988998
2010-03-10;23,98;24,33;23,92;24,290001;9675300;20,222113
2010-03-11;24,25;24,620001;24,15;24,59;8535900;20,471867
2010-03-12;24,77;25;24,620001;24,950001;16217100;20,771576
2010-03-15;25;25,08;24,77;25,040001;8989200;20,84651
2010-03-16;25,030001;25,25;24,860001;25,049999;12994700;20,854832
2010-03-17;25,139999;25,309999;25,049999;25,16;12615600;20,946407
2010-03-18;25,200001;25,27;24,82;24,9;10390100;20,729946
2010-03-19;24,780001;25,01;24,65;24,780001;16328800;20,630051
2010-03-22;24,65;25,030001;24,629999;24,91;12325400;20,738277
2010-03-23;24,75;24,83;24,459999;24,83;12291600;20,671684
2010-03-24;24,75;24,75;24,35;24,379999;9807300;20,297043
2010-03-25;24,51;24,620001;24,34;24,34;12777600;20,263741
2010-03-26;24,440001;24,59;24,309999;24,48;12185400;20,380289
2010-03-29;24,51;24,620001;24,26;24,309999;7946500;20,238766
2010-03-30;24,389999;24,549999;24,309999;24,34;6960400;20,263741
2010-03-31;24,26;24,34;24,16;24,24;9008600;20,180487
