"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;15,6;16,620001;15,52;16,620001;36415700;11,305332
2010-01-05;17,01;18,290001;16,959999;18,27;66116600;12,427706
2010-01-06;18,030001;18,35;17,799999;18,1;31210700;12,312065
2010-01-07;17,85;18,559999;17,66;18,5;29376100;12,584155
2010-01-08;18,35;18,4;18,01;18,1;18760500;12,312065
2010-01-11;18,4;18,68;18,200001;18,360001;22028000;12,488923
2010-01-12;18,370001;18,85;18,18;18,34;34472600;12,475315
2010-01-13;18,5;18,65;17,610001;18,290001;25562200;12,441307
2010-01-14;18,32;19,120001;18,18;18,65;32126200;12,686188
2010-01-15;18,620001;18,92;18,200001;18,4;19672900;12,51613
2010-01-19;18,32;18,639999;17,91;18,620001;18572100;12,665786
2010-01-20;18,35;18,5;17,65;17,879999;25002000;12,162416
2010-01-21;17,860001;18,299999;16,98;17,02;29746200;11,577423
2010-01-22;16,950001;17,290001;16,15;16,280001;36811100;11,074055
2010-01-25;16,73;16,75;15,56;16,190001;28101300;11,012836
2010-01-26;15,97;16,549999;15,85;16,209999;28934500;11,02644
2010-01-27;16,18;16,290001;15,77;16,24;18153500;11,046845
2010-01-28;16,4;16,780001;15,77;15,86;22569200;10,788363
2010-01-29;16,120001;16,5;15,37;15,5;30200400;10,543481
2010-02-01;15,67;17,120001;15,67;17,110001;36443500;11,638642
2010-02-02;17,02;17,15;16,309999;16,950001;31679700;11,529808
2010-02-03;16,940001;17,02;16,49;16,52;15652300;11,237309
2010-02-04;16,219999;16,24;15,33;15,37;32569900;10,455052
2010-02-05;15,55;15,77;14,88;15,71;29592300;10,686328
2010-02-08;15,81;16,200001;15,4;15,54;21102400;10,57069
2010-02-09;15,93;16,08;15,5;15,89;20931300;10,808765
2010-02-10;15,99;16,200001;15,71;15,84;15124700;10,774758
2010-02-11;15,98;16,93;15,75;16,870001;27332000;11,475388
2010-02-12;16,549999;16,82;16,25;16,809999;23036600;11,434575
2010-02-16;17,18;17,65;17,1;17,559999;21864600;11,944743
2010-02-17;17,85;17,950001;17,309999;17,459999;23050900;11,87672
2010-02-18;16,389999;16,5;15,8;15,91;53185900;10,822373
2010-02-19;15,87;16,440001;15,87;16,24;28488600;11,046845
2010-02-22;16,5;16,74;16,41;16,52;19226400;11,237309
2010-02-23;16,440001;16,469999;15,95;16,09;23120700;10,944814
2010-02-24;16,25;16,34;16,01;16,09;17605200;10,944814
2010-02-25;15,85;16,24;15,5;16,200001;20621600;11,019639
2010-02-26;16,299999;16,780001;16,049999;16,629999;24100500;11,312134
2010-03-01;16,870001;17,299999;16,799999;17,09;22198700;11,625038
2010-03-02;17,34;17,469999;17,049999;17,110001;20437200;11,638642
2010-03-03;17,110001;17,41;16,9;17,17;19647300;11,679455
2010-03-04;17,190001;17,25;16,780001;17,18;18190400;11,686257
2010-03-05;17,389999;17,98;17,34;17,870001;25164200;12,155613
2010-03-08;17,99;18,6;17,9;18,440001;28276300;12,543343
2010-03-09;18,360001;19,299999;18,25;18,85;41037700;12,822232
2010-03-10;19,25;19,84;18,959999;19,73;42071300;13,420833
2010-03-11;19,59;19,620001;19,1;19,34;25767300;13,15554
2010-03-12;19,67;19,889999;19,4;19,59;25320700;13,325595
2010-03-15;19,25;19,450001;18,299999;18,690001;34005700;12,713396
2010-03-16;18,9;20,110001;18,75;20,059999;42332200;13,645308
2010-03-17;20,35;20,549999;19,629999;19,84;36219800;13,495659
2010-03-18;19,75;19,84;19,280001;19,280001;22973100;13,114732
2010-03-19;19,5;19,58;19,25;19,5;23020300;13,26438
2010-03-22;19,15;21,59;18,879999;21,43;74328000;14,577212
2010-03-23;21,780001;22,1;20,9;21,450001;46784600;14,59082
2010-03-24;21,33;22,389999;21,23;21,9;55172400;14,896916
2010-03-25;22,290001;22,49;20,82;20,93;43210800;14,237101
2010-03-26;21,15;22,219999;21,120001;21,889999;53852400;14,890115
2010-03-29;22,1;22,139999;21,43;21,860001;29358100;14,869712
2010-03-30;21,879999;21,940001;21;21,209999;36316400;14,427567
2010-03-31;20,98;21,620001;20,6;21,15;40794200;14,38675
2010-04-01;21,18;21,48;20,700001;21,299999;34438000;14,48878
2010-04-05;21,67;23,41;21,559999;23,360001;58182900;15,890053
2010-04-06;23,4;23,959999;23,08;23,43;46346100;15,937663
2010-04-07;22,889999;23,35;22,6;22,93;38588600;15,597548
2010-04-08;22,809999;24,66;22,6;24,23;64044300;16,481842
2010-04-09;24,379999;24,42;23,93;24,120001;35189600;16,407019
2010-04-12;24,440001;24,950001;24,1;24,219999;38662600;16,475037
2010-04-13;24,370001;24,799999;24,18;24,389999;28419200;16,590679
2010-04-14;24,77;24,83;23,93;24;41134000;16,32539
2010-04-15;23,34;24,24;23,27;23,719999;33483900;16,134926
2010-04-16;23,780001;23,950001;22,32;22,9;43909100;15,577143
2010-04-19;22,6;23,440001;22,07;22,77;33587500;15,488713
2010-04-20;23,43;24,23;23,35;24,049999;31848500;16,3594
2010-04-21;24,16;24,190001;23,379999;23,709999;23517800;16,12812
2010-04-22;23,41;24,49;23,26;24,43;26882800;16,617882
2010-04-23;24,65;25,92;24,610001;25,120001;41221500;17,087246
2010-04-26;26,18;26,57;25,809999;26,200001;40524300;17,821886
2010-04-27;25,959999;26,030001;24,58;24,690001;44972600;16,794743
2010-04-28;25,27;25,48;24,23;25,15;33757000;17,107645
2010-04-29;25,559999;26,23;25,43;26,049999;28379000;17,719847
2010-04-30;26;26,440001;24,75;24,860001;35608400;16,910387
2010-05-03;25,389999;25,83;24,43;25,65;32499200;17,447762
2010-05-04;25,17;25,209999;23,549999;23,870001;50612900;16,236961
2010-05-05;22,870001;24,49;22,08;23,309999;49651400;15,856033
2010-05-06;22,639999;23,879999;18,08;21,65;74236000;14,726863
2010-05-07;22,26;22,379999;19,59;21,190001;74402900;14,413963
2010-05-10;23,42;23,75;22,83;23,25;43415700;15,81522
2010-05-11;22,76;24,299999;22,58;23,610001;42743800;16,060102
2010-05-12;24,16;24,200001;23,709999;24,02;30875600;16,338993
2010-05-13;24,24;24,879999;23,77;24,4;39484900;16,597483
2010-05-14;24,030001;24,129999;23,049999;23,43;33809100;15,937663
2010-05-17;23,15;23,67;21,809999;22,5;44442200;15,305053
2010-05-18;23,219999;23,469999;22,17;22,23;42395100;15,121391
2010-05-19;22,09;22,629999;20,82;21,75;47117000;14,794883
2010-05-20;20,68;21,049999;19,75;19,85;48869100;13,502462
2010-05-21;19,209999;21,450001;19,059999;21;59260900;14,28472
2010-05-24;21,110001;22,049999;20,879999;20,889999;35999200;14,209888
2010-05-25;19,93;21,450001;19,51;21,370001;48648500;14,536402
2010-05-26;21,93;22,49;21,52;21,65;45458100;14,726863
2010-05-27;22,76;23,83;22,610001;23,83;43608500;16,209751
2010-05-28;23,959999;24,49;22,870001;23,48;49908300;15,97167
2010-06-01;23,17;23,77;22,91;23,02;35562500;15,65877
2010-06-02;23,57;24,27;23,25;24,25;33284600;16,495447
2010-06-03;24,629999;25,17;24,16;24,93;43436100;16,957998
2010-06-04;24,370001;25,459999;23,75;24,25;58190200;16,495447
2010-06-07;24,469999;24,629999;22,709999;22,719999;45624300;15,454707
2010-06-08;23,09;24,01;22,25;23,959999;51287800;16,29818
