"date";"open";"high";"low";"close";"volume";"adjusted"
2016-11-10;32,040001;32,349998;29,82;30,33;35019100;29,137653
2016-11-11;29,799999;30,09;28,85;29,889999;6020100;28,714954
2016-11-14;29,34;30,43;28,75;30,190001;4481900;29,00316
2016-11-15;29,639999;30,700001;29,620001;30,43;3667200;29,233727
2016-11-16;30,77;32,040001;30,610001;31,700001;4342300;30,4538
2016-11-17;31,4;33,064999;30,635;32,509998;5252000;31,231949
2016-11-18;32,139999;33,099998;31,790001;32,68;4253400;31,395271
2016-11-21;32,259998;32,5;31,290001;31,74;5036700;30,492224
2016-11-22;31,52;33,150002;30,43;32,700001;5601700;31,41449
2016-11-23;32,700001;33,470001;32,5;33,02;3619500;31,721905
2016-11-25;32,759998;32,779999;32,27;32,59;827800;31,308813
2016-11-28;32,27;33,5;32,169998;32,740002;1928500;31,452909
2016-11-29;33,049999;33,360001;32,720001;33,189999;2139500;31,885223
2016-11-30;33,259998;34,299999;33;33,48;2764900;32,163822
2016-12-01;33,040001;33,259998;32,185001;32,509998;2914900;31,231949
2016-12-02;32,16;33,209999;32,009998;32,990002;1213100;31,693087
2016-12-05;32,869999;33,759998;32,75;33,650002;2004700;32,327148
2016-12-06;33,450001;33,860001;33,209999;33,82;1622900;32,490452
2016-12-07;34,07;34,98;34;34,75;3809400;33,383892
2016-12-08;34,91;36;34,610001;35,93;2603000;34,517509
2016-12-09;35,82;36,509998;35,599998;36,380001;1993100;34,949818
2016-12-12;36,380001;37,215;36,310001;36,73;1258300;35,28606
2016-12-13;36,970001;37,09;35,669998;36,580002;1814000;35,14196
2016-12-14;36,619999;37;34,970001;35,150002;3886300;33,768162
2016-12-15;35,060001;35,264;34,150002;34,380001;1555100;33,02845
2016-12-16;34,34;35,470001;34,279999;35,259998;3784000;33,873848
2016-12-19;35,310001;35,84;34,27;34,48;1983200;33,124512
2016-12-20;34,220001;35,110001;34,200001;34,950001;944900;33,576031
2016-12-21;34,639999;35,220001;34,459999;35,02;703600;33,643284
2016-12-22;35;36,619999;34,799999;36,330002;1438500;34,901791
2016-12-23;36,41;37,07;35,970001;36,849998;888300;35,40134
2016-12-27;36,650002;37,490002;36,610001;37,34;822200;35,872074
2016-12-28;37,25;37,66;37,009998;37,23;533800;35,766407
2016-12-29;37,369999;37,959999;37,143002;37,77;658500;36,285172
2016-12-30;37,740002;38,52;37,674999;37,849998;773000;36,362022
2017-01-03;37,709999;38,599998;37,360001;37,490002;2007000;36,016186
2017-01-04;37,669998;38,41;36,424999;36,98;1712300;35,52623
2017-01-05;36,98;37,709999;36,48;36,619999;1099600;35,180378
2017-01-06;36,419998;36,959999;36,060001;36,830002;1368000;35,382126
2017-01-09;36,810001;37,09;36,099998;36,889999;1333800;35,439766
2017-01-10;38,790001;38,959999;36,189999;36,84;3712600;35,391739
2017-01-11;36,700001;37,200001;36,02;36,889999;2185900;35,439766
2017-01-12;36,689999;37,009998;36,119999;36,959999;1235200;35,507015
2017-01-13;36,889999;37,299999;36,549999;37,220001;1010200;35,756802
2017-01-17;37,139999;37,220001;36,75;36,889999;1907200;35,439766
2017-01-18;36,75;36,880001;36,41;36,639999;1214200;35,199596
2017-01-19;36,790001;37;36,330002;36,959999;890400;35,507015
2017-01-20;36,950001;37,560001;36,77;37,110001;1337000;35,651119
2017-01-23;36,98;37,419998;36,466;36,77;2035300;35,324486
2017-01-24;36,66;37,669998;36,59;37,490002;1199600;36,016186
2017-01-25;37,450001;37,799999;36,439999;36,669998;1183300;35,228413
2017-01-26;36,389999;36,869999;36,25;36,330002;1015300;35,081161
2017-01-27;36,400002;36,540001;35,810001;36,439999;1088400;35,187382
2017-01-30;36,200001;36,93;36,200001;36,779999;912300;35,51569
