"date";"open";"high";"low";"close";"volume";"adjusted"
2010-04-28;22,25;22,25;21,700001;22;5244400;16,176243
2010-04-29;22;23,25;21,9;23;8773600;16,91153
2010-04-30;22,950001;23;22,25;22,299999;1644400;16,396833
2010-05-03;22,75;22,950001;22,65;22,799999;3302700;16,764475
2010-05-04;22,799999;22,799999;21,5;21,5;2276500;15,808602
2010-05-05;22;22;20;20,59;6999200;15,139489
2010-05-06;20,5;20,549999;18,450001;19,450001;8029400;14,30127
2010-05-07;19,5;19,549999;17,9;18,6;3881500;13,676281
2010-05-10;19,75;19,85;18,700001;19,01;3861100;13,977745
2010-05-11;18,75;19,280001;18,75;18,9;2626900;13,896864
2010-05-12;19,200001;20,040001;19,200001;19,799999;5714300;14,558619
2010-05-13;19,85;20,1;19,6;19,65;2475900;14,448327
2010-05-14;19,299999;19,4;18,75;18,75;3133400;13,786574
2010-05-17;19;19,200001;18,700001;18,85;10117000;13,860102
2010-05-18;19,049999;19,32;18,25;18,790001;6219800;13,815985
2010-05-19;18,9;18,93;17,549999;17,700001;6227700;13,014527
2010-05-20;17,139999;17,139999;16,200001;16,9;10248400;12,426299
2010-05-21;16,35;17,120001;16,25;16,549999;4560800;12,168946
2010-05-24;16,700001;17,15;16,68;16,9;1761300;12,426299
2010-05-25;16,790001;16,790001;16,200001;16,57;4649600;12,183651
2010-05-26;16,99;17,4;16,799999;17,15;2079300;12,610119
2010-05-27;17,65;18;17,65;17,9;3156100;13,16158
2010-05-28;17,9;17,9;16,25;17,77;222200;13,065997
2010-06-01;17,65;17,799999;17,200001;17,5;900800;12,867469
2010-06-02;17,610001;17,66;17,219999;17,33;829900;12,74247
2010-06-03;17,450001;17,5;17,15;17,33;2173600;12,74247
2010-06-04;17,049999;17,1;16,75;17,049999;3147200;12,536589
2010-06-07;17,15;17,200001;16,74;16,889999;2826800;12,418944
2010-06-08;17,030001;17,030001;16,5;16,75;2037700;12,316004
2010-06-09;16,790001;17,1;16,700001;16,790001;1410200;12,345418
2010-06-10;16,969999;17,07;16,85;16,969999;1401000;12,47777
2010-06-11;16,940001;17,190001;16,940001;17,139999;452500;12,602765
2010-06-14;17,190001;17,58;17,190001;17,49;1008500;12,860115
2010-06-15;17,48;18;17,35;17,969999;1974300;13,213049
2010-06-16;17,93;17,969999;17,629999;17,639999;1041500;12,970407
2010-06-17;17,68;17,75;17,139999;17,299999;1090600;12,72041
2010-06-18;17,33;17,35;17,15;17,209999;1373700;12,654236
2010-06-21;17,450001;17,530001;17,09;17,1;514100;12,573354
2010-06-22;17,09;17,1;16,799999;16,84;1502900;12,382177
2010-06-23;16,9;16,950001;16,6;16,65;1125700;12,242476
2010-06-24;16,690001;16,92;16,35;16,799999;2151600;12,352768
2010-06-25;16,9;16,92;16,700001;16,82;612000;12,367476
2010-06-28;16,870001;16,870001;16,700001;16,870001;355800;12,40424
2010-06-29;16,74;16,74;16,25;16,25;2561000;11,948363
2010-06-30;16,27;16,5;16,15;16,15;1534100;11,874836
2010-07-01;16,24;16,299999;15,4;15,55;4006100;11,433661
2010-07-02;15,58;15,69;15,4;15,48;231700;11,382194
2010-07-06;15,5;15,59;14,9;15,06;833700;11,073376
2010-07-07;15,05;15,15;14,86;15;2137200;11,029257
2010-07-08;14,95;15,15;14,95;15,05;2422200;11,066019
2010-07-09;15,1;16,02;15;15,8;1478700;11,617487
2010-07-12;15,82;16,02;15,8;15,82;786100;11,63219
2010-07-13;15,83;16,5;15,83;16,4;1647300;12,058657
2010-07-14;16,4;16,450001;16,25;16,4;1537200;12,058657
2010-07-15;16,43;16,43;16;16,370001;905900;12,0366
2010-07-16;16,299999;16,299999;16;16,200001;624700;11,911599
2010-07-19;16,18;16,700001;16,110001;16,450001;497300;12,095421
2010-07-20;16,440001;16,440001;16,15;16,190001;1244700;11,904244
2010-07-21;16,190001;16,299999;16,190001;16,24;1801200;11,94101
2010-07-22;16,26;16,59;16,26;16,549999;1126300;12,168946
2010-07-23;16,549999;16,790001;16,52;16,780001;1415100;12,338064
2010-07-26;17;17,700001;17;17,65;3400400;12,977759
