"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;16,9;17,35;16,799999;17,059999;8823100;12,22651
2010-01-05;17,02;17,209999;16,790001;16,860001;9931300;12,083179
2010-01-06;16,950001;17,290001;16,870001;17,1;13240700;12,255181
2010-01-07;17,540001;17,66;16,959999;17,49;19939600;12,53468
2010-01-08;17,139999;17,200001;16,85;16,92;13217600;12,126175
2010-01-11;17,110001;17,110001;16,379999;16,620001;13099600;11,911174
2010-01-12;16,41;16,629999;16,200001;16,370001;9274500;11,732007
2010-01-13;16,450001;16,76;16,389999;16,440001;11278300;11,782175
2010-01-14;16,34;16,559999;16,17;16,51;7264700;11,832337
2010-01-15;16,51;16,780001;16,34;16,549999;7861400;11,861007
2010-01-19;16,52;16,75;16,52;16,690001;6200100;11,961342
2010-01-20;16,58;16,65;16,309999;16,440001;8340000;11,782175
2010-01-21;16,48;16,74;15,71;15,74;15396400;11,280499
2010-01-22;15,8;16,110001;15,44;15,57;14624100;11,158666
2010-01-25;15,77;15,87;15,48;15,53;8914100;11,129998
2010-01-26;15,54;16,07;15,39;15,82;12576900;11,337834
2010-01-27;15,74;15,95;15,46;15,67;9142100;11,230331
2010-01-28;15,8;15,96;15,53;15,78;11597800;11,309168
2010-01-29;16,120001;16,32;15,92;15,93;13552000;11,416668
2010-02-01;15,61;15,92;15,34;15,92;21044900;11,409498
2010-02-02;15,89;16,32;15,77;16,209999;11490300;11,617338
2010-02-03;16,01;16,290001;15,89;16,24;9002500;11,638837
2010-02-04;16,83;17,059999;16,41;16,67;25824900;11,94701
2010-02-05;16,67;16,719999;15,8;16,42;15113100;11,767844
2010-02-08;16,469999;16,690001;16,24;16,27;11105900;11,660337
2010-02-09;16,469999;16,879999;16,32;16,709999;9663700;11,975676
2010-02-10;16,719999;16,9;16,51;16,75;10031500;12,004343
2010-02-11;16,68;17,139999;16,530001;17,129999;8385100;12,276681
2010-02-12;16,91;17,389999;16,76;17,32;8157000;12,412848
2010-02-16;17,290001;17,92;17,290001;17,889999;10003000;12,821358
2010-02-17;17,84;18,1;17,76;17,93;8487300;12,850025
2010-02-18;17,85;18,290001;17,67;18,16;9650600;13,014859
2010-02-19;18,08;18,629999;18,08;18,540001;8310900;13,287195
2010-02-22;18,610001;18,85;18,33;18,469999;16609800;13,237027
2010-02-23;18,389999;18,860001;18,280001;18,67;14242200;13,380363
2010-02-24;18,57;19,549999;18,57;19,52;15246300;13,989538
2010-02-25;19,139999;19,379999;19,030001;19,280001;16659700;13,817537
2010-02-26;19,280001;19,35;19,030001;19,15;11371400;13,724367
2010-03-01;19,209999;19,959999;19,18;19,780001;13501000;14,175877
2010-03-02;19,959999;20,049999;19,559999;20;15373300;14,333547
2010-03-03;19,950001;20,1;19,809999;20,030001;12867100;14,355048
2010-03-04;20,120001;20,530001;19,82;19,879999;20924400;14,24754
2010-03-05;20,030001;20,6;19,940001;20,450001;11863000;14,656047
2010-03-08;20,84;21,17;20,620001;21,040001;13075800;15,078883
2010-03-09;20,98;21,059999;20,459999;20,68;9294200;14,820887
2010-03-10;20,66;21,32;20,58;20,98;10624000;15,035892
2010-03-11;20,879999;21,280001;20,809999;21,059999;7718000;15,129278
2010-03-12;21,32;21,799999;21,209999;21,75;13393000;15,624973
2010-03-15;21,59;21,74;21,33;21,559999;11341500;15,488475
2010-03-16;21,6;21,68;21,41;21,639999;5545000;15,54594
2010-03-17;21,790001;21,82;21,35;21,58;7045200;15,50284
2010-03-18;21,52;21,629999;21,190001;21,389999;6874900;15,366343
2010-03-19;20,889999;21,5;20,809999;20,889999;10886600;15,007154
2010-03-22;20,68;22,049999;20,65;22;15856700;15,804565
2010-03-23;22,110001;22,16;21,42;21,870001;12568600;15,711178
2010-03-24;21,74;21,860001;21,370001;21,5;6577200;15,445368
2010-03-25;21,719999;22,1;21,49;21,5;6483000;15,445368
2010-03-26;21,6;22;21,530001;21,719999;5452500;15,603417
2010-03-29;21,870001;21,99;21,6;21,639999;5918200;15,54594
2010-03-30;21,620001;22,27;21,43;22,120001;10228500;15,890773
2010-03-31;21,93;22,129999;21,65;21,77;8912400;15,639334
2010-04-01;21,99;22,4;21,93;22,34;7789200;16,048811
2010-04-05;22,4;22,860001;22,24;22,84;9909600;16,408012
2010-04-06;22,75;22,809999;22,43;22,610001;6338600;16,242783
2010-04-07;22,639999;22,950001;22,23;22,459999;11047700;16,135025
2010-04-08;22,200001;22,74;22,08;22,65;11379400;16,271521
2010-04-09;22,610001;23,530001;22,51;23,51;9924600;16,889332
2010-04-12;23,5;23,59;22,92;22,940001;8159400;16,479853
2010-04-13;22,959999;23,389999;22,91;23,24;7152500;16,695366
2010-04-14;23,389999;23,969999;23,16;23,959999;9673700;17,212603
2010-04-15;23,870001;24,129999;23,700001;23,76;8950000;17,068928
2010-04-16;23,58;23,74;22,879999;22,98;10098200;16,508585
2010-04-19;22,9;23,190001;22,24;22,9;9214700;16,451118
2010-04-20;23,02;23,35;22,83;23,01;6970900;16,530136
2010-04-21;23,08;23,459999;22,65;23,440001;9741200;16,839048
2010-04-22;23,26;24,559999;23,139999;24,48;12120400;17,586174
2010-04-23;24,59;24,85;24,34;24,83;8290000;17,837605
2010-04-26;24,93;25,25;24,74;24,85;10826300;17,851971
2010-04-27;24,57;24,73;23,84;23,91;15620600;17,176689
2010-04-28;24,07;24,48;23,540001;24,030001;10493300;17,262892
2010-04-29;24,139999;24,780001;24,08;24,68;8213800;17,729849
2010-04-30;24,73;24,77;23,129999;23,200001;13736800;16,666628
2010-05-03;23,379999;23,92;23,25;23,74;9581800;17,054562
2010-05-04;23,42;23,540001;22,66;22,77;11596000;16,357725
2010-05-05;22,4;23,59;22,07;23,219999;14015800;16,681004
2010-05-06;22,950001;23,5;21;22,42;16695800;16,106285
2010-05-07;22,42;23;21,219999;21,940001;19231200;15,761465
