"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;25,799;25,82;25,607;25,684;9321000;21,720274
2010-01-05;25,784;25,796;25,305;25,608;12906000;21,656006
2010-01-06;25,624001;25,624001;25,25;25,556;10785000;21,739368
2010-01-07;25,34;25,406;25,098;25,389;11273000;21,597311
2010-01-08;25,233;25,492001;25,17;25,398001;8635000;21,604965
2010-01-11;25,457001;25,535999;24,788;24,98;11171000;21,249386
2010-01-12;24,959;25,294001;24,856001;24,966;8595000;21,237486
2010-01-13;25,181;25,624001;24,966;25,615;8585000;21,789558
2010-01-14;25,625;26,184;25,450001;26,048;12433000;22,157894
2010-01-15;26,181;26,587999;26,055;26,264999;19419000;22,342484
2010-01-19;26,25;26,988001;26,17;26,475;14633000;22,521124
2010-01-20;26,301001;26,615;26,219999;26,339001;10211000;22,40543
2010-01-21;26,355;26,700001;25,611;25,851;14131000;21,990311
2010-01-22;25,739;26,099001;25,108;25,181;13251000;21,420372
2010-01-25;25,34;25,423;24,849001;25,245001;10811000;21,474817
2010-01-26;25,202;25,313;24,805;24,861;11194000;21,148161
2010-01-27;24,968;25,643;24,834999;25,632999;10066000;21,804871
2010-01-28;25,629999;25,795;24,583;24,945;16120000;21,21962
2010-01-29;25,115999;25,514;24,909;24,99;15042000;21,2579
2010-02-01;25,113001;25,650999;25,108999;25,341999;9329000;21,557325
2010-02-02;25,620001;25,629999;25,181;25,256001;13404000;21,484177
2010-02-03;25,245001;25,4;24,705999;24,757999;17961000;21,060545
2010-02-04;23,434;23,552999;22,089001;22,211;108380000;18,893927
2010-02-05;22,540001;22,540001;21,715;22,073999;58136000;18,777382
2010-02-08;22,1;22,846001;22,017;22,639999;28165000;19,258852
2010-02-09;22,860001;22,865;22,299999;22,344999;16486000;19,00791
2010-02-10;22,17;22,785999;22,17;22,690001;18326000;19,301394
2010-02-11;22,690001;22,929001;22,482;22,9;12221000;19,48003
2010-02-12;22,775;22,775;22,465;22,548;14838000;19,180593
2010-02-16;22,66;22,816999;22,450001;22,530001;17568000;19,165289
2010-02-17;22,559999;22,605;22,343;22,483;12500000;19,125305
2010-02-18;22,43;22,43;22,160999;22,200001;17281000;18,884569
2010-02-19;22,191999;22,389;21,959999;22,263;17620000;18,93816
