"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;29,459999;29,48;29,1;29,18;1518700;21,503561
2010-01-05;29,219999;29,309999;28,629999;28,719999;7795500;21,164576
2010-01-06;28,700001;28,92;28,43;28,48;2783800;20,98772
2010-01-07;28,690001;28,690001;28,120001;28,33;1788500;20,877178
2010-01-08;28,299999;28,610001;28,08;28,5;2050100;21,002453
2010-01-11;28,49;28,57;28,18;28,459999;2244800;20,972975
2010-01-12;28,35;28,540001;27,74;27,99;2334500;20,626619
2010-01-13;28,120001;28,280001;27,620001;28,23;2016800;20,803482
2010-01-14;28,110001;28,16;27,709999;28,030001;2258700;20,656097
2010-01-15;27,790001;28,110001;27,27;27,389999;2334700;20,184454
2010-01-19;27,43;27,85;27,43;27,76;1519700;20,45713
2010-01-20;27,49;27,76;27,07;27,5;4018300;20,265526
2010-01-21;27,530001;27,940001;27,09;27,23;3660800;20,066553
2010-01-22;27,23;27,23;26,17;26,209999;4439300;19,314882
2010-01-25;26,290001;26,620001;26,27;26,440001;3903200;19,484381
2010-01-26;26,35;26,74;26,18;26,43;3405400;19,477013
2010-01-27;26,299999;26,719999;26,16;26,639999;3045200;19,631767
2010-01-28;26,6;26,700001;25,790001;26,389999;5168400;19,447531
2010-01-29;26,4;26,950001;25,77;25,809999;3841700;19,020121
2010-02-01;26;26,58;25,799999;26,51;3192400;19,535965
2010-02-02;26,6;26,690001;26,23;26,559999;3464700;19,572809
2010-02-03;26,450001;26,98;26,07;26,92;4436600;19,838106
2010-02-04;26,6;26,610001;25,540001;25,950001;5575400;19,123291
2010-02-05;25,92;26,370001;25,700001;26,280001;3763400;19,366472
2010-02-08;26,43;26,719999;26;26,280001;2366100;19,366472
2010-02-09;26,629999;26,68;26,01;26,41;3501900;19,462273
2010-02-10;26,4;26,76;26,209999;26,66;2453100;19,6465
2010-02-11;26,59;27,25;26,370001;27,190001;3088200;20,037075
2010-02-12;26,940001;27,48;26,620001;27,23;2693100;20,066553
2010-02-16;27,110001;27,25;26,969999;27,200001;2811700;20,298649
2010-02-17;27,34;27,360001;26,67;27,059999;3858100;20,194172
2010-02-18;27,07;27,309999;26,879999;27,27;2677000;20,350887
2010-02-19;27,370001;27,540001;27,08;27,41;1697200;20,455366
2010-02-22;27,59;27,59;27,040001;27,08;2296900;20,209093
2010-02-23;27,02;27,18;26,700001;26,879999;3270700;20,059837
2010-02-24;27,09;27,52;27,09;27,290001;1743000;20,365814
2010-02-25;26,98;27,16;26,57;27,120001;2271600;20,238941
2010-02-26;27,049999;27,27;26,75;27,059999;1847800;20,194172
2010-03-01;27,280001;27,530001;27,09;27,49;1702800;20,515064
2010-03-02;27,27;27,610001;27,17;27,290001;2904700;20,365814
2010-03-03;27,450001;27,5;26,92;27,01;1826200;20,156853
2010-03-04;27,15;27,200001;26,68;27;3051500;20,149391
2010-03-05;27,139999;27,43;26,860001;27,26;2023900;20,343418
2010-03-08;27,209999;27,25;27,02;27,09;1065800;20,216557
2010-03-09;26,969999;27,049999;26,77;26,92;1778900;20,089689
2010-03-10;26,9;27,33;26,870001;27,280001;2512500;20,358343
2010-03-11;27,200001;27,59;26,84;27,51;4054200;20,529993
2010-03-12;27,5;28,26;27,4;28,23;5353000;21,067308
2010-03-15;28;28,25;27,73;27,84;3585700;20,776264
2010-03-16;28,35;28,629999;27,809999;28,35;4567100;21,156858
2010-03-17;28,33;28,75;28,33;28,610001;3174100;21,350887
2010-03-18;28,549999;28,58;28,190001;28,469999;2156700;21,246408
2010-03-19;28,530001;28,690001;28,1;28,25;3595500;21,082233
2010-03-22;28,209999;28,889999;28,200001;28,790001;2569300;21,48522
2010-03-23;28,9;29,120001;28,76;29,07;2561600;21,694172
2010-03-24;28,799999;28,92;28,5;28,559999;2218000;21,313576
2010-03-25;28,77;28,93;28,5;28,5;2118900;21,268801
2010-03-26;28,629999;28,82;28,25;28,43;1697700;21,216557
2010-03-29;28,5;28,76;28,469999;28,559999;1372400;21,313576
2010-03-30;28,5;28,74;28,27;28,43;2656700;21,216557
2010-03-31;28,209999;28,51;28,08;28,16;4635100;21,015064
2010-04-01;28,360001;28,709999;28,120001;28,389999;1889400;21,186707
2010-04-05;28,49;28,85;28,469999;28,67;2151800;21,395666
2010-04-06;28,65;28,73;28,450001;28,690001;2179600;21,410591
2010-04-07;28,559999;28,969999;28,42;28,709999;1878500;21,425514
2010-04-08;28,51;28,52;28,18;28,459999;3080700;21,238947
2010-04-09;28,530001;28,68;28,360001;28,639999;2405300;21,373276
2010-04-12;28,76;28,91;28,620001;28,73;1967700;21,440439
2010-04-13;28,76;29,15;28,690001;29,1;1841200;21,716562
2010-04-14;29,26;30,43;29,17;30,4;5311600;22,68672
2010-04-15;30,309999;30,620001;30,01;30,27;4048900;22,589706
