"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;36,41;36,41;36,060001;36,299999;490000;29,541767
2010-01-05;36,220001;36,32;36,060001;36,200001;548700;29,460388
2010-01-06;36,18;36,380001;36,009998;36,34;587900;29,574318
2010-01-07;36,43;36,650002;36,18;36,619999;699900;29,802168
2010-01-08;36,610001;36,720001;36,220001;36,720001;666300;29,883566
2010-01-11;36,700001;37,169998;36,68;37,02;509900;30,127707
2010-01-12;36,860001;37,369999;36,82;37,360001;498900;30,404411
2010-01-13;37,450001;37,959999;37,450001;37,700001;779500;30,68112
2010-01-14;37,459999;37,689999;37,41;37,66;435100;30,648558
2010-01-15;37,650002;37,959999;37,290001;37,59;840200;30,591585
2010-01-19;37,580002;37,790001;37,43;37,740002;463400;30,713673
2010-01-20;37,68;37,68;37,099998;37,290001;437200;30,347439
2010-01-21;37,369999;37,740002;36,919998;37,040001;719200;30,143988
2010-01-22;37,040001;37,349998;36,759998;36,77;445900;29,924252
2010-01-25;36,919998;37,240002;36,720001;37,220001;542500;30,29047
2010-01-26;37,049999;37,150002;36,82;37,09;628300;30,184685
2010-01-27;37,130001;37,630001;36,950001;37,540001;1048600;30,550901
2010-01-28;37,75;37,75;36,290001;36,450001;1572300;29,663839
2010-01-29;36,639999;37;36,099998;36,299999;1118400;29,541767
2010-02-01;36,419998;36,639999;36,209999;36,580002;417600;29,769638
2010-02-02;36,709999;37,009998;36,52;37;521700;30,111441
2010-02-03;36,830002;36,830002;36,41;36,490002;587400;29,696381
2010-02-04;36,360001;36,360001;35,689999;35,759998;757200;29,102295
2010-02-05;35,709999;35,860001;35,529999;35,77;1241700;29,110437
2010-02-08;35,740002;35,959999;35,459999;35,560001;623100;28,939533
2010-02-09;35,709999;35,98;35,400002;35,849998;706800;29,175528
2010-02-10;35,900002;36;35,619999;35,919998;755000;29,2325
2010-02-11;35,950001;35,98;35,400002;35,959999;681200;29,26506
2010-02-12;35,799999;36,189999;35,709999;36,080002;774800;29,36272
2010-02-16;36,25;36,580002;35,950001;36,580002;613300;29,769638
2010-02-17;36,599998;37,290001;36,599998;37,119999;685700;30,209101
2010-02-18;37,110001;37,66;37,110001;37,610001;500100;30,607874
2010-02-19;37,560001;37,869999;37,43;37,759998;541700;30,729948
2010-02-22;37,77;37,860001;37,369999;37,470001;507100;30,493927
2010-02-23;37,470001;37,639999;37,099998;37,150002;672100;30,233521
2010-02-24;37,259998;37,360001;36,91;37,259998;561500;30,323027
2010-02-25;36,919998;37,110001;36,700001;37,099998;733800;30,192818
2010-02-26;37,189999;37,220001;36,849998;37,110001;515000;30,200962
2010-03-01;37,25;37,349998;36,98;37,330002;405600;30,379995
2010-03-02;37,439999;37,860001;37,400002;37,720001;648600;30,697395
2010-03-03;37,810001;37,959999;37,619999;37,82;365700;30,778774
2010-03-04;37,959999;37,990002;37,650002;37,900002;775500;30,843876
2010-03-05;38;38;37,650002;38;917000;30,925253
2010-03-08;37,91;38;37,610001;37,759998;564100;30,729948
2010-03-09;37,619999;38;37,610001;37,970001;711200;30,900845
2010-03-10;37,91;38,150002;37,869999;38,099998;812900;31,006636
2010-03-11;37,959999;38,299999;37,93;38,299999;483400;31,169403
2010-03-12;38,290001;38,419998;38,169998;38,310001;480600;31,177544
2010-03-15;38,32;38,73;38,32;38,66;789000;31,462374
2010-03-16;38,689999;38,689999;38,52;38,630001;857200;31,437967
2010-03-17;38,689999;38,889999;38,529999;38,889999;524800;31,649555
2010-03-18;38,82;39,07;38,810001;38,849998;487600;31,616993
2010-03-19;39,110001;39,189999;38,810001;39,110001;990000;31,8286
2010-03-22;39,060001;39,400002;38,84;39,400002;800800;32,064617
2010-03-23;39,369999;39,709999;39,200001;39,709999;589300;32,316883
2010-03-24;39,580002;39,610001;39,189999;39,369999;1038500;32,040195
2010-03-25;39,189999;39,400002;37,950001;38,029999;2607500;30,949677
2010-03-26;37,990002;38,369999;37,549999;37,630001;965000;30,624147
2010-03-29;37,779999;37,98;37,610001;37,849998;850900;30,803181
2010-03-30;37,970001;38,290001;37,970001;38,290001;762700;31,161263
2010-03-31;38,27;38,540001;38,110001;38,360001;733400;31,218243
2010-04-01;38,529999;38,669998;38,400002;38,580002;495700;31,397282
2010-04-05;38,630001;38,650002;38,049999;38,139999;575900;31,039186
2010-04-06;38;38,380001;38;38,369999;579800;31,226366
2010-04-07;38,220001;38,330002;38,040001;38,169998;622900;31,063616
2010-04-08;38;38,25;37,880001;38,150002;634300;31,260279
2010-04-09;38,25;38,43;38,09;38,43;379500;31,489698
2010-04-12;38,490002;38,560001;38,290001;38,369999;457000;31,440533
2010-04-13;38,23;38,5;38,130001;38,41;401800;31,473303
2010-04-14;38,43;38,470001;38,150002;38,259998;622400;31,350403
2010-04-15;38,259998;38,619999;37,990002;38,619999;734100;31,645386
2010-04-16;38,580002;38,740002;38,5;38,639999;1035400;31,661774
2010-04-19;38,470001;38,759998;38,32;38,759998;504400;31,760094
2010-04-20;38,82;39,049999;38,669998;39,029999;671400;31,981344
2010-04-21;39,049999;39,380001;38,98;39,169998;803100;32,096062
2010-04-22;39,09;39,450001;38,919998;39,450001;876400;32,325493
2010-04-23;39,349998;39,490002;38,990002;39,490002;608600;32,358265
2010-04-26;39,630001;39,84;39,490002;39,540001;591000;32,39925
2010-04-27;39,459999;39,580002;38,98;39;984300;31,956753
2010-04-28;39,09;39,290001;38,759998;39,080002;537400;32,022324
2010-04-29;39,189999;39,849998;39,110001;39,77;491400;32,5877
2010-04-30;39,900002;40,189999;39,540001;39,57;797700;32,42382
2010-05-03;39,599998;39,77;39,5;39,610001;973300;32,456593
2010-05-04;39,299999;39,560001;39,139999;39,400002;785900;32,284527
2010-05-05;39,150002;39,560001;39,150002;39,439999;558000;32,317307
2010-05-06;39,439999;39,509998;37,740002;38,599998;1356000;31,628992
2010-05-07;38,52;38,689999;37,900002;37,950001;1523200;31,09638
2010-05-10;38,779999;39,43;38,779999;39,299999;736800;32,202579
2010-05-11;39;39,650002;39;39,330002;542800;32,227184
2010-05-12;39,439999;39,630001;39,200001;39,580002;562400;32,432003
2010-05-13;39,48;39,959999;39,470001;39,52;609000;32,382851
2010-05-14;39,450001;39,619999;39,189999;39,279999;957400;32,186195
2010-05-17;39,360001;39,73;39,200001;39,619999;798900;32,464787
2010-05-18;39,73;39,849998;39,029999;39,119999;919000;32,055084
2010-05-19;38,880001;39,400002;38,73;39,16;973500;32,08786
2010-05-20;38,599998;38,82;38,34;38,5;1327300;31,547056
2010-05-21;38,110001;38,77;37,689999;38,75;1290600;31,751907
2010-05-24;38,540001;38,779999;38,32;38,509998;856400;31,555237
2010-05-25;37,880001;37,919998;37,18;37,900002;1430500;31,055412
2010-05-26;38,139999;38,560001;37,790001;38,080002;1479300;31,202898
2010-05-27;38,549999;38,790001;38,200001;38,790001;766600;31,784687
2010-05-28;38,700001;38,779999;38,369999;38,57;833300;31,604429
2010-06-01;38,279999;38,880001;38,25;38,419998;633500;31,481499
2010-06-02;38,470001;39,330002;38,43;39,330002;699000;32,227184
2010-06-03;39,349998;39,709999;39,290001;39,700001;762200;32,530342
2010-06-04;39,18;39,330002;38,619999;38,709999;969900;31,719122
2010-06-07;38,82;39,07;38,57;38,599998;532800;31,628992
2010-06-08;38,599998;39,060001;38,450001;39,02;903300;31,973145
2010-06-09;39,299999;39,330002;38,830002;38,990002;842400;31,948565
2010-06-10;39,400002;39,849998;39,330002;39,830002;859900;32,636864
2010-06-11;39,619999;39,889999;39,189999;39,68;712300;32,513958
2010-06-14;39,799999;39,970001;39,57;39,610001;1134900;32,456593
2010-06-15;39,830002;40,27;39,639999;40,25;887100;32,981007
2010-06-16;39,970001;40,34;39,830002;40,220001;828300;32,956436
2010-06-17;40,119999;40,77;40,110001;40,77;915600;33,407101
2010-06-18;40,639999;40,73;40,400002;40,540001;828700;33,218647
2010-06-21;40,34;40,709999;39,700001;39,900002;1078200;32,694221
2010-06-22;39,849998;40,049999;39,540001;39,549999;878400;32,407429
2010-06-23;39,639999;39,720001;39,110001;39,169998;1568800;32,096062
2010-06-24;39,32;40,34;38,84;38,959999;3382800;31,923985
2010-06-25;39,610001;39,610001;38,759998;38,970001;2415800;31,932184
2010-06-28;39,099998;39,389999;38,849998;39,27;872200;32,17799
2010-06-29;38,93;39,080002;38,419998;38,580002;868200;31,612619
2010-06-30;38,439999;38,5;37,950001;37,959999;803200;31,104574
2010-07-01;37,849998;37,860001;37,389999;37,759998;1382100;31,154078
2010-07-02;37,759998;37,810001;37,369999;37,529999;1025500;30,964308
2010-07-06;37,869999;38,130001;37,66;37,93;715100;31,294333
2010-07-07;37,939999;38,560001;37,849998;38,560001;1182100;31,814131
2010-07-08;38,669998;38,669998;38,16;38,23;1061800;31,541853
2010-07-09;38,23;38,389999;38,110001;38,290001;692000;31,591356
2010-07-12;38,130001;38,490002;38,080002;38,459999;840800;31,731623
2010-07-13;38,790001;38,939999;38,619999;38,689999;954900;31,921383
2010-07-14;38,669998;39,07;38,630001;39,07;881500;32,23489
2010-07-15;39,029999;39,209999;38,700001;38,990002;593300;32,1689
2010-07-16;38,880001;38,950001;38,349998;38,419998;673900;31,698614
2010-07-19;38,419998;38,630001;38,299999;38,41;342800;31,690359
2010-07-20;38,189999;38,91;38,099998;38,900002;565800;32,094646
2010-07-21;39;39,139999;38,580002;38,68;806500;31,913134
2010-07-22;38,880001;39,060001;38,68;38,869999;984200;32,069893
2010-07-23;38,880001;39,049999;38,75;38,98;718900;32,160645
2010-07-26;39,080002;39,419998;39,07;39,419998;629000;32,523678
2010-07-27;39,529999;39,91;39,369999;39,91;1019000;32,927937
2010-07-28;39,919998;39,919998;39,41;39,509998;600800;32,597923
2010-07-29;39,59;39,610001;38,779999;38,900002;549000;32,094646
2010-07-30;38,540001;39,380001;38,540001;39,330002;732000;32,44944
2010-08-02;39,700001;39,82;39,43;39,709999;912100;32,762928
2010-08-03;39,57;39,950001;39,48;39,82;743400;32,853699
2010-08-04;39,799999;40,360001;39,77;40,299999;658400;33,249729
2010-08-05;40,18;40,18;39,5;39,619999;562400;32,688679
2010-08-06;39,349998;39,610001;38,889999;39,32;792100;32,441177
2010-08-09;39,5;39,810001;39,349998;39,59;435100;32,663933
2010-08-10;39,389999;40,02;39,349998;39,830002;452100;32,861946
2010-08-11;39,349998;39,68;39,139999;39,52;726300;32,606182
2010-08-12;39,259998;39,889999;39,150002;39,860001;676900;32,886696
2010-08-13;39,75;39,950001;39,599998;39,75;381600;32,795952
2010-08-16;39,59;39,73;39,290001;39,68;654500;32,738197
2010-08-17;39,950001;40,470001;39,669998;40,279999;676200;33,233215
2010-08-18;40,349998;40,720001;40,18;40,639999;603800;33,530239
2010-08-19;40,43;40,68;40,150002;40,560001;1157800;33,464226
2010-08-20;40,439999;40,93;40,349998;40,900002;1281000;33,744755
2010-08-23;40,959999;41,060001;40,509998;40,529999;815000;33,439472
2010-08-24;40,41;40,419998;39,48;39,630001;1720700;32,696926
2010-08-25;39,490002;39,689999;39,34;39,59;953700;32,663933
2010-08-26;39,740002;39,75;39,389999;39,560001;1040300;32,639183
2010-08-27;39,700001;40,139999;39,369999;40,099998;679100;33,084709
2010-08-30;40,18;40,279999;39,73;39,759998;619300;32,804192
2010-08-31;39,700001;40,07;39,59;39,869999;567000;32,894951
2010-09-01;40,290001;40,439999;40;40,360001;694800;33,299221
2010-09-02;40,400002;40,52;40,16;40,52;583600;33,431229
2010-09-03;40,59;40,639999;40,41;40,549999;684500;33,455978
2010-09-07;40,52;40,77;40,310001;40,57;382900;33,472488
2010-09-08;40,77;41,080002;40,740002;41,02;562300;33,843761
2010-09-09;41,310001;41,32;40,91;40,91;585100;33,753014
2010-09-10;41,049999;41,130001;40,84;40,869999;573700;33,720005
2010-09-13;41,139999;41,189999;40,580002;40,740002;711200;33,612743
2010-09-14;40,740002;40,900002;40,599998;40,759998;754500;33,629246
2010-09-15;40,759998;41,119999;40,669998;40,950001;574900;33,785999
2010-09-16;40,830002;41,02;40,73;40,970001;530200;33,802505
2010-09-17;41,16;41,459999;41,029999;41,240002;759500;34,025272
2010-09-20;41,400002;41,560001;41,259998;41,509998;597900;34,248028
2010-09-21;41,41;41,48;41,009998;41,369999;675900;34,13253
2010-09-22;41,419998;41,639999;41,34;41,369999;536600;34,13253
2010-09-23;41,16;41,380001;40,98;41,049999;528600;33,868507
2010-09-24;41,369999;41,77;41,369999;41,720001;500500;34,421303
2010-09-27;41,799999;41,799999;41,419998;41,459999;485500;34,206787
2010-09-28;41,549999;41,59;40,740002;41,099998;1384600;33,909748
2010-09-29;41,07;41,279999;40,93;41,099998;714900;33,909748
2010-09-30;42,150002;42,849998;41,68;42,040001;2047300;34,685318
2010-10-01;42,330002;42,330002;41,439999;41,66;1082600;34,371803
2010-10-04;41,68;41,959999;41,450001;41,560001;671400;34,289295
2010-10-05;41,77;41,970001;41,599998;41,689999;918100;34,396557
2010-10-06;41,529999;41,970001;41,529999;41,700001;539200;34,620705
2010-10-07;41,869999;42;41,599998;41,669998;668300;34,595795
2010-10-08;41,740002;41,779999;41,52;41,689999;621900;34,612415
2010-10-11;41,740002;42,119999;41,720001;42,080002;769700;34,936199
2010-10-12;41,990002;42,080002;41,779999;42,040001;773000;34,902992
2010-10-13;42,189999;42,599998;42,060001;42,5;616200;35,284901
2010-10-14;42,52;42,790001;42,43;42,57;469400;35,343002
2010-10-15;42,84;42,939999;42,48;42,919998;858000;35,633591
2010-10-18;42,919998;43,209999;42,66;43,200001;737400;35,866062
2010-10-19;42,869999;43,099998;42,290001;42,509998;810900;35,293194
2010-10-20;42,650002;42,93;42,639999;42,799999;377900;35,533966
2010-10-21;42,919998;43,189999;42,779999;43,040001;518200;35,733219
2010-10-22;43,169998;43,400002;43,029999;43,400002;675900;36,032108
2010-10-25;43,639999;43,689999;43,169998;43,189999;655000;35,85775
2010-10-26;43,150002;43,349998;43,040001;43,330002;619100;35,973984
2010-10-27;43,099998;43,110001;42,619999;42,970001;496500;35,675098
2010-10-28;43,16;43,5;43,060001;43,490002;741900;36,106823
2010-10-29;43,509998;44,23;43,259998;44,200001;1037000;36,696289
2010-11-01;44,209999;44,25;43,650002;43,970001;833800;36,505333
2010-11-02;44,200001;44,369999;43,849998;44,02;417800;36,54686
2010-11-03;44,02;44,240002;43,599998;43,990002;551500;36,521935
2010-11-04;44,279999;44,610001;44,16;44,610001;590000;37,03669
2010-11-05;44,619999;44,759998;44,400002;44,700001;378900;37,111412
2010-11-08;44,099998;44,830002;44,099998;44,810001;580900;37,202728
2010-11-09;44,509998;44,700001;44,32;44,419998;697000;36,878941
2010-11-10;44,48;44,48;44,029999;44,240002;885500;36,729507
2010-11-11;44,02;44,23;43,98;44,029999;682100;36,555153
2010-11-12;43,84;43,959999;43,580002;43,66;608300;36,247967
2010-11-15;43,740002;44,049999;43,68;43,810001;467500;36,372498
2010-11-16;43,669998;43,73;43,209999;43,360001;394300;35,998894
2010-11-17;43,400002;43,740002;43,310001;43,5;494600;36,115124
2010-11-18;43,709999;44,200001;43,709999;44,16;352100;36,66309
2010-11-19;44,200001;44,220001;43,939999;44,119999;633000;36,629879
2010-11-22;43,900002;44,349998;43,900002;44,279999;400500;36,762711
2010-11-23;43,959999;43,959999;43,66;43,889999;515900;36,438927
2010-11-24;44,150002;44,470001;44;44,470001;532500;36,920464
2010-11-26;44,25;44,509998;44,07;44,27;315000;36,75441
2010-11-29;44,009998;44,32;43,599998;44,150002;701900;36,654774
2010-11-30;43,849998;44,16;43,630001;44,009998;752500;36,538548
2010-12-01;44,459999;44,720001;44,220001;44,400002;646100;36,862339
2010-12-02;44,490002;45,950001;44,490002;45,889999;1741700;38,09938
2010-12-03;45,529999;46,32;45,529999;46,259998;964300;38,40657
2010-12-06;46,099998;46,279999;45,880001;46,139999;850000;38,30695
2010-12-07;46,509998;46,93;46,220001;46,549999;2426300;38,647335
2010-12-08;46,5;46,66;46,259998;46,360001;729100;38,489578
2010-12-09;46,549999;46,610001;46,209999;46,459999;368200;38,57262
2010-12-10;46,349998;46,529999;46,27;46,509998;437800;38,61412
2010-12-13;46,560001;46,84;46,200001;46,439999;591600;38,556007
2010-12-14;46,59;47;46,59;46,849998;362200;38,896404
2010-12-15;46,779999;47;46,669998;46,810001;602100;38,863194
2010-12-16;46,799999;47,369999;46,77;47,369999;657400;39,328117
2010-12-17;47,299999;47,75;47,150002;47,709999;882100;39,610401
2010-12-20;47,740002;47,830002;47,27;47,349998;528500;39,311539
2010-12-21;47,419998;47,709999;46,93;47,029999;515600;39,045845
2010-12-22;47,130001;47,220001;46,560001;46,939999;521000;38,97113
2010-12-23;46,830002;47,169998;46,830002;46,869999;446200;38,91301
2010-12-27;46,82;47,040001;46,669998;46,939999;320300;38,97113
2010-12-28;46,93;47,189999;46,720001;46,939999;239500;38,97113
2010-12-29;46,919998;46,919998;46,580002;46,700001;301000;39,004539
2010-12-30;46,610001;46,830002;46,610001;46,700001;404200;39,004539
2010-12-31;46,619999;46,759998;46,509998;46,529999;275500;38,862553
2011-01-03;46,759998;46,790001;46,360001;46,5;511600;38,837494
2011-01-04;46,57;46,610001;45,939999;46,080002;526000;38,486713
2011-01-05;45,82;46,060001;45,630001;45,709999;756500;38,17767
2011-01-06;45,68;46;45,349998;45,43;726700;37,943817
2011-01-07;45,5;45,709999;45,09;45,189999;815300;37,743355
2011-01-10;45,110001;45,580002;45,099998;45,509998;442200;38,01062
2011-01-11;45,560001;45,880001;45,52;45,709999;578200;38,17767
2011-01-12;45,59;46,02;45,59;45,900002;469300;38,336361
2011-01-13;45,950001;46,02;45,860001;45,939999;579300;38,369774
