"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;19,77;19,870001;19,58;19,790001;11048600;11,947873
2010-01-05;19,809999;19,85;19,67;19,799999;11742100;11,953911
2010-01-06;19,85;20,110001;19,799999;20,09;21307300;12,128994
2010-01-07;20,08;20,139999;19,950001;20,059999;14983300;12,110883
2010-01-08;20,040001;20,120001;19,870001;20,110001;10822200;12,141068
2010-01-11;20,280001;20,35;20,110001;20,26;11921000;12,231632
2010-01-12;20,209999;20,25;20,030001;20,15;15306300;12,165219
2010-01-13;20,120001;20,4;20,120001;20,24;11938400;12,219554
2010-01-14;20,23;20,450001;20,16;20,379999;9619900;12,304077
2010-01-15;20,440001;20,639999;20,309999;20,42;16158600;12,328228
2010-01-19;20,26;20,57;20,25;20,379999;17747000;12,304077
2010-01-20;20,27;20,360001;20,15;20,33;12583500;12,273892
2010-01-21;20,33;20,370001;19,809999;19,889999;21862200;12,008247
2010-01-22;19,889999;20,040001;19,700001;19,709999;13655100;11,899575
2010-01-25;19,82;20,08;19,68;19,91;15154800;12,020322
2010-01-26;19,75;20,049999;19,75;19,959999;13101300;12,050508
2010-01-27;19,969999;20,049999;19,83;19,99;12544400;12,068623
2010-01-28;19,9;20,1;19,799999;20,01;16444400;12,080697
2010-01-29;20,08;20,1;19,83;19,860001;19335300;11,990135
2010-02-01;19,9;19,98;19,780001;19,879999;10247300;12,002209
2010-02-02;19,93;19,99;19,809999;19,93;12398900;12,032396
2010-02-03;19,93;19,940001;19,690001;19,780001;11683000;11,941836
2010-02-04;19,700001;19,719999;19,4;19,42;13403600;11,724491
2010-02-05;19,379999;19,41;19,139999;19,379999;14334100;11,700343
2010-02-08;19,43;19,629999;19,35;19,370001;13840700;11,69431
2010-02-09;19,540001;19,58;19,23;19,459999;16964600;11,748642
2010-02-10;19,540001;19,540001;19,25;19,379999;11380700;11,700343
2010-02-11;19,4;19,74;19,25;19,610001;17005000;11,839204
2010-02-12;19,540001;19,74;19,4;19,629999;15749000;11,85128
2010-02-16;19,84;19,889999;19,57;19,73;15081500;11,911648
2010-02-17;19,77;19,85;19,700001;19,780001;8752800;11,941836
2010-02-18;19,75;20,08;19,73;20;11181600;12,074658
2010-02-19;19,93;20,209999;19,93;20,16;12752800;12,171255
2010-02-22;20,129999;20,33;20,08;20,27;12790600;12,237667
2010-02-23;20,23;20,25;19,93;19,969999;21163500;12,056546
2010-02-24;20,08;20,309999;19,950001;20,26;18101300;12,231632
2010-02-25;20,139999;20,459999;20,01;20,41;21307900;12,322188
2010-02-26;20,48;20,48;20,120001;20,120001;15720700;12,147107
2010-03-01;20,17;20,34;20,17;20,27;10422000;12,237667
2010-03-02;20,360001;20,450001;20,299999;20,33;12661600;12,273892
2010-03-03;20,469999;20,48;20,299999;20,35;12762500;12,285966
2010-03-04;20,4;20,440001;20,280001;20,42;14095900;12,328228
2010-03-05;20,5;20,780001;20,48;20,709999;12249200;12,503308
2010-03-08;20,799999;20,809999;20,67;20,74;13901100;12,521423
2010-03-09;20,73;20,83;20,700001;20,77;16554900;12,539536
2010-03-10;20,799999;20,860001;20,700001;20,82;15672100;12,569719
2010-03-11;20,48;20,58;20,18;20,370001;13046000;12,508312
2010-03-12;20,469999;20,48;20,129999;20,200001;16536100;12,403926
2010-03-15;20,26;20,4;20,110001;20,370001;13010200;12,508312
2010-03-16;20,32;20,52;20,32;20,360001;12956100;12,502174
2010-03-17;20,450001;20,459999;20,23;20,33;33244300;12,483749
2010-03-18;20,35;20,48;20,35;20,459999;8917700;12,563581
2010-03-19;20,34;20,549999;20,25;20,34;15862300;12,489896
2010-03-22;20,309999;20,48;20,23;20,440001;9447400;12,551299
2010-03-23;20,450001;20,540001;20,360001;20,52;8921900;12,600429
2010-03-24;20,52;20,52;20,4;20,469999;16961600;12,569719
2010-03-25;20,49;20,6;20,469999;20,52;14844200;12,600429
2010-03-26;20,530001;20,59;20,370001;20,42;11035400;12,539018
2010-03-29;20,5;20,690001;20,459999;20,65;12376400;12,680252
2010-03-30;20,690001;20,73;20,51;20,65;12761900;12,680252
2010-03-31;20,6;20,65;20,459999;20,52;9619100;12,600429
2010-04-01;20,540001;20,84;20,540001;20,83;16314400;12,79078
2010-04-05;20,889999;20,969999;20,84;20,92;9015800;12,846045
2010-04-06;20,93;21,030001;20,9;20,98;10435900;12,882889
2010-04-07;21,030001;21,030001;20,67;20,790001;12971400;12,766218
2010-04-08;20,68;20,790001;20,639999;20,68;13182600;12,698672
2010-04-09;20,950001;20,959999;20,700001;20,93;8719900;12,852188
2010-04-12;20,959999;21,200001;20,940001;21,1;10573400;12,956575
2010-04-13;21,049999;21,15;20,879999;21,1;9727700;12,956575
2010-04-14;21,1;21,16;20,969999;21,16;13191800;12,99342
2010-04-15;21,08;21,120001;21;21,1;8292800;12,956575
2010-04-16;21,02;21,16;20,75;20,870001;15930500;12,815343
2010-04-19;20,799999;20,93;20,799999;20,93;8666900;12,852188
2010-04-20;21;21,200001;20,950001;21,17;13152500;12,999557
2010-04-21;21,299999;21,610001;21,25;21,459999;15480800;13,177632
2010-04-22;21,4;21,459999;21,200001;21,280001;12587700;13,067105
2010-04-23;21,309999;21,389999;21,120001;21,360001;10143500;13,116232
2010-04-26;21,389999;21,440001;21,17;21,25;17187000;13,048686
2010-04-27;21,25;21,25;20,91;20,92;18975000;12,846045
2010-04-28;21,08;21,110001;20,91;21,02;14961000;12,907452
2010-04-29;21,08;21,299999;21,07;21,18;10305100;13,005701
2010-04-30;21,23;21,48;21,18;21,190001;14218400;13,011839
2010-05-03;21,280001;21,5;21,219999;21,4;10413000;13,140791
2010-05-04;21,290001;21,4;21,200001;21,26;16717500;13,054823
2010-05-05;21,15;21,459999;21,110001;21,219999;12876600;13,030264
2010-05-06;21,110001;21,200001;19,200001;20,75;31283100;12,741656
2010-05-07;20,67;20,84;20,360001;20,76;25532200;12,747794
2010-05-10;21,309999;21,6;21,030001;21,58;24825700;13,251322
2010-05-11;21,48;21,74;21,370001;21,59;18091700;13,257463
2010-05-12;21,76;21,77;21,48;21,67;15713400;13,306587
2010-05-13;21,719999;21,799999;21,58;21,629999;10825900;13,282022
2010-05-14;21,58;21,75;21,5;21,610001;19942100;13,269744
2010-05-17;21,639999;21,91;21,57;21,700001;18409300;13,32501
2010-05-18;21,77;21,799999;21,34;21,370001;20335300;13,122367
2010-05-19;21,23;21,370001;21,07;21,309999;18045800;13,085523
2010-05-20;21,09;21,1;20,67;20,67;23402100;12,692533
2010-05-21;20,450001;21,030001;20,200001;21,01;32598900;12,901308
2010-05-24;20,93;21,1;20,790001;20,85;26510100;12,803061
2010-05-25;20,35;20,59;20,15;20,4;32136400;12,526735
2010-05-26;20,66;20,690001;20,139999;20,16;25133400;12,379364
2010-05-27;20,450001;20,629999;20,309999;20,540001;26744700;12,612701
2010-05-28;20,6;20,65;20,25;20,290001;23478300;12,459194
2010-06-01;20,25;20,42;20,07;20,120001;20790100;12,354803
2010-06-02;20,25;20,4;20,16;20,379999;23052300;12,514456
2010-06-03;20,52;20,6;20,4;20,59;14908800;12,643405
2010-06-04;20,43;20,469999;19,969999;20,02;30253500;12,293395
2010-06-07;20,16;20,219999;19,82;19,82;25447700;12,170585
2010-06-08;19,93;20,27;19,82;20,200001;27161400;12,403926
2010-06-09;20,280001;20,370001;20,01;20,049999;40222000;12,311819
2010-06-10;20,299999;20,459999;20,25;20,32;33461900;12,477608
2010-06-11;19,9;20,1;19,68;20,08;22530500;12,546341
2010-06-14;20,25;20,25;19,57;19,57;30941300;12,227685
2010-06-15;19,690001;19,92;19,6;19,91;15012300;12,440124
2010-06-16;19,780001;19,91;19,75;19,83;10934600;12,390139
2010-06-17;19,799999;20,01;19,76;19,99;15916400;12,490108
2010-06-18;20,01;20,08;19,950001;20,02;14569000;12,508852
2010-06-21;20,17;20,23;20;20,059999;12676900;12,533849
2010-06-22;20,049999;20,15;19,780001;19,85;12503000;12,402633
2010-06-23;19,860001;19,93;19,709999;19,77;13894600;12,352648
2010-06-24;19,73;19,870001;19,59;19,620001;17190500;12,258927
2010-06-25;19,67;19,77;19,530001;19,700001;28483300;12,308913
2010-06-28;19,690001;20,889999;19,690001;20,34;47737100;12,708797
2010-06-29;20,129999;20,26;19,85;19,959999;26881000;12,471363
2010-06-30;20;20,25;19,91;20,040001;19685700;12,521351
2010-07-01;20,15;20,27;19,889999;20,24;17864800;12,646309
2010-07-02;20,209999;20,4;20,049999;20,309999;11413700;12,690052
2010-07-06;20,5;20,700001;20,389999;20,540001;13047100;12,833755
2010-07-07;20,59;20,9;20,48;20,889999;17573900;13,052441
2010-07-08;20,969999;21,43;20,879999;21,32;22149100;13,321114
2010-07-09;21,42;21,48;21,16;21,299999;15029400;13,30862
2010-07-12;21,4;21,48;21,23;21,299999;10710400;13,30862
