"date";"open";"high";"low";"close";"volume";"adjusted"
2011-06-24;19,375;19,575001;18,42;18,625;1675400;13,553536
2011-06-27;18,344999;18,975;18,295;18,825001;895200;13,699076
2011-06-28;19,17;19,995001;18,85;19,35;4151800;14,081124
2011-06-29;19,5;20,485001;19,35;20,035;3695200;14,579605
2011-06-30;20,334999;21;20,09;20,700001;3025600;15,063531
2011-07-01;20,6;23,715;20,5;21,1;8334200;15,354611
2011-07-05;21,105;21,5;20,825001;21,105;11823000;15,358248
2011-07-06;20,799999;21,125;20,504999;20,945;10983000;15,241815
2011-07-07;21,094999;21,629999;20,855;20,889999;16707600;15,201789
2011-07-08;20,4;21,299999;20,26;20,705;16417000;15,067166
2011-07-11;20,395;20,395;19,754999;20,049999;9495200;14,590515
2011-07-12;19,93;20,495001;19,719999;20,24;8011200;14,728779
2011-07-13;20,26;20,620001;19,620001;19,98;11642800;14,539577
2011-07-14;19,985001;20,01;19,105;19,32;11528400;14,059292
2011-07-15;19,5;19,735001;19,049999;19,58;9938400;14,248497
2011-07-18;19,365;19,795;18,875;19,559999;8311600;14,233942
2011-07-19;19,629999;19,969999;19,565001;19,870001;6423000;14,45953
2011-07-20;19,895;19,969999;19,700001;19,764999;5449000;14,383124
2011-07-21;19,764999;20,120001;19,555;20,049999;7249200;14,590515
2011-07-22;20,139999;20,41;19,955;20,285;6645600;14,76153
2011-07-25;20,625;21,059999;20,325001;20,684999;8898600;15,052611
2011-07-26;20,695;21,860001;20,635;21,525;11324200;15,663886
2011-07-27;21,51;21,65;20,985001;21,030001;6998400;15,303673
2011-07-28;21,215;21,469999;21,094999;21,389999;6654600;15,565641
2011-07-29;21,174999;22,305;20,985001;21,895;10709600;15,933137
2011-08-01;22,52;22,690001;21,995001;22,485001;11518400;16,36249
2011-08-02;22,264999;22,450001;21,125;21,165001;10995600;15,401914
2011-08-03;21,639999;22,700001;19,51;20,715;13413800;15,074442
2011-08-04;20,355;20,355;18,615;19,209999;15377800;13,979249
2011-08-05;19,455;19,610001;16,719999;18,655001;12348600;13,575372
2011-08-08;17,620001;18;14,74;16,165001;16543000;11,763379
2011-08-09;16,535;18,205;16,209999;18,049999;12054200;13,135102
2011-08-10;17,775;18,42;17,059999;17,559999;9682600;12,778528
