"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;36,224998;36,919998;36,224998;36,610001;2227600;31,230753
2010-01-05;36,715;37,695;36,424999;37,560001;3523000;32,041168
2010-01-06;37,584999;38,200001;37,424999;37,915001;2030200;32,344002
2010-01-07;37,720001;37,82;36,91;37,404999;2110000;31,908928
2010-01-08;37,145;37,66;36,654999;37,634998;2303000;32,105152
2010-01-11;38,044998;38,415001;37,330002;37,805;3183000;32,250168
2010-01-12;37,669998;38,705002;37,485001;38,035;5095000;32,446373
2010-01-13;38,110001;38,544998;37,369999;38,375;2535200;32,736412
2010-01-14;38,16;38,884998;38,115002;38,810001;2509400;33,107506
2010-01-15;38,880001;39,240002;38,224998;38,849998;4321400;33,141624
2010-01-19;38,810001;39,595001;38,455002;39,52;2286400;33,713184
2010-01-20;39,125;39,125;38,349998;38,805;4429600;33,103241
2010-01-21;38,889999;39,365002;38,029999;38,645;4138000;32,966736
2010-01-22;38,48;39,27;38,040001;38,16;6085400;32,553005
2010-01-25;38,455002;39,455002;38,455002;39,095001;5578600;33,350624
2010-01-26;38,654999;39,16;38,064999;38,259998;6243800;32,638317
2010-01-27;38,380001;38,535;36,915001;37,5;4122400;31,989983
2010-01-28;37,900002;38,259998;36,759998;37,279999;3463800;31,802309
2010-01-29;37,575001;38,195;36,779999;36,970001;3964000;31,537859
2010-02-01;37,32;37,91;37,18;37,91;3304000;32,339729
2010-02-02;37,945;38,66;37,395;38,575001;3562400;32,907028
2010-02-03;38,375;38,639999;38,060001;38,355;1988800;32,719357
2010-02-04;37,91;37,91;36,264999;36,355;2666600;31,159458
2010-02-05;36,259998;36,619999;35,41;36,525002;4289800;31,30517
2010-02-08;36,625;36,855;36;36,299999;3016800;31,11231
2010-02-09;36,82;37,82;36,724998;37,215;2513800;31,896549
2010-02-10;36,900002;37,009998;36,314999;36,639999;3984800;31,403727
2010-02-11;36,639999;37,535;36,505001;37,5;2465600;32,140816
2010-02-12;37,009998;37,294998;36,634998;37,185001;2791600;31,870834
2010-02-16;37,639999;38,549999;37,639999;38,445;2581800;32,95076
2010-02-17;38,630001;38,709999;37,895;38,220001;3671800;32,757923
2010-02-18;37,125;37,98;37,105;37,665001;5394200;32,282246
2010-02-19;37,48;37,889999;37,195;37,380001;3370200;32,037971
2010-02-22;37,369999;37,419998;36,16;36,240002;2947800;31,060898
2010-02-23;35,990002;36,27;35,349998;35,470001;3274400;30,400934
2010-02-24;35,080002;36,099998;34,98;35,494999;4089400;30,422356
2010-02-25;34,924999;35,744999;34,634998;35,634998;2773000;30,54236
