"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;53,040001;53,740002;52,869999;53,25;2602200;38,133045
2010-01-05;53,299999;53,419998;52,259998;52,73;2796600;37,760654
2010-01-06;52,639999;53,34;52,630001;53,25;3373300;38,133045
2010-01-07;53,189999;53,200001;52,650002;53,099998;2442200;38,025635
2010-01-08;52,98;53,18;52,450001;52,639999;2268600;37,696224
2010-01-11;52,77;53,75;51,900002;52,599998;6142900;37,667576
2010-01-12;52,200001;52,200001;51,02;51,32;5625100;36,750957
2010-01-13;51,189999;51,75;50,580002;51,5;5857800;36,879864
2010-01-14;50,5;50,639999;49,650002;50,009998;8078600;35,81284
2010-01-15;49,709999;50,630001;49,41;50,549999;6041900;36,199539
2010-01-19;50,240002;50,900002;50,130001;50,889999;3545300;36,443027
2010-01-20;50,580002;50,580002;49,380001;49,98;3963700;35,791359
2010-01-21;49,93;50,310001;48,900002;49,029999;4666100;35,111053
2010-01-22;49,02;49,110001;48,119999;48,139999;3557500;34,473705
2010-01-25;48,41;48,540001;47,68;47,75;5432900;34,194431
2010-01-26;48,5;49,57;48,110001;49,220001;6315000;35,24712
2010-01-27;49,150002;49,77;48,779999;49,759998;4373600;35,633816
2010-01-28;49,82;49,82;48,869999;49,009998;3314100;35,096725
2010-01-29;48,990002;49,200001;48,689999;48,759998;5815700;34,91769
2010-02-01;48,650002;49,290001;48,540001;49,23;2774100;35,254276
2010-02-02;49,209999;49,59;48,700001;49,580002;2613400;35,504925
2010-02-03;49,299999;49,48;49,09;49,400002;3764200;35,376011
2010-02-04;49,029999;49,130001;47,970001;48,02;4624900;34,387779
2010-02-05;47,93;48;46,740002;47,400002;6330000;33,943794
2010-02-08;47,389999;49,299999;46,869999;46,889999;2303100;33,578564
2010-02-09;47,18;47,330002;46,32;46,459999;7402200;33,270645
2010-02-10;46,48;46,48;45,790001;45,919998;4655300;32,883945
2010-02-11;45,990002;46,09;45,470001;45,959999;4351900;32,912582
2010-02-12;45,610001;45,830002;45,290001;45,57;3253700;32,633305
2010-02-16;45,82;46,389999;45,82;46,380001;2915600;33,213352
2010-02-17;46,48;46,599998;45,700001;45,77;2862800;32,776531
2010-02-18;45,849998;45,900002;45,57;45,740002;2949000;32,755039
2010-02-19;45,830002;47,080002;45,700001;46,880001;4188600;33,571407
2010-02-22;47,16;47,240002;46,75;46,82;3395300;33,528454
2010-02-23;46,810001;47,02;46,639999;46,799999;3712500;33,514118
2010-02-24;47,040001;47,290001;46,799999;47,060001;5837100;34,064255
2010-02-25;46,700001;46,959999;46,25;46,880001;3019000;33,933945
