"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;48,900002;49,18;48,189999;48,450001;5625400;40,616089
2010-01-05;48,48;49,130001;47,77;48,580002;7190500;40,72506
2010-01-06;49,169998;50,09;49,119999;49,610001;8018700;41,588539
2010-01-07;49,509998;49,509998;48,689999;49,290001;7620300;41,320271
2010-01-08;49,509998;49,790001;48,560001;49,619999;5953700;41,596909
2010-01-11;50,990002;51,25;49,919998;50,18;6421400;42,066364
2010-01-12;49,650002;49,82;47,93;48,52;8458000;40,674767
2010-01-13;48,790001;48,990002;47,720001;48,75;5554900;40,867599
2010-01-14;48,799999;48,939999;47,860001;48,419998;5055000;40,590935
2010-01-15;47,939999;48,07;47,139999;47,610001;9045000;39,911915
2010-01-19;47,540001;48,490002;47,48;48,439999;6408300;40,607697
2010-01-20;47,139999;47,330002;45,220001;46,41;12139900;38,905937
2010-01-21;46,040001;46,200001;44,349998;44,439999;15469500;37,254463
2010-01-22;44,060001;45,689999;43,860001;44,43;13058700;37,24609
2010-01-25;45,060001;45,060001;44,02;44,130001;8405600;36,994606
2010-01-26;43,709999;45,040001;43,619999;44,240002;8376100;37,0868
2010-01-27;44,25;44,549999;43,41;44,189999;8942000;37,04488
2010-01-28;44,689999;44,869999;43,009998;43,990002;10195200;36,877235
2010-01-29;43,869999;44,439999;42,799999;42,860001;8932100;35,929947
2010-02-01;43,48;45,540001;43,400002;45,540001;11549200;38,176609
2010-02-02;45,900002;46,049999;45;45,27;8713400;37,950268
2010-02-03;45,259998;46,279999;45,25;45,869999;10948900;38,453251
2010-02-04;44,810001;45,040001;43,389999;43,540001;12661700;36,499996
2010-02-05;43,389999;46,290001;43,110001;46,23;17170600;38,755032
2010-02-08;45,82;45,970001;44,380001;44,41;10289000;37,229324
2010-02-09;45,169998;46,07;44,849998;45,82;12685300;38,411343
2010-02-10;45,32;45,830002;44,330002;45,330002;8631200;38,000561
2010-02-11;45,540001;46,93;45,189999;46,759998;11208700;39,199345
2010-02-12;45,970001;46,68;45,490002;46,529999;8136000;39,006531
2010-02-16;47,740002;47,970001;46,889999;47,419998;11204300;39,752617
2010-02-17;47,32;47,860001;46,919998;47,240002;12083800;39,60173
