"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;6,113949;6,16503;6,062869;6,094303;6905600;4,20924
2010-01-05;6,11002;6,141454;6,019646;6,078586;8784300;4,198384
2010-01-06;6,082515;6,098232;5,972495;6,007859;7382700;4,149533
2010-01-07;5,992141;6,011788;5,897839;5,933202;7407200;4,09797
2010-01-08;5,893909;5,94499;5,842829;5,901768;15739200;4,076258
2010-01-11;5,909626;5,988212;5,874263;5,976424;7952100;4,127821
2010-01-12;5,960707;6,058939;5,933202;5,996071;6515900;4,141392
2010-01-13;6,043222;6,098232;5,984283;6,090374;6572700;4,206526
2010-01-14;6,094303;6,117878;6,070727;6,098232;3255300;4,211953
2010-01-15;6,062869;6,082515;5,937131;6,007859;5240100;4,149533
2010-01-19;6,019646;6,098232;5,980354;6,098232;2950100;4,211953
2010-01-20;6,062869;6,074656;6;6,074656;3826100;4,195668
2010-01-21;6;6,066798;5,791749;5,842829;22677200;4,035551
2010-01-22;5,8389;5,893909;5,721022;5,72888;11887600;3,956847
2010-01-25;5,779961;5,823183;5,701375;5,764244;7603400;3,981274
2010-01-26;5,768173;5,846758;5,73281;5,819253;6195000;4,019268
2010-01-27;5,744597;5,760314;5,618861;5,6778;8991200;3,983427
2010-01-28;5,689588;5,721022;5,595285;5,62279;9851100;3,944836
2010-01-29;5,654224;5,697446;5,599214;5,599214;8842600;3,928293
2010-02-01;5,626719;5,88998;5,599214;5,83497;14476900;4,093695
2010-02-02;5,827112;5,964636;5,779961;5,960707;8762900;4,181909
2010-02-03;5,88998;5,972495;5,88998;5,937131;6164400;4,165369
2010-02-04;5,893909;5,901768;5,787819;5,787819;6140000;4,060616
2010-02-05;5,779961;5,799607;5,669941;5,768173;7216000;4,046833
2010-02-08;5,752456;5,799607;5,721022;5,72888;5735400;4,019264
2010-02-09;5,779961;5,897839;5,760314;5,819253;8917100;4,082669
2010-02-10;5,831041;5,8389;5,744597;5,78389;6094500;4,057858
2010-02-11;5,736739;5,819253;5,697446;5,811395;7384500;4,077155
2010-02-12;5,768173;5,772102;5,681729;5,752456;9643700;4,035805
2010-02-16;5,819253;5,897839;5,787819;5,897839;7927600;4,137801
2010-02-17;5,925344;5,925344;5,874263;5,882122;5236500;4,126778
2010-02-18;5,862475;5,94499;5,858546;5,893909;8357700;4,135046
2010-02-19;5,870334;5,976424;5,842829;5,956778;6267000;4,179153
2010-02-22;5,992141;6,007859;5,952849;5,976424;6529100;4,192936
2010-02-23;5,972495;5,988212;5,893909;5,909626;6139300;4,146071
2010-02-24;5,909626;5,937131;5,823183;5,897839;7452200;4,137801
