"date";"open";"high";"low";"close";"volume";"adjusted"
2019-03-08;21,629999;21,959999;21,5;21,950001;4091400;21,682566
2019-03-11;21,98;22,51;21,98;22,379999;5087100;22,107325
2019-03-12;22,360001;22,620001;22,32;22,459999;3749800;22,18635
2019-03-13;22,49;23,08;22,459999;22,950001;5489300;22,670383
2019-03-14;22,540001;23,25;22,450001;22,93;4309300;22,650625
2019-03-15;23;23,219999;22,85;23,02;6255100;22,739529
2019-03-18;23,02;23,360001;22,98;23,07;3371700;22,788919
2019-03-19;23,23;23,35;23,059999;23,209999;3299800;22,927212
2019-03-20;23,190001;23,280001;22,870001;23,139999;2801100;22,858067
2019-03-21;23,1;23,639999;23,030001;23,59;3109800;23,302584
2019-03-22;23,5;23,57;22,83;22,860001;3580900;22,581478
2019-03-25;22,83;22,93;22,459999;22,879999;3268200;22,601234
2019-03-26;23,040001;23,27;23,01;23,23;2506600;22,94697
2019-03-27;23,190001;23,26;22,700001;22,84;3297400;22,561722
2019-03-28;22,84;23,040001;22,51;22,940001;2237200;22,660503
2019-03-29;23,07;23,120001;22,870001;22,99;4312500;22,709894
2019-04-01;23,1;23,280001;22,99;23,190001;4215100;22,907457
2019-04-02;23,219999;23,26;23,040001;23,15;3599300;22,867943
2019-04-03;23,299999;23,530001;23,25;23,33;6957900;23,045752
2019-04-04;23,43;23,51;22,77;23,040001;4393800;22,759285
2019-04-05;23,059999;23,32;22,93;22,99;3999800;22,709894
2019-04-08;23,709999;24,77;23,65;24,24;11619000;23,944666
2019-04-09;24,07;24,24;23,82;23,879999;4925300;23,58905
2019-04-10;23,870001;24,120001;23,52;23,74;4327800;23,450756
2019-04-11;23,799999;23,98;23,719999;23,9;2283300;23,608807
2019-04-12;24;24,030001;23,799999;23,959999;3912200;23,668076
2019-04-15;23,99;24,5;23,99;24,41;4021800;24,112593
2019-04-16;24,5;24,540001;24,129999;24,299999;4998100;24,003933
2019-04-17;24,469999;24,77;24,34;24,469999;6602400;24,171862
2019-04-18;24,549999;24,559999;24,059999;24,4;4528600;24,102716
2019-04-22;24,25;24,42;24,049999;24,26;4024000;23,964422
2019-04-23;24,32;24,49;23,950001;24,290001;5963100;23,994055
2019-04-24;24,280001;24,43;24,139999;24,25;2914100;23,954542
2019-04-25;24,24;24,33;23,969999;24,129999;3485400;23,836004
2019-04-26;24,129999;24,27;24,049999;24,24;2483200;23,944666
2019-04-29;24,27;24,389999;24,110001;24,33;3111000;24,033567
2019-04-30;24,33;24,48;24,08;24,209999;2530900;23,91503
2019-05-01;24,24;24,24;23,84;23,85;3784900;23,559416
2019-05-02;23,799999;23,85;23,24;23,35;3918400;23,065506
2019-05-03;23,540001;23,83;23,4;23,549999;5055600;23,263071
2019-05-06;23,129999;23,309999;23,02;23,190001;4160000;22,907457
2019-05-07;22,83;22,9;22,23;22,370001;5742800;22,09745
