"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;50,686352;51,382046;50,686352;51,363976;1616100;40,694004
2010-01-05;51,228451;51,906075;51,228451;51,454327;1859800;40,765575
2010-01-06;51,318802;51,698269;51,129066;51,653095;2204900;40,92305
2010-01-07;51,427219;52,366859;51,246521;52,186161;4750900;41,345387
2010-01-08;51,833794;52,493351;51,635025;51,897041;1723700;41,116322
2010-01-11;52,177124;52,357826;51,680199;51,951248;1523000;41,159283
2010-01-12;51,716339;52,032566;51,318802;52,005459;1650500;41,202213
2010-01-13;52,177124;53,821495;52,177124;53,568516;2729700;42,440582
2010-01-14;53,523338;54,056404;52,917995;53,577549;2044300;42,447742
2010-01-15;53,36071;53,496235;52,511421;52,963169;1846800;41,960972
2010-01-19;52,954136;53,857635;52,556595;53,252289;2460200;42,190037
2010-01-20;52,791504;53,044483;51,960285;52,665016;1858600;41,724766
2010-01-21;52,538525;52,71019;51,120029;51,210381;2682100;40,572308
2010-01-22;51,300732;51,373009;50,171356;50,261703;2182900;39,820686
2010-01-25;50,821877;50,821877;50,017761;50,324951;2499100;39,870811
2010-01-26;50,270741;51,002575;49,963551;50,623104;2079300;40,107018
2010-01-27;50,460476;51,46336;50,225567;51,264591;3078900;40,615246
2010-01-28;51,345905;51,680199;50,352055;51,17424;2672800;40,543671
2010-01-29;51,46336;51,553711;50,876083;51,1381;2585800;40,515034
2010-02-01;51,391079;52,493351;51,327835;52,330719;3725800;41,459908
2010-02-02;52,294579;52,583698;51,625992;52,565632;3208400;41,646034
2010-02-03;52,267475;53,080624;52,195194;52,863785;2173900;41,88224
2010-02-04;52,520454;54,562366;51,373009;52,312649;6825200;41,445595
2010-02-05;52,646946;52,854752;51,101959;52,09581;2839500;41,273796
2010-02-08;52,186161;53,05352;51,653095;52,375896;2596000;41,495712
2010-02-09;52,917995;54,173859;52,565632;53,803425;3011200;42,626694
2010-02-10;53,731144;53,758251;52,71019;52,890888;2633200;41,903721
2010-02-11;52,881855;53,68597;52,403;53,676933;2117200;42,526474
2010-02-12;53,152905;53,351673;52,619839;53,207115;2815300;42,154251
2010-02-16;53,64983;53,902809;53,225185;53,812462;2635600;42,633862
2010-02-17;53,95702;54,164825;53,6679;54,155788;2161700;42,905861
2010-02-18;53,95702;55,574284;53,902809;55,574284;3644200;44,029675
2010-02-19;55,54718;55,827267;55,059292;55,303234;3061900;43,814941
2010-02-22;55,312271;56,062176;55,276131;55,718845;1911800;44,144218
2010-02-23;55,54718;56,224804;55,303234;55,330341;1949500;43,836411
2010-02-24;55,538143;56,016998;55,276131;55,736916;2060900;44,158524
2010-02-25;55,267094;55,285164;54,354561;55,22192;3060500;44,09066
2010-02-26;55,23999;55,49297;54,535259;55,348412;3776500;44,191654
2010-03-01;55,339375;57,128304;55,249023;56,929535;2709600;45,454082
2010-03-02;56,884361;57,525845;56,739799;56,839184;2349600;45,381927
2010-03-03;56,866291;56,947605;55,971825;56,306122;2759200;44,956337
2010-03-04;56,279015;57,191551;56,089279;56,992779;3788100;45,50457
