"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;23,780001;24,129999;23,700001;23,870001;1683700;21,438541
2010-01-05;23,959999;24,280001;23,809999;24,24;3473400;21,770851
2010-01-06;24,25;24,790001;24,110001;24,77;2719300;22,246868
2010-01-07;24,790001;25,24;24,73;24,91;3200800;22,372602
2010-01-08;24,809999;25,01;24,48;24,5;1694600;22,004366
2010-01-11;24,690001;25;24,690001;24,73;2128700;22,210941
2010-01-12;24,6;24,6;24;24,040001;3446100;21,591227
2010-01-13;24,129999;24,35;24,09;24,299999;2704100;21,824743
2010-01-14;24,25;24,34;24;24,049999;2016600;21,600206
2010-01-15;24,620001;25,129999;24,309999;24,4;4573900;21,914551
2010-01-19;24,299999;25,15;24,299999;25,15;3141600;22,588154
2010-01-20;25,040001;25,049999;24,5;24,67;3770000;22,157053
2010-01-21;24,629999;24,84;23,99;24;4069800;21,555302
2010-01-22;25,15;25,540001;24,59;24,73;16160300;22,210941
2010-01-25;24,91;25,09;24,799999;24,940001;5075600;22,399549
2010-01-26;24,93;25,040001;24,73;24,92;3794800;22,381584
2010-01-27;25,219999;25,700001;24,639999;24,99;11804700;22,444456
2010-01-28;25,110001;25,25;24,51;24,719999;52002800;22,201952
2010-01-29;24,540001;24,690001;24,049999;24,110001;8070400;21,654091
2010-02-01;24,15;24,23;23,559999;23,9;6514500;21,465481
2010-02-02;23,889999;23,889999;23,389999;23,559999;6373100;21,160118
2010-02-03;23,42;23,549999;23,049999;23,110001;3993600;20,755959
2010-02-04;23;23;22,049999;22,1;5576400;19,848843
2010-02-05;22,09;22,129999;21,379999;21,709999;5825600;19,49856
2010-02-08;21,82;22,01;21,559999;21,59;3785300;19,390789
2010-02-09;21,860001;22,27;21,74;21,889999;4363100;19,660223
2010-02-10;21,9;21,91;21,34;21,66;3560600;19,453655
2010-02-11;21,950001;22,280001;21,68;22,219999;4536200;19,956617
2010-02-12;22,049999;22,07;21,65;22,059999;4044000;19,812912
2010-02-16;22,129999;22,49;22,1;22,49;2689900;20,199112
2010-02-17;22,549999;22,76;22,41;22,59;3466400;20,288927
2010-02-18;22,41;22,65;22,280001;22,57;4348400;20,270958
2010-02-19;22,59;23,450001;22,440001;23,200001;5192300;20,836794
2010-02-22;23,42;23,52;23,049999;23,07;3992000;20,720028
2010-02-23;22,5;22,879999;22,200001;22,26;5158300;19,99254
2010-02-24;22,33;22,5;21,57;21,860001;5536400;19,633286
2010-02-25;21,42;22,129999;21,360001;22,07;5194900;19,821896
2010-02-26;22,110001;22,24;21,6;21,84;5076400;19,61532
2010-03-01;21,889999;22,66;21,879999;22,58;4454300;20,279945
2010-03-02;22,66;22,969999;22,639999;22,67;5342400;20,360779
2010-03-03;22,74;22,98;22,48;22,5;4167100;20,208088
2010-03-04;22,41;22,43;22;22,299999;5632700;20,028463
2010-03-05;22,34;23,02;22,34;22,82;4665700;20,495495
2010-03-08;22,799999;23,030001;22,700001;22,9;1857500;20,567348
2010-03-09;22,83;22,98;22,719999;22,75;2425900;20,432629
2010-03-10;22,700001;22,83;22,559999;22,639999;2847600;20,333834
2010-03-11;22,559999;22,940001;22,52;22,940001;2830900;20,603277
2010-03-12;22,73;22,879999;22,07;22,190001;5232100;19,929678
2010-03-15;22,16;22,35;22,02;22,27;2323500;20,001518
2010-03-16;22,309999;22,52;22,129999;22,5;2155700;20,208088
2010-03-17;22,5;22,639999;22,379999;22,469999;2610400;20,18115
2010-03-18;22,59;22,6;21,959999;22,02;5028000;19,776991
2010-03-19;22,059999;22,35;21,799999;22,059999;5196100;19,812912
2010-03-22;21,98;22,030001;21,59;21,620001;3602500;19,417727
