"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;34,59;34,869999;34;34,189999;5320100;29,591667
2010-01-05;34,099998;34,349998;33,380001;33,59;7933900;29,072355
2010-01-06;33,470001;33,990002;33,099998;33,349998;5193900;28,864628
2010-01-07;33,240002;33,529999;32,990002;33,27;5373000;28,795393
2010-01-08;33,119999;33,59;32,779999;33,540001;4718400;29,029083
2010-01-11;33,540001;33,75;32,73;32,939999;5526800;28,509779
2010-01-12;32,799999;33,02;32,049999;32,450001;7329600;28,08568
2010-01-13;32,709999;33,869999;32,700001;33,73;6933200;29,193527
2010-01-14;33,630001;34,25;33,599998;33,650002;5474000;29,1243
2010-01-15;33,880001;34;32,990002;33,150002;5337800;28,691538
2010-01-19;33,16;33,84;33,16;33,299999;5129400;28,82136
2010-01-20;33,07;33,07;31,799999;32,5;5545900;28,128958
2010-01-21;32,380001;33,040001;31,620001;31,780001;9320500;27,505795
2010-01-22;31,540001;32,110001;30,76;30,780001;9246500;26,640287
2010-01-25;31,01;31,42;30,58;30,93;5594800;26,770115
2010-01-26;30,790001;31,540001;30,530001;30,91;5227400;26,752802
2010-01-27;30,68;31,209999;30,309999;30,93;5722600;26,770115
2010-01-28;30,6;30,92;29,48;29,82;9192700;25,809404
2010-01-29;29,959999;30,280001;28,92;29,129999;8728400;25,212198
2010-02-01;29,1;30,16;29,1;30,110001;5670000;26,0604
2010-02-02;30,139999;31,129999;30;30,969999;8363000;26,804733
2010-02-03;30,84;31,16;30,66;31,02;5400500;26,848013
2010-02-04;30,74;30,950001;29,84;29,889999;8937500;25,869984
2010-02-05;30,07;30,469999;29,469999;30,379999;9856400;26,294088
2010-02-08;30,5;31,07;30,200001;30,52;5738000;26,415255
2010-02-09;30,91;31,18;30,41;31,01;6610900;26,83935
2010-02-10;30,889999;31,1;30,530001;30,76;4356600;26,622978
2010-02-11;30,75;31,629999;30,5;31,540001;5711200;27,298077
2010-02-12;31,08;31,610001;30,790001;31,459999;4397400;27,228836
2010-02-16;31,91;32,32;31,74;32,299999;7300700;27,955854
2010-02-17;32,299999;32,310001;31,700001;32,080002;11614800;27,765448
2010-02-18;31,58;31,700001;30,26;31,68;19885800;27,419239
2010-02-19;31,469999;31,860001;31;31,290001;10254200;27,081697
2010-02-22;31,51;31,51;30,540001;30,639999;6244100;26,519112
2010-02-23;30,41;30,549999;29,620001;29,9;7964600;25,878647
2010-02-24;30,059999;30,35;29,57;29,83;9370800;25,818056
2010-02-25;29,35;30,16;29,200001;30,01;7590900;25,973848
2010-02-26;29,99;30,290001;29,799999;30,01;6076300;25,973848
2010-03-01;30,27;31,52;30,120001;31,459999;9051400;27,228836
2010-03-02;31,530001;31,690001;30,790001;31,09;7709200;26,908596
2010-03-03;31,26;32,009998;30,99;31,24;7451900;27,038414
2010-03-04;31,33;31,42;31,030001;31,360001;5098000;27,142279
2010-03-05;31,469999;32,23;31,469999;32,049999;6557700;27,739481
2010-03-08;32,369999;32,889999;32,34;32,509998;5319400;28,137611
2010-03-09;32,209999;32,860001;32,209999;32,549999;4808300;28,17223
2010-03-10;32,419998;33,310001;32,419998;33,18;7204400;28,717503
2010-03-11;33,150002;33,34;32,880001;33,32;5345100;28,838671
2010-03-12;33,529999;33,689999;32,75;32,91;4583900;28,48382
2010-03-15;33,27;33,299999;32,549999;32,82;3756000;28,405918
2010-03-16;32,990002;33,23;32,650002;33,189999;4010400;28,726154
2010-03-17;32,75;33,400002;32,75;33,040001;5094900;28,596333
2010-03-18;32,970001;33,369999;32,830002;33,299999;3209700;28,82136
2010-03-19;33,34;33,580002;32,16;32,459999;8786600;28,094339
2010-03-22;32,200001;33,169998;32,200001;32,939999;3625200;28,509779
2010-03-23;32,959999;32,98;32,43;32,740002;5347700;28,336681
2010-03-24;32,580002;33,279999;32,450001;33,169998;4908300;28,708841
2010-03-25;33,5;33,509998;32,610001;32,619999;6013700;28,232824
2010-03-26;33,060001;33,110001;32,48;32,73;5679800;28,32802
2010-03-29;32,939999;33,189999;32,419998;32,540001;3203800;28,163576
2010-03-30;32,509998;32,720001;32,049999;32,57;3747100;28,189541
2010-03-31;32,25;32,84;32,25;32,540001;3523500;28,163576
2010-04-01;33,240002;34,669998;33,220001;34,259998;12611400;29,652241
2010-04-05;34,330002;34,91;34,189999;34,77;5016200;30,093655
2010-04-06;34,580002;34,880001;34,310001;34,830002;4068500;30,145588
2010-04-07;34,720001;35,59;34,650002;35,119999;8154800;30,396585
2010-04-08;34,93;35;34,09;34,84;5252600;30,154243
2010-04-09;34,900002;35,529999;34,869999;35,529999;6107500;30,75144
2010-04-12;35,150002;35,529999;34,709999;34,939999;5231100;30,240789
2010-04-13;34,700001;35,029999;34,549999;34,689999;3983300;30,024416
2010-04-14;34,98;35,970001;34,880001;35,860001;5129700;31,037062
2010-04-15;35,77;36;35,630001;35,669998;4956800;30,872606
2010-04-16;35,630001;36,09;35,009998;35,150002;7605300;30,42255
2010-04-19;34,959999;35,389999;34,200001;34,790001;4666600;30,110966
2010-04-20;34,799999;34,84;34,34;34,669998;5718500;30,007105
2010-04-21;34,700001;35,310001;34,509998;35,189999;5389100;30,457167
2010-04-22;34,509998;35,5;34,470001;35,349998;3592500;30,595646
2010-04-23;35,220001;36,279999;35,150002;36,169998;5342300;31,305365
2010-04-26;36,209999;36,490002;35,790001;35,889999;3894500;31,063026
2010-04-27;35,599998;35,900002;34,59;34,849998;5337900;30,162891
2010-04-28;35,189999;35,560001;34,82;35,529999;5745100;30,75144
2010-04-29;35,549999;36,25;35,290001;35,84;6314100;31,019758
2010-04-30;36;36;34,639999;34,669998;4173900;30,007105
2010-05-03;34,75;35,130001;34,700001;34,880001;4605600;30,188858
2010-05-04;34,380001;34,490002;33,25;34,02;5445300;29,444525
2010-05-05;33,869999;34,189999;33,470001;34,07;4770800;29,487803
2010-05-06;33,900002;34,299999;30,530001;33,009998;7345400;28,570364
2010-05-07;32,75;32,950001;30,85;31,469999;11932600;27,237484
2010-05-10;32,939999;34;32,73;33,93;9181400;29,366629
2010-05-11;33,650002;34,080002;33,310001;33,459999;5858600;28,959835
2010-05-12;33,450001;34,099998;33,150002;34,049999;4380200;29,47049
2010-05-13;33,5;34,349998;33,490002;33,700001;3302000;29,167572
2010-05-14;33,02;33,939999;32,52;33,75;8527300;29,210836
2010-05-17;33,84;34,25;33,27;33,959999;6192400;29,392591
2010-05-18;34,310001;34,59;33,299999;33,540001;4543400;29,029083
2010-05-19;33,330002;34,009998;33,130001;33,549999;4495700;29,037731
2010-05-20;32,939999;33,25;32,009998;32,560001;7141400;28,180887
2010-05-21;31,809999;32,970001;31,799999;32,830002;9349600;28,414583
2010-05-24;31,66;33;31,66;32,400002;4437000;28,042408
2010-05-25;31,66;33,169998;31,07;33,09;8365300;28,639606
2010-05-26;33,130001;34,060001;32,279999;32,43;10610400;28,068371
2010-05-27;35,43;38,650002;35,18;38,169998;27567200;33,036381
2010-05-28;37,610001;38,549999;37,209999;37,68;12368000;32,612274
2010-06-01;37;38,619999;37;37,619999;13584500;32,560345
2010-06-02;37,580002;38,98;37,360001;38,950001;8245800;33,711479
2010-06-03;39;39,41;38,32;38,880001;10890400;33,65089
2010-06-04;38,310001;39,400002;37,630001;37,880001;12262500;32,785385
2010-06-07;38,25;38,919998;36,93;37,029999;10634000;32,049706
2010-06-08;37;37,540001;36,330002;37,389999;11203600;32,361286
2010-06-09;37,639999;38,959999;37,389999;37,509998;8171900;32,465149
2010-06-10;38,080002;38,73;37,77;38,490002;6615800;33,313351
2010-06-11;37,91;40,09;37,91;39,990002;12592500;34,611603
2010-06-14;40,380001;40,830002;39,630001;39,919998;7654100;34,551014
2010-06-15;39,950001;41,450001;39,950001;41,380001;9689100;35,814659
2010-06-16;40,849998;41,380001;40,740002;41;9675600;35,485756
2010-06-17;41,169998;41,790001;40,75;41,779999;7893200;36,160854
2010-06-18;41,779999;41,84;41,220001;41,220001;8880600;35,676189
2010-06-21;41,66;41,869999;40,220001;40,529999;7709700;35,078976
2010-06-22;40,66;40,900002;39,630001;39,77;5098900;34,421192
2010-06-23;39,77;40,41;39,400002;40,099998;5249700;34,706802
2010-06-24;39,889999;40,34;39,349998;39,619999;6383100;34,291359
2010-06-25;39,73;40,080002;38,869999;39,759998;7523800;34,412521
2010-06-28;39,950001;40,43;39,349998;39,790001;3745400;34,438503
2010-06-29;39,16;39,240002;37,669998;37,990002;6109200;32,880596
2010-06-30;37,849998;38,259998;37,259998;37,310001;4388900;32,292042
2010-07-01;37,599998;38,290001;36,799999;38,110001;8398200;32,984444
2010-07-02;38,150002;38,150002;36,68;37,130001;5209900;32,13625
2010-07-06;37,639999;37,849998;36,66;37,119999;5282500;32,127598
2010-07-07;37,299999;39,66;37,060001;39,599998;8004600;34,274044
2010-07-08;39,889999;39,990002;38,279999;38,889999;7493800;33,659534
2010-07-09;38,200001;38,98;38,200001;38,759998;4689000;33,54702
2010-07-12;38,810001;39,48;38,25;38,959999;4990600;33,720127
2010-07-13;39,290001;39,799999;38,84;39,560001;4909100;34,239437
2010-07-14;39,68;40,950001;39,59;40,32;5623200;34,897221
2010-07-15;40,34;40,849998;40,169998;40,73;7189100;35,252079
2010-07-16;40,700001;40,900002;40,130001;40,5;8291300;35,053001
2010-07-19;40,700001;41,169998;40,130001;41,02;5331800;35,503071
2010-07-20;40,189999;41,41;39,759998;41,41;5558400;35,840618
2010-07-21;40,990002;41;39,700001;39,830002;6126400;34,473118
2010-07-22;40,48;41,990002;40,459999;41,970001;6305700;36,325306
2010-07-23;41,610001;43,169998;41,59;43,110001;8218600;37,311981
2010-07-26;42,889999;44,18;42,66;44,029999;6004300;38,108246
2010-07-27;44,029999;44,25;43,23;43,75;5255300;37,865902
2010-07-28;43,650002;43,860001;42,82;43,169998;3943400;37,363899
2010-07-29;43,509998;43,630001;41,970001;42,419998;5744000;36,714775
2010-07-30;42;42,529999;41,689999;42,299999;4203000;36,610928
2010-08-02;42,82;44,169998;42,650002;44;5498500;38,082287
2010-08-03;44;44,240002;43;43,869999;6102200;37,969765
2010-08-04;44,099998;44,889999;44,049999;44,630001;5186800;38,627552
2010-08-05;44,389999;44,450001;43,34;43,720001;5362900;37,839928
2010-08-06;42,860001;43,27;42,25;43,110001;5623400;37,311981
2010-08-09;43,349998;43,549999;42,709999;42,91;4758600;37,138882
2010-08-10;42,860001;42,919998;40,869999;41,689999;8815400;36,082954
2010-08-11;40,849998;41,34;40,009998;41,169998;7930200;35,632896
2010-08-12;38,720001;39,799999;37,040001;37,580002;18264600;32,525734
2010-08-13;37,830002;39,07;37,580002;38,139999;11354900;33,010418
2010-08-16;37,82;39,09;37,650002;38,639999;5942700;33,443172
2010-08-17;38,990002;39,459999;38,59;38,650002;6871800;33,451817
2010-08-18;38,75;39,529999;38;39,32;11016900;34,031715
2010-08-19;38,43;40,939999;38,380001;40,700001;22800200;35,226112
2010-08-20;40,549999;41,279999;40,049999;40,529999;7319300;35,078976
2010-08-23;40,799999;41,68;40,099998;40,450001;6723800;35,009739
2010-08-24;39,849998;40,07;39,349998;39,52;7460800;34,204807
2010-08-25;39,259998;39,66;38,900002;39,299999;6927400;34,0144
2010-08-26;39,669998;40,009998;39,209999;39,689999;7169400;34,351948
2010-08-27;40;41,650002;39,610001;41,450001;10669100;35,875244
2010-08-30;41,150002;41,799999;40,41;40,529999;6595200;35,078976
2010-08-31;40,25;40,669998;39,950001;40,380001;5850200;34,949154
2010-09-01;41,009998;42,25;40,740002;41,91;8600100;36,273376
2010-09-02;42,27;43,209999;41,869999;43,07;6774900;37,277363
2010-09-03;43,5;44,330002;43,330002;44,049999;6517700;38,125565
2010-09-07;43,740002;45;43,740002;44,779999;7448700;38,757374
2010-09-08;44,860001;47;44,860001;46,43;13706900;40,185459
2010-09-09;47,060001;47,889999;46,279999;46,330002;7980600;40,098911
2010-09-10;46,110001;46,77;45,709999;46,330002;6294800;40,098911
2010-09-13;46,959999;48,220001;46,860001;48,099998;8703500;41,630852
2010-09-14;47,939999;49,080002;47,75;48,119999;10998300;41,648159
2010-09-15;48,080002;49,560001;47,82;49,299999;13381800;42,669468
2010-09-16;49;49,459999;48,32;48,68;7909800;42,132847
2010-09-17;49,02;49,150002;48,470001;49,040001;8413200;42,444435
2010-09-20;49,490002;49,869999;49,060001;49,669998;6432500;42,989697
2010-09-21;49,73;49,779999;47,919998;48,200001;10689100;41,717403
2010-09-22;47,869999;48,540001;47,41;48,450001;10101100;41,933777
2010-09-23;48,18;48,939999;47,84;48,290001;7210000;41,7953
2010-09-24;49,689999;50,889999;49,400002;50,389999;9249800;43,612865
2010-09-27;50,169998;50,290001;49,02;49,389999;5228500;42,747356
2010-09-28;49,549999;51,400002;49,380001;51;10050000;44,140823
2010-09-29;50,779999;51,299999;50,099998;50,810001;6403100;43,976379
2010-09-30;49,720001;50,099998;48,709999;49,790001;12333700;43,093571
2010-10-01;49,580002;50,099998;48,470001;48,639999;10208300;42,098225
2010-10-04;48,68;49,900002;48,540001;49,330002;6729500;42,695435
2010-10-05;50;51,27;49,740002;50,919998;7879500;44,071579
2010-10-06;51,060001;51,099998;47,200001;47,700001;14803600;41,284657
2010-10-07;48;48,650002;46,869999;48,279999;9399700;41,786648
2010-10-08;48,259998;48,860001;47,029999;48,759998;6402200;42,202087
2010-10-11;48,84;48,889999;47,889999;48,040001;4095400;41,578918
2010-10-12;47,939999;48,880001;46,98;48,77;5440100;42,210751
2010-10-13;49,299999;49,77;49,029999;49,619999;6097600;42,94643
2010-10-14;50,119999;50,849998;49,939999;50,389999;7832100;43,612865
2010-10-15;51,009998;51,029999;49,82;50,330002;6318000;43,560936
2010-10-18;50,25;50,349998;49,700001;50,299999;5188000;43,534969
2010-10-19;49,560001;51,77;49;51;10226500;44,140823
2010-10-20;51,360001;52,41;51,09;51,669998;6098400;44,720707
2010-10-21;52,32;52,369999;50;50,959999;5393400;44,106213
2010-10-22;51;52,419998;50,900002;51,970001;3763300;44,98037
2010-10-25;52,240002;52,709999;51,669998;51,900002;3963200;44,919785
2010-10-26;51,91;52,700001;51,330002;52,310001;3757900;45,274635
2010-10-27;52,490002;53,66;52,32;53,080002;4966100;45,941086
2010-10-28;53,389999;53,439999;52,099998;52,810001;3655500;45,707394
2010-10-29;52,630001;53,599998;52,560001;53,25;3520500;46,088215
2010-11-01;53,630001;54,049999;52,950001;53,279999;3943000;46,114174
2010-11-02;53,57;54,189999;53,459999;53,599998;2741900;46,391132
