"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;52,09;52,75;52,09;52,529999;1967200;41,885811
2010-01-05;52;52,740002;52;52,459999;2126100;41,829994
2010-01-06;52,330002;52,599998;51,630001;51,700001;2241300;41,223999
2010-01-07;51,540001;52,34;51,400002;52,189999;2001100;41,614719
2010-01-08;51,950001;52,560001;51,700001;52,419998;1367800;41,7981
2010-01-11;51,619999;52,080002;50,41;51,040001;2925300;40,697742
2010-01-12;50,84;51,700001;50,580002;50,950001;2018900;40,625973
2010-01-13;51,130001;51,759998;50,73;51,549999;1517300;41,104401
2010-01-14;51,380001;51,66;51;51,299999;2012600;40,905056
2010-01-15;51,279999;51,759998;50,810001;51,549999;2052000;41,104401
2010-01-19;51,549999;52,650002;51,529999;52,43;1897200;41,806084
2010-01-20;54,169998;56,110001;53,59;55,439999;4863200;44,206158
2010-01-21;54,509998;55,080002;53,439999;53,509998;3039700;42,667229
2010-01-22;53,41;54,07;51,73;52,07;3157500;41,519024
2010-01-25;52,720001;52,759998;51,59;51,990002;1214200;41,455238
2010-01-26;51,66;52,16;50,93;50,93;1298700;40,610031
2010-01-27;50,990002;52,630001;50,790001;52,490002;1890200;41,853928
2010-01-28;52,919998;52,919998;51,169998;51,59;1615900;41,136288
2010-01-29;51,759998;51,860001;50,509998;50,52;1933600;40,283092
2010-02-01;51,619999;52,689999;51,549999;52,169998;1764800;41,598763
2010-02-02;52,32;52,48;51,830002;52,119999;1212000;41,558895
2010-02-03;51,900002;52,07;51,419998;51,610001;1114900;41,152233
2010-02-04;51,169998;51,450001;49,880001;49,889999;2133600;39,780766
2010-02-05;49,880001;50,560001;48,889999;50,540001;2548500;40,299061
2010-02-08;50,73;51,459999;49,919998;49,990002;1780900;39,860504
2010-02-09;50,400002;50,919998;49,599998;50,080002;1869100;39,932262
2010-02-10;49,990002;50,869999;49,959999;50,560001;1773200;40,314999
2010-02-11;50,470001;50,59;49,91;50,34;1227600;40,139576
2010-02-12;50;50,279999;49,549999;50,009998;1789100;39,876438
2010-02-16;50,220001;50,990002;50,049999;50,990002;1325700;40,657871
2010-02-17;51,32;51,990002;50,75;51,84;2045800;41,335636
2010-02-18;51,779999;52,599998;51,630001;52,470001;1499200;41,837971
2010-02-19;52,5;54,880001;52,400002;54,599998;4349500;43,536381
2010-02-22;54,470001;55,009998;53,900002;54,650002;2457900;43,576248
2010-02-23;54,639999;54,759998;53,209999;53,459999;1483600;42,627377
2010-02-24;53,810001;54,099998;53,299999;53,560001;1580100;42,707123
2010-02-25;52,849998;53,139999;52,32;53,110001;1831800;42,348289
2010-02-26;53,360001;53,509998;52,700001;53,290001;1241700;42,49181
2010-03-01;53,32;53,540001;52,939999;53,439999;1096500;42,611416
2010-03-02;53,490002;53,720001;53,18;53,41;1273400;42,587502
2010-03-03;53,279999;53,799999;53,279999;53,459999;923100;42,627377
2010-03-04;53,549999;53,84;53,360001;53,759998;928700;42,866592
2010-03-05;54,110001;54,900002;53,77;54,889999;1412200;43,767612
2010-03-08;54,470001;55;54,369999;54,900002;1489200;44,000031
2010-03-09;54,619999;55,150002;54,209999;54,799999;1225500;43,919888
2010-03-10;54,740002;54,990002;53,700001;54,029999;2509600;43,302769
2010-03-11;53,849998;54,220001;53,419998;54,049999;1776900;43,318798
2010-03-12;54,299999;54,549999;53,889999;53,970001;1788700;43,254681
2010-03-15;54,080002;54,389999;53,790001;54,259998;1936300;43,487106
2010-03-16;54,25;54,860001;54,169998;54,810001;1513400;43,927898
2010-03-17;55,099998;56;54,93;55,799999;1584400;44,721344
2010-03-18;55,889999;55,970001;55,259998;55,619999;1250600;44,577076
2010-03-19;55,869999;56,009998;54,48;55,450001;1922600;44,440834
2010-03-22;55,299999;55,869999;55,099998;55,630001;1146300;44,585094
2010-03-23;55,93;55,93;55,279999;55,790001;944100;44,713337
2010-03-24;55,43;55,68;55,049999;55,16;954300;44,208408
2010-03-25;55,400002;56,5;55,220001;55,98;1799700;44,865616
2010-03-26;55,82;55,990002;55,16;55,349998;1609900;44,360687
2010-03-29;55,66;55,68;54,869999;55,189999;1641100;44,232449
2010-03-30;55,110001;55,189999;54,450001;54,650002;1396700;43,799667
2010-03-31;54,380001;55,48;54,299999;55,259998;1870800;44,288563
2010-04-01;55,419998;56,75;55,25;56,639999;1937300;45,394554
2010-04-05;56,740002;57,18;56,34;57,169998;1515300;45,81934
2010-04-06;56,830002;57,470001;56,619999;57,450001;1759000;46,043747
2010-04-07;57,220001;57,439999;56,779999;56,91;1563000;45,610977
2010-04-08;57;58,009998;56,630001;57,82;2064700;46,340286
2010-04-09;57,759998;58,549999;57,66;58,009998;2082100;46,492569
2010-04-12;58,32;58,84;58,119999;58,77;1707000;47,101685
2010-04-13;58,57;59,16;58,490002;59,02;2128900;47,302036
2010-04-14;59,119999;59,360001;57,939999;58,959999;3052500;47,253948
2010-04-15;58,669998;58,970001;58,41;58,650002;2093200;47,005489
2010-04-16;58,669998;58,869999;56,759998;57,389999;3128400;45,995663
2010-04-19;57,490002;58,369999;57,290001;58,369999;1672900;46,781097
2010-04-20;55,23;56,009998;54,75;55,369999;7549000;44,376709
2010-04-21;55,23;55,59;54,459999;54,73;3544300;43,863785
2010-04-22;54,630001;55,73;53,880001;55,630001;3197400;44,585094
2010-04-23;55,470001;56,389999;55,119999;56,310001;2231800;45,130085
2010-04-26;56,34;56,349998;55,299999;55,310001;1864300;44,328632
2010-04-27;55,080002;55,630001;54,259998;54,34;2372700;43,551224
2010-04-28;54,650002;55,040001;54,009998;54,369999;1508900;43,575241
2010-04-29;54,5;55,860001;54,5;55,650002;2226200;44,601135
2010-04-30;55,5;56,130001;54,830002;54,98;2209100;44,064152
2010-05-03;54,549999;55,25;54,529999;54,900002;1619400;44,000031
2010-05-04;54,5;54,779999;53,610001;53,919998;1832600;43,214607
2010-05-05;53,279999;54,740002;53,27;53,93;1581800;43,222618
2010-05-06;53,869999;54,16;49,93;51,669998;2883200;41,411324
2010-05-07;51,459999;53,099998;51,009998;51,799999;4539500;41,515514
2010-05-10;53,59;55,5;53,349998;55,110001;2564800;44,168346
2010-05-11;54,57;55,080002;54,150002;54,450001;2038700;43,639378
2010-05-12;54,709999;55,439999;54,16;55,34;2054700;44,35268
2010-05-13;55,080002;55,419998;54,240002;54,279999;1431900;43,503136
2010-05-14;54,009998;54,16;52,91;53,18;2539000;42,621513
2010-05-17;53,09;53,939999;52,82;53,82;1575600;43,134453
2010-05-18;54,139999;54,330002;52,5;52,790001;1841000;42,30896
2010-05-19;52,709999;53,419998;51,84;52,349998;1582200;41,956322
2010-05-20;51,279999;51,610001;50,09;50,099998;1729000;40,15303
2010-05-21;49,259998;52,049999;49,25;51,880001;2701000;41,579632
2010-05-24;52,189999;52,240002;50,639999;50,650002;1764000;40,593853
2010-05-25;49,619999;50,93;49,5;50,779999;2604900;40,698025
2010-05-26;51,119999;51,900002;50,259998;50,48;1593500;40,4576
2010-05-27;51,25;52,200001;51,189999;51,970001;2115300;41,65176
2010-05-28;52,200001;52,27;50,599998;50,810001;2229900;40,72208
2010-06-01;50,389999;50,810001;49,529999;49,82;1842900;39,928627
2010-06-02;50,189999;51,139999;49,830002;51,110001;1302900;40,962505
2010-06-03;51,009998;51,419998;50,490002;50,93;1247800;40,818253
2010-06-04;49,779999;50,150002;48,919998;49,02;2221300;39,287464
2010-06-07;49,200001;49,759998;48,5;48,5;1458000;38,870708
2010-06-08;48,299999;49,16;47,740002;49,060001;1492300;39,547832
2010-06-09;49,200001;49,799999;48,610001;48,75;1611300;39,297947
2010-06-10;49,610001;49,610001;48,970001;49,5;1990900;39,902519
2010-06-11;49,09;50;48,790001;49,93;1583400;40,249149
2010-06-14;50,040001;50,34;49,279999;49,34;1643700;39,773548
2010-06-15;49,790001;50,810001;49,400002;50,759998;1312600;40,918224
2010-06-16;50,59;51,52;50,41;51,32;1526200;41,369637
2010-06-17;51,189999;51,400002;50,490002;50,900002;1842500;41,031075
2010-06-18;50,880001;51;50,02;50,299999;2900600;40,547424
2010-06-21;50,68;50,98;49,09;49,389999;2384800;39,813862
2010-06-22;49,490002;49,73;48,549999;48,610001;1988300;39,185074
2010-06-23;48,52;48,75;48,200001;48,450001;2018400;39,056107
2010-06-24;48,139999;48,470001;47,330002;47,439999;2309600;38,241928
2010-06-25;47,529999;49,119999;47,529999;48,439999;5659300;39,048046
2010-06-28;48,48;48,849998;47,970001;48,299999;1621200;38,935184
2010-06-29;47,950001;48,220001;47,049999;47,419998;3380700;38,225807
2010-06-30;47,130001;47,75;46,599998;46,700001;2459300;37,645401
2010-07-01;46,669998;47,189999;45,98;46,57;3188300;37,540623
2010-07-02;46,740002;46,779999;45,450001;45,810001;3522300;36,927967
2010-07-06;46,150002;46,689999;45,59;45,959999;2119200;37,048889
2010-07-07;47,02;49,32;46,91;49,139999;4879800;39,612328
2010-07-08;49,380001;49,380001;47,310001;47,900002;3434800;38,612736
2010-07-09;47,900002;48,73;47,59;48,529999;1696600;39,120598
