"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;47,380001;48,279999;47,32;47,790001;4923600;34,930077
2010-01-05;47,77;48,259998;47,389999;48,119999;3610000;35,171268
2010-01-06;48,049999;50,099998;48,049999;49,57;6650900;36,231083
2010-01-07;49,290001;49,290001;48,110001;49,23;4732000;35,982574
2010-01-08;49,130001;50,439999;48,830002;49,93;6611200;36,494213
2010-01-11;50,68;50,720001;48,959999;49,639999;4522300;36,282253
2010-01-12;48,799999;48,939999;47,860001;48,41;5210800;35,383228
2010-01-13;48,41;48,880001;47,389999;48,43;3397200;35,39785
2010-01-14;48,389999;48,540001;47,380001;47,91;4450700;35,01778
2010-01-15;47,939999;48,080002;47,009998;47,43;3922200;34,666939
2010-01-19;47,450001;48,25;47,119999;48,110001;3438400;35,16396
2010-01-20;47,580002;47,689999;46,950001;47,110001;5049300;34,433052
2010-01-21;47,110001;47,25;45,599998;45,689999;5712900;33,395157
2010-01-22;44,43;45,490002;43,52;44,189999;7093600;32,29879
2010-01-25;44,93;45,349998;43,990002;44,130001;5990800;32,254955
2010-01-26;42,93;44,610001;42,75;43,560001;7585900;31,838335
2010-01-27;43,389999;44,060001;41,650002;42,59;7340000;31,129356
2010-01-28;43,310001;43,310001;41,099998;41,400002;6786700;30,259583
2010-01-29;42,040001;42,290001;40,57;40,799999;6653700;29,821026
2010-02-01;41,299999;42,169998;41,07;41,970001;4801700;30,67618
2010-02-02;42,34;43,040001;41,709999;42,919998;5357900;31,37055
2010-02-03;42,419998;43,18;41,799999;41,939999;5049400;30,654282
2010-02-04;40,669998;41,299999;39,5;39,5;9175200;28,87085
2010-02-05;39,970001;40,540001;38,93;40,459999;8421400;29,572514
2010-02-08;40,619999;40,849998;39,560001;39,57;4748000;28,922014
2010-02-09;40,419998;40,98;39,880001;40,459999;5038000;29,572514
2010-02-10;40,099998;40,23;39,240002;39,919998;6147800;29,177832
2010-02-11;40,080002;41,169998;39,900002;41,150002;5957000;30,076845
2010-02-12;40,34;41,450001;40;41,130001;5982400;30,062225
2010-02-16;41,98;42,77;41,73;42,689999;7459600;31,202435
2010-02-17;42,98;42,98;42,200001;42,439999;4983200;31,01972
2010-02-18;42,450001;43,779999;42,279999;43,619999;6230100;31,882183
2010-02-19;43,259998;45,040001;43,200001;44,349998;7040500;32,415741
2010-02-22;44,459999;44,490002;43,529999;43,66;5398900;31,911427
2010-02-23;43,509998;43,700001;41,689999;42;6989100;30,698112
2010-02-24;42,34;42,91;41,68;42,09;5767200;30,763897
2010-02-25;41,110001;41,970001;40,5;41,880001;5943500;30,610397
2010-02-26;41,98;42,07;40,869999;41,400002;6456900;30,259583
2010-03-01;41,779999;42,610001;41,490002;42,369999;5729600;30,968552
2010-03-02;42,93;43,290001;42,5;42,91;5721400;31,363235
2010-03-03;43,23;43,98;43,130001;43,16;4400600;31,545961
2010-03-04;43,16;43,68;42,91;43,509998;4517200;31,80179
2010-03-05;44,060001;44,720001;43,950001;44,560001;4963900;32,569248
2010-03-08;44,939999;45,259998;44,720001;44,84;5328200;32,773884
2010-03-09;44,509998;45,32;44,310001;44,93;4952400;32,839672
2010-03-10;44,990002;45,490002;44,549999;45,029999;4868800;32,912762
2010-03-11;44,400002;45,029999;44,169998;45,009998;4522300;32,898151
2010-03-12;45,220001;45,459999;44,759998;45,279999;6052300;33,09549
2010-03-15;44,990002;45,200001;44,630001;45,119999;5030800;32,978535
2010-03-16;45,790001;46,200001;45,049999;46,07;6990500;33,672901
2010-03-17;45,869999;46,220001;44,869999;45,110001;7720600;32,971241
2010-03-18;45,139999;45,490002;44,32;44,740002;4503600;32,700813
2010-03-19;44,389999;45,009998;43,970001;44,389999;6494500;32,444977
2010-03-22;43,740002;44,709999;43,540001;44,66;3256700;32,642323
2010-03-23;44,82;46,389999;44,709999;46,330002;5863900;33,862942
2010-03-24;46,049999;46,110001;45,630001;45,82;4313600;33,490181
2010-03-25;46,43;46,43;44,759998;44,880001;5180200;32,803139
2010-03-26;45,209999;46;45,09;45,669998;4033900;33,380543
2010-03-29;45,990002;46,380001;45,700001;46,040001;3409800;33,918354
2010-03-30;46,459999;46,459999;45,189999;45,560001;2833400;33,564735
2010-03-31;45,419998;45,830002;45,240002;45,380001;3034600;33,432114
2010-04-01;45,98;46,220001;45,57;45,950001;2971000;33,852043
2010-04-05;46,439999;47,849998;46,080002;47,529999;5907200;35,01606
2010-04-06;47,48;48,049999;47,119999;47,639999;4088900;35,097092
2010-04-07;47,439999;48,060001;47,240002;47,610001;6488500;35,074993
2010-04-08;47,25;47,59;46,959999;47,490002;4715700;34,98658
2010-04-09;47,709999;47,810001;46,959999;47,400002;4397600;34,920292
2010-04-12;47,450001;47,73;46,959999;47,150002;3261500;34,736103
2010-04-13;47,150002;47,439999;46,419998;47;4527700;34,625591
2010-04-14;47,599998;47,77;47,169998;47,669998;5042100;35,119186
2010-04-15;47,599998;47,599998;46,529999;46,650002;6026500;34,367741
2010-04-16;46,310001;46,610001;45,150002;45,639999;6421000;33,623665
2010-04-19;45,290001;45,599998;44,759998;45,529999;5724700;33,542622
2010-04-20;45,970001;46,25;44,73;45,259998;6513700;33,343708
2010-04-21;45,34;45,560001;44,549999;45,110001;5332900;33,233204
2010-04-22;44,889999;45,439999;43,669998;45,27;6567400;33,351074
2010-04-23;45,709999;46,240002;45,009998;46,060001;5576600;33,93309
2010-04-26;46,400002;46,799999;45,700001;45,759998;4307500;33,712078
2010-04-27;45,68;46,02;44,490002;44,619999;7392200;32,872219
2010-04-28;45,130001;45,130001;44,299999;45,009998;4818900;33,159534
2010-04-29;45,389999;45,93;45,110001;45,66;4459200;33,638401
2010-04-30;45,860001;46,169998;45,279999;45,32;6374400;33,387924
2010-05-03;45,810001;46,150002;44,880001;45,93;4699300;33,837318
2010-05-04;45,25;45,599998;44,66;45,16;5433900;33,270039
2010-05-05;44,09;47,009998;44,09;45,77;7855300;33,719437
2010-05-06;45,389999;46,689999;42,639999;44,700001;7931300;32,931164
2010-05-07;44,48;45,77;43,040001;44,900002;8373100;33,078487
2010-05-10;46,580002;46,77;45,900002;46,57;5379600;34,308804
2010-05-11;45,919998;46,740002;45,630001;45,990002;3919000;33,881504
2010-05-12;46,349998;46,869999;45,950001;46,77;3945400;34,456154
2010-05-13;46,970001;47,48;46,189999;46,330002;4872000;34,131992
2010-05-14;45,84;46,080002;44,98;45,889999;5772100;33,807835
2010-05-17;45,959999;46,040001;44,560001;45,529999;6162700;33,542622
2010-05-18;46,040001;46,450001;44,369999;44,509998;6269500;32,791183
2010-05-19;44,080002;45,130001;43,75;44,560001;6450700;32,828022
2010-05-20;43,32;43,900002;42,27;42,709999;7989000;31,465096
2010-05-21;41,830002;43,439999;41,720001;42,950001;9555600;31,641903
2010-05-24;42,75;43,470001;42,25;42,25;4467000;31,126198
2010-05-25;40,810001;42,990002;40,560001;42,900002;7794200;31,605072
2010-05-26;43,220001;44;42,32;42,450001;6652500;31,273537
2010-05-27;43,799999;43,889999;42,98;43,849998;5412400;32,304951
2010-05-28;43,560001;43,720001;42,619999;43,049999;3816200;31,715555
2010-06-01;42,560001;42,990002;41,43;41,43;4082000;30,522108
2010-06-02;41,619999;42,830002;41,59;42,759998;4452800;31,501919
2010-06-03;43,110001;43,200001;41,82;42,540001;3936900;31,339857
2010-06-04;41,689999;42,09;40,669998;40,93;5618900;30,153728
2010-06-07;41,060001;41,220001;40,119999;40,119999;4526000;29,556995
2010-06-08;40,169998;41,049999;39,830002;40,950001;6361800;30,16847
2010-06-09;41,279999;41,939999;40,869999;41,09;6426200;30,271606
2010-06-10;41,900002;42,490002;41,689999;42,43;4642400;31,25882
2010-06-11;42;42,779999;42;42,630001;3535600;31,40616
2010-06-14;43,040001;43,279999;42,34;42,43;3767600;31,25882
2010-06-15;42,34;42,73;41,279999;42,650002;6498700;31,420879
2010-06-16;42,169998;42,369999;41,91;42,169998;4092500;31,067251
2010-06-17;42,259998;42,259998;41,009998;41,689999;5274800;30,713631
2010-06-18;41,759998;41,98;41,23;41,490002;5197200;30,566303
2010-06-21;42,299999;42,93;41,48;41,77;5653700;30,772583
2010-06-22;41,75;42,060001;40,990002;41,080002;4751300;30,26425
2010-06-23;41,080002;41,959999;40,84;41,720001;4594800;30,735741
2010-06-24;41,34;41,580002;40,459999;40,540001;4973600;29,866423
2010-06-25;40,66;41,32;40,040001;41,16;5737800;30,323175
2010-06-28;41,02;41,02;40,099998;40,139999;4063400;29,832655
2010-06-29;39,5;39,610001;38,279999;38,48;7586400;28,598921
2010-06-30;38,43;39,220001;38,18;38,279999;4621700;28,450274
2010-07-01;38,330002;38,91;37,349998;37,759998;6919700;28,063807
2010-07-02;38,009998;38,07;37,310001;37,32;3749100;27,736792
2010-07-06;37,900002;38,32;36,950001;37,369999;4605700;27,773952
2010-07-07;37,279999;39,080002;37,130001;39,07;5371800;29,037418
2010-07-08;39,439999;39,450001;38,419998;39,110001;4634900;29,067148
2010-07-09;39,09;39,919998;39,009998;39,610001;2693400;29,438759
2010-07-12;39,549999;39,549999;38,41;38,669998;3633000;28,740128
2010-07-13;39,23;39,459999;38,91;39,209999;2781800;29,141468
2010-07-14;39,419998;39,639999;38,630001;39,400002;3892400;29,282684
2010-07-15;39,529999;39,529999;38,599998;39,27;3305200;29,186071
2010-07-16;38,970001;38,970001;38,009998;38,09;3872100;28,309071
2010-07-19;38,360001;38,700001;38,09;38,450001;2578400;28,576633
2010-07-20;38;39,91;37,959999;39,82;4047600;29,59483
2010-07-21;40,130001;40,400002;38,790001;39,110001;4570300;29,067148
2010-07-22;39,990002;40,66;39,299999;39,669998;4412900;29,483353
2010-07-23;40;40;38,860001;39,84;5863800;29,609694
2010-07-26;39,77;40,18;39,509998;40,110001;3228000;29,810362
2010-07-27;40,529999;40,59;39,139999;39,799999;3945300;29,579971
2010-07-28;39,529999;40;39,389999;39,549999;2791200;29,394159
2010-07-29;39,810001;40,049999;38,82;39,16;2861100;29,104313
2010-07-30;38,720001;39,290001;38,630001;39,139999;2608600;29,089445
2010-08-02;39,720001;40,400002;39,560001;40,27;2310400;29,92927
2010-08-03;40,150002;40,490002;39,650002;39,860001;3184300;29,624565
2010-08-04;40,080002;40,34;39,720001;40,299999;2313300;29,951578
2010-08-05;40,09;40,110001;39,560001;39,98;2415800;29,713749
2010-08-06;39,610001;40,349998;39,419998;39,990002;3078900;29,72117
2010-08-09;40,07;40,150002;39,68;40,02;1551000;29,743475
2010-08-10;39,540001;40;39;39,700001;2791600;29,505644
2010-08-11;39,060001;39,200001;38,349998;38,360001;3107400;28,509745
2010-08-12;37,98;38,77;37,82;38,560001;2865900;28,658382
2010-08-13;38,310001;38,450001;38,009998;38,09;1993200;28,309071
2010-08-16;38,02;38,580002;37,830002;38,419998;1881100;28,554325
2010-08-17;38,669998;39,68;38,669998;39,32;2843400;29,223225
2010-08-18;39,27;39,639999;38,950001;39,34;2480200;29,238085
2010-08-19;39,27;39,669998;38,360001;38,540001;2837700;28,643524
2010-08-20;38,290001;38,43;38;38,369999;2534900;28,517174
2010-08-23;38,52;38,580002;37,75;37,759998;2847400;28,063807
2010-08-24;37,369999;37,459999;36,599998;36,68;4952600;27,261143
2010-08-25;36,400002;36,82;35,709999;36,68;8353900;27,261143
2010-08-26;36,970001;37,139999;36,330002;36,380001;2999900;27,038179
2010-08-27;36,639999;37,27;36,369999;37,25;3039500;27,684767
2010-08-30;36,990002;37,490002;36,66;36,66;2604900;27,246279
2010-08-31;36,490002;37,23;36,41;36,779999;3036400;27,335451
2010-09-01;37,32;38,060001;37,200001;37,959999;3012900;28,212446
2010-09-02;37,98;38,439999;37,650002;38,439999;1935600;28,569189
2010-09-03;38,900002;38,950001;38,310001;38,68;2966100;28,74758
