"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;18,51;18,620001;18,110001;18,49;20005100;17,027998
2010-01-05;18,42;18,959999;18,42;18,76;18216200;17,276648
2010-01-06;18,75;18,92;18,57;18,879999;16229200;17,387156
2010-01-07;18,780001;18,860001;18,370001;18,51;13694800;17,046412
2010-01-08;18,360001;18,68;18,25;18,549999;11954200;17,083252
2010-01-11;18,65;18,73;18,030001;18,290001;13915300;16,843805
2010-01-12;18,02;18,09;17,290001;17,67;15685800;16,272831
2010-01-13;17,790001;17,969999;17,1;17,91;12721700;16,493858
2010-01-14;17,690001;17,82;17,33;17,629999;15213100;16,235994
2010-01-15;17,5;17,65;16,879999;17,110001;20454800;15,757109
2010-01-19;16,98;17,540001;16,93;17,43;13633200;16,051815
2010-01-20;17,209999;17,43;16,98;17,360001;17993200;15,987344
2010-01-21;17,35;17,66;16,889999;17,049999;15215800;15,701854
2010-01-22;16,85;17,16;16,360001;16,459999;26697900;15,158504
2010-01-25;16,73;17,059999;16,610001;16,74;16091900;15,416365
2010-01-26;16,66;16,77;16,200001;16,209999;17865900;14,928272
2010-01-27;16,200001;16,709999;16,02;16,65;20312600;15,333482
2010-01-28;16,780001;16,84;15,86;16,09;17194100;14,817764
2010-01-29;16,27;16,450001;15,15;15,39;19367500;14,17311
2010-02-01;15,45;16,6;15,32;16,57;23745800;15,259807
2010-02-02;16,51;16,950001;16,459999;16,74;21245300;15,416365
2010-02-03;16,59;16,950001;16,51;16,879999;14057400;15,5453
2010-02-04;16,73;16,73;15,72;15,9;19587000;14,642784
2010-02-05;15,88;16,26;15,6;16,219999;15121400;14,937482
2010-02-08;16,17;16,58;15,87;16,190001;11129000;14,909856
2010-02-09;16,450001;16,530001;15,9;16,059999;23253600;14,790132
2010-02-10;16,16;16,52;16,049999;16,370001;13395700;15,075624
2010-02-11;16,629999;17,299999;16,51;17,120001;17399500;15,766318
2010-02-12;17;17,700001;16,809999;17,35;19505300;15,978134
2010-02-16;17,58;17,74;17,370001;17,67;11425600;16,272831
2010-02-17;17,889999;17,9;17,33;17,84;21914000;16,42939
2010-02-18;16,860001;16,950001;16,209999;16,67;37887700;15,351896
2010-02-19;16,6;16,780001;16,5;16,58;12763700;15,269019
2010-02-22;16,65;16,9;16,5;16,610001;11452100;15,296646
2010-02-23;16,66;16,73;16,040001;16,209999;12244100;14,928272
2010-02-24;16,35;16,709999;16,299999;16,549999;11146700;15,24139
2010-02-25;16,17;16,440001;15,76;16,4;14424300;15,103251
2010-02-26;16,32;16,440001;16,1;16,200001;9834900;14,919064
2010-03-01;16,209999;16,93;16,08;16,85;13896700;15,517665
2010-03-02;17;17,209999;16,719999;16,84;13466200;15,508459
2010-03-03;16,940001;17,030001;16,49;16,629999;9982500;15,315063
2010-03-04;16,700001;16,83;16,450001;16,66;13934900;15,34269
2010-03-05;16,540001;17,290001;16,540001;17,17;15820800;15,812366
2010-03-08;17,18;17,23;16,85;16,92;10982800;15,582133
2010-03-09;17,09;17,719999;17,08;17,549999;20770800;16,162321
2010-03-10;17,5;17,780001;17,49;17,59;10463000;16,199152
2010-03-11;17,450001;17,51;17,120001;17,190001;13516500;15,830783
2010-03-12;17,379999;17,43;17,16;17,25;13008800;15,886044
2010-03-15;17,23;17,4;17;17,16;8972600;15,803156
2010-03-16;17,15;17,860001;17,139999;17,76;16624700;16,355711
2010-03-17;17,860001;18,34;17,860001;18,1;16279200;16,668831
2010-03-18;18,129999;18,129999;17,299999;17,459999;18524100;16,079433
2010-03-19;17,719999;17,77;17,030001;17,25;14615300;15,886044
2010-03-22;17,030001;17,6;17,030001;17,530001;10883400;16,143902
2010-03-23;17,66;17,98;17,540001;17,889999;12340300;16,475431
2010-03-24;17,74;17,790001;17,26;17,290001;10906300;15,922876
2010-03-25;17,540001;17,65;17,299999;17,34;12379600;15,968922
2010-03-26;17,49;17,67;17,200001;17,34;8616900;15,968922
2010-03-29;17,450001;17,6;17,209999;17,559999;9861400;16,171528
2010-03-30;17,76;17,85;17,33;17,629999;8102600;16,235994
2010-03-31;17,559999;17,639999;17,309999;17,4;9746000;16,024179
2010-04-01;17,48;17,68;17,040001;17,219999;8491600;15,858413
2010-04-05;17,33;17,51;17,309999;17,48;10340900;16,097851
2010-04-06;17,26;17,299999;16,75;17,049999;20231500;15,701854
2010-04-07;16,940001;17,450001;16,799999;17,16;20436700;15,803156
2010-04-08;17,049999;17,18;16,790001;16,879999;25940000;15,5453
2010-04-09;16,84;17,049999;16,75;16,99;20439300;15,646596
2010-04-12;17,01;17,370001;16,98;17,299999;13661500;15,93208
2010-04-13;17,370001;17,719999;17,299999;17,66;16217400;16,263624
2010-04-14;18,040001;18,129999;17,6;17,879999;22518000;16,46623
2010-04-15;17,940001;18,120001;17,76;18,01;23939900;16,585943
2010-04-16;17,280001;17,35;16,68;17,059999;47943400;15,711061
2010-04-19;16,93;17,030001;16,41;16,98;27362300;15,637392
2010-04-20;17,1;17,280001;16,82;17,040001;16954700;15,692648
2010-04-21;17,129999;17,15;16,4;16,6;22397700;15,287433
2010-04-22;16,33;16,719999;16,1;16,67;16423300;15,351896
2010-04-23;16,620001;16,66;16,15;16,440001;18822900;15,140087
2010-04-26;16,459999;16,799999;16,43;16,6;12277300;15,287433
2010-04-27;16,48;16,65;16,08;16,129999;15167600;14,854599
2010-04-28;16,120001;16,389999;15,83;16,16;16804100;14,882225
2010-04-29;16,209999;16,67;15,97;16,65;24678200;15,333482
2010-04-30;16,450001;16,48;15,7;15,71;26701200;14,467809
2010-05-03;15,79;15,88;15,3;15,54;26974300;14,31125
2010-05-04;15,3;15,33;14,53;14,75;32784400;13,583716
2010-05-05;14,45;14,87;14,32;14,5;33271000;13,353484
2010-05-06;14,4;14,7;13,04;14,2;25072200;13,077204
2010-05-07;14,33;14,33;13,46;13,96;28842800;12,856182
2010-05-10;14,8;14,98;14,4;14,56;24478900;13,40874
2010-05-11;14,42;14,69;14,29;14,4;20728100;13,26139
2010-05-12;14,5;14,76;14,41;14,68;22530900;13,519253
2010-05-13;14,62;15,29;14,51;14,65;31300000;13,491624
2010-05-14;13,66;13,7;12,6;12,96;62326700;11,935253
2010-05-17;12,98;13,15;12,58;12,99;21401500;11,962879
2010-05-18;13,1;13,18;12,49;12,56;16852800;11,566884
2010-05-19;12,5;12,78;12,41;12,76;20663000;11,751066
2010-05-20;12,39;12,76;12,01;12,46;28228400;11,474786
2010-05-21;12,1;13,08;12,1;12,73;26740000;11,723438
2010-05-24;12,69;12,84;12,32;12,36;16614100;11,382694
2010-05-25;11,97;12,75;11,85;12,69;24166300;11,686599
