"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;26,26;26,5;25,959999;26,1;876900;16,305347
2010-01-05;26,4;26,540001;26,01;26,540001;664000;16,580235
2010-01-06;26,610001;26,610001;26,26;26,52;971500;16,567732
2010-01-07;26,59;27,15;26,35;27,08;1219300;16,917587
2010-01-08;26,99;27,5;26,959999;27,450001;789700;17,148733
2010-01-11;27,530001;27,549999;27,200001;27,24;703000;17,017542
2010-01-12;27,15;27,379999;27,09;27,34;618100;17,080011
2010-01-13;27,620001;27,719999;27,25;27,65;734000;17,273682
2010-01-14;27,530001;27,74;27,42;27,540001;676800;17,204962
2010-01-15;27,68;27,75;27,469999;27,49;700800;17,173723
2010-01-19;27,5;28,1;27,5;27,950001;1010300;17,4611
2010-01-20;27,809999;28;27,51;27,530001;581700;17,198715
2010-01-21;27,6;27,85;26,92;26,92;1016400;16,817619
2010-01-22;27,09;27,75;26,27;26,27;1425800;16,411558
2010-01-25;26,620001;26,99;26,25;26,85;762800;16,773903
2010-01-26;26,879999;27,549999;26,73;27,27;688600;17,03628
2010-01-27;27,190001;27,84;26,879999;27,84;906900;17,392368
2010-01-28;27,950001;27,950001;27,360001;27,780001;1019400;17,444492
2010-01-29;27,82;27,950001;27,469999;27,93;1001400;17,538687
2010-02-01;27,99;28;27,440001;27,860001;902500;17,49472
2010-02-02;27,860001;28;27,48;27,700001;793200;17,394258
2010-02-03;27,549999;27,74;26,959999;27,059999;621200;16,992367
2010-02-04;26,959999;27,299999;26;26,02;1479000;16,339302
2010-02-05;26,209999;26,549999;25,6;26,120001;1956700;16,40209
2010-02-08;26,42;26,5;25,74;25,74;864600;16,163465
2010-02-09;26,09;26,09;25,440001;25,52;1156800;16,025312
2010-02-10;25,58;25,82;25,280001;25,75;914900;16,169754
2010-02-11;25,610001;26,24;25,42;26,030001;914000;16,345581
2010-02-12;26,02;27,049999;25,799999;26,99;1132900;16,94841
2010-02-16;27,09;27,92;27,08;27,85;1222400;17,488447
2010-02-17;27,950001;28,32;27,9;28,32;1006800;17,783585
2010-02-18;28,290001;28,879999;28,25;28,75;898100;18,053608
2010-02-19;28,629999;28,790001;28,440001;28,58;794300;17,946846
2010-02-22;28,709999;28,709999;28,110001;28,299999;861800;17,771021
2010-02-23;28,280001;28,57;27,709999;28,030001;1100600;17,601477
2010-02-24;28,059999;28,43;28,040001;28,309999;643000;17,777306
2010-02-25;28,219999;28,33;27,85;28,309999;489900;17,867556
2010-02-26;28,280001;28,440001;27,969999;28;739200;17,6719
2010-03-01;28,059999;28,309999;27,74;27,98;893600;17,659283
2010-03-02;28,15;28,219999;27,620001;27,969999;706200;17,652967
2010-03-03;28,1;28,299999;27,799999;27,959999;613900;17,646656
2010-03-04;27,959999;28,1;27,83;28,059999;407900;17,709766
2010-03-05;28,17;28,540001;27,959999;28,440001;783100;17,949608
2010-03-08;28,48;28,73;28,370001;28,610001;617300;18,05691
2010-03-09;28,530001;29,200001;28,5;29,120001;722600;18,378782
2010-03-10;29,139999;29,389999;28,91;29,219999;957800;18,441902
2010-03-11;29,09;29,379999;28,82;29,219999;547500;18,441902
2010-03-12;29,299999;29,4;28,91;29,17;861300;18,410332
2010-03-15;29,219999;29,5;28,98;29,290001;636200;18,486069
2010-03-16;29,379999;30,02;29,34;29,92;734600;18,88369
2010-03-17;29,959999;30,4;29,959999;30,209999;829500;19,066711
2010-03-18;30,1;30,85;30,08;30,48;1030500;19,237131
2010-03-19;29,959999;30,5;29,66;29,959999;1403800;18,908936
2010-03-22;29,780001;30,48;29,780001;30,43;651000;19,20558
2010-03-23;30,01;30,34;30;30,219999;740600;19,07304
2010-03-24;29,99;31,1;29,99;30,639999;1096600;19,338114
2010-03-25;30,75;30,879999;30,48;30,52;1006200;19,262383
2010-03-26;30,620001;30,85;30,5;30,77;656200;19,420164
2010-03-29;30,879999;30,879999;30,6;30,84;609300;19,464333
2010-03-30;30,67;30,85;30,4;30,73;560100;19,485466
2010-03-31;30,66;31,190001;30,620001;30,690001;784400;19,4601
2010-04-01;30,9;30,9;30,18;30,440001;621100;19,30158
2010-04-05;30,67;31,059999;30,450001;31,049999;510200;19,68837
