"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;13,644444;13,831111;12,888889;13,017777;2381500;12,850006
2010-01-05;12,964444;13,342222;12,666667;13,297778;2673900;13,126399
2010-01-06;13,271111;13,862223;13,271111;13,542222;1711900;13,367692
2010-01-07;13,173333;13,666667;12,88;12,888889;2077200;12,72278
2010-01-08;13,022223;13,266666;12,862223;13,066667;2086300;12,898265
2010-01-11;13,106667;13,191112;12,88;12,991111;901000;12,823682
2010-01-12;12,946667;13,177778;12,742222;12,924444;1504900;12,757875
2010-01-13;12,955556;13,075556;12,773334;12,995556;903100;12,828071
2010-01-14;12,653334;13,36;12,653334;12,964444;1186200;12,797359
2010-01-15;13,004444;13,004444;12,462222;12,631111;1936000;12,468324
2010-01-19;12,586667;12,675555;12,24;12,391111;1625400;12,231418
2010-01-20;12,36;12,36;12,066667;12,235556;1076400;12,077865
2010-01-21;12,266666;12,44;11,888889;11,937778;1502500;11,783927
2010-01-22;11,933333;12,031111;11,724444;11,795555;1054900;11,643537
2010-01-25;11,911111;11,986667;11,706667;11,862223;949900;11,709343
2010-01-26;11,866667;12,08;11,777778;12;987900;11,845346
2010-01-27;12;12,133333;11,977777;12,106667;1991800;11,950637
2010-01-28;12,466666;12,915556;12,168889;12,275556;3426400;12,11735
2010-01-29;12,288889;12,435555;12,151111;12,222222;1556500;12,064705
2010-02-01;12,257778;12,582222;12,222222;12,493333;1464400;12,332323
2010-02-02;12,56;12,564445;12,351111;12,457778;1295100;12,297225
2010-02-03;12,404445;12,671111;12,328889;12,608889;914500;12,446386
2010-02-04;12,564445;12,564445;12,36;12,36;937300;12,200706
2010-02-05;12,346666;12,52;12,044444;12,266666;1347000;12,108576
2010-02-08;12,288889;12,573334;12,093333;12,262222;1192600;12,104188
2010-02-09;12,422222;12,635555;12,284445;12,568889;919500;12,406904
2010-02-10;12,497778;12,568889;12,288889;12,515555;1054500;12,354258
2010-02-11;12,448889;12,706667;12,222222;12,622222;1288000;12,459551
2010-02-12;12,56;12,68;12,337778;12,675555;819600;12,512196
2010-02-16;12,697778;12,697778;12,417778;12,586667;958600;12,424452
2010-02-17;12,657778;12,871111;12,608889;12,857778;1414500;12,692069
2010-02-18;12,822222;13,062222;12,777778;12,813334;1381600;12,648198
2010-02-19;12,822222;12,986667;12,777778;12,955556;906700;12,788587
2010-02-22;12,951111;13,288889;12,915556;13,248889;1145700;13,078139
2010-02-23;13,2;13,235556;12,915556;13,151111;1257900;12,98162
2010-02-24;13,151111;13,422222;13,137777;13,373333;1004800;13,20098
2010-02-25;13,266666;13,573334;13,195556;13,546667;815800;13,372081
2010-02-26;13,515555;13,706667;13,386666;13,662222;484800;13,486145
2010-03-01;13,684444;13,697778;13,457778;13,533334;977800;13,358918
2010-03-02;13,511111;13,564445;13,395555;13,48;613900;13,306272
2010-03-03;13,524445;13,715555;13,382222;13,622222;593100;13,44666
2010-03-04;13,608889;13,724444;13,56;13,626667;429900;13,451049
2010-03-05;13,653334;13,911111;13,533334;13,84;747400;13,661631
2010-03-08;13,96;14,448889;13,96;14,24;1310400;14,056478
2010-03-09;14,266666;15,093333;14,266666;14,808888;2056500;14,618032
2010-03-10;14,773334;15,235556;14,546667;14,813334;1285300;14,622423
2010-03-11;14,728889;15,004444;14,715555;14,915556;486600;14,723328
2010-03-12;14,986667;15,013333;14,564445;14,897778;756400;14,705778
2010-03-15;14,835556;14,977777;14,68;14,888889;532900;14,697004
2010-03-16;14,888889;15,333333;14,888889;15,32;716100;15,122558
2010-03-17;15,346666;15,377778;15,026667;15,111111;745800;14,916363
2010-03-18;15,04;15,111111;14,782222;14,96;961300;14,767198
2010-03-19;15,026667;15,031111;14,737778;14,813334;761100;14,622423
2010-03-22;14,702222;15;14,622222;14,897778;552600;14,705778
2010-03-23;14,946667;15,044444;14,862223;14,928889;568000;14,736488
2010-03-24;14,92;14,968889;14,72;14,751111;414600;14,561
2010-03-25;14,857778;15,08;14,711111;14,728889;406300;14,539066
2010-03-26;14,728889;14,871111;14,493333;14,706667;499200;14,517133
2010-03-29;14,782222;14,937778;14,6;14,675555;348900;14,48642
