"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;28,260473;28,333334;27,34062;27,386156;4278600;16,172974
2010-01-05;27,477232;27,604736;26,885246;27,313297;4180600;16,129942
2010-01-06;27,185793;27,540983;27,049181;27,149363;2963700;16,033129
2010-01-07;27,167578;27,622952;26,885246;27,522768;3924800;16,253645
2010-01-08;27,449909;27,750456;27,413479;27,704918;3059700;16,361219
2010-01-11;27,832422;28,096539;27,723133;28,014572;2572600;16,544088
2010-01-12;27,795992;28,005465;27,34062;27,540983;3143400;16,264408
2010-01-13;27,595629;27,850637;27,413479;27,750456;4628700;16,388109
2010-01-14;27,622952;27,750456;27,349728;27,668488;2974200;16,339705
2010-01-15;27,613844;27,750456;27,459017;27,641167;3852600;16,323568
2010-01-19;27,595629;28,542805;27,586521;28,497269;4474800;16,829145
2010-01-20;28,333334;28,333334;27,714025;27,978142;3440500;16,522568
2010-01-21;28,02368;28,142076;27,094717;27,149363;4652700;16,033129
2010-01-22;27,103825;27,495447;26,630238;26,730419;4995500;15,785726
2010-01-25;27,058289;27,058289;26,347906;26,739527;3107500;15,791102
2010-01-26;26,530054;26,548269;25,874317;25,938068;4624800;15,317801
2010-01-27;25,947176;26,174864;25,491804;26,156649;5059200;15,446877
2010-01-28;26,420765;26,420765;25,746813;26,020037;4295100;15,3662
2010-01-29;26,138433;26,302368;25,646629;25,819672;5562500;15,247883
2010-02-01;25,956284;26,511839;25,938068;26,347906;3151000;15,559825
2010-02-02;26,384335;27,040073;26,120218;26,958105;4240600;15,920179
2010-02-03;26,867031;26,903461;26,40255;26,62113;2955200;15,721182
2010-02-04;26,448088;26,457195;25,273224;25,291439;8205900;14,935937
2010-02-05;25,428051;25,71949;24,826958;25,528233;7692600;15,075775
2010-02-08;25,591986;25,664845;24,754099;24,845173;4526100;14,672391
2010-02-09;24,644808;24,85428;24,31694;24,644808;4926200;14,806439
2010-02-10;24,590164;25,364298;24,435337;25,118397;4662300;15,090972
2010-02-11;25,045538;25,601093;24,881603;25,53734;3974300;15,342678
2010-02-12;25,063753;25,273224;24,781422;25,081966;5211200;15,069086
2010-02-16;25,491804;26,420765;25,336977;26,357014;4711500;15,835126
2010-02-17;26,502731;26,857924;26,47541;26,684881;3515600;16,03211
2010-02-18;26,566484;27,267759;26,448088;27,103825;3599400;16,28381
2010-02-19;26,93989;27,377048;26,748634;27,213116;3493600;16,349464
2010-02-22;27,267759;27,295082;26,821493;26,930782;3809200;16,179844
2010-02-23;26,894354;27,094717;26,384335;26,411657;4647300;15,867952
2010-02-24;26,466303;26,757742;26,411657;26,757742;3585000;16,075876
2010-02-25;26,47541;26,520947;26,174864;26,420765;4774200;15,87343
2010-02-26;26,384335;26,539162;26,211294;26,211294;5626000;15,747579
2010-03-01;26,366119;26,566484;26,211294;26,448088;3511900;15,889841
2010-03-02;26,557377;26,757742;26,448088;26,639345;5368400;16,004747
2010-03-03;26,657558;26,757742;26,411657;26,630238;2778900;15,999273
2010-03-04;26,739527;27,012751;26,602915;26,948997;2750900;16,190788
2010-03-05;27,140255;27,723133;26,894354;27,686703;3752100;16,633993
2010-03-08;27,65938;28,06011;27,550091;27,814207;2787600;16,710596
2010-03-09;27,632059;28,051003;27,604736;27,84153;2929100;16,727016
2010-03-10;27,923498;28,397085;27,704918;28,324226;3277900;17,017012
2010-03-11;28,178507;28,879782;28,051003;28,843351;3984200;17,328901
2010-03-12;28,888889;29,298725;28,825136;29,262295;3654300;17,580601
2010-03-15;28,533697;29,371584;28,251366;29,262295;4544400;17,580601
2010-03-16;29,307833;30,163935;29,225864;30,063753;4406800;18,062109
2010-03-17;30,245901;30,86521;30,091074;30,783243;5511000;18,494383
2010-03-18;30,400728;30,75592;30,264116;30,510017;4014000;18,330225
2010-03-19;30,154827;30,746813;30,118397;30,154827;5665000;18,116831
2010-03-22;29,990892;31,056467;29,918034;30,947176;4615000;18,592873
2010-03-23;30,601093;31,056467;30,409836;30,810564;5621800;18,51079
