"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;23,27;23,73;23,23;23,389999;810900;17,566286
2010-01-05;23,42;23,84;23,27;23,690001;532700;17,791594
2010-01-06;23,75;24,049999;23,51;23,57;505600;17,701464
2010-01-07;23,5;23,610001;23,1;23,4;628400;17,573795
2010-01-08;23,43;25,09;23,299999;24,950001;2726700;18,737871
2010-01-11;25;25;23,870001;24,049999;1350500;18,061951
2010-01-12;23,860001;23,940001;23,34;23,73;842500;17,821629
2010-01-13;23,889999;24,02;23,459999;23,92;559900;17,964325
2010-01-14;23,75;23,93;23,43;23,610001;533000;17,731516
2010-01-15;23,77;23,77;22,99;23,23;741700;17,446127
2010-01-19;23,309999;23,889999;23,23;23,84;788200;17,904243
2010-01-20;23,629999;23,629999;22,889999;22,959999;929700;17,243347
2010-01-21;22,940001;23,139999;21,690001;21,690001;1627500;16,289562
2010-01-22;21,719999;22,08;21,16;21,24;1834100;15,951594
2010-01-25;21,42;22,32;21,4;21,540001;2088000;16,176903
2010-01-26;21,5;23,209999;21,41;22,809999;2969100;17,130697
2010-01-27;22,959999;22,959999;22,01;22,42;963000;16,837799
2010-01-28;22,450001;22,540001;21,700001;21,889999;726700;16,439762
2010-01-29;21,91;22,42;21,75;22,040001;1038300;16,55241
2010-02-01;22,17;22,32;21,93;22,26;1421700;16,717638
2010-02-02;22,200001;22,370001;21,879999;22,27;1184600;16,725153
2010-02-03;21,76;22,200001;21,6;21,700001;1318400;16,297073
2010-02-04;21,469999;21,5;20,92;20,940001;1273900;15,726298
2010-02-05;20,889999;21,43;20,629999;21,389999;1074400;16,064253
2010-02-08;21,41;21,809999;21,16;21,370001;887000;16,049238
2010-02-09;21,66;21,98;21,290001;21,57;1178700;16,199438
2010-02-10;21,459999;21,68;21,049999;21,26;436200;15,966618
2010-02-11;21,27;21,5;21,129999;21,5;354200;16,146862
2010-02-12;21,27;21,6;20,860001;21,6;493900;16,221968
2010-02-16;21,780001;22,299999;21,77;22,24;786100;16,702618
2010-02-17;22,43;22,93;22,23;22,459999;716500;16,86784
2010-02-18;22,4;23,08;22,26;22,889999;1021900;17,190781
2010-02-19;22,799999;23,049999;22,629999;22,719999;595200;17,063107
2010-02-22;22,73;22,73;22,049999;22,459999;1263800;16,86784
2010-02-23;22,530001;23,690001;22,530001;23,33;1571700;17,521221
2010-02-24;23,469999;23,85;23,23;23,690001;903100;17,791594
2010-02-25;23,35;24,17;23,18;24,15;1124000;18,137054
2010-02-26;24,15;24,26;23,58;23,799999;618000;17,874201
2010-03-01;23,82;24,49;23,780001;24,389999;1089200;18,317305
2010-03-02;24,41;24,65;24,309999;24,370001;857600;18,30228
2010-03-03;24,360001;24,66;24,23;24,52;721500;18,414934
2010-03-04;24,6;24,73;24,16;24,4;383000;18,324818
2010-03-05;24,58;24,790001;24,469999;24,610001;386000;18,482531
2010-03-08;24,549999;24,690001;24,370001;24,5;384100;18,399921
2010-03-09;24,440001;24,879999;24,26;24,370001;549200;18,30228
2010-03-10;24,309999;24,559999;23,98;24,290001;1115600;18,242201
2010-03-11;24,059999;24,290001;23,85;24,280001;647000;18,348001
2010-03-12;24,440001;24,440001;23,959999;24,290001;803000;18,355551
2010-03-15;24,290001;24,370001;23,870001;24,360001;1152400;18,408453
2010-03-16;24,530001;25,049999;24,43;25,040001;919000;18,922321
2010-03-17;25,18;25,83;25,07;25,459999;1370200;19,23971
2010-03-18;25,540001;25,540001;24,940001;25,290001;888700;19,111237
2010-03-19;24,780001;25,41;24,67;24,780001;690200;18,72584
2010-03-22;24,549999;25,43;24,49;25,07;679200;18,944986
2010-03-23;25,09;25,309999;24,879999;25,26;611200;19,088562
2010-03-24;25,049999;25,190001;24,709999;25;636100;18,892092
2010-03-25;25,139999;25,4;24,280001;24,34;1318100;18,393339
2010-03-26;24,35;24,66;24,23;24,309999;730600;18,370672
2010-03-29;24,360001;24,76;24,34;24,59;602800;18,582258
2010-03-30;24,68;24,75;24,299999;24,620001;434000;18,604931
2010-03-31;24,48;24,74;24,27;24,610001;808200;18,597374
2010-04-01;24,719999;25,08;24,559999;24,77;574700;18,718287
2010-04-05;24,9;25,200001;24,690001;25,200001;441000;19,04323
2010-04-06;25,110001;25,190001;24,870001;25,09;652800;18,960098
2010-04-07;24,950001;25,030001;24,360001;24,5;1239600;18,514252
2010-04-08;24,389999;24,690001;24,09;24,67;637100;18,642712
2010-04-09;24,68;24,99;24,24;24,889999;1034300;18,808973
2010-04-12;24,860001;24,9;24,139999;24,34;953100;18,393339
2010-04-13;24,34;24,469999;24,040001;24,309999;1200800;18,370672
2010-04-14;24,49;24,9;24,299999;24,85;998500;18,778736
2010-04-15;24,719999;25,059999;24,629999;24,879999;943500;18,801403
2010-04-16;24,75;25,389999;24,68;25,32;1621200;19,133905
2010-04-19;25,209999;25,389999;24,530001;24,68;1631400;18,65027
2010-04-20;24,120001;25,700001;24,030001;24,74;1667700;18,695616
2010-04-21;24,860001;25,34;24,799999;25,299999;1005000;19,118793
2010-04-22;25,09;25,879999;24,91;25,690001;820700;19,413511
2010-04-23;25,799999;26,25;25,75;26,25;731600;19,836697
2010-04-26;26,24;26,48;25,780001;25,799999;713700;19,496634
2010-04-27;25,700001;26;24,92;25;743300;18,892092
2010-04-28;25,07;25,18;24,639999;24,780001;901200;18,72584
2010-04-29;25,01;25,299999;25,01;25,25;794200;19,081011
2010-04-30;25,33;25,559999;24,690001;24,73;899300;18,688059
2010-05-03;24,92;25,26;24,52;25,209999;620700;19,050781
2010-05-04;24,91;24,91;24,15;24,209999;1096900;18,295099
2010-05-05;23,969999;24,219999;23,379999;23,870001;849700;18,03817
2010-05-06;23,65;23,889999;20,299999;22,610001;1580600;17,086008
2010-05-07;22,58;22,860001;21,950001;22,139999;2112100;16,730837
2010-05-10;23,18;23,34;22,459999;22,73;1250500;17,176689
2010-05-11;22,5;22,93;22,459999;22,709999;835400;17,161572
2010-05-12;22,85;23,629999;22,75;23,52;758400;17,77368
2010-05-13;23,52;23,690001;23,219999;23,34;571600;17,637651
2010-05-14;23,18;23,219999;22,68;22,969999;573600;17,358049
2010-05-17;23,25;23,6;22,549999;22,82;1154800;17,244703
2010-05-18;23,07;23,299999;22,790001;22,889999;1089900;17,297598
2010-05-19;22,74;22,83;22,07;22,440001;671200;16,957541
2010-05-20;21,92;22,07;21,23;21,280001;1437300;16,08095
2010-05-21;20,950001;21,65;20,59;21,41;1166300;16,179184
2010-05-24;21,33;21,74;20,99;21,02;713600;15,88446
2010-05-25;20,41;20,68;20;20,6;1984000;15,567079
2010-05-26;20,75;21,440001;20,75;20,93;933900;15,816456
2010-05-27;21,34;22,24;21,15;22,219999;919600;16,791288
2010-05-28;22,15;22,34;21,559999;22,139999;969400;16,730837
2010-06-01;21,92;22,280001;21,27;21,27;854000;16,073389
2010-06-02;21,43;21,91;21,309999;21,91;562300;16,557024
2010-06-03;21,74;22,52;21,719999;22,139999;550600;16,730837
2010-06-04;21,67;21,950001;21,120001;21,24;753200;16,050716
2010-06-07;21,23;21,280001;20,58;20,58;937900;15,55197
2010-06-08;20,639999;20,83;20,51;20,799999;907800;15,718219
2010-06-09;21,01;21,1;20,67;20,799999;830000;15,718219
2010-06-10;21,049999;21,52;21;21,5;848300;16,247194
2010-06-11;21,799999;22,459999;21,799999;22,379999;2120700;17,031021
2010-06-14;23,200001;23,200001;22,48;22,559999;1877300;17,167994
2010-06-15;22,870001;23,59;22,82;23,5;1812300;17,883337
2010-06-16;23,5;23,51;23,1;23,299999;818000;17,731127
2010-06-17;23,299999;23,5;23,030001;23,25;556500;17,693085
2010-06-18;23,360001;23,49;23,139999;23,27;975200;17,708305
2010-06-21;23,639999;24,08;23,33;23,51;1868800;17,890944
2010-06-22;23,5;23,6;22,799999;22,799999;1180800;17,350639
2010-06-23;22,66;22,860001;22,299999;22,620001;1079000;17,213663
2010-06-24;22,41;22,559999;22,110001;22,16;965000;16,863605
2010-06-25;22,18;22,52;22,110001;22,32;1332000;16,985359
2010-06-28;22,41;22,530001;22,02;22,120001;1098100;16,833164
2010-06-29;22,1;22,1;21,4;21,73;1424200;16,536373
2010-06-30;21,75;22,370001;21,58;22,02;1750300;16,757061
2010-07-01;22;22,360001;21,74;22,08;1411800;16,802727
2010-07-02;22,18;22,23;21,42;21,459999;768100;16,330908
2010-07-06;21,85;22,01;21,190001;21,33;826800;16,231979
2010-07-07;21,33;22,02;21,25;22,02;570600;16,757061
2010-07-08;22,209999;22,379999;21,809999;22,129999;998100;16,840773
2010-07-09;22,15;22,5;22,120001;22,450001;937300;17,084286
2010-07-12;22,299999;22,459999;21,74;21,83;1467600;16,612476
2010-07-13;22,059999;22,84;22,059999;22,799999;1297600;17,350639
2010-07-14;22,76;23,120001;22,450001;22,85;1182300;17,388693
2010-07-15;22,92;23,190001;22,549999;23,1;1059900;17,578939
2010-07-16;22,99;23,120001;22,610001;22,74;1540400;17,304977
2010-07-19;22,889999;23,17;22,35;22,92;1111900;17,441956
2010-07-20;22,66;24,73;22,66;24,700001;3100600;18,796528
2010-07-21;24,77;24,92;24,040001;24,32;1794400;18,507347
2010-07-22;24,74;24,940001;24,35;24,49;1237300;18,636709
2010-07-23;24,309999;25,190001;24,07;25,07;910800;19,078087
2010-07-26;25,27;25,43;24,99;25,43;802400;19,352047
2010-07-27;25,459999;25,5;24,700001;24,77;1024000;18,849798
2010-07-28;24,77;24,77;23,959999;24,209999;1323500;18,423634
2010-07-29;24,35;24,450001;23,620001;23,940001;1047400;18,21817
2010-07-30;23,66;24,16;23,540001;24;742400;18,263824
2010-08-02;24,26;25,129999;24,23;25,040001;1077600;19,055264
2010-08-03;24,950001;24,99;24,32;24,360001;862600;18,537783
2010-08-04;24,450001;24,780001;24,219999;24,5;699400;18,644327
2010-08-05;24,389999;24,68;24,18;24,360001;518100;18,537783
2010-08-06;24;24,5;23,91;24,040001;1157700;18,294271
2010-08-09;24,209999;24,549999;24,200001;24,34;653100;18,522568
2010-08-10;24,07;24,110001;23,67;24,01;848100;18,271444
2010-08-11;23,58;23,58;23,02;23,15;747300;17,616982
2010-08-12;22,809999;23,4;22,66;23,27;837200;17,708305
2010-08-13;23,18;23,33;23;23,02;559900;17,518057
2010-08-16;22,92;23,209999;22,76;22,889999;730900;17,419125
2010-08-17;23,209999;24,26;22,959999;23,889999;1355700;18,180119
2010-08-18;23,9;23,9;23,02;23,389999;1293400;17,799622
2010-08-19;23,290001;23,370001;22,780001;22,85;533200;17,388693
2010-08-20;22,73;23,09;22,639999;23,059999;537000;17,548496
2010-08-23;23,15;23,309999;22,370001;22,4;598000;17,046242
2010-08-24;22,02;22,360001;21,860001;22,16;843300;16,863605
2010-08-25;21,99;22,620001;21,719999;22,549999;699500;17,160391
2010-08-26;22,65;22,879999;22,209999;22,32;518800;16,985359
2010-08-27;22,530001;23,030001;22,1;22,940001;889600;17,457176
2010-08-30;22,799999;22,91;22,299999;22,299999;391200;16,970139
2010-08-31;22,200001;22,67;22,129999;22,290001;478400;16,962528
2010-09-01;22,74;23,209999;22,700001;23,18;490300;17,639816
2010-09-02;23,190001;23,75;23;23,700001;437800;18,03553
2010-09-03;24;24,15;23,91;24,02;557200;18,279047
2010-09-07;24,02;24,040001;23,43;23,719999;512600;18,050743
2010-09-08;23,66;23,76;23,219999;23,27;622300;17,708305
2010-09-09;23,68;23,790001;23,370001;23,49;376200;17,875723
2010-09-10;23,49;24,1;23,459999;23,67;962500;18,012701
2010-09-13;23,9;24,200001;23,74;23,870001;593900;18,280748
