"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;20,76;20,809999;20,280001;20,639999;1880200;19,159119
2010-01-05;20,66;21,059999;20,49;20,889999;1568200;19,391184
2010-01-06;20,82;21,41;20,799999;21,299999;1245300;19,771769
2010-01-07;21,799999;22;21,200001;21,24;2581900;19,716072
2010-01-08;21,32;21,51;21,209999;21,43;2273200;19,892437
2010-01-11;21,559999;21,66;21,4;21,459999;2347600;19,920288
2010-01-12;21,4;21,440001;21,040001;21,16;2656900;19,641811
2010-01-13;21,27;21,440001;21,040001;21,41;1352600;19,873873
2010-01-14;21,34;21,67;21,32;21,65;1147700;20,096653
2010-01-15;21,719999;21,889999;21,280001;21,41;1239100;19,873873
2010-01-19;21,41;21,75;21,01;21,440001;2235000;19,901724
2010-01-20;21,379999;21,379999;20,92;21,16;1301600;19,706148
2010-01-21;21,139999;21,18;20,41;20,48;1668900;19,072874
2010-01-22;20,530001;21,17;20,370001;20,370001;2016100;18,97043
2010-01-25;20,48;20,700001;20,4;20,52;796300;19,110125
2010-01-26;20,49;20,77;20,219999;20,57;879200;19,156689
2010-01-27;20,49;20,6;20,200001;20,389999;1135200;18,989052
2010-01-28;20,42;20,549999;20,059999;20,07;1114100;18,691042
2010-01-29;20,139999;20,49;20,030001;20,139999;1939600;18,756227
2010-02-01;20,299999;20,35;19,98;20,190001;1740800;18,802799
2010-02-02;20,23;20,889999;20,129999;20,82;1358000;19,389511
2010-02-03;20,84;21,18;20,639999;20,68;1190200;19,259132
2010-02-04;20,450001;20,49;19,73;19,82;1678300;18,45822
2010-02-05;21,5;22,059999;20,120001;20,52;6012000;19,110125
2010-02-08;20,459999;21,290001;20,43;20,950001;2804000;19,510586
2010-02-09;21,190001;21,190001;20,82;20,889999;2224300;19,4547
2010-02-10;20,9;21;20,6;20,700001;1458100;19,277758
2010-02-11;20,67;20,91;20,530001;20,870001;1542700;19,436073
2010-02-12;20,709999;21,02;20,5;21;1706800;19,557144
2010-02-16;21,1;21,6;20,9;21,59;1879200;20,106607
2010-02-17;21,73;21,780001;21,549999;21,59;1321900;20,106607
2010-02-18;21,6;21,98;21,59;21,92;1537800;20,413933
2010-02-19;21,870001;22,059999;21,66;21,790001;985600;20,292864
2010-02-22;21,85;22,73;21,780001;22,379999;4185600;20,842327
2010-02-23;22,379999;22,5;22,15;22,32;1983700;20,786442
2010-02-24;22,48;22,5;22,23;22,35;1331500;20,814388
2010-02-25;22,1;22,43;21,9;22,41;1302800;20,870262
2010-02-26;22,49;22,49;22,030001;22,209999;945300;20,684008
2010-03-01;22,379999;23,540001;22,26;23,26;3154400;21,661869
2010-03-02;23,24;23,690001;23,24;23,43;1398800;21,820187
2010-03-03;23,440001;23,540001;23,200001;23,34;866800;21,736368
2010-03-04;23,33;23,450001;22,950001;23,120001;775700;21,531487
2010-03-05;23,190001;23,790001;23,16;23,790001;1550400;22,155451
2010-03-08;23,68;23,82;23,48;23,68;1490800;22,053003
2010-03-09;23,52;23,709999;23,440001;23,52;1059700;21,904007
2010-03-10;23,58;23,58;23,299999;23,5;1226000;21,885378
2010-03-11;23,5;23,57;23,280001;23,459999;1005000;21,848125
2010-03-12;23,6;23,6;23,24;23,370001;885000;21,764307
2010-03-15;23,67;23,67;23,370001;23,5;656600;21,885378
2010-03-16;23,49;23,67;23,379999;23,629999;1046700;22,006447
2010-03-17;23,690001;24,09;23,629999;24;1109800;22,351021
2010-03-18;24,049999;24,280001;23,99;24,110001;981100;22,45347
2010-03-19;23,610001;24,450001;23,6;23,610001;1714500;21,98782
2010-03-22;23,549999;24,09;23,42;24,059999;1017600;22,4069
2010-03-23;24,049999;24,24;23,82;24,190001;683400;22,527967
2010-03-24;24,09;24,18;23,91;23,98;849400;22,332397
2010-03-25;24,110001;24,209999;23,860001;23,9;1186900;22,257891
2010-03-26;23,950001;24,129999;23,82;24;1114000;22,351021
2010-03-29;24,09;24,299999;24,059999;24,23;737800;22,565222
2010-03-30;24,23;24,440001;24,139999;24,309999;602900;22,639723
2010-03-31;24,26;24,299999;23,879999;23,9;863400;22,257891
2010-04-01;24;24,15;23,92;24,15;1344900;22,490715
2010-04-05;24,290001;24,35;24,030001;24,200001;1191900;22,537277
2010-04-06;24,1;24,17;23,9;24,01;966700;22,36034
2010-04-07;24,02;24,07;23,809999;23,879999;917000;22,239264
2010-04-08;23,73;23,82;23,5;23,67;1367900;22,043692
2010-04-09;23,66;23,870001;23,66;23,799999;2262500;22,164768
2010-04-12;23,84;23,940001;23,75;23,76;407400;22,127514
2010-04-13;23,76;23,82;23,59;23,74;637600;22,108883
2010-04-14;23,450001;23,9;23,24;23,82;965100;22,248993
2010-04-15;23,809999;23,950001;23,77;23,870001;938900;22,2957
2010-04-16;23,790001;24,040001;23,459999;23,5;1475100;21,950106
2010-04-19;23,469999;23,65;23,33;23,440001;1433800;21,894054
2010-04-20;23,530001;23,99;23,52;23,99;1527900;22,407778
2010-04-21;23,92;24,030001;23,74;23,940001;1279200;22,361078
2010-04-22;23,73;24;23,48;23,879999;1726300;22,305033
