"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;25,76;26,030001;25,25;25,370001;1169700;18,198828
2010-01-05;25,35;25,76;25,110001;25,74;1048200;18,464239
2010-01-06;25,75;26;25,34;25,51;1163400;18,299255
2010-01-07;25,379999;25,84;25,15;25,719999;950500;18,449896
2010-01-08;25,530001;25,889999;25,41;25,65;1072700;18,399677
2010-01-11;25,73;26;25,370001;25,68;876600;18,421206
2010-01-12;25,35;25,639999;24,870001;25,110001;962200;18,012321
2010-01-13;25,27;25,85;25,200001;25,790001;989200;18,500113
2010-01-14;25,58;25,790001;25,379999;25,690001;766700;18,428375
2010-01-15;25,52;25,75;25,450001;25,57;739900;18,342295
2010-01-19;25,57;26,129999;25,57;26,07;956200;18,700962
2010-01-20;25,57;25,629999;24,98;25,459999;1192600;18,263382
2010-01-21;25,440001;25,59;24,209999;24,25;2000900;17,395405
2010-01-22;24,280001;24,540001;23,57;23,68;2069300;16,986534
2010-01-25;24,040001;24,129999;23,139999;23,700001;1571600;17,000872
2010-01-26;23,57;24,74;23,5;24,25;1891300;17,395405
2010-01-27;24,17;24,65;23,76;24,65;1801300;17,682352
2010-01-28;24,790001;24,870001;23,780001;24,02;1328300;17,230421
2010-01-29;24,1;24,66;23,799999;24;2014700;17,216076
2010-02-01;24,370001;24,629999;24,139999;24,59;2266300;17,639309
2010-02-02;24,73;25,02;24,33;24,690001;3403700;17,711037
2010-02-03;24,49;24,49;23,48;23,860001;1532900;17,115652
2010-02-04;23,57;23,68;22,66;22,799999;2093300;16,355272
2010-02-05;22,84;23,290001;22,5;23,15;2099100;16,60634
2010-02-08;22,82;23,219999;22,450001;22,52;1721000;16,154417
2010-02-09;22,950001;23;22,18;22,49;2011700;16,132902
2010-02-10;22,379999;22,76;21,959999;22,42;1431600;16,082689
2010-02-11;22,450001;22,450001;21,92;22,139999;2218600;15,881829
2010-02-12;21,950001;22,690001;21,799999;22,629999;1838300;16,233326
2010-02-16;22,959999;23,389999;22,799999;23,299999;2016500;16,713943
2010-02-17;23,49;23,58;23,27;23,459999;739100;16,828712
2010-02-18;23,379999;24,030001;23,290001;23,91;1435400;17,151512
2010-02-19;23,780001;23,940001;23,58;23,76;1272700;17,043921
2010-02-22;23,860001;24,09;23,709999;23,969999;969800;17,194557
2010-02-23;23,780001;24,049999;23,629999;23,68;1082900;16,986534
2010-02-24;23,73;23,92;23,610001;23,92;950100;17,158688
2010-02-25;23,549999;24,33;23,41;24,280001;1146200;17,416935
2010-02-26;24,290001;24,66;24,110001;24,34;1332000;17,45997
2010-03-01;24,459999;24,65;24,299999;24,459999;1014600;17,546049
2010-03-02;24,52;24,780001;24,360001;24,639999;761900;17,675169
2010-03-03;24,67;24,780001;24,35;24,450001;858800;17,538883
2010-03-04;24,57;24,65;24,299999;24,549999;910800;17,610605
2010-03-05;24,799999;25,469999;24,549999;25,41;1198900;18,227518
2010-03-08;25,360001;25,93;25,27;25,809999;825200;18,514454
2010-03-09;25,66;26,17;25,549999;26,01;1460900;18,657921
2010-03-10;26,059999;26,620001;25,85;26,6;1518100;19,081146
2010-03-11;26,32;26,99;26,299999;26,92;1760700;19,310698
2010-03-12;27;27,32;26,870001;27,27;1503300;19,561764
2010-03-15;27,120001;27,59;26,85;27,370001;1491000;19,633501
2010-03-16;27,42;28,07;27,129999;27,98;1975600;20,071083
2010-03-17;28,120001;28,84;27,860001;28,58;1299900;20,501478
2010-03-18;28,51;28,690001;28,280001;28,6;1366400;20,515823
2010-03-19;28,059999;28,799999;27,98;28,059999;1943100;20,128462
2010-03-22;27,719999;28,299999;27,52;28,09;1490500;20,149979
2010-03-23;28,18;28,59;27,92;28,469999;1373500;20,422573
2010-03-24;28,24;28,91;28,23;28,780001;1744600;20,644947
2010-03-25;28,879999;29,6;28,860001;28,889999;1629400;20,723845
2010-03-26;29,059999;29,219999;28,73;28,860001;1393500;20,702335
2010-03-29;29,059999;29,120001;28,440001;28,5;1513500;20,444088
2010-03-30;28,469999;28,709999;27,66;27,77;1641800;19,920435
2010-03-31;27,459999;27,940001;27,200001;27,24;2417800;19,739275
2010-04-01;27,48;27,549999;27,049999;27,24;1880100;19,739275
2010-04-05;27,379999;27,940001;27,309999;27,75;1696300;20,108843
2010-04-06;27,530001;28,940001;27,48;28,639999;1719300;20,753773
2010-04-07;28,26;28,26;27,280001;27,530001;14614100;19,949417
2010-04-08;27,5;27,65;27,280001;27,530001;2879300;19,949417
2010-04-09;27,6;27,91;27,290001;27,9;3068100;20,217531
2010-04-12;27,93;27,99;27,75;27,780001;1706900;20,130585
2010-04-13;27,76;28,450001;27,629999;28,280001;2098700;20,492903
