"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;48,330002;49,59;48,25;49,349998;7844500;31,06683
2010-01-05;49,369999;49,57;48,759998;48,919998;7168600;30,796141
2010-01-06;48,66;49;48,290001;48,919998;11777200;30,796141
2010-01-07;48,77;49,599998;48,560001;49,529999;8905400;31,180145
2010-01-08;49,32;49,52;48,779999;49,259998;6580800;31,010191
2010-01-11;49,779999;49,799999;49,25;49,439999;6090900;31,123489
2010-01-12;49,369999;49,369999;48,849998;49,169998;6752900;30,953527
2010-01-13;49,169998;49,889999;49,169998;49,669998;5926400;31,268293
2010-01-14;49,48;49,98;49,48;49,599998;4602200;31,224209
2010-01-15;49,66;49,970001;49,459999;49,619999;8269200;31,236803
2010-01-19;49,599998;50,200001;49,509998;50,09;8804100;31,532684
2010-01-20;49,900002;49,91;48,700001;49,240002;6461400;30,997593
2010-01-21;49,220001;49,310001;47,59;47,73;10276000;30,047022
2010-01-22;47,599998;47,77;46,709999;46,810001;8717000;29,467852
2010-01-25;47,09;47,630001;47,02;47,049999;5880900;29,618942
2010-01-26;46,689999;47,400002;46,689999;47;5858200;29,587469
2010-01-27;46,849998;47,099998;46,220001;46,639999;5177700;29,360849
2010-01-28;46,66;47,099998;46,02;46,209999;5594200;29,090149
2010-01-29;46,529999;47,09;45,43;45,509998;7064100;28,649477
2010-02-01;45,740002;46,23;45,630001;46,110001;8066200;29,027185
2010-02-02;46,209999;47,720001;46,07;47,599998;8715600;29,965181
2010-02-03;47,330002;47,439999;46,810001;46,970001;5001800;29,568586
2010-02-04;46,599998;46,810001;45,900002;45,939999;6728400;28,92017
2010-02-05;46,220001;46,220001;45,009998;45,66;8451200;28,743906
2010-02-08;45,310001;46,279999;45,310001;45,529999;5242500;28,662064
2010-02-09;45,93;47;45,700001;46,849998;8742400;29,493044
2010-02-10;46,810001;47,09;46,389999;46,810001;6480000;29,467852
2010-02-11;46,650002;48,93;46,049999;48,669998;16677800;30,638775
2010-02-12;48,349998;49,93;48,200001;49,290001;13040700;31,029066
2010-02-16;49,599998;49,919998;49,060001;49,419998;11304100;31,110901
2010-02-17;49,509998;49,889999;49,349998;49,830002;7402400;31,369007
2010-02-18;49,59;50,349998;49,59;50,279999;7533300;31,652292
2010-02-19;50,200001;50,41;49,799999;49,98;8931900;31,463438
2010-02-22;50;50,07;49,68;49,75;8233500;31,318653
2010-02-23;49,75;50;49,18;49,299999;10514700;31,035362
2010-02-24;49,32;49,970001;48,970001;49,830002;8305900;31,369007
2010-02-25;49,43;49,880001;49;49,610001;9596000;31,230515
2010-02-26;49,619999;49,630001;48,950001;48,98;8502800;30,833914
2010-03-01;49,049999;49,25;48,790001;48,93;8198300;30,802441
2010-03-02;49,389999;50,09;49,110001;49,810001;7126700;31,356428
2010-03-03;49,82;50,169998;49,720001;49,98;7166800;31,463438
2010-03-04;50,16;50,799999;50,060001;50,66;7350200;31,891506
2010-03-05;50,75;51,380001;50,52;51,25;7140400;32,262932
2010-03-08;51,130001;51,279999;50,689999;50,790001;6970700;31,973354
2010-03-09;50,610001;50,779999;50,200001;50,380001;6203800;31,71525
2010-03-10;50,25;50,41;49,849998;50,299999;5967300;31,66489
2010-03-11;50,290001;50,509998;49,68;50,240002;8066600;31,62711
2010-03-12;50,25;50,5;49,950001;50,139999;6118200;31,564167
2010-03-15;50,049999;51,119999;49,810001;50,919998;9131000;32,055187
2010-03-16;50,98;51,43;50,82;51,240002;5970200;32,25663
2010-03-17;51,450001;51,919998;51,27;51,830002;6784300;32,628052
2010-03-18;51,939999;51,990002;51,650002;51,82;6092500;32,621754
2010-03-19;52,68;52,849998;51,830002;52,68;15243800;33,163143
2010-03-22;52,389999;53,07;52,23;52,889999;6994400;33,295345
2010-03-23;52,200001;52,439999;51,689999;52,439999;7052200;33,37809
2010-03-24;52,43;52,700001;51,84;51,889999;8034100;33,028015
2010-03-25;52,119999;52,529999;51,66;51,720001;6076200;32,919811
2010-03-26;51,779999;52,450001;51,68;52,119999;5112400;33,174397
2010-03-29;52,27;52,740002;52,25;52,529999;7271600;33,435371
2010-03-30;52,619999;52,919998;52,16;52,490002;4820600;33,409916
2010-03-31;52,5;52,5;51,950001;52,16;6486100;33,199875
2010-04-01;52,240002;52,68;52,16;52,470001;5846800;33,39719
2010-04-05;52,599998;52,990002;52,360001;52,849998;4390900;33,639053
2010-04-06;52,639999;52,950001;52,549999;52,650002;4451200;33,511757
2010-04-07;52,57;52,799999;52,290001;52,52;5572600;33,429012
2010-04-08;52,290001;52,720001;52,209999;52,369999;4755700;33,333534
2010-04-09;52,759998;52,810001;52,029999;52,75;4844300;33,575401
2010-04-12;52,860001;53,200001;52,740002;52,950001;5055600;33,702698
2010-04-13;52,779999;52,82;52,080002;52,459999;4531800;33,390823
2010-04-14;52,09;52,09;50,799999;51,299999;12739900;32,652485
2010-04-15;50,650002;51,619999;50,650002;51,59;6596800;32,837063
2010-04-16;51,450001;51,68;50,560001;50,740002;8822900;32,296028
2010-04-19;50,549999;51,439999;50,549999;51,349998;5769800;32,684303
2010-04-20;51,48;53,91;51,16;51,919998;6890900;33,047108
2010-04-21;51,970001;52,869999;51,799999;51,990002;6611300;33,09166
2010-04-22;50,380001;51,32;50,080002;51,240002;10098900;32,614288
2010-04-23;51,18;51,23;50,599998;51,139999;6457700;32,550629
2010-04-26;51,040001;51,139999;50,060001;50,130001;7802200;31,907774
2010-04-27;50,009998;50,07;48,220001;48,439999;12135800;30,832094
2010-04-28;48,669998;49,34;48,529999;49,09;9074100;31,245811
2010-04-29;49,450001;50,299999;49,330002;49,580002;7819100;31,557693
2010-04-30;49,470001;49,810001;49,02;49,080002;6884400;31,239449
2010-05-03;49,32;49,68;49,150002;49,419998;6482700;31,45586
2010-05-04;49,009998;49,75;48,860001;49;9986300;31,18853
2010-05-05;48,889999;49,549999;48,5;48,709999;7506100;31,003941
2010-05-06;48,5;48,91;44;47;16460800;29,915529
2010-05-07;46,139999;47;45,919998;46,419998;14566200;29,546354
2010-05-10;47,91;49,040001;47,700001;48,349998;9709700;30,774805
2010-05-11;47,740002;48,630001;47,740002;48,349998;8924200;30,774805
2010-05-12;47,93;48,310001;47,52;47,990002;8489700;30,54566
2010-05-13;47,860001;48,189999;47,310001;47,360001;6602600;30,144665
2010-05-14;47,27;47,470001;46,290001;46,560001;10548700;29,635468
2010-05-17;46,599998;46,830002;45,889999;46,25;9076800;29,438148
2010-05-18;46,439999;46,759998;45,369999;45,560001;10435700;28,998966
2010-05-19;45,369999;46,52;45,099998;46,259998;11069300;29,444523
2010-05-20;45,470001;45,919998;44,490002;44,549999;13066700;28,356104
2010-05-21;43,900002;44,709999;43,380001;44,259998;16035700;28,171515
2010-05-24;44,040001;44,720001;43,57;44,299999;12667000;28,19697
2010-05-25;43,599998;43,919998;42,970001;43,720001;15891000;27,827816
2010-05-26;43,849998;44,560001;43,549999;43,700001;14571200;27,815073
2010-05-27;44,23;44,799999;44,09;44,700001;11520600;28,451574
2010-05-28;44,759998;44,799999;44,02;44,119999;14109100;28,082405
2010-06-01;43,77;44,59;43,509998;43,970001;9173500;27,986929
2010-06-02;44,040001;45,060001;44,040001;45,049999;9575200;28,674343
2010-06-03;45,060001;45,360001;44,689999;45,02;6411200;28,655254
2010-06-04;44,57;44,75;43,509998;43,740002;11855100;27,840532
2010-06-07;43,720001;44,25;43,07;43,169998;10536000;27,47773
2010-06-08;43,130001;43,77;42,939999;43,73;11988100;27,834171
2010-06-09;43,98;45,139999;43,779999;44,150002;11085700;28,101498
2010-06-10;44,59;45,580002;44,59;45,110001;9979300;28,712536
2010-06-11;44,84;44,939999;43,09;44,349998;15482400;28,228804
2010-06-14;44,610001;45,950001;44,610001;45,57;11379200;29,005325
2010-06-15;46,220001;46,220001;45,470001;45,560001;9119600;28,998966
2010-06-16;45,389999;45,779999;45,130001;45,549999;6227700;28,992599
2010-06-17;45,779999;45,959999;45,34;45,599998;7420800;29,024426
2010-06-18;45,669998;46,279999;45,599998;45,91;13155400;29,221743
2010-06-21;46,279999;46,639999;45,93;46,290001;10605200;29,463594
2010-06-22;45,810001;46,009998;44,950001;44,990002;8248600;28,999517
2010-06-23;45,959999;47,080002;45,900002;46,490002;15496300;29,966379
2010-06-24;46,279999;46,720001;46,040001;46,43;13230100;29,927698
2010-06-25;46,560001;47;45,900002;45,900002;17658200;29,586084
2010-06-28;46;46,68;45,900002;46,290001;9271200;29,837465
2010-06-29;45,900002;46,799999;45,540001;45,720001;11364000;29,470057
2010-06-30;46,150002;46,360001;45,75;45,84;10800400;29,547411
2010-07-01;45,77;46,68;45,549999;46,549999;12567400;30,005056
2010-07-02;46,630001;46,880001;46,23;46,450001;6941700;29,940603
2010-07-06;46,75;47,189999;46,34;46,77;9049400;30,146858
2010-07-07;46,59;47,560001;46,389999;47,540001;11016500;30,643198
2010-07-08;47,950001;48,68;47,669998;48,540001;8888200;31,287767
2010-07-09;48,799999;48,900002;48,220001;48,59;5783600;31,319994
2010-07-12;48,57;48,990002;48,259998;48,84;5136000;31,481129
2010-07-13;49,119999;49,450001;49;49,299999;5681200;31,777636
2010-07-14;49,18;49,73;48,959999;49,52;5539000;31,919453
2010-07-15;49,619999;50,299999;49,330002;50,099998;8227500;32,293304
2010-07-16;49,990002;50,889999;49,509998;49,669998;8352500;32,016129
2010-07-19;49,509998;50,099998;49,43;49,959999;5500900;32,203056
2010-07-20;49,66;50,75;49,630001;50,630001;6860200;32,634926
2010-07-21;50,779999;50,860001;49,200001;49,889999;8481500;32,157932
2010-07-22;50,380001;51,09;49,900002;50,84;8090500;32,770287
2010-07-23;50,82;50,970001;50,27;50,66;7968500;32,654263
2010-07-26;50,57;51,23;50,57;51,189999;5317700;32,995888
2010-07-27;51,259998;51,380001;50,950001;51,34;7215100;33,092579
2010-07-28;51,360001;51,450001;50,900002;51,040001;5187200;32,899216
2010-07-29;51,16;51,549999;50,779999;51,18;7213200;32,989449
2010-07-30;50,799999;51,299999;50,599998;51,040001;7115800;32,899216
2010-08-02;51,470001;52;51,25;51,959999;6944000;33,492222
2010-08-03;51,810001;52,5;51,810001;52,150002;6826800;33,614689
2010-08-04;52,130001;52,5;51,959999;52,240002;4903000;33,672695
2010-08-05;52,080002;52,09;51,700001;51,82;6634300;33,401978
2010-08-06;51,529999;52,209999;51,23;52,189999;6231900;33,640472
2010-08-09;52,380001;52,619999;52,169998;52,540001;6837600;33,866066
2010-08-10;52,09;53,240002;52,049999;52,970001;8210600;34,143246
2010-08-11;52,220001;52,470001;51,630001;51,75;7369600;33,35685
2010-08-12;51,220001;52,16;51,18;51,849998;7476900;33,421307
2010-08-13;51,59;52,279999;51,59;51,990002;6276000;33,511555
2010-08-16;51,66;52,060001;50,959999;51,990002;5486600;33,511555
2010-08-17;52,34;53,040001;51,990002;52,57;6503900;33,885406
2010-08-18;52,549999;52,990002;52,220001;52,759998;9184200;34,007874
2010-08-19;52,720001;52,720001;51,619999;52;9741700;33,518002
2010-08-20;51,75;52,43;51,75;51,98;7730100;33,505108
2010-08-23;52,099998;52,490002;51,709999;51,73;5506500;33,343964
2010-08-24;51,310001;51,700001;51,060001;51,509998;7319800;33,20216
2010-08-25;51,169998;51,75;50,93;51,52;10833600;33,208603
2010-08-26;51,540001;51,84;50,540001;51,060001;6954300;32,912094
2010-08-27;51,139999;51,630001;50,650002;51,439999;6943100;33,157043
2010-08-30;51,080002;51,91;51,080002;51,43;3937900;33,150597
2010-08-31;51,369999;51,77;51,02;51,360001;6513000;33,105465
2010-09-01;51,880001;53,09;51,880001;52,970001;8452400;34,143246
2010-09-02;52,970001;53,360001;52,869999;53,290001;6497500;34,349506
2010-09-03;53,110001;54,099998;53,110001;54,040001;6718500;34,832932
2010-09-07;53,919998;54,25;53,57;53,639999;5649600;34,575108
2010-09-08;53,610001;53,860001;53,400002;53,619999;7384600;34,56221
2010-09-09;53,68;53,970001;53,220001;53,75;7495000;34,646015
2010-09-10;53,869999;54,869999;53,810001;54,599998;6993300;35,193901
2010-09-13;54,959999;54,990002;54,32;54,77;6024400;35,303482
2010-09-14;54,549999;55;54,259998;54,860001;7006900;35,3615
