"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;29,65;30,32;29,495001;30,299999;2413400;22,392836
2010-01-05;30,200001;30,57;30,200001;30,32;2258600;22,407608
2010-01-06;30,209999;31;30,209999;30,795;3028800;22,758656
2010-01-07;30,674999;30,945;30,445;30,934999;2439600;22,862122
2010-01-08;30,860001;30,995001;30,635;30,875;2696400;22,817772
2010-01-11;30,940001;31;30,645;30,84;1988800;22,791912
2010-01-12;30,504999;30,66;30,08;30,415001;2229400;22,477827
2010-01-13;30,59;30,76;30,209999;30,735001;1718400;22,714317
2010-01-14;31,405001;31,84;31,215;31,395;4485400;23,202078
2010-01-15;31,370001;31,485001;30,83;31,025;3006000;22,928633
2010-01-19;31,105;32,130001;31,01;32,115002;3332800;23,734186
2010-01-20;31,924999;32,060001;31,135;31,565001;4235200;23,327709
2010-01-21;30,629999;31,235001;29,5;29,549999;10949000;21,838551
2010-01-22;29,65;30,469999;29,455;29,959999;5955000;22,141558
2010-01-25;30,375;30,715;30,27;30,540001;3568400;22,5702
2010-01-26;30,344999;30,65;29,924999;29,985001;2647600;22,160036
2010-01-27;29,91;29,91;29,195;29,754999;3261600;21,990049
2010-01-28;29,91;29,91;28,889999;29,504999;2994400;21,805294
2010-01-29;29,68;30,08;29,32;29,34;4006800;21,683357
2010-02-01;29,635;29,77;29,434999;29,76;2728800;21,993755
2010-02-02;29,725;30,25;29,445;29,969999;2168400;22,148954
2010-02-03;29,795;30,174999;29,424999;29,605;2963600;21,879202
2010-02-04;29,35;29,475;28,775;28,865;2892800;21,332312
2010-02-05;28,82;29,25;28,48;29,17;4340000;21,557716
2010-02-08;29,18;29,424999;28,705;28,84;3074000;21,313837
2010-02-09;29,184999;29,764999;28,969999;29,58;3064400;21,860727
2010-02-10;29,549999;30,030001;29,18;29,875;3580800;22,078741
2010-02-11;29,790001;30,200001;29,514999;30,115;2874600;22,256105
2010-02-12;29,719999;30,370001;29,540001;30,18;2951400;22,304146
2010-02-16;30,495001;30,709999;30,26;30,709999;1913000;22,695833
2010-02-17;30,645;30,975;30,535;30,905001;2847600;23,248751
2010-02-18;30,879999;31,129999;30,725;31,055;1992200;23,361595
2010-02-19;30,889999;31,440001;30,75;31,24;2013400;23,500761
2010-02-22;31,27;31,360001;30,860001;31,035;1686800;23,346546
2010-02-23;30,955;31,030001;30,530001;30,725;1978600;23,113344
2010-02-24;30,860001;31,24;30,66;31,049999;2376800;23,357832
2010-02-25;30,57;30,625;30,264999;30,530001;3766400;22,966648
2010-02-26;30,495001;30,879999;30,43;30,77;2025800;23,147198
2010-03-01;30,844999;31,219999;30,625;31,190001;2029600;23,46314
2010-03-02;31,325001;31,434999;31,055;31,299999;2483000;23,545898
2010-03-03;31,389999;31,889999;31,275;31,469999;2448000;23,673782
2010-03-04;31,4;31,700001;31,25;31,455;2313000;23,662502
2010-03-05;31,695;31,75;31,559999;31,645;2309200;23,805433
2010-03-08;31,719999;31,870001;31,59;31,775;1868000;23,903219
2010-03-09;31,635;31,780001;31,344999;31,465;1586000;23,670019
2010-03-10;31,49;32;31,16;31,85;2715000;23,959642
2010-03-11;31,665001;31,665001;31,375;31,645;1913000;23,805433
2010-03-12;31,93;32,325001;31,815001;32,080002;2505400;24,132666
2010-03-15;32,165001;32,314999;32,02;32,244999;1725600;24,256784
2010-03-16;32,275002;32,384998;32,040001;32,32;1753800;24,3132
2010-03-17;32,294998;33,040001;32,259998;32,950001;2411400;24,787132
2010-03-18;32,865002;32,865002;32,25;32,369999;2941200;24,350817
2010-03-19;32,465;32,689999;32,34;32,465;3130000;24,422283
2010-03-22;32,195;32,794998;32,044998;32,740002;1978600;24,629158
2010-03-23;32,790001;33,044998;32,555;33,025002;1203800;24,843554
2010-03-24;32,810001;32,955002;32,5;32,715;1808800;24,610348
2010-03-25;32,904999;33,029999;32,330002;32,345001;2106600;24,332014
2010-03-26;32,470001;33,174999;32,43;33,035;2666800;24,851072
2010-03-29;33,150002;33,314999;32,735001;32,880001;1808000;24,734474
2010-03-30;32,945;33,200001;32,645;33,025002;1194600;24,843554
2010-03-31;32,91;33,080002;32,619999;32,700001;2279200;24,599072
2010-04-01;32,985001;33,264999;32,985001;33,25;1493000;25,012814
2010-04-05;33,314999;33,560001;33,09;33,459999;1357600;25,170784
2010-04-06;33,439999;33,924999;33,419998;33,799999;2106400;25,426561
2010-04-07;33,630001;34,185001;33,595001;33,724998;2508400;25,370138
2010-04-08;33,615002;34;33,435001;33,965;2974200;25,55069
2010-04-09;34,029999;34,34;33,919998;34,34;2988400;25,832779
2010-04-12;34,395;34,514999;34,279999;34,445;2705200;25,911768
2010-04-13;34,419998;34,735001;34,099998;34,665001;2158200;26,077265
2010-04-14;34,665001;34,779999;34,365002;34,755001;3643000;26,144974
2010-04-15;34,875;35;34,105;34,865002;4095400;26,227728
2010-04-16;34,875;35,119999;34,32;34,580002;3434200;26,013327
2010-04-19;34,555;35,150002;34,404999;35,099998;3292000;26,404505
2010-04-20;35,185001;35,389999;34,93;35,205002;2302200;26,48349
2010-04-21;35,040001;35,34;34,825001;35,244999;1928400;26,513584
2010-04-22;35,009998;35,139999;34,68;35,125;3663800;26,423311
2010-04-23;35,119999;35,639999;34,880001;35,634998;2715000;26,806959
2010-04-26;35,625;35,904999;35,345001;35,360001;1917200;26,60009
2010-04-27;35,404999;35,490002;34,450001;34,48;2991200;25,938101
2010-04-28;34,654999;35,049999;34,419998;34,959999;2571800;26,299181
2010-04-29;35,235001;35,654999;35,029999;35,619999;2589800;26,795679
2010-04-30;35,720001;36,119999;35,18;35,185001;3234000;26,468451
2010-05-03;35,41;35,689999;35,195;35,639999;2912800;26,810728
2010-05-04;35,209999;35,384998;33,915001;34,235001;4034800;25,75379
2010-05-05;33,965;34,115002;33,459999;33,735001;4428000;25,377661
2010-05-06;33,314999;33,674999;30,445;32,375;4844400;24,750767
2010-05-07;32,325001;33;31,674999;31,895;4615800;24,383806
2010-05-10;33,41;33,615002;32,875;33,544998;3064200;25,645239
2010-05-11;33,130001;33,610001;32,950001;33,215;2847800;25,392948
2010-05-12;33,404999;33,84;33,189999;33,82;1788400;25,855476
2010-05-13;33,66;33,974998;33,32;33,389999;1790800;25,526737
2010-05-14;33,049999;33,150002;32,27;32,544998;1971000;24,880735
2010-05-17;32,705002;33,445;32,41;33,060001;4324600;25,274456
2010-05-18;33,330002;34,029999;32,794998;32,814999;3955000;25,087145
2010-05-19;32,724998;32,724998;31,645;32,18;5182600;24,601688
2010-05-20;31,575001;31,6;30,780001;30,780001;6254800;23,531391
2010-05-21;30,125;31,455;30,055;31,344999;5256000;23,963331
2010-05-24;31,23;31,264999;30,76;30,764999;4361200;23,51992
2010-05-25;29,775;31,120001;29,504999;31,110001;3893000;23,783665
2010-05-26;31,415001;31,415001;30,73;30,93;6440800;23,646063
2010-05-27;31,629999;32,544998;31,360001;32,544998;3790600;24,880735
2010-05-28;32,445;32,525002;31,945;32,035;4156400;24,490837
2010-06-01;31,674999;32,095001;31,27;31,27;3088200;23,905996
2010-06-02;31,440001;32,380001;31,41;32,365002;3390200;24,743128
2010-06-03;32,400002;32,580002;31,725;31,98;3477000;24,448792
2010-06-04;31,094999;31,530001;30,799999;30,895;3646400;23,619305
2010-06-07;30,895;31,225;30,23;30,26;5146000;23,133848
2010-06-08;30,280001;31,16;30,139999;31,065001;5420400;23,749269
2010-06-09;31,325001;31,625;30,790001;30,955;5447400;23,665171
2010-06-10;31,440001;31,844999;31,33;31,66;4759200;24,204151
2010-06-11;31,389999;32,465;31,389999;32,389999;4592000;24,762238
2010-06-14;32,66;32,805;32,009998;32,035;4095000;24,490837
2010-06-15;32,384998;32,799999;32,279999;32,790001;2147800;25,068037
2010-06-16;34,25;34,25;33,150002;33,27;5963200;25,434999
2010-06-17;33,455002;33,470001;32,349998;33,080002;4454200;25,289751
2010-06-18;33,07;33,645;33,07;33,330002;3486800;25,480864
2010-06-21;33,855;34,139999;33,200001;33,404999;2292400;25,538214
2010-06-22;33,48;33,634998;32,75;32,77;2697400;25,052748
2010-06-23;32,794998;32,91;32,16;32,549999;2912000;24,884554
2010-06-24;32,305;32,330002;31,5;31,555;3025400;24,123877
2010-06-25;31,605;31,85;31,184999;31,475;5231000;24,062716
2010-06-28;31,610001;31,745001;31,195;31,445;1937400;24,039776
2010-06-29;30,889999;30,889999;30,315001;30,5;3489200;23,317324
2010-06-30;30,495001;31,014999;30,115;30,205;2363800;23,091805
2010-07-01;30,105;30,665001;29,844999;30,525;4767200;23,336437
2010-07-02;30,605;30,84;29,959999;30,285;2318000;23,15296
2010-07-06;30,625;30,934999;29,975;30,280001;3102200;23,149139
2010-07-07;30,209999;31,535;30,155001;31,535;3177600;24,108587
2010-07-08;31,98;32,299999;31,674999;32,125;3471600;24,559643
2010-07-09;32,064999;32,540001;31,969999;32,310001;2169400;24,701078
2010-07-12;32,215;32,235001;31,605;31,889999;3350800;24,379984
2010-07-13;32,165001;32,799999;32,115002;32,665001;3411600;24,972475
2010-07-14;32,509998;32,830002;31,875;32,259998;4191400;24,662855
2010-07-15;32,255001;32,610001;31,799999;32,299999;2884800;24,69343
2010-07-16;32,16;32,240002;31,135;31,23;3378600;23,875412
2010-07-19;31,41;31,57;30,785;31,075001;3382400;23,756918
2010-07-20;30,735001;32,369999;30,735001;32,32;5586000;24,708721
2010-07-21;32,57;32,755001;32,115002;32,400002;4139000;24,769878
2010-07-22;32,720001;33,400002;32,505001;33;3025800;25,228582
2010-07-23;32,990002;33,860001;32,91;33,825001;2546200;25,859297
2010-07-26;33,924999;34,119999;33,665001;34,099998;3289800;26,069536
2010-07-27;34,415001;34,764999;34,25;34,400002;5074200;26,298895
2010-07-28;34,195;34,59;34,195;34,419998;2459800;26,314173
2010-07-29;34,59;34,880001;33,919998;34,41;2655600;26,306534
2010-07-30;33,950001;34,855;33,924999;34,735001;2573200;26,554998
2010-08-02;35,055;35,639999;34,994999;35,560001;2544600;27,185713
2010-08-03;35,209999;35,494999;34,939999;35,009998;2498200;26,765234
2010-08-04;35,139999;35,465;35,095001;35,439999;2105800;27,093971
2010-08-05;35,27;35,424999;34,794998;35,125;3070600;26,853149
2010-08-06;34,689999;35,044998;34,264999;34,775002;2674000;27,00849
2010-08-09;34,904999;35,080002;34,695;34,884998;1675200;27,093914
2010-08-10;34,615002;34,904999;34,314999;34,669998;2237400;26,926935
2010-08-11;33,965;33,965;33,360001;33,525002;2288600;26,037655
