"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;30,36364;30,521978;30,102848;30,242558;1209700;18,211596
2010-01-05;30,149418;30,354326;29,404299;29,85137;2201000;17,976032
2010-01-06;29,795486;30,037649;29,767544;29,916569;3727600;18,015291
2010-01-07;29,795486;29,907253;29,422926;29,627834;1049700;17,841419
2010-01-08;29,43224;29,590578;29,190077;29,534695;1442600;17,785328
2010-01-11;29,748917;30,046965;29,693031;29,916569;1604000;18,015291
2010-01-12;29,786173;30,019022;29,655775;29,94451;1295500;18,032116
2010-01-13;29,963139;30,512665;29,94451;30,372953;1445500;18,290117
2010-01-14;30,31707;30,31707;30,028336;30,056278;1100400;18,099424
2010-01-15;29,879313;30,074905;29,357727;29,702347;1797100;17,886292
2010-01-19;29,627834;30,009708;29,525379;30,000395;943400;18,065765
2010-01-20;29,888626;29,888626;29,227331;29,581264;1861700;17,813372
2010-01-21;29,525379;29,786173;28,892029;29,031738;1734900;17,482454
2010-01-22;28,91997;29,208704;28,351816;28,351816;2012400;17,073025
2010-01-25;28,575352;28,724377;28,146908;28,528782;2240300;17,179586
2010-01-26;28,454269;28,724377;28,286617;28,519468;1450900;17,173977
2010-01-27;28,444956;28,454269;27,671894;27,988569;2843400;16,854282
2010-01-28;28,035139;28,137594;27,494928;27,671894;4000100;16,663588
2010-01-29;27,727777;27,997885;27,411102;27,466986;2389800;16,540192
2010-02-01;27,578754;27,66258;27,345903;27,588068;1667500;16,613104
2010-02-02;27,569441;27,671894;27,252764;27,606695;2918200;16,624321
2010-02-03;27,476299;27,541498;27,252764;27,38316;1707300;16,489708
2010-02-04;27,206194;27,317963;26,656668;26,656668;2729500;16,052223
2010-02-05;26,712551;27,140997;26,40519;27,010599;3112300;16,26536
2010-02-08;26,964029;27,075798;26,712551;26,759123;1791800;16,11392
2010-02-09;27,057171;27,38316;26,796377;26,982658;3157000;16,248539
2010-02-10;27,010599;27,029228;26,628725;26,852262;1904300;16,170008
2010-02-11;26,898832;27,345903;26,77775;27,317963;3788300;16,450453
2010-02-12;27,140997;27,24345;26,805693;27,206194;2478500;16,383152
2010-02-16;27,317963;27,765034;27,317963;27,765034;1718400;16,719673
2010-02-17;27,867489;27,904743;27,522869;27,569441;1239700;16,601889
2010-02-18;27,485615;27,867489;27,457672;27,532185;1821700;16,579449
2010-02-19;27,420416;27,904743;27,355219;27,811604;2319900;16,747717
2010-02-22;27,988569;27,988569;27,317963;27,317963;2388500;16,450453
2010-02-23;27,308647;27,345903;26,861576;27,038542;2810200;16,282187
2010-02-24;27,19688;27,19688;26,712551;26,917459;2362700;16,209278
2010-02-25;26,675297;26,898832;26,479702;26,852262;2736700;16,170008
2010-02-26;27,019915;27,019915;26,516958;26,526272;2222100;15,973706
2010-03-01;26,675297;27,131681;26,647354;26,964029;1823200;16,23732
2010-03-02;27,010599;27,140997;26,796377;26,973345;2833400;16,242929
2010-03-03;26,973345;27,168938;26,665981;26,740494;1906800;16,102715
2010-03-04;26,73118;26,815006;26,554214;26,693924;2680900;16,074665
2010-03-05;26,82432;26,991972;26,665981;26,991972;5097500;16,254147
2010-03-08;26,693924;26,991972;26,68461;26,945402;2360800;16,439264
2010-03-09;26,926773;27,001286;26,73118;26,889519;1869200;16,405169
2010-03-10;26,87089;27,085112;26,68461;27,075798;2335000;16,51882
2010-03-11;27,010599;27,057171;26,805693;26,945402;1462900;16,439264
2010-03-12;26,964029;26,991972;26,26548;26,26548;3739300;16,024443
2010-03-15;26,293423;26,68461;26,135084;26,665981;3856100;16,268787
2010-03-16;26,759123;26,964029;26,572842;26,945402;2769900;16,439264
2010-03-17;27,010599;27,178251;26,861576;27,178251;2151300;16,58132
2010-03-18;27,168938;27,29002;26,861576;26,87089;2029000;16,39381
2010-03-19;26,554214;27,057171;26,330679;26,554214;3762500;16,200605
2010-03-22;26,461075;26,507645;26,256166;26,321363;2353800;16,058544
2010-03-23;26,367933;26,665981;26,237537;26,638041;2466700;16,251745
2010-03-24;26,572842;26,610098;26,302736;26,302736;2219200;16,04718
2010-03-25;26,135084;26,284107;25,837036;25,855663;3024100;15,774425
2010-03-26;25,995375;25,995375;25,585558;25,688011;2901900;15,672135
2010-03-29;25,79978;26,032631;25,669384;25,976746;2196800;15,848299
2010-03-30;25,939489;26,097828;25,911549;25,976746;1775600;15,848299
2010-03-31;25,89292;25,89292;25,697327;25,809093;2077000;15,746006
2010-04-01;26,004688;26,395876;25,948805;26,339993;2090400;16,069906
2010-04-05;26,451759;26,526272;26,209597;26,339993;2057200;16,069906
2010-04-06;26,209597;26,610098;26,125771;26,600784;1887600;16,229017
2010-04-07;26,544901;26,563528;26,135084;26,237537;2131300;16,007397
2010-04-08;26,237537;26,246853;25,958118;26,079201;2903900;15,910803
2010-04-09;26,116455;26,116455;25,827723;26,060572;1946400;15,899428
