"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;81,760002;82,129997;79,510002;80,129997;1579100;57,292957
2010-01-05;79,870003;80,93;79,230003;80,790001;1131000;57,764874
2010-01-06;80,730003;81,419998;80,019997;80,300003;832400;57,414509
2010-01-07;79,879997;80,760002;78,93;80,190002;1284100;57,335873
2010-01-08;79,639999;80;78,199997;78,730003;1281100;56,291969
2010-01-11;79,239998;80,120003;78,290001;79,269997;1356700;56,678074
2010-01-12;78,459999;79,150002;77,510002;77,980003;1694800;55,755722
2010-01-13;78,089996;79,650002;77,75;79,519997;1346400;56,8568
2010-01-14;79,349998;79,550003;78,550003;79,120003;785100;56,570816
2010-01-15;78,889999;79,25;78,25;78,970001;1438600;56,463573
2010-01-19;78,900002;80,720001;78,849998;80,639999;1330800;57,657631
2010-01-20;80,209999;80,360001;79,110001;79,75;1262300;57,021267
2010-01-21;79,93;80,25;78,43;78,739998;1944300;56,299126
2010-01-22;78,720001;79,43;77,5;77,669998;2070100;55,534081
2010-01-25;78,57;79,290001;77,07;78,760002;1502600;56,313423
2010-01-26;78,139999;79,559998;78,050003;78,330002;1222900;56,005978
2010-01-27;78,529999;80;77,519997;79,959999;1669900;57,171429
2010-01-28;80,269997;80,610001;77,580002;78,550003;1664300;56,163284
2010-01-29;78,769997;80,339996;78,540001;79,18;1834300;56,613701
2010-02-01;79,510002;81,059998;79,449997;80,470001;1303200;57,536087
2010-02-02;80,699997;81,400002;79,910004;81,139999;1392000;58,015114
2010-02-03;80,709999;80,769997;79,739998;79,809998;1056900;57,064178
2010-02-04;79,279999;79,82;76,57;76,68;2768200;54,826233
2010-02-05;76,879997;78,07;75,779999;77,629997;2080000;55,50547
2010-02-08;77,559998;78,110001;75,870003;76,019997;1531600;54,354343
2010-02-09;76,769997;76,980003;75,339996;75,809998;1472800;54,204166
2010-02-10;75,709999;76,900002;74,739998;76,050003;1105000;54,375767
2010-02-11;75,940002;76,800003;75,260002;76,739998;1133900;54,869125
2010-02-12;75,790001;76,660004;75,379997;76,550003;1325000;54,733269
2010-02-16;77,080002;78,239998;76,809998;78,080002;1662100;55,827225
2010-02-17;78,519997;79,110001;78,190002;78,75;1244300;56,306267
2010-02-18;78,5;80,279999;78,489998;79,949997;1244600;57,164284
2010-02-19;80,150002;82,129997;79,919998;81,699997;1650700;58,41552
2010-02-22;81,900002;82,220001;80,980003;81,339996;1215600;58,158112
2010-02-23;81,139999;81,830002;80,18;80,330002;1645700;57,435974
2010-02-24;80,730003;81,580002;80,309998;81,529999;1282600;58,293964
2010-02-25;80,769997;81,989998;80,339996;81,910004;1091800;58,565678
2010-02-26;82,089996;83,230003;81,650002;82,190002;1707600;58,765873
2010-03-01;83,43;85,199997;83,059998;84,620003;1846800;60,503326
2010-03-02;85,120003;86,459999;84,900002;85,139999;1310000;60,875114
