"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;49,380001;51,150002;49,380001;50,98;1524100;50,169952
2010-01-05;51,060001;51,779999;50,790001;51;1666100;50,189648
2010-01-06;51;52,369999;50,560001;51,889999;2130300;51,065502
2010-01-07;51,389999;52,689999;50,290001;52,349998;1491400;51,518185
2010-01-08;51,599998;53,349998;51,380001;53,25;1374800;52,4039
2010-01-11;53,700001;54,029999;51,75;52,279999;1214400;51,449295
2010-01-12;51,290001;51,990002;50,759998;51,139999;1345700;50,327408
2010-01-13;51,459999;52;49,93;51,900002;1302700;51,075344
2010-01-14;51,689999;52,700001;51,509998;52,529999;794000;51,695328
2010-01-15;52,279999;52,68;50,189999;50,529999;2090300;49,727104
2010-01-19;51,900002;52,189999;48,93;50,259998;3115200;49,461391
2010-01-20;49,259998;49,77;48,560001;49,529999;1493000;48,742996
2010-01-21;49,52;50,400002;47,720001;48,130001;1556100;47,365246
2010-01-22;47,82;48,220001;46,439999;46,529999;1840800;45,790661
2010-01-25;47,139999;48,119999;46,869999;46,919998;1276900;46,174458
2010-01-26;46,439999;47,52;45,799999;45,939999;1624500;45,210049
2010-01-27;46;46,240002;44,5;45,400002;1968900;44,678623
2010-01-28;45,709999;46,09;43,880001;45,23;1357000;44,51133
2010-01-29;45,779999;46,599998;43,610001;43,98;1933300;43,281178
2010-02-01;44,57;45,93;44,549999;45,84;1319100;45,111622
2010-02-02;46,09;47,07;45,389999;46,779999;1666300;46,036701
2010-02-03;46,650002;47,540001;45,580002;45,869999;1989900;45,141155
2010-02-04;45,689999;45,689999;44;44,119999;2793700;43,418953
2010-02-05;44,110001;44,16;41,880001;43,619999;2851800;42,926907
2010-02-08;43,529999;44,669998;43,009998;44,27;2495700;43,566578
2010-02-09;45,279999;46,849998;44,860001;46,310001;2468800;45,574162
2010-02-10;46,200001;46,200001;44,580002;45,369999;3295300;44,649097
2010-02-11;45,299999;47,450001;45,110001;47,330002;1634600;46,577957
2010-02-12;46,43;47,360001;45,720001;47,099998;1603800;46,351604
2010-02-16;47,790001;48,889999;47,790001;48,799999;1010700;48,024601
2010-02-17;48,810001;49,240002;48,049999;48,73;918900;47,955708
2010-02-18;48,610001;49,310001;48,32;49,259998;1306900;48,477291
2010-02-19;47,84;49,639999;47,84;49,490002;1660300;48,70364
2010-02-22;49,689999;49,73;47,889999;48,02;1979800;47,256981
2010-02-23;47,91;48,25;46,07;46,18;2342300;45,446228
2010-02-24;46,049999;47,02;45,82;46,299999;1868400;45,56432
2010-02-25;45,560001;46,830002;44,57;46,669998;1877600;45,928444
2010-02-26;45,93;46,790001;45,439999;46,650002;1729200;45,908752
2010-03-01;46,93;47,59;46,740002;47,150002;1437900;46,40081
2010-03-02;47,240002;48,369999;47,240002;47,84;1541200;47,079857
2010-03-03;48,009998;48,950001;47,889999;48;1287400;47,237316
2010-03-04;48,009998;48,509998;47,380001;47,689999;1290100;46,932224
2010-03-05;48,290001;49,150002;48,110001;48,98;1329300;48,201729
2010-03-08;48,939999;49,48;48,450001;48,540001;1282100;47,76873
2010-03-09;48,310001;49,799999;48,07;49,43;1804800;48,644581
2010-03-10;49,220001;51,16;49,040001;50,970001;2757700;50,160122
2010-03-11;50,740002;51,32;50,25;51,09;1790000;50,27821
2010-03-12;51,560001;52,849998;51,5;52,779999;2565100;51,941368
2010-03-15;52,41;52,57;51,139999;52,099998;1663900;51,27216
2010-03-16;52,490002;53,880001;52,16;53,75;1715200;52,895947
2010-03-17;54,02;54,490002;53,130001;53,290001;1675900;52,443253
2010-03-18;53,110001;53,23;52,09;53,07;2541500;52,226757
2010-03-19;53,029999;53,380001;51,84;53,029999;2468300;52,187382
2010-03-22;52,23;52,900002;51,639999;52,599998;1299100;51,764214
2010-03-23;52,040001;54,150002;52,040001;53,790001;1810500;52,935303
2010-03-24;53,23;54,32;53,009998;53,900002;1484600;53,043564
2010-03-25;54,529999;55;53,189999;53,360001;1695900;52,512138
2010-03-26;53,18;53,389999;52,139999;52,84;1683700;52,000401
2010-03-29;53,299999;54,450001;53,169998;54,419998;914400;53,595875
2010-03-30;54,43;54,860001;53,610001;54,73;901300;53,901157
2010-03-31;54,459999;56,880001;54,459999;56,32;1675500;55,467094
2010-04-01;56,939999;59,169998;56,939999;59,150002;2004200;58,254242
2010-04-05;59,630001;61,439999;59,360001;61,400002;2251000;60,470161
2010-04-06;61,279999;62,380001;60,59;60,959999;2272500;60,036831
2010-04-07;61,02;61,23;59,16;59,580002;2528500;58,677731
2010-04-08;59,009998;60,580002;58,48;60,209999;1531800;59,298187
2010-04-09;60,91;61,619999;60,240002;60,990002;1470000;60,06638
2010-04-12;61,02;61,849998;60,580002;60,84;1940300;59,918648
2010-04-13;61,73;62,459999;60,310001;62,02;3415300;61,080772
2010-04-14;62,560001;62,830002;61,689999;62,689999;2051000;61,740623
2010-04-15;62,709999;63,369999;62,240002;62,389999;1638200;61,445168
2010-04-16;61,77;62,240002;60,299999;60,740002;2456400;59,820164
2010-04-19;60,209999;61,549999;59,740002;61,400002;1661900;60,470161
2010-04-20;62,049999;63,5;61,98;63,299999;1538400;62,341389
2010-04-21;63,009998;63,630001;62,41;63,279999;1300700;62,321693
