"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;26,139999;26,280001;25,719999;25,799999;2792600;21,636429
2010-01-05;26,110001;26,5;25,559999;25,889999;3588900;21,711905
2010-01-06;25,9;25,950001;25,01;25,24;4139600;21,1668
2010-01-07;25,469999;25,719999;25,15;25,700001;3156200;21,55257
2010-01-08;25,75;25,959999;25,59;25,91;2507700;21,728685
2010-01-11;26,07;26,15;25,690001;26,02;2055000;21,820929
2010-01-12;25,620001;26;25,49;25,67;2315300;21,527403
2010-01-13;26;26,65;25,700001;26,540001;3399000;22,25701
2010-01-14;26,67;27,549999;26,59;27,459999;3337500;23,028538
2010-01-15;27,370001;27,370001;26,9;27,129999;3139700;22,751795
2010-01-19;26,9;27,620001;26,9;27,620001;2612300;23,162718
2010-01-20;27,07;27,24;26,4;26,98;3417900;22,626001
2010-01-21;27,17;27,309999;26,469999;26,57;5390500;22,282166
2010-01-22;25,91;25,969999;24,91;25,42;7670200;21,317759
2010-01-25;25,780001;25,870001;25,030001;25,190001;4135200;21,124866
2010-01-26;24,75;25,639999;24,73;25,16;4465200;21,099716
2010-01-27;24,85;25,5;24,73;25,43;4166900;21,326141
2010-01-28;26,639999;26,67;25,530001;25,99;10679100;21,795771
2010-01-29;26,59;27,09;25,889999;26,09;5567000;21,879635
2010-02-01;26,67;26,68;26,059999;26,6;4370800;22,307325
2010-02-02;26,809999;27,91;26,76;27,6;5916000;23,145947
2010-02-03;27,24;27,639999;27,17;27,389999;3074300;22,969841
2010-02-04;26,790001;26,85;25,120001;25,190001;6606400;21,124866
2010-02-05;25,040001;25,440001;24,139999;25,209999;4689000;21,141642
2010-02-08;24,83;25,690001;24,629999;25,16;3005700;21,099716
2010-02-09;25,6;25,889999;25,18;25,610001;2094500;21,477095
2010-02-10;25,49;25,77;24,9;25,16;2715700;21,099716
2010-02-11;25,209999;26,02;25,01;26;2689500;21,804153
2010-02-12;25,16;25,799999;25,139999;25,59;3069800;21,460318
2010-02-16;25,75;25,92;25,620001;25,85;1694600;21,678362
2010-02-17;26,08;26,25;25,709999;25,91;2309200;21,728685
2010-02-18;25,58;25,9;25,52;25,870001;1883500;21,695137
