"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;35,299999;35,68;34,5;34,77;1354400;24,104382
2010-01-05;34,779999;35,02;34,43;35,02;1044500;24,277704
2010-01-06;35,07;35,52;35;35,07;1384300;24,312366
2010-01-07;34,860001;35,509998;34,57;35,34;985400;24,499537
2010-01-08;35,009998;35,459999;34,93;35,279999;1042700;24,457935
2010-01-11;36,25;36,25;35,52;35,810001;1167400;24,825367
2010-01-12;35,330002;35,700001;34,889999;35,150002;1014300;24,367826
2010-01-13;35,259998;36,23;35,220001;36,169998;953000;25,074934
2010-01-14;35,919998;36,080002;35,59;36;924300;24,957087
2010-01-15;35,900002;36,77;35,779999;36,43;1859900;25,25518
2010-01-19;36,52;37,82;36,360001;37,630001;1942300;26,08709
2010-01-20;36,950001;36,970001;36,130001;36,709999;1582200;25,449289
2010-01-21;36,82;37,029999;35,68;35,790001;1920900;24,811502
2010-01-22;35,790001;36,18;34,73;34,790001;1397700;24,118252
2010-01-25;35,139999;35,299999;33,59;34,299999;1644500;23,778555
2010-01-26;34,080002;34,639999;34,02;34,169998;966700;23,688435
2010-01-27;34,09;34,470001;33,650002;34,240002;1379200;23,736959
2010-01-28;34,34;34,34;33,5;33,740002;695300;23,390335
2010-01-29;33,889999;34,259998;33,279999;33,490002;1036000;23,217022
2010-02-01;33,75;34,279999;33,48;34,279999;659300;23,764696
2010-02-02;34,290001;34,5;33,75;34,310001;1119300;23,785488
2010-02-03;34,09;34,27;33,5;33,669998;1104200;23,341806
2010-02-04;33,290001;33,48;32,060001;32,650002;2595100;22,634687
2010-02-05;33,029999;33,950001;32,650002;33,849998;2034300;23,466597
2010-02-08;33,939999;34,119999;33,049999;33,169998;1860100;22,995178
2010-02-09;33,709999;33,759998;32,380001;32,560001;2316700;22,572309
2010-02-10;32,389999;32,939999;31,889999;32,540001;717500;22,558435
2010-02-11;32,470001;32,790001;32,040001;32,66;837400;22,641626
2010-02-12;31,940001;32,689999;31,709999;32,599998;1107100;22,925018
2010-02-16;32,91;33,66;32,810001;33,639999;947000;23,656374
2010-02-17;33,77;33,919998;33,52;33,68;520000;23,684507
2010-02-18;33,639999;34,290001;33,529999;34,18;1178900;24,036116
2010-02-19;33,860001;34,43;33,860001;34,290001;674600;24,113466
2010-02-22;34,43;34,43;33,73;33,919998;697300;23,853279
2010-02-23;33,869999;34,040001;33,48;33,529999;1055400;23,579018
2010-02-24;33,720001;34,23;33,48;34,23;774500;24,071274
2010-02-25;33,84;34,48;33,509998;34,400002;685000;24,190826
2010-02-26;34,490002;34,98;34,209999;34,669998;1198600;24,380693
2010-03-01;34,759998;35,400002;34,639999;35,32;1172000;24,83778
2010-03-02;35,369999;35,41;35,080002;35,369999;861000;24,872944
