"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;26,82;27,440001;26,040001;27,120001;1018900;22,286621
2010-01-05;27,049999;27,51;27,01;27,459999;1664400;22,566017
2010-01-06;28,65;29,620001;28,24;28,719999;3041600;23,601465
2010-01-07;28,58;29,23;28,469999;29,23;2209300;24,020569
2010-01-08;28,610001;29,27;28,530001;29,209999;1517000;24,004133
2010-01-11;29,18;29,610001;29,17;29,35;1648400;24,119186
2010-01-12;29,129999;29,459999;28,08;28,309999;1827400;23,264532
2010-01-13;28,299999;28,49;28,16;28,42;1287400;23,354931
2010-01-14;28,379999;28,93;28,26;28,82;1192300;23,68364
2010-01-15;28,83;29,1;28,42;28,559999;1826400;23,469978
2010-01-19;28,49;28,940001;28,450001;28,9;917100;23,749386
2010-01-20;28,610001;28,610001;27,879999;28,120001;964500;23,1084
2010-01-21;28,059999;28,299999;26,98;27,309999;1951300;22,442757
2010-01-22;27,08;27,35;26,549999;26,610001;1197500;21,867516
2010-01-25;27,02;27,02;26,02;26,360001;1437400;21,662071
2010-01-26;26,200001;26,57;26,07;26,42;1035900;21,711372
2010-01-27;26,32;26,950001;26,129999;26,889999;1698600;22,09761
2010-01-28;26,950001;27,049999;26,440001;26,84;1781900;22,056519
2010-01-29;27,43;27,790001;26,809999;26,92;3029800;22,122261
2010-02-01;26,93;27,040001;26,360001;26,870001;1853400;22,081177
2010-02-02;26,98;27,389999;26,84;27,32;2305200;22,450975
2010-02-03;27,209999;27,41;26,91;27,040001;1410000;22,220884
2010-02-04;26,83;26,83;26,1;26,32;2042500;21,629202
2010-02-05;26,26;26,49;25,860001;26,4;2684000;21,694939
2010-02-08;26,34;26,459999;25,860001;26,370001;2332800;21,670288
2010-02-09;26,67;26,91;26,379999;26,620001;2084700;21,875732
2010-02-10;26,6;26,92;26,059999;26,799999;2345100;22,023643
2010-02-11;26,67;27,280001;26,35;27,219999;1227200;22,368793
2010-02-12;27,049999;27,299999;26,73;27,08;1311700;22,25375
2010-02-16;27,27;27,99;27,17;27,92;1599900;22,944038
2010-02-17;28,049999;28,24;27,879999;28,18;1297400;23,157707
2010-02-18;28,08;28,360001;28,030001;28,309999;895800;23,264532
2010-02-19;28,049999;28,879999;28,049999;28,610001;1459600;23,511066
2010-02-22;28,639999;28,690001;28,040001;28,120001;1257100;23,1084
2010-02-23;28;28;27,17;27,299999;2128800;22,538733
2010-02-24;27,450001;27,709999;27,35;27,68;1734800;22,852468
2010-02-25;27,27;27,77;27,01;27,700001;1325300;22,868973
2010-02-26;27,879999;27,959999;27,549999;27,9;1656700;23,034092
2010-03-01;28;28,879999;27,879999;28,82;1942500;23,79364
2010-03-02;28,790001;29,02;28,629999;28,76;1563100;23,744108
2010-03-03;28,799999;29,120001;28,75;28,77;811500;23,752365
2010-03-04;28,780001;29,01;28,74;28,780001;745600;23,760618
2010-03-05;29,040001;30,049999;29,040001;29,92;2840400;24,701794
2010-03-08;29,91;30,07;29,65;29,65;1632100;24,478884
2010-03-09;29,59;29,950001;29,549999;29,860001;1256700;24,652258
2010-03-10;29,93;30,4;29,809999;30,18;1192300;24,916451
2010-03-11;30,030001;30,360001;29,85;30,32;1184700;25,032032
2010-03-12;30,370001;30,370001;29,879999;30,15;1095900;24,891678
2010-03-15;30,049999;30,309999;29,92;30,299999;797800;25,01552
2010-03-16;30,35;30,959999;30,219999;30,83;1090200;25,453083
2010-03-17;30,99;31,76;30,92;31,4;1593300;25,923674
2010-03-18;31,51;31,68;31,27;31,4;779900;25,923674
2010-03-19;31,16;31,700001;30,969999;31,16;1687400;25,725531
2010-03-22;30,98;31,49;30,83;31,41;991100;25,931931
2010-03-23;31,33;31,58;31,139999;31,58;859400;26,072289
2010-03-24;31,530001;31,530001;30,700001;30,860001;952600;25,477858
2010-03-25;31,17;31,33;30,74;30,75;1084900;25,387043
2010-03-26;30,82;31,290001;30,809999;30,91;899900;25,519133
2010-03-29;31,030001;31,32;30,860001;31,15;884300;25,717276
2010-03-30;31,139999;31,26;30,77;31,02;708700;25,609943
2010-03-31;30,91;30,91;30,360001;30,43;1348500;25,12285
2010-04-01;30,549999;30,91;30,280001;30,5;823600;25,180641
2010-04-05;30,73;31,280001;30,41;31,18;1177600;25,742046
2010-04-06;31,1;31,620001;31,040001;31,52;726100;26,022753
2010-04-07;31,35;31,389999;30,9;31,02;1678300;25,609943
2010-04-08;30,860001;30,91;30,530001;30,870001;1237000;25,486103
2010-04-09;30,98;31,17;30,76;31,110001;1147400;25,68425
2010-04-12;31,209999;31,219999;30,76;31,120001;1198600;25,692505
2010-04-13;31,02;31,290001;30,879999;31,17;1053700;25,733784
2010-04-14;31,120001;31,290001;30,98;31,290001;1242400;25,832859
2010-04-15;31,049999;31,549999;31,049999;31,290001;1362700;25,832859
2010-04-16;31,120001;31,190001;30,530001;30,66;1287000;25,312731
2010-04-19;30,57;30,719999;30,07;30,52;1011600;25,197155
2010-04-20;30,790001;30,950001;30,5;30,700001;772400;25,34576
2010-04-21;30,690001;31,59;30,690001;31,040001;1915400;25,626463
2010-04-22;30,860001;31,969999;30,709999;31,92;2617000;26,352982
2010-04-23;32;32,18;31,690001;32,16;1697700;26,551128
2010-04-26;32,169998;32,23;31,85;31,889999;1506900;26,328222
2010-04-27;31,809999;32,25;31,27;31,4;2638500;25,923674
2010-04-28;28,280001;28,41;27,27;28,200001;8435000;23,281773
2010-04-29;28,950001;29,49;27,610001;27,91;3910600;23,042345
2010-04-30;27,879999;28,15;26,959999;27,379999;3330700;22,60479
2010-05-03;27,66;28,120001;27,51;27,99;2255900;23,108402
2010-05-04;27,5;27,530001;26,799999;27,07;2817800;22,348845
2010-05-05;26,940001;27,530001;26,77;26,98;2744300;22,274544
2010-05-06;26,870001;27,370001;25,01;26,389999;2676100;21,787449
2010-05-07;26,34;26,75;25,48;25,559999;3560600;21,102207
2010-05-10;26,639999;27,33;26,48;27,299999;2843800;22,538733
2010-05-11;27,129999;27,68;26,809999;27,25;2132700;22,497458
2010-05-12;27,469999;27,870001;27,35;27,67;1674700;22,844212
2010-05-13;27,49;27,84;27,309999;27,469999;1755800;22,679085
2010-05-14;27,309999;27,370001;26,32;26,57;2130800;21,936054
2010-05-17;26,620001;27,17;26,09;27,1;2128700;22,373621
2010-05-18;27,41;27,610001;26,76;26,84;1754400;22,158962
2010-05-19;26,65;27,049999;26,15;26,51;1268600;21,886518
2010-05-20;25,639999;25,959999;24,83;24,83;1815300;20,499517
2010-05-21;24,120001;25,34;24,07;25,24;3110900;20,947685
2010-05-24;25,07;25,91;25,040001;25,440001;1982900;21,11367
2010-05-25;24,67;24,889999;24,190001;24,83;2877900;20,607412
2010-05-26;24,969999;25,700001;24,85;24,959999;1593600;20,7153
2010-05-27;25,52;25,610001;25,139999;25,610001;1475800;21,254761
2010-05-28;25,49;25,6;25,200001;25,290001;1856900;20,989185
2010-06-01;25,02;25,16;24,58;24,700001;1712700;20,499521
