"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;23,940001;24,290001;23,74;24,27;598100;21,039986
2010-01-05;24,26;24,67;24,110001;24,66;554200;21,378071
2010-01-06;24,52;25,07;24,360001;25,01;757200;21,681499
2010-01-07;24,9;24,950001;24,59;24,860001;698000;21,551462
2010-01-08;24,77;24,879999;24,33;24,59;463100;21,31739
2010-01-11;24,799999;24,799999;24,25;24,530001;502000;21,265375
2010-01-12;24,23;24,4;23,709999;24,049999;462500;20,849262
2010-01-13;24,860001;25;24,41;24,950001;737800;21,629482
2010-01-14;25,01;25,209999;24,799999;25,110001;484600;21,768192
2010-01-15;25,030001;25,24;24,75;24,799999;539100;21,499445
2010-01-19;24,780001;25,200001;24,719999;25,049999;336200;21,716173
2010-01-20;24,74;25,32;24,700001;25,129999;630300;21,785524
2010-01-21;25,280001;27,030001;25,280001;26,719999;1944000;23,163918
2010-01-22;26,540001;26,889999;26,200001;26,450001;1644000;22,929852
2010-01-25;26,690001;26,76;25,75;26,280001;680800;22,782473
2010-01-26;26,16;26,700001;26,030001;26,059999;720200;22,591751
2010-01-27;26,059999;26,35;25,719999;26,26;832500;22,765135
2010-01-28;26,379999;26,379999;25,5;25,690001;745200;22,270996
2010-01-29;25,790001;26,25;25,139999;25,309999;915000;21,94157
2010-02-01;25,41;25,709999;25,24;25,58;1402200;22,17564
2010-02-02;25,65;26,58;25,620001;26,360001;826500;22,851822
2010-02-03;26,450001;27,309999;26,450001;26,73;1579400;23,172585
2010-02-04;26,49;26,66;25,559999;25,559999;1125400;22,158298
2010-02-05;25,610001;25,82;24,700001;25,17;1766700;21,820204
2010-02-08;25,190001;25,52;24,799999;25,26;720200;21,898228
2010-02-09;25,629999;25,870001;25,4;25,540001;845900;22,140963
2010-02-10;25,42;26,07;25,389999;25,75;720900;22,323009
2010-02-11;25,629999;25,799999;25,469999;25,65;631200;22,23632
2010-02-12;25,299999;25,93;25,299999;25,91;582800;22,461718
2010-02-16;26,07;26,370001;25,709999;26,290001;470900;22,791142
2010-02-17;26,33;26,48;26,18;26,43;897200;22,912516
2010-02-18;26,41;26,49;26,129999;26,35;535400;22,843159
2010-02-19;26,219999;26,889999;26,219999;26,690001;569800;23,137913
2010-02-22;26,809999;26,93;26,57;26,809999;375300;23,241934
2010-02-23;26,77;26,870001;26,08;26,15;626600;22,669779
2010-02-24;26,18;26,24;25,719999;25,870001;1075400;22,427034
2010-02-25;25,440001;25,700001;25,16;25,58;777900;22,17564
