"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;26,32;26,555;26,139999;26,395;1665400;23,08707
2010-01-05;25,905001;25,905001;25,035;25,275;2559800;22,107443
2010-01-06;25,6;26,125;25,6;26,084999;1830400;22,815926
2010-01-07;26,135;26,27;25,940001;26,129999;906400;22,855284
2010-01-08;26,145;26,32;25,67;26,115;1657800;22,842161
2010-01-11;26,275;26,42;25,975;26,42;813800;23,108944
2010-01-12;26,370001;26,375;25,674999;25,719999;1013000;22,496668
2010-01-13;26,02;26,24;25,855;26,1;1877800;22,829046
2010-01-14;26,065001;26,299999;26,049999;26,280001;998400;22,986492
2010-01-15;26,280001;26,299999;25,940001;26,08;734400;22,81155
2010-01-19;26,055;26,495001;26,055;26,459999;715600;23,143925
2010-01-20;26,395;26,629999;26,275;26,465;702800;23,148308
2010-01-21;26,485001;26,52;25,745001;25,969999;879000;22,71534
2010-01-22;26,045;26,540001;25,93;25,985001;1376400;22,728455
2010-01-25;26,184999;26,695;26,030001;26,514999;2314200;23,192036
2010-01-26;26,434999;26,995001;26,434999;26,735001;1674800;23,384459
2010-01-27;26,625;26,625;26,1;26,334999;1053800;23,034595
2010-01-28;26,325001;26,48;25,775;26,049999;927200;22,785307
2010-01-29;26,110001;26,195;25,57;25,57;1082000;22,365473
2010-02-01;25,68;25,82;25,495001;25,735001;758200;22,509787
2010-02-02;25,77;26,145;25,73;26,105;1386400;22,833422
2010-02-03;25,985001;26,195;25,885;26,08;1219200;22,81155
2010-02-04;26,01;26,129999;25,26;25,465;1961200;22,273628
2010-02-05;27,5;27,754999;26,545;27,450001;4911800;24,009859
2010-02-08;27,59;27,629999;27,325001;27,42;2187400;23,98362
2010-02-09;27,6;27,6;26,719999;27,135;1550600;23,734337
2010-02-10;27,15;27,385;26,889999;27,139999;687800;23,738707
2010-02-11;27,165001;27,834999;26,955;27,75;1822800;24,272259
2010-02-12;27,57;28,045;27,525;27,99;1783400;24,482183
2010-02-16;28,059999;28,059999;27,5;27,725;1214800;24,250399
2010-02-17;27,594999;27,93;27,465;27,895;1245400;24,399096
2010-02-18;27,905001;28,77;27,905001;28,715;2060600;25,116325
2010-02-19;28,65;28,844999;28,5;28,735001;1791400;25,133816
2010-02-22;28,860001;29,190001;28,575001;28,975;1537400;25,34374
2010-02-23;28,889999;28,950001;28,43;28,469999;957000;24,902025
2010-02-24;28,469999;28,77;28,290001;28,76;834200;25,155684
2010-02-25;28,525;28,799999;28,299999;28,77;835800;25,164431
2010-02-26;28,754999;28,790001;28,440001;28,540001;1473800;24,963251
2010-03-01;28,665001;29,115;28,540001;29,084999;643200;25,439953
2010-03-02;29,205;29,77;29,174999;29,450001;1153600;25,759212
2010-03-03;29,549999;29,709999;29,445;29,629999;758000;25,916649
2010-03-04;29,690001;29,690001;29,4;29,545;682200;25,842304
2010-03-05;29,6;29,75;29,299999;29,75;588000;26,02161
2010-03-08;29,805;29,805;29,51;29,59;653400;25,881664
2010-03-09;29,469999;29,790001;29,4;29,68;596800;25,960382
2010-03-10;29,785;30,32;29,785;30,09;1865800;26,319006
2010-03-11;30,18;30,33;30;30,32;1147000;26,520176
2010-03-12;30,41;30,42;29,975;30,344999;540200;26,542044
2010-03-15;30,235001;30,35;30,1;30,315001;447800;26,515808
2010-03-16;30,355;30,549999;30,32;30,5;526000;26,677618
2010-03-17;30,565001;30,945;30,565001;30,9;807600;27,027491
2010-03-18;30,780001;31,4;30,65;31,35;1213400;27,421097
2010-03-19;31,09;31,32;30,955;31,09;1766600;27,193678
2010-03-22;30,895;31,440001;30,780001;31,215;663200;27,30302
2010-03-23;31,315001;31,465;31,09;31,415001;487800;27,477945
2010-03-24;31,370001;31,75;31,370001;31,705;959200;27,731606
2010-03-25;31,75;32,025002;31,594999;31,594999;713800;27,635393
2010-03-26;31,625;31,754999;31,4;31,48;473200;27,534801
2010-03-29;31,615;31,83;31,455;31,745001;445600;27,766594
2010-03-30;31,83;32;31,665001;31,934999;474400;27,932781
2010-03-31;31,620001;32,025002;31,620001;31,825001;617200;27,836571
2010-04-01;31,870001;31,945;31,530001;31,865;720200;27,871553
2010-04-05;31,985001;32,075001;31,665001;31,785;704400;27,801575
2010-04-06;31,885;31,905001;31,43;31,605;1008600;27,644135
2010-04-07;31,59;31,65;31,1;31,32;803800;27,394855
2010-04-08;31,190001;31,395;30,379999;30,690001;1838000;26,843807
2010-04-09;30,629999;30,809999;30,57;30,790001;965800;26,93128
2010-04-12;30,875;30,934999;30,785;30,799999;675000;26,940023
2010-04-13;30,785;31,004999;30,73;30,950001;873800;27,071228
2010-04-14;31,075001;31,15;30,945;31,075001;960000;27,180563
2010-04-15;31,075001;31,219999;30,950001;30,969999;1039600;27,088718
2010-04-16;31,049999;31,195;30,665001;30,809999;903800;26,948772
2010-04-19;30,695;30,975;30,665001;30,934999;590800;27,058105
2010-04-20;31,23;31,905001;31,23;31,77;1162000;27,788458
2010-04-21;32,105;32,27;31,434999;31,67;989600;27,700994
2010-04-22;31,68;31,879999;31,495001;31,875;1112000;27,880299
2010-04-23;31,764999;31,924999;31,58;31,805;454400;27,819073
2010-04-26;31,85;32,09;31,514999;31,605;463000;27,644135
2010-04-27;31,25;31,25;30,440001;30,469999;1178400;26,651377
2010-04-28;30,52;31,405001;30,41;30,99;1236000;27,106209
2010-04-29;30,955;31,735001;30,825001;30,844999;1419600;26,979387
2010-04-30;32,990002;35,325001;32,990002;34,215;6215400;29,927036
2010-05-03;34;34,355;33,200001;34,34;2189600;30,036383
2010-05-04;33,735001;33,939999;33,424999;33,855;1499000;29,612154
2010-05-05;33,619999;33,98;33,535;33,794998;1165600;29,559681
2010-05-06;33,775002;33,790001;32,005001;32,845001;2104400;28,728729
2010-05-07;32,599998;32,599998;31,264999;31,815001;2844600;27,827824
2010-05-10;32,514999;33,285;32,465;33,209999;1230000;29,047995
2010-05-11;32,799999;34,16;32,75;33,785;2029600;29,550922
2010-05-12;33,939999;34,485001;33,669998;34,384998;1216000;30,075737
2010-05-13;34,115002;34,744999;34,115002;34,41;1118400;30,097597
2010-05-14;34,384998;34,605;33,985001;34,145;1121400;29,865818
2010-05-17;34,165001;34,384998;33,849998;34,360001;926600;30,053869
2010-05-18;33,865002;33,915001;33,134998;33,220001;1450800;29,056742
2010-05-19;32,240002;32,665001;31,795;32,355;2571400;28,300146
2010-05-20;31,4;31,67;30,605;31,280001;2676400;27,359871
2010-05-21;29,98;30,915001;29,645;30,565001;2299400;26,734476
2010-05-24;30,200001;31,525;30,139999;31,049999;2131200;27,158688
2010-05-25;29,950001;31,045;29,440001;31,004999;1777000;27,119329
2010-05-26;31;31,549999;30,549999;30,57;2199000;26,738844
2010-05-27;30,99;31,879999;30,99;31,865;1051400;27,871553
2010-05-28;31,754999;31,9;31,434999;31,445;1570600;27,504189
2010-06-01;31,41;32,349998;31,41;31,65;1442000;27,683498
2010-06-02;31,795;32,5;31,645;32,490002;702000;28,41823
2010-06-03;32,419998;32,994999;32,419998;32,759998;1074800;28,654392
2010-06-04;32,424999;32,875;32,105;32,215;1408200;28,177687
2010-06-07;32,23;32,23;31,43;31,469999;1394600;27,526058
2010-06-08;31,334999;31,450001;30,834999;31,415001;1101000;27,477945
2010-06-09;31,610001;31,92;31,195;31,344999;965200;27,416716
2010-06-10;31,57;31,9;31,43;31,83;691400;27,840935
2010-06-11;31,635;32,259998;31,530001;32,189999;666600;28,155823
2010-06-14;32,445;32,849998;32,395;32,560001;693400;28,479458
2010-06-15;32,619999;33,075001;32,165001;33,044998;955400;28,903667
2010-06-16;32,759998;33;32,689999;32,73;991800;28,628145
2010-06-17;32,84;32,84;32,165001;32,349998;950000;28,295771
2010-06-18;32,205002;32,25;31,59;31,684999;1505800;27,714111
2010-06-21;31,985001;32,389999;31,665001;31,825001;934200;27,836571
2010-06-22;31,934999;32,32;31,59;31,639999;1216200;27,674753
2010-06-23;31,639999;31,639999;30,754999;30,975;1313600;27,093092
2010-06-24;30,945;31,110001;30,625;30,695;1543200;26,848181
2010-06-25;30,834999;31;30,535;30,844999;1342600;26,979387
2010-06-28;30,725;31,145;30,559999;30,82;611800;26,957516
2010-06-29;30,635;30,754999;30,139999;30,264999;998600;26,472075
2010-06-30;30,26;30,91;30,26;30,405001;1018600;26,594528
2010-07-01;30,254999;30,254999;29,32;29,805;1692800;26,069715
2010-07-02;29,98;30,865;29,959999;30,584999;1488800;26,751966
2010-07-06;31;31,370001;30,68;30,975;1117600;27,093092
2010-07-07;30,934999;32,060001;30,924999;32,009998;830600;27,998381
2010-07-08;32,279999;32,5;32,145;32,5;1215000;28,426973
2010-07-09;32,485001;32,625;32,355;32,465;598200;28,396362
2010-07-12;32,294998;32,834999;32,134998;32,674999;871600;28,580034
2010-07-13;32,970001;33,189999;32,794998;33,115002;1165400;28,964905
2010-07-14;32,884998;33,41;32,834999;33,404999;812000;29,218546
2010-07-15;33,349998;33,474998;33,154999;33,419998;882800;29,231678
2010-07-16;33,294998;33,334999;33,055;33,23;1694800;29,065489
2010-07-19;33,110001;33,134998;32,125;32,355;1089600;28,300146
2010-07-20;32,049999;32,380001;31,629999;32,330002;734600;28,278284
2010-07-21;32,490002;32,490002;31,52;31,594999;979600;27,635393
2010-07-22;31,885;32,294998;31,68;32,145;629600;28,116461
2010-07-23;32,005001;32,880001;32,005001;32,84;642400;28,724363
2010-07-26;32,459999;32,619999;32,055;32,345001;1059800;28,291405
2010-07-27;32,389999;32,455002;31,915001;31,995001;674600;27,985264
2010-07-28;32,060001;32,119999;31,815001;31,895;595800;27,897795
2010-07-29;32,130001;32,259998;31,860001;32;954000;27,989634
2010-07-30;32,355;33,130001;32,355;32,845001;1159200;28,728729
2010-08-02;33,23;33,52;33;33,470001;1297600;29,275412
2010-08-03;33,310001;34,084999;33,290001;33,695;952200;29,472208
2010-08-04;33,73;34,080002;33,465;33,845001;1005000;29,603409
2010-08-05;33,75;34,125;33,615002;34,014999;623000;29,75211
2010-08-06;33,029999;33,029999;32,044998;32,490002;2186200;28,41823
2010-08-09;32,685001;32,834999;32,435001;32,755001;942200;28,650019
2010-08-10;32,555;32,555;31,895;32,130001;1456000;28,103348
2010-08-11;31,379999;31,99;31,379999;31,665001;1055000;27,696619
2010-08-12;31,42;31,42;30,905001;31,045;1154400;27,154325
2010-08-13;30,99;31,66;30,895;31,375;670600;27,442959
2010-08-16;31,25;31,424999;31,059999;31,405001;477800;27,4692
2010-08-17;31,535;32,330002;31,455;32,095001;888600;28,072727
2010-08-18;31,99;32,25;31,745001;31,790001;860800;27,805962
2010-08-19;31,76;32,165001;31,365;31,715;1185200;27,740355
2010-08-20;31,594999;31,639999;30,995001;31,385;547400;27,451708
2010-08-23;31,58;31,934999;31,355;31,355;362600;27,425465
2010-08-24;31,01;31,01;30,375;30,43;976400;26,616392
2010-08-25;30,315001;30,445;29,764999;30,334999;1184600;26,533297
2010-08-26;30,32;30,475;29,865;29,875;827200;26,130949
2010-08-27;29,975;30,65;29,82;30,594999;557400;26,760708
2010-08-30;30,504999;30,594999;30,15;30,190001;1123600;26,406471
2010-08-31;30,030001;30,370001;29,67;30,139999;975900;26,36273
2010-09-01;30,469999;31;30,469999;30,83;867100;26,966261
2010-09-02;30,780001;31,51;30,780001;31,49;621500;27,543552
2010-09-03;31,75;32,290001;31,700001;32,23;747000;28,190813
2010-09-07;32,459999;32,639999;31,799999;32,049999;577400;28,033371
2010-09-08;32,099998;32,18;31,66;31,690001;421400;27,718487
2010-09-09;31,870001;32,419998;31,870001;32,369999;500900;28,313263
2010-09-10;32,380001;32,43;32,240002;32,310001;338100;28,260788
2010-09-13;32,580002;33,189999;32,580002;33,060001;540800;28,916788
2010-09-14;32,939999;33,200001;32,75;33,099998;481800;28,951778
2010-09-15;33,07;33,599998;33;33,43;665400;29,240423
2010-09-16;33,200001;33,43;33,169998;33,27;541800;29,10047
2010-09-17;33,16;33,290001;32,959999;33,060001;704800;28,916788
2010-09-20;33,18;33,27;33,040001;33,16;1009800;29,004257
2010-09-21;33,18;33,25;32,18;32,419998;1781600;28,357
2010-09-22;32,439999;33;32,299999;32,610001;772700;28,523186
2010-09-23;32,400002;32,669998;32,25;32,349998;544800;28,295771
2010-09-24;32,709999;32,919998;32,439999;32,830002;722300;28,715618
2010-09-27;32,73;33,060001;32,27;32,860001;750900;28,741863
2010-09-28;32,900002;33,02;32,52;32,93;706600;28,803083
2010-09-29;32,759998;32,759998;31,959999;32,220001;1243500;28,182064
2010-09-30;32,73;33,09;32,66;32,810001;1244000;28,698124
2010-10-01;33;33,02;32,509998;32,830002;662600;28,715618
2010-10-04;32,830002;32,869999;32,279999;32,43;448600;28,365747
2010-10-05;32,650002;33,209999;32,650002;33,130001;665000;28,978018
2010-10-06;33,240002;33,459999;33,16;33,240002;648400;29,074242
2010-10-07;33,330002;33,330002;32,59;32,709999;348500;28,610657
2010-10-08;32,650002;33,029999;32,43;32,66;722900;28,566925
2010-10-11;32,66;32,669998;32,360001;32,400002;670900;28,339508
2010-10-12;32,32;32,43;31,879999;32,27;359800;28,225796
2010-10-13;32,369999;32,369999;31,67;31,709999;2214900;27,735977
2010-10-14;31,809999;31,889999;31,6;31,68;929200;27,70974
2010-10-15;32,049999;32,299999;31,35;31,59;1552000;27,63102
2010-10-18;31,530001;31,75;31,33;31,450001;1930000;27,508568
2010-10-19;30,98;31,26;30,42;30,51;2869100;26,686365
2010-10-20;30,66;30,98;30,6;30,940001;2133900;27,062473
2010-10-21;31,09;31,75;31,09;31,360001;1077100;27,429842
2010-10-22;31,35;31,780001;31,32;31,59;559300;27,63102
2010-10-25;31,67;32,110001;31,42;31,42;1305300;27,482323
2010-10-26;31,299999;31,940001;31,1;31,5;889900;27,552301
2010-10-27;31,76;32,139999;31,67;32,099998;1521300;28,077101
2010-10-28;32,419998;32,52;32,009998;32,009998;1975700;27,998381
2010-10-29;33,27;33,5;31,629999;31,870001;3005200;27,875927
2010-11-01;32,02;32,25;31,15;31,389999;1892400;27,456078
2010-11-02;31,51;31,709999;31,26;31,57;707600;27,613523
2010-11-03;31,6;32,040001;31,469999;31,99;927000;27,980886
2010-11-04;32,549999;32,740002;32,439999;32,700001;969900;28,601913
2010-11-05;32,73;33,400002;32,720001;33,400002;1035500;29,214182
2010-11-08;33,110001;33,139999;32,740002;33,130001;702400;28,978018
2010-11-09;33,110001;33,490002;32,880001;32,98;1112900;28,846817
2010-11-10;33,099998;33,5;33,029999;33,43;784700;29,240423
2010-11-11;33,259998;33,849998;33,259998;33,700001;970200;29,47658
2010-11-12;33,450001;33,82;33,18;33,330002;813400;29,15295
2010-11-15;33,43;33,73;33,419998;33,439999;745600;29,24917
2010-11-16;33,150002;33,18;32,360001;32,779999;740700;28,671879
2010-11-17;32,77;33;32,529999;32,759998;451300;28,654392
2010-11-18;32,959999;33,02;32,599998;32,779999;544700;28,671879
2010-11-19;32,790001;32,939999;32,599998;32,650002;478800;28,558176
2010-11-22;32,240002;32,639999;31,99;32,299999;1992300;28,252041
2010-11-23;31,98;32,049999;31,790001;31,9;1488400;27,902168
2010-11-24;32,099998;32,68;32,049999;32,580002;558400;28,49695
2010-11-26;31,93;32,310001;31,77;32,18;328700;28,147074
2010-11-29;32,139999;32,540001;31,65;32,41;1407400;28,348248
2010-11-30;32,220001;32,23;31,889999;31,950001;1190400;27,945904
2010-12-01;32,360001;32,880001;32,279999;32,880001;1094300;28,75935
2010-12-02;32,799999;33,48;32,799999;33,439999;814200;29,24917
2010-12-03;33,349998;33,860001;33,330002;33,540001;1191900;29,336636
2010-12-06;33,389999;33,470001;32,959999;33,400002;710900;29,214182
2010-12-07;33,630001;33,630001;33,009998;33,119999;966700;28,969275
2010-12-08;33,139999;33,310001;32,970001;33,130001;589000;28,978018
2010-12-09;33,380001;33,529999;33,240002;33,360001;533600;29,179195
2010-12-10;33,43;33,43;32,98;33,369999;850800;29,187946
2010-12-13;33,349998;33,689999;33,259998;33,380001;657100;29,196692
2010-12-14;33,299999;34,709999;33,299999;34,529999;1388000;30,20256
