"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;5,748148;5,863704;5,712593;5,81037;559500;4,426541
2010-01-05;5,819259;5,828148;5,754074;5,780741;467700;4,403968
2010-01-06;5,768889;5,851852;5,768889;5,783704;560800;4,406227
2010-01-07;5,762963;5,834074;5,700741;5,828148;357300;4,440086
2010-01-08;5,807407;5,834074;5,774815;5,819259;220200;4,433315
2010-01-11;5,837037;5,837037;5,771852;5,81037;311100;4,426541
2010-01-12;5,765926;5,807407;5,745185;5,777778;347500;4,401712
2010-01-13;5,792593;5,851852;5,748148;5,845926;256600;4,453628
2010-01-14;5,86963;5,86963;5,801481;5,863704;149400;4,467172
2010-01-15;5,872592;5,881482;5,668148;5,730371;591900;4,365595
2010-01-19;5,691852;5,789629;5,685926;5,789629;488200;4,410741
2010-01-20;5,745185;5,748148;5,582222;5,665185;499000;4,315934
2010-01-21;5,682963;5,721481;5,528889;5,605926;388000;4,27079
2010-01-22;5,579259;5,656296;5,522963;5,540741;455500;4,221129
2010-01-25;5,561481;5,567408;5,46963;5,508148;251700;4,196298
2010-01-26;5,478518;5,517037;5,437037;5,445926;308700;4,148896
2010-01-27;5,502222;5,952592;5,499259;5,908148;1450800;4,501032
2010-01-28;5,928889;5,928889;5,650371;5,751111;686400;4,381395
2010-01-29;5,754074;5,881482;5,754074;5,831111;673800;4,442343
2010-02-01;5,828148;5,863704;5,777778;5,819259;362400;4,433315
2010-02-02;5,831111;5,872592;5,76;5,771852;431200;4,397197
2010-02-03;5,765926;5,822222;5,697778;5,795556;505500;4,415256
2010-02-04;5,774815;5,777778;5,68;5,712593;552700;4,352052
2010-02-05;5,712593;5,765926;5,659259;5,757037;491400;4,385911
2010-02-08;5,754074;5,76;5,650371;5,659259;478000;4,379892
2010-02-09;5,697778;5,751111;5,656296;5,715556;395100;4,423462
2010-02-10;5,703704;5,718519;5,653333;5,688889;326800;4,402824
2010-02-11;5,662222;5,795556;5,635556;5,795556;322800;4,485375
2010-02-12;5,893333;5,973333;5,854815;5,961482;1265100;4,613792
2010-02-16;6,011852;6,011852;5,934815;6;436900;4,643602
2010-02-17;6,026667;6,088889;6,008889;6,088889;390700;4,712396
2010-02-18;6,10963;6,213333;6,100741;6,201481;406300;4,799534
2010-02-19;6,213333;6,281481;6,165926;6,266667;540900;4,849984
2010-02-22;6,296296;6,358519;6,272593;6,343704;475200;4,909607
2010-02-23;6,343704;6,358519;6,248889;6,296296;737700;4,872916
2010-02-24;6,325926;6,379259;6,29037;6,328889;387400;4,898141
2010-02-25;6,263704;6,358519;6,263704;6,349629;318700;4,914192
2010-02-26;6,340741;6,340741;6,266667;6,296296;515200;4,872916
2010-03-01;6,37037;6,4;6,287407;6,397037;608400;4,950883
2010-03-02;6,423704;6,482963;6,379259;6,456296;725800;4,996745
2010-03-03;6,477037;6,515555;6,447407;6,471111;415800;5,008211
2010-03-04;6,494815;6,503704;6,441482;6,45037;274600;4,99216
2010-03-05;6,488889;6,654815;6,485926;6,631111;686700;5,13204
2010-03-08;6,642963;6,696296;6,613333;6,619259;375300;5,122868
2010-03-09;6,61037;6,717037;6,604445;6,684444;475800;5,173317
2010-03-10;6,666667;6,761481;6,666667;6,725926;1086300;5,20542
2010-03-11;6,681481;6,731852;6,666667;6,696296;290200;5,182489
2010-03-12;6,696296;6,725926;6,648889;6,666667;417300;5,159558
2010-03-15;6,657778;6,672593;6,557037;6,586667;676500;5,097641
2010-03-16;6,583704;6,592593;6,533333;6,571852;490600;5,086176
2010-03-17;6,571852;6,66963;6,548148;6,619259;345700;5,122868
2010-03-18;6,628148;6,675556;6,592593;6,631111;229500;5,13204
2010-03-19;6,604445;6,675556;6,568889;6,604445;807400;5,111402
2010-03-22;6,565926;6,675556;6,545185;6,660741;523900;5,154972
2010-03-23;6,678518;6,752593;6,592593;6,740741;735000;5,216887
2010-03-24;6,734815;6,734815;6,61037;6,628148;408300;5,129746
2010-03-25;6,539259;6,619259;6,444445;6,459259;981000;4,999038
2010-03-26;6,488889;6,488889;6,367407;6,414815;467200;4,96464
2010-03-29;6,423704;6,512593;6,417778;6,474074;316500;5,010505
2010-03-30;6,459259;6,494815;6,402963;6,48;483900;5,01509
2010-03-31;6,447407;6,506667;6,420741;6,423704;490000;4,97152
2010-04-01;6,432592;6,462222;6,376297;6,4;382900;4,953175
2010-04-05;6,42963;6,497778;6,405926;6,485926;418500;5,019677
2010-04-06;6,468148;6,548148;6,459259;6,548148;345100;5,067833
2010-04-07;6,524445;6,557037;6,503704;6,554074;527100;5,07242
2010-04-08;6,512593;6,539259;6,477037;6,494815;241800;5,026556
2010-04-09;6,518518;6,518518;6,408889;6,441482;421800;4,985279
2010-04-12;6,456296;6,456296;6,405926;6,438519;264600;4,982986
2010-04-13;6,417778;6,512593;6,402963;6,50963;271500;5,038022
2010-04-14;6,527407;6,598518;6,459259;6,595556;356500;5,104525
2010-04-15;6,557037;6,642963;6,557037;6,622222;257800;5,125161
2010-04-16;6,619259;6,648889;6,548148;6,568889;439300;5,083885
2010-04-19;6,533333;6,58963;6,485926;6,56;287500;5,077005
2010-04-20;6,577778;6,642963;6,565926;6,628148;277300;5,129746
2010-04-21;6,613333;6,714074;6,601481;6,702222;287100;5,187077
2010-04-22;6,651852;6,725926;6,616296;6,717037;326800;5,198542
2010-04-23;6,687407;6,702222;6,64;6,681481;503500;5,171024
2010-04-26;6,690371;6,711111;6,625185;6,657778;360600;5,152678
2010-04-27;6,648889;6,725926;6,562963;6,574815;382900;5,088472
2010-04-28;6,631111;6,728889;6,545185;6,631111;366400;5,13204
2010-04-29;6,654815;6,666667;6,497778;6,562963;569700;5,079298
2010-04-30;6,542222;6,637037;6,444445;6,444445;716800;4,987573
2010-05-03;6,482963;6,583704;6,435555;6,571852;499500;5,086176
2010-05-04;6,474074;6,533333;6,414815;6,497778;603000;5,02885
2010-05-05;6,471111;6,613333;6,471111;6,497778;434700;5,02885
2010-05-06;6,456296;6,50963;6,062222;6,305185;701500;4,948333
2010-05-07;6,242963;6,314074;6,112593;6,154074;841900;4,829742
2010-05-10;6,325926;6,539259;6,275556;6,539259;771000;5,132036
2010-05-11;6,453333;6,663704;6,423704;6,601481;453100;5,180869
2010-05-12;6,631111;6,808889;6,58963;6,794074;588100;5,332016
2010-05-13;6,752593;6,791111;6,616296;6,64;762700;5,211098
2010-05-14;6,595556;6,613333;6,527407;6,583704;539200;5,166918
2010-05-17;6,634074;6,702222;6,441482;6,663704;949000;5,229701
2010-05-18;6,737778;6,737778;6,420741;6,465185;1160200;5,073901
2010-05-19;6,432592;6,551111;6,432592;6,497778;860100;5,099482
2010-05-20;6,376297;6,494815;6,154074;6,157037;910000;4,832069
2010-05-21;6,065185;6,231111;6,032593;6,171852;829800;4,843693
2010-05-24;6,171852;6,228148;6,082963;6,157037;549600;4,832069
2010-05-25;6,023704;6,219259;5,967407;6,180741;837100;4,85067
2010-05-26;6,183704;6,311111;6,16;6,201481;756100;4,866946
2010-05-27;6,314074;6,364444;6,231111;6,364444;483400;4,99484
2010-05-28;6,334815;6,355556;6,260741;6,299259;357300;4,943684
2010-06-01;6,234074;6,364444;6,177778;6,201481;571600;4,866946
2010-06-02;6,213333;6,361482;6,177778;6,358519;559800;4,990189
2010-06-03;6,355556;6,382222;6,296296;6,358519;558400;4,990189
2010-06-04;6,225185;6,293334;6,121481;6,139259;762700;4,818116
2010-06-07;6,171852;6,234074;6,068148;6,112593;626400;4,797186
2010-06-08;6,13037;6,222222;6,100741;6,195556;631000;4,862297
2010-06-09;6,228148;6,32;6,148148;6,18963;690700;4,857645
2010-06-10;6,29037;6,305185;6,204444;6,305185;379500;4,948333
2010-06-11;6,237037;6,355556;6,228148;6,355556;217500;4,987865
2010-06-14;6,391111;6,391111;6,257778;6,263704;492300;4,915779
2010-06-15;6,299259;6,42963;6,287407;6,405926;556300;5,027396
2010-06-16;6,385185;6,408889;6,334815;6,352592;395700;4,985539
2010-06-17;6,355556;6,379259;6,308148;6,358519;417300;4,990189
2010-06-18;6,37037;6,373333;6,328889;6,349629;911200;4,983213
2010-06-21;6,426667;6,426667;6,302222;6,322963;447000;4,962287
2010-06-22;6,349629;6,397037;6,269629;6,287407;664800;4,934382
2010-06-23;6,266667;6,293334;6,192593;6,234074;406900;4,892526
2010-06-24;6,186666;6,305185;6,174815;6,180741;369400;4,85067
2010-06-25;6,171852;6,284444;6,171852;6,269629;1330300;4,92043
2010-06-28;6,266667;6,379259;6,248889;6,340741;603600;4,976238
2010-06-29;6,24;6,263704;6,142222;6,177778;809200;4,848344
2010-06-30;6,183704;6,254815;6,118518;6,13037;568300;4,811138
2010-07-01;6,118518;6,118518;5,964445;6,05037;627900;4,748354
2010-07-02;6,100741;6,100741;5,982222;6,023704;586000;4,727426
2010-07-06;6,103703;6,171852;5,982222;6,02963;818700;4,732076
2010-07-07;6,05037;6,168889;6,02963;6,162963;461700;4,836716
2010-07-08;6,162963;6,331852;6,162963;6,331852;652200;4,969263
2010-07-09;6,331852;6,352592;6,287407;6,352592;319900;4,985539
2010-07-12;6,317037;6,391111;6,317037;6,37037;1104900;4,999491
2010-07-13;6,471111;6,518518;6,42963;6,503704;859500;5,104131
2010-07-14;6,471111;6,503704;6,391111;6,435555;428100;5,050648
2010-07-15;6,42963;6,441482;6,296296;6,367407;517000;4,997166
2010-07-16;6,361482;6,361482;6,168889;6,186666;749200;4,855321
2010-07-19;6,201481;6,254815;6,162963;6,248889;442900;4,904154
2010-07-20;6,177778;6,343704;6,162963;6,340741;394300;4,976238
