"date";"open";"high";"low";"close";"volume";"adjusted"
2010-01-04;22,01;22,1;21,92;22,02;920400;18,302795
2010-01-05;21,99;22,08;21,629999;21,790001;831400;18,11162
2010-01-06;21,780001;21,84;21,27;21,370001;1334400;17,762527
2010-01-07;21,34;21,620001;21,25;21,59;1394900;17,945381
2010-01-08;21,549999;21,700001;21,459999;21,68;702900;18,020195
2010-01-11;21,809999;21,940001;21,549999;21,67;639000;18,011881
2010-01-12;21,440001;21,530001;21,23;21,5;724700;17,870575
2010-01-13;21,459999;21,610001;21,25;21,5;590000;17,870575
2010-01-14;21,51;21,530001;21,17;21,32;913300;17,720961
2010-01-15;21,26;21,32;21,08;21,120001;876500;17,554728
2010-01-19;21,15;21,68;21,040001;21,66;1575000;18,003565
2010-01-20;21,559999;21,59;21,200001;21,35;1026500;17,745901
2010-01-21;21,32;21,549999;20,91;20,940001;1299600;17,405111
2010-01-22;20,799999;21,030001;20,41;20,440001;1320600;16,989513
2010-01-25;20,719999;20,889999;19,67;20,07;2980000;16,681973
2010-01-26;19,91;20,360001;19,790001;20,07;1952100;16,681973
2010-01-27;19,950001;20,290001;19,610001;20,190001;2257900;16,781712
2010-01-28;20,32;20,32;19,68;19,77;1742100;16,432617
2010-01-29;19,860001;20,25;19,74;19,84;2020900;16,490805
2010-02-01;19,969999;20,190001;19,690001;19,9;2014400;16,540672
2010-02-02;19,950001;20,209999;19,790001;20,120001;1559000;16,72353
2010-02-03;19,92;20,059999;19,42;19,68;1311000;16,357815
2010-02-04;19,51;19,52;18,84;18,84;1182200;15,659616
2010-02-05;18,860001;19,07;18,43;19,049999;1465200;15,83416
2010-02-08;19,030001;19,24;18,76;19,120001;2929500;15,892349
2010-02-09;19,41;19,67;19,120001;19,440001;1735600;16,158331
2010-02-10;19,379999;19,48;19,049999;19,33;1371200;16,066896
2010-02-11;19,299999;19,629999;19,18;19,620001;1949300;16,30794
2010-02-12;19,34;19,610001;19,129999;19,57;1154800;16,266376
2010-02-16;19,709999;19,790001;19,6;19,74;1036700;16,407688
2010-02-17;19,809999;20,209999;19,639999;19,860001;1096900;16,507425
2010-02-18;19,799999;20,190001;19,76;20,120001;787500;16,72353
2010-02-19;20,1;20,280001;19,879999;20,17;813000;16,7651
2010-02-22;20,24;20,309999;20,040001;20,27;832100;16,848213
2010-02-23;20,18;20,379999;19,98;20,1;971300;16,706915
2010-02-24;20,110001;20,33;20,040001;20,309999;774800;16,881456
2010-02-25;20,110001;20,48;19,73;20,450001;1137400;16,997824
2010-02-26;20,52;20,530001;20,16;20,43;1584400;16,981201
2010-03-01;20,49;20,65;20,389999;20,65;1178800;17,164066
2010-03-02;20,75;20,85;20,620001;20,780001;1054900;17,272121
2010-03-03;20,82;20,9;20,73;20,85;938700;17,430965
2010-03-04;20,809999;20,9;20,309999;20,530001;1469200;17,163441
2010-03-05;20,73;20,940001;20,620001;20,91;1207800;17,481125
2010-03-08;20,93;21,139999;20,74;20,879999;1309700;17,456041
2010-03-09;20,77;20,82;20,57;20,700001;1663200;17,305563
2010-03-10;20,690001;20,98;20,459999;20,84;1746600;17,422604
2010-03-11;20,76;20,889999;20,610001;20,860001;565700;17,439322
2010-03-12;21,01;21,16;20,9;21,1;936400;17,639969
2010-03-15;21,110001;21,190001;20,959999;21,18;862700;17,706852
2010-03-16;21,190001;21,5;21,18;21,48;1147900;17,957655
2010-03-17;21,48;21,76;21,389999;21,709999;1124200;18,149939
2010-03-18;21,75;21,809999;21,639999;21,74;1079200;18,175016
2010-03-19;21,6;22,1;21,5;21,6;1304500;18,05798
2010-03-22;21,530001;21,83;21,440001;21,75;1085300;18,18338
2010-03-23;21,73;21,77;21,52;21,74;1104200;18,175016
2010-03-24;21,68;21,690001;21,459999;21,469999;885300;17,949295
2010-03-25;21,629999;21,75;21,280001;21,280001;1527100;17,790455
2010-03-26;21,33;21,559999;21,139999;21,309999;925400;17,815535
2010-03-29;21,32;21,559999;21,16;21,280001;1288300;17,790455
2010-03-30;21,27;21,389999;21,15;21,379999;1272700;17,874052
2010-03-31;21,280001;21,379999;21,059999;21,08;1079300;17,623245
2010-04-01;21,26;21,530001;21,18;21,33;1074600;17,832254
2010-04-05;21,450001;21,709999;21,34;21,700001;635400;18,141571
2010-04-06;21,67;21,790001;21,549999;21,76;1214600;18,191738
2010-04-07;21,68;21,870001;21,450001;21,51;1514600;17,982735
2010-04-08;21,290001;21,690001;21,290001;21,67;1018400;18,116499
2010-04-09;21,700001;21,75;21,549999;21,700001;842600;18,141571
2010-04-12;21,73;21,799999;21,389999;21,49;944000;17,966015
2010-04-13;21,43;21,51;21,190001;21,48;1044300;17,957655
2010-04-14;21,5;22,129999;21,5;22,129999;1594100;18,501066
2010-04-15;22,16;22,700001;22,02;22,700001;1987200;18,977598
2010-04-16;22,709999;22,860001;22,35;22,450001;2397300;18,768587
2010-04-19;22,32;22,59;22,27;22,559999;1315000;18,860558
2010-04-20;22,639999;22,99;22,59;22,940001;1351900;19,17824
2010-04-21;23,02;23,41;22,959999;23,08;1517100;19,29528
2010-04-22;22,969999;23,209999;22,76;23,200001;984000;19,395607
2010-04-23;23,17;23,360001;23,02;23,26;933300;19,445766
2010-04-26;23,32;23,43;23;23,129999;1242000;19,337082
2010-04-27;23,030001;23,18;22,719999;22,76;2343900;19,027754
2010-04-28;22,959999;23,18;21,950001;22,299999;2804700;18,643187
2010-04-29;22,379999;22,469999;22,040001;22,290001;1132700;18,634836
2010-04-30;22,370001;22,49;21,450001;21,5;1868600;17,974373
2010-05-03;21,639999;21,709999;21,35;21,68;1674000;18,124863
2010-05-04;21,41;21,65;21,280001;21,51;2041300;17,982735
2010-05-05;21,360001;21,75;21,18;21,440001;1553500;17,924217
2010-05-06;21,309999;21,49;19,32;20,68;1912400;17,288841
2010-05-07;20,639999;20,950001;20,16;20,58;2594000;17,205238
2010-05-10;21,49;21,610001;21,219999;21,459999;1135600;17,940935
2010-05-11;21,27;21,41;21,02;21,049999;1352100;17,598166
2010-05-12;21,059999;21,42;21,02;21,370001;764200;17,865694
2010-05-13;21,370001;21,75;21,120001;21,540001;1404500;18,007822
2010-05-14;21,440001;21,5;21;21,139999;1399000;17,673412
2010-05-17;21,299999;22,82;21,299999;22,32;3094600;18,65991
2010-05-18;22,41;22,530001;21,549999;21,549999;1927900;18,016176
2010-05-19;21,469999;21,790001;21,32;21,719999;1730500;18,158298
2010-05-20;21,17;21,290001;20,629999;20,629999;1556200;17,24704
2010-05-21;20,469999;20,98;20,040001;20,959999;2113000;17,522928
2010-05-24;20,780001;20,889999;20,51;20,58;1439300;17,205238
2010-05-25;20,07;20,620001;19,83;20,620001;1402900;17,23868
2010-05-26;20,77;20,91;20,4;20,469999;1440600;17,113276
2010-05-27;20,889999;21,08;20,530001;21,07;1366000;17,614885
2010-05-28;21,07;21,120001;20,719999;20,84;944200;17,422604
2010-06-01;20,6;20,879999;20,24;20,27;1084600;16,946079
2010-06-02;20,27;20,65;20,139999;20,639999;816700;17,358156
2010-06-03;20,709999;20,870001;20,59;20,83;936300;17,517952
2010-06-04;20,440001;20,719999;20,02;20,110001;1430300;16,912436
2010-06-07;20,110001;20,18;19,870001;19,959999;1592900;16,786282
2010-06-08;19,93;20,15;19,709999;20,07;2248400;16,87879
2010-06-09;20,18;20,41;19,99;20,219999;1835000;17,004944
2010-06-10;20,52;20,75;20,299999;20,6;1101200;17,324528
2010-06-11;20,389999;20,91;20,33;20,85;1127400;17,534769
2010-06-14;21,049999;21,309999;20,870001;20,93;821500;17,602055
2010-06-15;21,030001;21,34;21,030001;21,34;1006400;17,946859
2010-06-16;21,129999;21,32;21,01;21,18;852100;17,8123
2010-06-17;21,27;21,379999;21,09;21,370001;907300;17,972092
2010-06-18;21,450001;21,540001;21,360001;21,52;1015200;18,09824
2010-06-21;21,83;21,860001;21,219999;21,4;880400;17,997318
2010-06-22;21,41;21,5;20,9;20,93;614200;17,602055
2010-06-23;20,92;21,09;20,65;20,889999;846100;17,568413
2010-06-24;20,870001;21,139999;20,6;20,65;764700;17,366573
2010-06-25;20,690001;20,809999;20,42;20,690001;872700;17,400209
2010-06-28;20,700001;20,790001;20,389999;20,43;762600;17,181549
2010-06-29;20,16;20,389999;19,9;20;1332700;16,819921
2010-06-30;19,940001;20,09;19,620001;19,719999;1733800;16,58444
2010-07-01;19,74;19,83;19,280001;19,59;1078900;16,475119
2010-07-02;19,65;19,66;19,34;19,49;832000;16,391016
2010-07-06;19,700001;19,860001;19,48;19,77;2096600;16,626492
2010-07-07;19,84;20,32;19,73;20,32;1259700;17,089041
2010-07-08;20,440001;20,690001;20,309999;20,68;937500;17,391802
2010-07-09;20,799999;20,93;20,68;20,85;628800;17,534769
2010-07-12;20,85;21,200001;20,809999;20,860001;732700;17,543179
2010-07-13;21,02;21,629999;21,02;21,57;907400;18,140289
2010-07-14;21,49;21,639999;21,290001;21,58;821300;18,148695
2010-07-15;21,6;21,870001;21,469999;21,809999;1073500;18,342123
2010-07-16;21,74;21,74;21,059999;21,120001;751900;17,761845
2010-07-19;21,190001;21,290001;21,030001;21,27;552600;17,887989
2010-07-20;21,07;21,879999;21,01;21,870001;1129800;18,392588
2010-07-21;22;22,040001;21,43;21,65;1093500;18,207561
2010-07-22;21,9;22,299999;21,860001;22,200001;762200;18,670118
2010-07-23;22,18;22,74;22,15;22,68;755800;19,073795
2010-07-26;22,74;23,049999;22,74;22,860001;1378300;19,22517
2010-07-27;23;23,059999;22,780001;22,959999;988400;19,309271
2010-07-28;22,67;22,959999;21,75;22,33;1933700;18,779444
2010-07-29;22,49;22,709999;21,65;21,860001;1835400;18,384182
2010-07-30;21,620001;21,860001;21,49;21,629999;1603800;18,190744
2010-08-02;21,879999;22,389999;21,879999;22,32;1160600;18,771034
2010-08-03;22,25;22,35;22,09;22,25;810300;18,712164
2010-08-04;22,33;22,52;22,26;22,49;770500;18,914003
2010-08-05;22,4;22,52;22,190001;22,4;1142200;18,838322
2010-08-06;22,24;22,360001;21,9;22,360001;1085200;18,804678
2010-08-09;22,5;22,709999;22,4;22,629999;482800;19,03174
2010-08-10;22,42;22,57;22,18;22,469999;846100;18,897184
2010-08-11;22,17;22,17;21,780001;21,790001;956800;18,325304
2010-08-12;21,5;21,860001;21,389999;21,690001;721600;18,241209
2010-08-13;21,59;21,790001;21,559999;21,639999;985400;18,199156
2010-08-16;21,530001;21,74;21,43;21,65;537900;18,207561
2010-08-17;22,02;22,620001;22;22,530001;1307100;18,947647
2010-08-18;22,48;22,530001;21,809999;21,84;1315700;18,367355
2010-08-19;21,75;21,780001;21,219999;21,379999;735400;17,980499
2010-08-20;21,200001;21,469999;21,15;21,219999;831300;17,845938
